doc	status	sha256	bytes
020_Project_Timeline_Template_Modern_Theme_0c215d87__docx.pdf	ok	0f9874c72159b3a79f1a12e89f3a32c1656cb2225a9143c76aebb48c77f7c810	28504
020_advanced_excel_doughnut__xlsx.pdf	ok	a93541619d24c366a794ba15871bde93328a4f0a4c67f6d448beeb742431f9d9	39108
020_advanced_powerpoint_pie__pptx.pdf	ok	6e093c844cb1022b8845824b8b852d5fc168ec58adc53ef19a67b10b9cb1b8ac	44823
020_advanced_word_chart_report__docx.pdf	ok	71ac205e72575d11327ae07030e7765c154e88ba04ec7cf97d2c5259ffbcd46d	58701
021_5-Position_Org_Chart_cb042559__pptx.pdf	ok	dcc754f0c366f205d90a3a43bdd6840f5c28156a7585f9304b17a014fb9f25e2	66508
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d__xlsx.pdf	ok	5f363798091fc0af3913aef8ac57aa4a8d49be2d56f0ec2bddd102e5631da8ad	77204
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab__docx.pdf	ok	1ed47f85244673e8ba67c09a0f553e79f83eb454735cb15845244e02a68b3d2d	28825
021_advanced_excel_area__xlsx.pdf	ok	640ad0e0d759caa585c33e16c35e186fa1f64036dcf5bf899bb386783e211add	39499
021_advanced_powerpoint_doughnut__pptx.pdf	ok	88343e37201bdd2dbf7113e28a6e08e11118ec6f3553c5aeeec4be18fde97a5d	44283
021_advanced_word_chart_report__docx.pdf	ok	005be6129564da04ef6defb867b5a271a1d5ffa259c4138852ea08df6ff8f5b1	57308
022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e__pptx.pdf	ok	ff9b81f866500706509a94bbbcb9b5e220800ec458c3b62159ad1d207a1af616	89977
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874__xlsx.pdf	ok	9431ec3ea4ae9fd916e053049e146f8afc1c4f01c0a97f55c6b475c035a05d37	47858
022_Unit_Circle_Chart_Circle_A_and_B_19dbf275__docx.pdf	ok	9be54972f8310f6570ab4c4041cc62a638c998c97de0ca22949953054ef91f6a	35862
022_advanced_excel_scatter__xlsx.pdf	ok	99bdef95bb80b8e7215edf8bd38bb71e0711eb04d99eefadd890a49c31e2f67a	42551
022_advanced_powerpoint_area__pptx.pdf	ok	f281f7684d8ff6e744568b9a8a651582946489ab35de89fb7aebfd07c8600095	43807
022_advanced_word_chart_report__docx.pdf	ok	38d2d8f133f7c584a74214a5f3080492351c8b16a2168ca893b047bd4ed8f4a3	59259
023_5-Step_Progress_Cards_91d5ff57__pptx.pdf	ok	b4963b6545393bcdd0a1fd007b4c29da3bc82b8368db826245986eb0f68d79b1	92222
023_Unit_Circle_Chart_Circular_Percentage_790f7b75__docx.pdf	ok	43970b4e29c85fe58a5f47c9a53a56b2829ba435cc64d2bfe94c4f754e3d2e65	29489
023_Waterfall_Chart_Template_for_Excel_349f7689__xlsx.pdf	ok	38ad738e33fd8bdf61c8f6f9e5fa548336f0e1840f89fae6d2fdc1dfe95bc57f	74916
023_advanced_excel_bubble__xlsx.pdf	ok	759c1966107e9934a3405e9e32aba64237554f07ccf2605d63c24dc8edadb539	42067
023_advanced_powerpoint_scatter__pptx.pdf	ok	f8aca5f077fb745864cce5befd868170e3face9b2ddc00394c1614865374b177	36727
023_advanced_word_chart_report__docx.pdf	ok	79f9ae7c29a08e2a572d96e5c2282f546c5247c8b9b2396c87057f8334708a7b	63556
024_5-Step_Segmented_Cycle_Process_c8ca37ef__pptx.pdf	ok	2eebe92b1535a7dc361b2a592a580089d8b97947d4b7d527723e3cf686008aad	94913
024_Free_Kids_Chore_Chart_Template_ad74bb34__xlsx.pdf	ok	b0e7feba0e8b01ba624923b3ec254a3faca23a3d7aa78c318e04024638a47448	77740
024_Unit_Circle_Chart_Colorful_Circles_7c92601e__docx.pdf	ok	1ab102de5b31a8f92b430a202b0a7d7fa6469f178cff24699fabcb25011844ce	24297
024_advanced_excel_radar__xlsx.pdf	ok	9f03b3f0113dfe33af8169d83c09c3218d1cf8e65e25eff4bc4a57e804fd322c	40087
024_advanced_powerpoint_bubble__pptx.pdf	ok	8651d1b391d1ada267e36a866eb2ecf5240b798d7356f51d18cc540e8ae45f3a	36297
024_advanced_word_chart_report__docx.pdf	ok	6ac830e018c794dd9400bf0266e2fa841852de205f501a82c6ac3dd6b9bfceea	63594
025_6-Option_Color_Wheel_Diagram_27e1c74d__pptx.pdf	ok	49770bd96293a55a0cf173185104f09143256135f70eec7358fa3faf6ff752b2	93893
025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93__xlsx.pdf	ok	41852a61e18d0a80b31bcc29f2474eff61ac147b4a149423d01550ad8dcc25f2	125700
025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892__docx.pdf	ok	06a227d4ba57788ef02859988d7d38afcfa3b0de1e4ffdaa96a29b237a654866	28680
025_advanced_excel_bar__xlsx.pdf	ok	f73e80eba1326c13e3582c58b1dfd4609e39ae3e22941bb22e4f5d2dd22415da	39245
025_advanced_powerpoint_bar__pptx.pdf	ok	c1c621fb99e9fd969dc3dc66964e4580c026c2ae6906e4474d921aec05244260	44322
025_advanced_word_chart_report__docx.pdf	ok	6092b3ca5a01981d807f6cfc6762db58c4f11d6abe4ed4f4e9c9aaa661261097	63871
026_6-Part_Hexagon_Radial_Diagram_b8ca3f40__pptx.pdf	ok	f2483514f8d08527e929db7c4553ed49257011cd87fb26953a3f932c5de3a1a6	116240
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1__xlsx.pdf	ok	d579f6ca649ee0a53bd71926b172082d559123958017505976f486dce3a5ec78	76584
026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1__docx.pdf	ok	c23bdd3181fcf78685904430d8819d3860ac366bb8a1b2827756992f02076edd	36982
026_advanced_excel_line__xlsx.pdf	ok	c848cc273e07014b400dbc5e4f07d46a7b1fa67dcc67607d2f2050da3a3d97fb	50355
026_advanced_powerpoint_column__pptx.pdf	ok	85784c1973bdd65673338ab86db7a1d62fb760459e51738c75f390aa1c8ac371	44919
026_advanced_word_chart_report__docx.pdf	ok	72c4152e102b6c82050052aa8dd4b5178d12405f5fc2a5f5fc4d7eff3a05284e	59651
027_6-Point_Dual_Hub_Comparison_13f9af30__pptx.pdf	ok	1972e2742de5d805b806e974829c85543f90ebcd3d67e3731aefa8a97106afa0	100201
027_Simple_personal_cash_flow_statement_675c6584__xlsx.pdf	ok	4fef247403ab6af241c8ddae7ef072c92e95194d28c08272d5f4b977a17395ea	83605
027_Unit_Circle_Chart_Graphical_Chart_5462a579__docx.pdf	ok	d54f8ab897605f4aac86136354b3ea78abe98de1aa1130e6447a453f4aee970b	34675
027_advanced_excel_pie__xlsx.pdf	ok	2b16a7eee3f92f5cd6ef7ccffd17e417bb429686f0ad38c8b5e35a6222f83aa3	38231
027_advanced_powerpoint_line__pptx.pdf	ok	16d7e36faff31fef138bf3d6e6399a9a41921d0e3afb81b9e950f2c6034e9a61	45398
027_advanced_word_chart_report__docx.pdf	ok	764afaf0e46027b006b96c965401b6646b09a070bdb81d31cdb626257fe78a9c	56182
028_8-Point_Dual_Hub_Comparison_d6c5dde5__pptx.pdf	ok	f46a595641e08bd0be1c7d230daed860ff7dcf6884ef94ba47637636b8b5719d	104736
028_Budget_summary_report_4aeefd13__xlsx.pdf	ok	c5df2505c242e69613596a1d624d46334d64941c2a4a904bb6a869e91720a508	75513
028_Unit_Circle_Chart_Optimized_Graph_83d9c756__docx.pdf	ok	95408b1e57361ac27951c271ab9a2e0a2be72606c8725873711646c1a96c06a2	33323
028_advanced_excel_doughnut__xlsx.pdf	ok	ad2a7c9d0ef13d20d8e49a520091aec8ecc1476d989984b5c66edf52ec9ce495	38134
028_advanced_powerpoint_pie__pptx.pdf	ok	34a38e00069d61edf138300d2fea0b803ec525cdd6ca5a970ba10cbcabeed294	44415
