reference /opt/libreoffice26.2/program/soffice -- LibreOffice 26.2.4.2 0229ac93fcf0d7cbc6376066c6f35021cef002dc
ours      /home/user/wt-wordsclose/dotnet/tools/Paperless.Cli/bin/Debug/net10.0/linux-x64/Paperless.Cli
fixture                             ref x    ref y    our x    our y  verdict
shape-through-fit-c15              200.00   300.00   200.00   300.00  agree
shape-through-hleft-c15              0.00   300.00     0.00   300.00  agree
shape-through-vabove-c15           200.00     0.00   200.00     0.00  agree
shape-through-vbody-c14            200.00    20.00   200.00    20.00  agree
shape-through-vbody-c15            200.00    20.00   200.00    20.00  agree
shape-tight-fit-c15                200.00   300.00   200.00   300.00  agree
shape-tight-hleft-c15                0.00   300.00     0.00   300.00  agree
shape-tight-vabove-c15             200.00     0.00   200.00     0.00  agree
shape-tight-vbody-c14              200.00    20.00   200.00    20.00  agree
shape-tight-vbody-c15              200.00    20.00   200.00    20.00  agree
shape-topAndBottom-fit-c15         200.00   300.00   200.00   300.00  agree
shape-topAndBottom-hleft-c15         0.00   300.00     0.00   300.00  agree
shape-topAndBottom-vabove-c15      200.00     0.00   200.00     0.00  agree
shape-topAndBottom-vbody-c14       200.00    20.00   200.00    20.00  agree
shape-topAndBottom-vbody-c15       200.00    20.00   200.00    20.00  agree
text-none-fit-c15                  200.00   300.00   200.00   300.00  agree
text-none-hdr-c15                  200.00    36.00   200.00    36.00  agree
text-none-hleft-c15                  0.00   300.00     0.00   300.00  agree
text-none-hright-c15               555.25   300.00   555.25   300.00  agree
text-none-vabove-c15               200.00     0.00   200.00     0.00  agree
text-none-vbelow-c15               200.00   822.00   200.00   822.00  agree
text-none-vbody-c14                200.00    20.00   200.00    20.00  agree
text-none-vbody-c15                200.00    20.00   200.00    20.00  agree
text-square-fit-c15                200.00   300.00   200.00   300.00  agree
text-square-hdr-c15                200.00    36.00   200.00    36.00  agree
text-square-hleft-c15                0.00   300.00     0.00   300.00  agree
text-square-hright-c15             495.25   300.00   555.25   300.00  dx +60.00 dy +0.00
text-square-vabove-c15             200.00     0.00   200.00     0.00  agree
text-square-vbelow-c15             200.00   801.75   200.00   822.00  dx +0.00 dy +20.25
text-square-vbody-c14              200.00    20.00   200.00    20.00  agree
text-square-vbody-c15              200.00    72.00   200.00    20.00  dx +0.00 dy -52.00
text-through-fit-c15               200.00   300.00   200.00   300.00  agree
text-through-hleft-c15               0.00   300.00     0.00   300.00  agree
text-through-vabove-c15            200.00     0.00   200.00     0.00  agree
text-through-vbody-c14             200.00    20.00   200.00    20.00  agree
text-through-vbody-c15             200.00    72.00   200.00    20.00  dx +0.00 dy -52.00
text-tight-fit-c15                 200.00   300.00   200.00   300.00  agree
text-tight-hleft-c15                 0.00   300.00     0.00   300.00  agree
text-tight-vabove-c15              200.00     0.00   200.00     0.00  agree
text-tight-vbody-c14               200.00    20.00   200.00    20.00  agree
text-tight-vbody-c15               200.00    72.00   200.00    20.00  dx +0.00 dy -52.00
text-topAndBottom-fit-c15          200.00   300.00   200.00   300.00  agree
text-topAndBottom-hleft-c15          0.00   300.00     0.00   300.00  agree
text-topAndBottom-vabove-c15       200.00     0.00   200.00     0.00  agree
text-topAndBottom-vbody-c14        200.00    20.00   200.00    20.00  agree
text-topAndBottom-vbody-c15        200.00    72.00   200.00    20.00  dx +0.00 dy -52.00
TOTAL agree 79 of 93
