run	shape	cats	size	cx	pitch_calib	text	advance	label_adv	lang	arrangement	lines	pitch_drawn
w12	one	5	11	7930000	119.884	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	turned	0	nan
w12	one	5	11	7970000	120.489	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	turned	0	nan
w12	one	5	11	8010000	121.094	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	turned	0	nan
w12	one	5	11	8012000	121.124	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	turned	0	nan
w12	one	5	11	8019200	121.233	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	turned	0	nan
w12	one	5	11	8026400	121.342	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	turned	0	nan
w12	one	5	11	8033600	121.450	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	turned	0	nan
w12	one	5	11	8040800	121.559	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	turned	0	nan
w12	one	5	11	8048000	121.668	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	upright	1	243.330
w12	one	5	11	8050000	121.698	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	upright	1	243.400
w12	one	5	11	8090000	122.303	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	upright	1	244.605
w12	one	5	11	8130000	122.908	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	upright	1	245.810
w12	one	5	11	8170000	123.512	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	upright	1	247.043
w12	one	5	11	8210000	124.117	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	upright	1	248.234
w12	one	5	11	8250000	124.722	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	upright	1	249.438
w13	two	5	11	3200000	48.377	nnnnnnnn	47.285	67.626	de-DE	turned	0	42.076
w13	two	5	11	3262500	49.322	nnnnnnnn	47.285	67.626	de-DE	turned	0	43.124
w13	two	5	11	3325000	50.267	nnnnnnnn	47.285	67.626	de-DE	turned	0	44.166
w13	two	5	11	3387500	51.212	nnnnnnnn	47.285	67.626	de-DE	turned	0	45.222
w13	two	5	11	3450000	52.156	nnnnnnnn	47.285	67.626	de-DE	turned	0	46.264
w13	two	5	11	3512500	53.101	nnnnnnnn	47.285	67.626	de-DE	turned	0	47.320
w13	two	5	11	3575000	54.046	nnnnnnnn	47.285	67.626	de-DE	turned	0	48.368
w13	two	5	11	3637500	54.991	nnnnnnnn	47.285	67.626	de-DE	upright	2	54.987
w13	two	5	11	3700000	55.936	nnnnnnnn	47.285	67.626	de-DE	upright	2	55.943
w13	two	5	11	6400000	96.754	nnnnnnnnnnnnnnnn	94.570	114.911	de-DE	turned	0	nan
w13	two	5	11	6525000	98.644	nnnnnnnnnnnnnnnn	94.570	114.911	de-DE	turned	0	nan
w13	two	5	11	6650000	100.533	nnnnnnnnnnnnnnnn	94.570	114.911	de-DE	turned	0	nan
w13	two	5	11	6775000	102.423	nnnnnnnnnnnnnnnn	94.570	114.911	de-DE	turned	0	nan
w13	two	5	11	6900000	104.313	nnnnnnnnnnnnnnnn	94.570	114.911	de-DE	turned	0	nan
w13	two	5	11	7025000	106.203	nnnnnnnnnnnnnnnn	94.570	114.911	de-DE	turned	0	nan
w13	two	5	11	7150000	108.092	nnnnnnnnnnnnnnnn	94.570	114.911	de-DE	upright	2	108.094
w13	two	5	11	7275000	109.982	nnnnnnnnnnnnnnnn	94.570	114.911	de-DE	upright	2	109.979
w13	two	5	11	7400000	111.872	nnnnnnnnnnnnnnnn	94.570	114.911	de-DE	upright	2	111.871
w14	two	5	11	3512500	53.101	nnnnnnnn	47.285	67.626	de-DE	turned	0	47.320
w14	two	5	11	3512500	53.101	nnnnnnnn	47.285	67.626	en-US	turned	0	47.320
