path	base_sha	after_sha	moved	base_pages	after_pages	ref_pages	base_glyphs	after_glyphs	ref_glyphs
slides/chartset-008/pptx/100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.pptx	fbffff30c574e500	fbffff30c574e500	no	5	5	5	2032	2032	2032
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	92c5e260cff41eb9	92c5e260cff41eb9	no	3	3	3	1117	1117	1117
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	b1958127891bf5c9	b1958127891bf5c9	no	3	3	3	1421	1421	1421
slides/chartset-010/pptx/093_Insightful_Zoom_Chart_22b5464e.pptx	bdc574ef3b049bdc	bdc574ef3b049bdc	no	3	3	3	1831	1831	1830
slides/chartset-012/pptx/061_Four-Stage_Serpentine_Chart_05699efe.pptx	b68418e13ab9add6	b68418e13ab9add6	no	3	3	3	397	397	396
slides/done-007/pptx/bitesize-writing-a-report.pptx	ab2852b235875f26	ab2852b235875f26	no	15	15	15	3791	3791	3791
slides/done-007/pptx/flying-by-numbers-presentation.pptx	855a296ac8f8a1e0	855a296ac8f8a1e0	no	10	10	10	2379	2379	2379
slides/done-010/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	4b1274ab03828c0a	4b1274ab03828c0a	no	24	24	24	23961	23961	23961
slides/done-011/pptx/171128IPAP.pptx	50f80f8da3957ac6	50f80f8da3957ac6	no	40	40	40	25455	25455	25433
slides/done-011/pptx/1_Country-Updates_DRC_English.pptx	4fd06c16c6806577	4fd06c16c6806577	no	16	16	16	4281	4281	4281
slides/done-011/pptx/3492.pptx	a6d4138ee81308b3	a6d4138ee81308b3	no	22	22	22	6835	6835	6833
slides/done-011/pptx/3495.pptx	336e3e4ca262482c	336e3e4ca262482c	no	26	26	26	4375	4375	4375
slides/done-012/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	521c3847450af89b	521c3847450af89b	no	39	39	39	17994	17994	17958
slides/done-015/pptx/RPA P4 - Advanced Material.pptx	17da34beb65ac00c	17da34beb65ac00c	no	20	20	20	8749	8749	8744
slides/extra-001/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx	fb2e1af180d7af0b	fb2e1af180d7af0b	no	30	30	30	5868	5868	5868
words/ceiling-001/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	d182ac6640bfae03	d182ac6640bfae03	no	14	14	15	18420	18420	17751
words/chartset-001/docx/clustered-column-result.docx	6aaec4418343a175	6aaec4418343a175	no	1	1	1	389	389	389
words/chartset-001/docx/clustered-column-template.docx	c6769d456c24c6b2	c6769d456c24c6b2	no	1	1	1	200	200	200
words/chartset-001/docx/pie-chart-result.docx	1461f2808435cce4	1461f2808435cce4	no	1	1	1	234	234	234
words/chartset-001/docx/pie-chart-template.docx	7b16495403c59a92	7b16495403c59a92	no	1	1	1	73	73	73
words/chartset-009/docx/027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	b0b7a7e768366e54	b0b7a7e768366e54	no	1	1	1	1557	1557	1557
words/chartset-010/docx/023_Unit_Circle_Chart_Circular_Percentage_790f7b75.docx	1b3258e67eba02a0	1b3258e67eba02a0	no	1	1	1	550	550	550
words/chartset-010/docx/028_Unit_Circle_Chart_Optimized_Graph_83d9c756.docx	8be00b80101cb9f7	8be00b80101cb9f7	no	1	1	1	1220	1220	1218
words/chartset-011/docx/029_Unit_Circle_Chart_Pie_Theme_8a922142.docx	09647b73dbcc12c5	09647b73dbcc12c5	no	1	1	1	568	568	568
words/chartset-012/docx/021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	84e6a5056f4f7b78	84e6a5056f4f7b78	no	1	1	1	549	549	549
