# words = tokens carrying at least one Unicode letter or digit; rawwords = pdftotext | wc -w
# NOT comparable to any scoreboard recorded before 2026-08-13 — see dotnet/probes/gate-01/results.md
path	ext	pages	words	fonts	unemb	verdict	rawwords
words/chartset-013/docx/091_Business_Case_Template_Complete_Guide_cb91a140.docx	docx	5/5	586/586	3/3	0	match	628/628
words/chartset-014/docx/011_Project_Timeline_Template_Beautiful_Theme_2336e680.DOCX	docx	1/1	158/158	4/4	0	match	158/158
words/chartset-014/docx/011_Project_Timeline_Template_Beautiful_Theme_2336e680.docx	docx	1/1	158/158	4/4	0	match	158/158
words/chartset-014/docx/014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	docx	1/1	168/168	3/3	0	match	168/168
words/chartset-014/docx/045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c.docx	docx	1/1	42/42	3/3	0	match	47/47
words/chartset-014/docx/062_Vocabulary_Concept_Map_Template_2f7c1c09.docx	docx	1/1	11/11	2/2	0	match	11/11
words/chartset-014/docx/063_Foot_Reflexology_Chart_Complete_Guide_cf5ed992.docx	docx	1/1	75/75	2/2	0	match	75/75
words/chartset-014/docx/070_Storyboard_Template_Blank_Format_fc41673a.docx	docx	1/1	8/8	2/2	0	match	44/44
words/chartset-014/docx/071_Storyboard_Template_Cartoon_Theme_ae113de2.docx	docx	1/1	21/21	2/2	0	match	41/41
words/chartset-014/docx/076_Storyboard_Template_Gray_Theme_1e5fd5e5.docx	docx	1/1	2/2	3/3	0	match	32/32
words/chartset-014/docx/078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f.docx	docx	1/1	54/54	3/3	0	match	84/84
words/chartset-014/docx/079_Storyboard_Template_Simple_Format_81653703.docx	docx	1/1	24/24	2/2	0	match	45/45
words/done-001/doc/FAA-2013-0422-0009_attachment_1.doc	doc	7/7	1845/1845	1/1	0	match	1907/1907
words/done-001/doc/GLACIERBG.ETT.doc	doc	1/1	408/408	3/3	0	match	411/411
words/done-001/doc/LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc	doc	1/1	104/104	3/3	0	match	128/128
words/done-001/doc/advert-for-draft-decision-airbus-epr-bm3965ia-v006.doc	doc	2/2	385/385	3/3	0	match	387/387
words/done-001/doc/foca_form_1.doc	doc	3/3	1672/1672	2/2	0	match	1687/1687
words/done-001/docx/CMTA_Airport_Transportation.docx	docx	1/1	255/255	2/2	0	match	260/260
words/done-001/docx/Pre-Application_Letter_of_Intent_Example.docx	docx	1/1	350/350	2/2	0	match	350/350
words/done-001/docx/Sample_PAO-PSO_91-113_Letter.docx	docx	1/1	307/307	2/2	0	match	317/317
words/done-001/docx/Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION.docx	docx	1/1	297/297	3/3	0	match	300/300
words/done-001/docx/private-hire-operators-licensed.docx	docx	2/2	237/237	2/2	0	match	239/239
words/done-002/doc/Bull01-06-Reserve Training Standards.doc	doc	6/6	1482/1482	2/2	0	match	1483/1483
words/done-002/doc/FMRBullletinB-28.doc	doc	2/2	461/461	3/3	0	match	461/461
words/done-002/doc/prison-population-bulletin-june.doc	doc	4/4	1425/1425	2/2	0	match	1440/1440
words/done-002/docx/AUWG min 4-3-24 final.docx	docx	2/2	647/647	2/2	0	match	649/649
words/done-002/docx/CSCRS_Technical-Report-Documentation-Page-with-instructions.docx	docx	2/2	719/719	3/3	0	match	720/720
words/done-002/docx/FAA-High-Level-Org-Chart.docx	docx	3/3	673/673	4/4	0	match	812/812
words/done-002/docx/Interview-mit-Manfred1-Müller.docx	docx	2/2	801/801	2/2	0	match	805/805
words/done-002/docx/easa-form-1.docx	docx	5/5	1421/1421	2/2	0	match	1434/1433
words/done-002/docx/lk03_17.docx	docx	2/2	367/367	2/2	0	match	373/373
words/done-002/docx/s33song-beverlyactproductionofdocuments.docx	docx	2/2	571/571	3/3	0	match	572/572
words/done-003/doc/10795.doc	doc	4/4	853/857	3/4	0	match	860/864
words/done-003/doc/96-3-clement-data.doc	doc	7/7	1469/1469	4/4	0	match	1513/1513
words/done-003/doc/DEP2008-1900.doc	doc	4/4	998/998	5/4	0	match	1011/1011
words/done-003/doc/II.1.2_Hypoxia.doc	doc	13/13	3729/3729	2/2	0	match	3738/3738
words/done-003/doc/Temp16.doc	doc	2/2	669/669	3/3	0	match	671/671
words/done-003/docx/191216_Lesefassung_Nachtflugregelung.docx	docx	3/3	907/907	4/4	0	match	910/910
words/done-003/docx/2015-April-SWIM_Users_Forum-Q&A.docx	docx	5/5	1701/1700	4/4	0	match	1705/1704
words/done-003/docx/DRX-Ascend System Course Description.docx	docx	2/2	475/475	4/4	0	match	512/512
words/done-003/docx/Technical_Issue_Report_Form.docx	docx	2/2	341/341	4/4	0	match	406/406
words/done-003/docx/mde087077~283.docx	docx	4/4	987/987	3/3	0	match	997/997
words/done-004/doc/07-04.doc	doc	3/3	1069/1069	5/5	0	match	1078/1078
words/done-004/doc/2ca950374241722b8ea7c132dfce63ae.doc	doc	3/3	949/949	4/4	0	match	1051/1051
words/done-004/doc/RobertQ_Service.doc	doc	4/4	547/547	2/2	0	match	587/587
words/done-004/doc/opic 5--Case Studies Movie and Aviation Industries.doc	doc	5/5	1194/1194	5/5	0	match	1196/1196
words/done-004/docx/1528039320.docx	docx	1/1	289/289	2/2	0	match	292/292
