id	pages	ink_before	ink_after	delta
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx	8/8	2.52	1.65	-0.87
030_advanced_excel_scatter__xlsx	3/3	0.40	0.24	-0.16
031_advanced_excel_bubble__xlsx	3/3	0.63	0.02	-0.61
032_advanced_excel_radar__xlsx	3/3	0.19	0.12	-0.07
033_advanced_excel_bar__xlsx	3/3	1.52	0.06	-1.46
034_advanced_excel_line__xlsx	3/3	0.35	0.00	-0.35
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx	4/4	3.31	0.81	-2.50
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx	5/5	8.39	1.84	-6.55
053_Personal_asset_inventory_5446d84b__xlsx	-	UNSCOREABLE		
056_Quarterly_sale_report_baa6bb0d__xlsx	4/4	0.25	0.08	-0.17
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	7/7	3.54	2.90	-0.64
068_Blue_inventory_list_Use_this_template_f9908489__xlsx	4/4	0.15	0.05	-0.10
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	9/9	2.01	1.57	-0.44
AFS-400_Contacts__xlsx	48/48	0.39	0.39	+0.00
Air_Boss_Master_List__xlsx	5/5	2.47	2.04	-0.43
CSJU List of Recipients of funds 2013-2020__xlsx	97/97	65.04	64.89	-0.15
DynamicBubbleChart__xlsx	5/5	9.05	4.55	-4.50
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls	24/24	14.16	8.24	-5.92
Foreign_SA-CAT-I_and_CAT-II-III_Pub_0__xlsx	16/16	4.06	0.10	-3.96
INDEX_Digital_Transformation_Toolkits__xls	24/24	1.50	0.72	-0.78
Keywords_Mapping_Graphs_and_Charts__xlsx	46/46	14.34	10.79	-3.55
PC1000__xls	13/13	2.77	3.14	+0.37
SIL_TDB605__xls	44/44	1.99	2.17	+0.18
SIL_TDB609__xls	50/50	2.73	2.95	+0.22
SIL_TDB648__xlsx	90/90	9.51	3.44	-6.07
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA__xlsx	4/4	0.69	0.10	-0.59
TDA_Smoke-Detectors__xlsx	28/28	12.67	2.03	-10.64
TOGAF9-Tool-ConfReqts-CSQ__xls	28/28	16.88	16.76	-0.12
Template Pilot Logbook JAR-FCL V3.0__xls	38/38	4.18	4.66	+0.48
arp-sop-300-Exhibit-A-Table-Templates__xlsx	11/11	1.71	1.58	-0.13
fm-provider-service-measures__xlsx	38/38	21.95	21.67	-0.28
microsoft_learn_multi_chart_examples__xlsx	5/5	8.98	0.34	-8.64
orbus_togaf_tool_csq__xls	75/75	51.74	51.20	-0.54
TOTAL		316.40	227.20	-89.20
