stem	pagesB	pagesA	pagesR	wordsB	wordsA	wordsR	hashB	hashA	hashR	verdictB	verdictA	bytesChanged
Part_129_Operators	23	23	23	4270	4270	4272	-	-	-	unembedded	unembedded	0
Part_375_Operators	19	19	19	2188	2188	2190	-	-	-	unembedded	unembedded	0
Patent Index 2024 - Top 100 applicants 2024	1	1	1	441	441	442	-	-	-	unembedded	unembedded	0
Performance	13	13	13	2156	2156	2124	-	-	-	unembedded	unembedded	0
Praktikastellen_-_chinesischsprachiger_Kulturraum	34	34	34	1769	1769	1761	-	-	-	unembedded	unembedded	0
Published_Issuances_2024	1	1	1	457	457	479	-	-	-	words,unembedded	words,unembedded	0
RCO_VOR_Master_List_082824	80	80	80	15510	15510	14900	-	-	-	words,unembedded	words,unembedded	0
REDAC_SCHEDULE_RPD_135	1	1	1	171	171	171	-	-	-	unembedded	unembedded	0
REDAC_SCHEDULE_RPD_137	2	2	2	497	497	497	-	-	-	unembedded	unembedded	0
RMP 2011-2014 and Inventory	38	38	38	18457	18457	18426	-	-	-	unembedded	unembedded	0
RPA-Budgets-FY-17-19-20	4	4	4	667	667	667	-	-	-	unembedded	unembedded	0
RPD 155 REDAC SCHEDULE 2014-04-02	1	1	1	139	139	139	-	-	-	unembedded	unembedded	0
RVSM_Non_approved_list_2025_84c0b3f4ac	2	2	2	393	393	393	-	-	-	unembedded	unembedded	0
RegChangeReport	12	12	12	3121	3121	3120	-	-	-	unembedded	unembedded	0
SIL_TDB605	44	44	44	4127	4127	4041	-	-	-	words,unembedded	words,unembedded	0
SIL_TDB609	50	50	50	5222	5222	5137	-	-	-	unembedded	unembedded	0
SIL_TDB648	89	89	90	7645	7645	7496	-	-	-	pages,unembedded	pages,unembedded	0
SLSA_Directory_031423	10	10	10	5591	5591	5716	-	-	-	words,unembedded	words,unembedded	0
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA	4	4	4	546	546	540	-	-	-	unembedded	unembedded	0
STC_WebList	4372	4372	4372	1296590	1296590	1294280	-	-	-	unembedded	unembedded	0
SectorAdvisoryGroupandStrategyBoards	7	7	7	2400	2400	2400	-	-	-	unembedded	unembedded	0
Special-Procedures_2025-07-10	22	22	22	27921	27921	27921	-	-	-	unembedded	unembedded	0
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing	18	18	18	40600	40600	40583	-	-	-	unembedded	unembedded	0
