path	added	era	libreoffice	dejavu	risk	cited_by
dotnet/probes/sheets-r24/after-charts-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r24/base-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r25/README.md	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r25/after-drawing-continue-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r25/base-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r25/clock-dependence.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r25/reach-base-vs-after.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r25/reproducibility-back-to-back.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r25/reproducibility-pinned.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r25/sweep-binary-equals-final-tree.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r26/README.md	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r26/after-chartface-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r26/after-drawing-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r26/after-rowheight-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r26/base-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r27/README.md	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r27/after-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r27/base-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r27/reach-colour.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r27/reach-font.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r30/README.md	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r30/after-margin-whole-track.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r30/base-whole-track.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r31/README.md	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/sheets-r31/base-whole-track.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r31/final-tree-partial.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r31/final-whole-track.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r31/reach-intermediate.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r32/README.md	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/sheets-r32/base-whole-track.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r32/final-whole-track.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r32/reach.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r33/README.md	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/sheets-r33/base-whole-track.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r33/final-whole-track.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r33/interim-band-only.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r33/reach2.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r33/splice-rerun.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r34/README.md	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/sheets-r34/base-whole-track.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r34/final-whole-track.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r34/reach.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r34/reach2.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r35/PREDICTION.md	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/sheets-r35/README.md	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/sheets-r35/base-whole-track.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r35/reach-sheets.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r35/reach-slides.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r35/reach-words.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r35/solidus-whole-track.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r35/verdict-words-slides.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r36/PREDICTION.md	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/sheets-r36/README.md	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/sheets-r36/after-glyph-fallback-parity.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r36/baseline-parity.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r36/cross-track-slides.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r36/cross-track-words.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r36/ref-only-faces-census.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r37/PREDICTION.md	2026-08-09	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/TODO.batches.md
dotnet/probes/sheets-r37/README.md	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r37/RESULTS.md	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r37/baseline-rows.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r37/ink-base-vs-final.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r37/reach-decoration.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r37/reach-final.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r37/score-final.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r40/PREDICTION.md	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r40/README.md	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r40/base-whole-track.tsv	2026-08-09	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r50-chartex/prediction.md	2026-08-20	current	26.2.4.2	present	current	-
