pages	167	167
page	ref_w	ref_h	ref_o	ours_w	ours_h	ours_o	ref_an	ours_an	same_o
148	792.0	612.0	L	792.0	612.0	L	2628	2640	yes
149	792.0	612.0	L	792.0	612.0	L	2624	2636	yes
150	792.0	612.0	L	792.0	612.0	L	2625	2637	yes
151	792.0	612.0	L	792.0	612.0	L	2740	2752	yes
152	792.0	612.0	L	792.0	612.0	L	2554	2566	yes
153	792.0	612.0	L	792.0	612.0	L	2626	2638	yes
154	792.0	612.0	L	792.0	612.0	L	2625	2637	yes
155	792.0	612.0	L	792.0	612.0	L	2548	2560	yes
156	792.0	612.0	L	792.0	612.0	L	2548	2560	yes
157	792.0	612.0	L	792.0	612.0	L	2560	2573	yes
158	612.0	792.0	P	612.0	792.0	P	868	870	yes
159	612.0	792.0	P	612.0	792.0	P	2491	2501	yes
160	612.0	792.0	P	612.0	792.0	P	1825	1825	yes
161	612.0	792.0	P	612.0	792.0	P	1829	1831	yes
162	612.0	792.0	P	612.0	792.0	P	1810	1810	yes
163	612.0	792.0	P	612.0	792.0	P	1974	1988	yes
164	612.0	792.0	P	612.0	792.0	P	101	101	yes
165	612.0	792.0	P	612.0	792.0	P	1295	1295	yes
166	612.0	792.0	P	612.0	792.0	P	143	143	yes
167	612.0	792.0	P	612.0	792.0	P	1804	1804	yes
