family	batch	path	ext	score	source	previous_batch	status	kind
sheets	done-006	sheets/done-006/xlsx/SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA.xlsx	xlsx	225.1	xlsx/SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA.xlsx	batch-006	done	
sheets	done-006	sheets/done-006/xlsx/register-changes-in-may-2024---adujsted.xlsx	xlsx	227.9	xlsx/register-changes-in-may-2024---adujsted.xlsx	batch-006	done	
sheets	done-006	sheets/done-006/xlsx/Infotabelle_WLAN im Flugzeug.xlsx	xlsx	229.4	xlsx/Infotabelle_WLAN im Flugzeug.xlsx	batch-006	done	
sheets	done-006	sheets/done-006/xlsx/Published_Issuances_2024.xlsx	xlsx	249.1	xlsx/Published_Issuances_2024.xlsx	batch-006	done	
sheets	done-006	sheets/done-006/xlsx/dragon-175066A.xlsx	xlsx	253.2	xlsx/dragon-175066A.xlsx	batch-007	done	
sheets	done-006	sheets/done-006/xlsx/AFS-400_Contacts.xlsx	xlsx	255.6	xlsx/AFS-400_Contacts.xlsx	batch-007	done	
sheets	done-006	sheets/done-006/xlsx/Performance.xlsx	xlsx	261.0	xlsx/Performance.xlsx	batch-007	done	
sheets	done-007	sheets/done-007/xlsx/ecopy of 2016 statistical bulletin_public finance statistics_final.xlsx	xlsx	264.8	xlsx/ecopy of 2016 statistical bulletin_public finance statistics_final.xlsx	batch-007	done	
sheets	done-007	sheets/done-007/xlsx/jobs-bulletin-51-22-december-2025.xlsx	xlsx	283.2	xlsx/jobs-bulletin-51-22-december-2025.xlsx	batch-007	done	
sheets	done-007	sheets/done-007/xlsx/114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication.xlsx	xlsx	301.2	xlsx/114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication.xlsx	batch-007	done	
sheets	done-007	sheets/done-007/xlsx/wiley-cancelled-title-list.xlsx	xlsx	310.8	xlsx/wiley-cancelled-title-list.xlsx	batch-007	done	
sheets	done-007	sheets/done-007/xlsx/National-Finalists-2024-1.xlsx	xlsx	318.1	xlsx/National-Finalists-2024-1.xlsx	batch-007	done	
sheets	done-007	sheets/done-007/xlsx/essd-16-3433-2024-t02.xlsx	xlsx	324.7	xlsx/essd-16-3433-2024-t02.xlsx	batch-007	done	
sheets	done-007	sheets/done-007/xlsx/hdss-bulletin-index-2019-2022.xlsx	xlsx	327.6	xlsx/hdss-bulletin-index-2019-2022.xlsx	batch-008	done	
sheets	done-007	sheets/done-007/xlsx/SLSA_Directory_031423.xlsx	xlsx	336.4	xlsx/SLSA_Directory_031423.xlsx	batch-008	done	
sheets	done-008	sheets/done-008/xlsx/RVSM_Non_approved_list_2025_84c0b3f4ac.xlsx	xlsx	348.1	xlsx/RVSM_Non_approved_list_2025_84c0b3f4ac.xlsx	batch-008	done	
sheets	done-008	sheets/done-008/xlsx/template-ECSPR-notifications.xlsx	xlsx	353.7	xlsx/template-ECSPR-notifications.xlsx	batch-008	done	
sheets	done-008	sheets/done-008/xlsx/Computer and Software Services_50 State Comparison.xlsx	xlsx	415.2	xlsx/Computer and Software Services_50 State Comparison.xlsx	batch-008	done	
sheets	done-008	sheets/done-008/xlsx/commander-authorisation-tasks-spreadsheet-october-2025.xlsx	xlsx	416.2	xlsx/commander-authorisation-tasks-spreadsheet-october-2025.xlsx	batch-008	done	
sheets	done-008	sheets/done-008/xlsx/2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit.xlsx	xlsx	420.1	xlsx/2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit.xlsx	batch-008	done	
sheets	done-008	sheets/done-008/xlsx/Company_Seniority_Date_Calculator.xlsx	xlsx	421.4	xlsx/Company_Seniority_Date_Calculator.xlsx	batch-009	done	
sheets	done-008	sheets/done-008/xlsx/airports_6.xlsx	xlsx	426.0	xlsx/airports_6.xlsx	batch-009	done	
