slides/batch-005/pptx/c_291533.pptx	Carlito-Bold,Carlito-Regular,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-Italic,OpenSymbol	Carlito-Bold,Carlito-Regular,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-Italic,OpenSymbol
slides/batch-005/pptx/manufacturing_process_simulation_working_group_overview_2023.pptx	Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold	Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationSans
slides/batch-006/ppt/ITE106-Chapter 4.ppt	Carlito-Bold,Carlito-BoldItalic,Carlito-Italic,Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic	Carlito-Bold,Carlito-BoldItalic,Carlito-Italic,Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic
slides/batch-006/ppt/Lepore.ppt	LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,LiberationSerif	LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,LiberationSerif
slides/batch-006/ppt/pods05.ppt	DejaVuSans,DejaVuSans-Bold,LiberationMono,LiberationMono-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-Italic,LiberationSerif,LiberationSerif-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,LiberationMono,LiberationMono-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-Italic,LiberationSerif,LiberationSerif-Bold,OpenSymbol
slides/batch-006/ppt/ws_prod-g-doc-Events-r-6.-ESM.ppt	DejaVuSans,DejaVuSans-Bold,LiberationSerif,LiberationSerif-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSerif,LiberationSerif-Bold,OpenSymbol
slides/batch-006/pptx/Course Selection 2025-26 Current Grade 09.pptx	DejaVuSans,DejaVuSans-Bold	DejaVuSans,DejaVuSans-Bold,OpenSymbol
slides/batch-006/pptx/NAS-Infrastructure-Roadmaps-HSI.pptx	Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold	Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold
slides/batch-006/pptx/Stakeholders-v08052017 - v5.pptx	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationMono,LiberationSans	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationMono,LiberationSans,OpenSymbol
slides/batch-006/pptx/iris07.12.12.pptx	Carlito-Bold,Carlito-BoldItalic,Carlito-Italic,Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-Italic,LiberationSerif,LiberationSerif-Italic	Carlito-Bold,Carlito-BoldItalic,Carlito-Italic,Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-Italic,LiberationSerif,LiberationSerif-Italic
slides/batch-006/pptx/social-media-app-bulletin-january.pptx	Carlito-Bold,Carlito-BoldItalic,Carlito-Italic,Carlito-Regular	Carlito-Bold,Carlito-BoldItalic,Carlito-Italic,Carlito-Regular
slides/batch-006/pptx/wopanets-innovationdays-06-16.pptx	LiberationSans,LiberationSans-Bold,OpenSymbol	LiberationSans,LiberationSans-Bold,OpenSymbol
slides/batch-007/ppt/1-secretariat.ppt	DejaVuSans-Bold,LiberationSans-Bold	DejaVuSans,DejaVuSans-Bold,LiberationSans-Bold
slides/batch-007/ppt/architecture6.ppt	Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-Italic,OpenSymbol	Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-Italic,OpenSymbol
slides/batch-007/ppt/introduction_to_bea_tuxedo.ppt	DejaVuSansMono,DejaVuSansMono-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSerif,LiberationSerif-Bold	DejaVuSansMono,DejaVuSansMono-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSerif,LiberationSerif-Bold
slides/batch-007/pptx/Boeing 737 Max - Group 5.pptx	DejaVuSans	DejaVuSans
slides/batch-007/pptx/Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS.pptx	DejaVuSans,LiberationSans,LiberationSans-Bold,OpenSymbol	DejaVuSans,LiberationSans,LiberationSans-Bold,OpenSymbol
slides/batch-007/pptx/PAL Block Intro 2023.pptx	Carlito-Bold,Carlito-Regular,DejaVuSans,LiberationSans,LiberationSans-Bold,LiberationSans-Italic,OpenSymbol	Carlito-Bold,Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-Italic,OpenSymbol
slides/batch-007/pptx/REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2.pptx	Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic	Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,OpenSymbol
slides/batch-007/pptx/bitesize-writing-a-report.pptx	Carlito-Bold,Carlito-Italic,Carlito-Regular,DejaVuSans-Bold,DejaVuSerif-Bold,LiberationSans,LiberationSans-Bold	Carlito-Bold,Carlito-Italic,Carlito-Regular,DejaVuSans-Bold,LiberationSans
