label	count	thickness_pt
Q232	2	0.3120
Q233	1	0.3970
Q234	1	0.3970
Q235	2	0.3120
Q236	1	0.5100
Q237	1	0.5100
Q238	2	0.3120
Q239	1	0.5100
Q240	1	0.5100
Q241	2	0.3970
Q242	1	0.5950
Q243	1	0.5950
Q244	2	0.3970
Q245	1	0.5950
Q246	1	0.7090
Q247	2	0.5100
Q248	1	0.7090
Q249	1	0.7940
Q250	2	0.5100
Q251	1	0.7940
Q252	1	0.7940
Q253	2	0.5950
Q254	1	0.9070
Q255	1	0.9070
Q256	2	0.5950
Q257	1	0.9920
Q258	1	1.1060
Q259	2	0.7940
Q260	1	1.1910
Q261	1	1.3040
Q262	2	0.9070
Q263	1	1.3890
Q264	1	1.5870
Q265	2	1.1060
Q266	1	1.8140
Q267	1	2.2110
Q268	2	1.5020
Q269	1	2.4090
