document	catAx_parts	cached_categories	multiword_labels	longest_word	chart_part_langs	catAx_subtree_langs	non_ascii_labels	sample_labels
sheets/chartset-014/xlsx/027_Simple_personal_cash_flow_statement_675c6584.xlsx	4	40	17	19	en-US	en-US	0	Other 1 | Other 2 | Garbage | Vehicle Tax/Fees | Insurance
sheets/chartset-014/xlsx/038_Baby_growth_chart_bb9cd672.xlsx	2	160	160	6	en-US	en-US	0	At birth | 4 days | 7 days | 11 days | 14 days
sheets/chartset-014/xlsx/039_Baby_growth_tracker_e295ae56.xlsx	2	160	160	6	en-US	en-US	0	At birth | 4 days | 7 days | 11 days | 14 days
sheets/chartset-014/xlsx/045_Check_register_with_chart_4becb8a0.xlsx	1	7	1	10	en-US	en-US	0	Mortgage | Credit card | Groceries | Investment | Utilities
sheets/chartset-014/xlsx/048_Expense_trends_budget_18d1e8ba.xlsx	1	60	0	3	en-US	-	0	Jan | Feb | Mar | Apr | May
sheets/chartset-014/xlsx/064_Small_business_cash_flow_Use_this_template_0a640756.xlsx	1	26	0	9	en-US	en-US	0	Beginning | Jan-xx | Feb-xx | Mar-xx | Apr-xx
sheets/done-010/xlsx/Keywords_Mapping_Graphs_and_Charts.xlsx	11	120	113	15	en-GB;en-US	en-US	0	Risk Management & Governance | CyBOK Introduction | Web & Mobile Security | Law & Regulation | Security Operations & Incident Management
slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	1	110	110	13	en-GB;en-US	-	0	LEOP [0000] | OBC Status Check [1100] | MMU Status Check [1200] | S-Band Status Check [1400] | S-Band Toggle Check [1410]
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	3	20	11	15	en-US;fr-FR	fr-FR	4	Thérapeutique | Examens complémentaires | Thérapeutique | Examens complémentaires | [08 h ; 10 h[
slides/ceiling-002/pptx/Demick_JetBlue.pptx	8	400	0	6	en-US	en-US	0	2006 | 2007 | 2008 | 2009 | 2010
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	18	299	17	11	en-US	en-US	0	2016 | 2017E | 2020E | DAL | AAL
slides/chartset-001/pptx/bar_chart.pptx	1	16	0	8	en-US;ja-JP	ja-JP	0	January | February | March | April | January
slides/chartset-001/pptx/combo_bar_line_chart.pptx	2	24	0	2	en-US;ja-JP	ja-JP	0	Q1 | Q2 | Q3 | Q4 | Q1
slides/chartset-001/pptx/line_chart.pptx	1	12	0	2	en-US;ja-JP	ja-JP	0	Q1 | Q2 | Q3 | Q4 | Q1
slides/chartset-001/pptx/stacked_area_chart.pptx	1	12	0	8	en-US;ja-JP	ja-JP	0	January | February | March | April | May
slides/chartset-001/pptx/stacked_bar_chart.pptx	1	12	0	8	en-US;ja-JP	ja-JP	0	January | February | March | April | May
slides/chartset-002/pptx/001_advanced_powerpoint_bar.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-002/pptx/006_advanced_powerpoint_area.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-002/pptx/014_advanced_powerpoint_area.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-002/pptx/017_advanced_powerpoint_bar.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-002/pptx/030_advanced_powerpoint_area.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-002/pptx/033_advanced_powerpoint_bar.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-003/pptx/002_advanced_powerpoint_column.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
