document	set	turned_base	turned_noDict	glyphfills_base	glyphfills_noDict	alnum_base	alnum_noDict	text_layout_differs
slides/chartset-002/pptx/001_advanced_powerpoint_bar.pptx	catAx	0	0	2	2	334	334	no
slides/chartset-002/pptx/006_advanced_powerpoint_area.pptx	catAx	0	0	2	2	328	328	no
slides/chartset-002/pptx/014_advanced_powerpoint_area.pptx	catAx	0	0	2	2	330	330	no
slides/chartset-002/pptx/017_advanced_powerpoint_bar.pptx	catAx	0	0	2	2	339	339	no
slides/chartset-002/pptx/030_advanced_powerpoint_area.pptx	catAx	0	0	2	2	327	327	no
slides/chartset-002/pptx/033_advanced_powerpoint_bar.pptx	catAx	0	0	2	2	328	328	no
slides/chartset-003/pptx/002_advanced_powerpoint_column.pptx	catAx	0	0	2	2	335	335	no
slides/chartset-003/pptx/003_advanced_powerpoint_line.pptx	catAx	0	0	18	18	332	332	no
slides/chartset-003/pptx/009_advanced_powerpoint_bar.pptx	catAx	0	0	2	2	339	339	no
slides/chartset-003/pptx/010_advanced_powerpoint_column.pptx	catAx	0	0	2	2	332	332	no
slides/chartset-003/pptx/011_advanced_powerpoint_line.pptx	catAx	0	0	18	18	328	328	no
slides/chartset-003/pptx/019_advanced_powerpoint_line.pptx	catAx	0	0	18	18	331	331	no
slides/chartset-003/pptx/027_advanced_powerpoint_line.pptx	catAx	0	0	18	18	326	326	no
slides/chartset-004/pptx/018_advanced_powerpoint_column.pptx	catAx	0	0	2	2	329	329	no
slides/chartset-004/pptx/022_advanced_powerpoint_area.pptx	catAx	0	0	2	2	329	329	no
slides/chartset-004/pptx/025_advanced_powerpoint_bar.pptx	catAx	0	0	2	2	323	323	no
slides/chartset-004/pptx/026_advanced_powerpoint_column.pptx	catAx	0	0	2	2	332	332	no
slides/chartset-006/pptx/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx	catAx	0	0	0	0	2628	2628	no
slides/chartset-007/pptx/035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx	catAx	0	0	24	24	1482	1482	no
slides/chartset-007/pptx/047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx	catAx	0	0	147	147	2720	2720	no
slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	catAx	0	0	0	0	1009	1009	no
slides/chartset-008/pptx/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.pptx	catAx	0	0	152	24	1449	1585	yes
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	catAx	0	0	0	0	1117	1117	no
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	catAx	0	0	0	0	1421	1421	no
slides/done-010/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	catAx	56	56	9	9	23961	23961	no
slides/done-011/pptx/171128IPAP.pptx	catAx	11	11	89	89	25433	25433	no
slides/done-011/pptx/1_Country-Updates_DRC_English.pptx	catAx	0	0	72	72	4281	4281	no
slides/done-011/pptx/3492.pptx	catAx	0	0	26	26	6904	6904	no
slides/done-012/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	catAx	0	0	425	425	17958	17958	no
words/chartset-001/docx/clustered-column-result.docx	catAx	0	0	3	3	389	389	no
words/chartset-001/docx/clustered-column-template.docx	catAx	0	0	3	3	200	200	no
sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	chart-no-catAx	0	0	0	0	412	412	no
sheets/chartset-001/xlsx/022_advanced_excel_scatter.xlsx	chart-no-catAx	0	0	0	0	415	415	no
sheets/chartset-001/xlsx/028_advanced_excel_doughnut.xlsx	chart-no-catAx	0	0	12	12	372	372	no
sheets/chartset-002/xlsx/003_advanced_excel_pie.xlsx	chart-no-catAx	0	0	22	22	449	449	no
sheets/chartset-002/xlsx/007_advanced_excel_bubble.xlsx	chart-no-catAx	0	0	2	2	410	410	no
sheets/chartset-002/xlsx/011_advanced_excel_pie.xlsx	chart-no-catAx	0	0	22	22	433	433	no
sheets/chartset-002/xlsx/012_advanced_excel_doughnut.xlsx	chart-no-catAx	0	0	12	12	393	393	no
sheets/chartset-002/xlsx/027_advanced_excel_pie.xlsx	chart-no-catAx	0	0	22	22	427	427	no
sheets/chartset-002/xlsx/030_advanced_excel_scatter.xlsx	chart-no-catAx	0	0	0	0	415	415	no
sheets/chartset-003/xlsx/004_advanced_excel_doughnut.xlsx	chart-no-catAx	0	0	12	12	372	372	no
sheets/chartset-003/xlsx/014_advanced_excel_scatter.xlsx	chart-no-catAx	0	0	0	0	424	424	no
sheets/chartset-003/xlsx/015_advanced_excel_bubble.xlsx	chart-no-catAx	0	0	2	2	419	419	no
sheets/chartset-003/xlsx/020_advanced_excel_doughnut.xlsx	chart-no-catAx	0	0	12	12	372	372	no
sheets/chartset-003/xlsx/031_advanced_excel_bubble.xlsx	chart-no-catAx	0	0	2	2	398	398	no
sheets/chartset-004/xlsx/019_advanced_excel_pie.xlsx	chart-no-catAx	0	0	22	22	446	446	no
sheets/chartset-004/xlsx/023_advanced_excel_bubble.xlsx	chart-no-catAx	0	0	2	2	416	416	no
sheets/chartset-004/xlsx/DynamicBubbleChart.xlsx	chart-no-catAx	0	0	186	186	1651	1651	no
sheets/chartset-006/xlsx/006_Contextures_chart_sample_afa23b53.xlsx	chart-no-catAx	0	0	0	0	795	795	no
sheets/chartset-006/xlsx/044_Cash_flow_forecast_Use_this_template_b8fa1f35.xlsx	chart-no-catAx	0	0	0	0	2200	2200	no
sheets/chartset-007/xlsx/054_Problem_analysis_with_Pareto_chart_11058329.xlsx	chart-no-catAx	0	0	0	0	299	299	no
sheets/chartset-008/xlsx/051_Manufacturer_defect_analysis_53db27ea.xlsx	chart-no-catAx	0	0	20	20	320	320	no
sheets/chartset-009/xlsx/018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a.xlsx	chart-no-catAx	0	0	72	72	4754	4754	no
sheets/chartset-010/xlsx/047_Date_tracker_Gantt_chart_bf34f3a8.xlsx	chart-no-catAx	6	6	10	10	3141	3141	no
sheets/chartset-010/xlsx/062_Run_chart_cb7476ea.xlsx	chart-no-catAx	0	0	19	19	650	650	no
sheets/chartset-010/xlsx/065_Weight_loss_tracker_ff1c89af.xlsx	chart-no-catAx	0	0	120	120	308	308	no
sheets/chartset-012/xlsx/002_Contextures_chart_sample_f605e7bc.xlsx	chart-no-catAx	0	0	0	0	1933	1933	no
sheets/chartset-013/xlsx/001_Contextures_chart_sample_b089bc34.xlsx	chart-no-catAx	18	18	0	0	3714	3714	no
sheets/chartset-013/xlsx/019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	chart-no-catAx	0	0	72	72	3374	3374	no
sheets/chartset-013/xlsx/059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.xlsx	chart-no-catAx	0	0	13	13	1935	1935	no
slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx	chart-no-catAx	0	0	56	56	5728	5728	no
slides/chartset-001/pptx/008_advanced_powerpoint_bubble.pptx	chart-no-catAx	0	0	0	0	284	284	no
slides/chartset-001/pptx/015_advanced_powerpoint_scatter.pptx	chart-no-catAx	0	0	0	0	283	283	no
slides/chartset-001/pptx/016_advanced_powerpoint_bubble.pptx	chart-no-catAx	0	0	0	0	287	287	no
slides/chartset-001/pptx/031_advanced_powerpoint_scatter.pptx	chart-no-catAx	0	0	0	0	278	278	no
slides/chartset-001/pptx/scatter_chart.pptx	chart-no-catAx	0	0	15	15	105	105	no
slides/chartset-002/pptx/007_advanced_powerpoint_scatter.pptx	chart-no-catAx	0	0	0	0	282	282	no
slides/chartset-002/pptx/023_advanced_powerpoint_scatter.pptx	chart-no-catAx	0	0	0	0	283	283	no
slides/chartset-002/pptx/024_advanced_powerpoint_bubble.pptx	chart-no-catAx	0	0	0	0	286	286	no
slides/chartset-002/pptx/032_advanced_powerpoint_bubble.pptx	chart-no-catAx	0	0	0	0	284	284	no
slides/chartset-003/pptx/005_advanced_powerpoint_doughnut.pptx	chart-no-catAx	0	0	5	5	301	301	no
slides/chartset-003/pptx/012_advanced_powerpoint_pie.pptx	chart-no-catAx	0	0	5	5	308	308	no
slides/chartset-003/pptx/028_advanced_powerpoint_pie.pptx	chart-no-catAx	0	0	5	5	300	300	no
slides/chartset-004/pptx/004_advanced_powerpoint_pie.pptx	chart-no-catAx	0	0	5	5	300	300	no
slides/chartset-004/pptx/013_advanced_powerpoint_doughnut.pptx	chart-no-catAx	0	0	5	5	297	297	no
slides/chartset-004/pptx/020_advanced_powerpoint_pie.pptx	chart-no-catAx	0	0	5	5	300	300	no
slides/chartset-004/pptx/021_advanced_powerpoint_doughnut.pptx	chart-no-catAx	0	0	5	5	304	304	no
slides/chartset-004/pptx/029_advanced_powerpoint_doughnut.pptx	chart-no-catAx	0	0	5	5	300	300	no
