ident	verdict	ours_pages	ref_pages	ours_words	ref_words
CSJU List of Recipients of funds 2013-2020__xlsx	match	97	97	46489	46489
Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted__xlsx	match	147	147	29796	29796
Chicago.List.2025__xlsx	match	3	3	1332	1347
Company_Seniority_Date_Calculator__xlsx	match	12	12	2909	2918
Computer and Software Services_50 State Comparison__xlsx	match	26	26	2800	2801
Copy of EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals(WEB)_ListofValidUSBASAorganisations_2023-01-13-04-33-14__xlsx	match	245	245	28183	28183
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0)__xlsx	match	91	91	15616	15616
Data-Architecture-Tool-Fit-Assessment-Template__xlsx	match	22	22	2218	2219
EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0__xlsx	words	114	114	32260	34602
EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31__xlsx	match	92	92	28353	28378
EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36__xlsx	match	254	254	29790	29790
EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32__xlsx	words	19	19	4933	5174
EASA_PRODUCT_LIST_-_ALL__xlsx	match	264	264	96133	96133
ECA Sinters__xls	match	163	163	38306	38610
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls	match	24	24	8339	8345
EU_145s_with_TCCA_approval_-_31.01.2025__xlsx	match	14	14	2442	2442
Estero Rotary Awards__xlsx	match	2	2	212	212
ExampleWhiteListData__xlsx	match	6	6	819	819
FAA-2019-0995-0002_attachment_2__xlsx	match	33	33	9995	9994
FMMO_NMPF_37C__xlsx	match	1	1	215	215
FY2018_Q4_UAS_Sightings__xlsx	match	302	302	55795	55825
FY2021-AIP-grants__xlsx	match	58	58	89297	89300
FY2023-AIP-grants__xlsx	match	33	33	51041	51045
Foreign_SA-CAT-I_and_CAT-II-III_Pub_0__xlsx	match	16	16	1496	1495
Geo_Abschlussarbeiten__xlsx	match	3	3	635	635
Global_Market_Forecast_2016-2035_Airbus_Data_Set__xlsx	match	567	567	73405	73403
Hazard Analysis Template__xls	match	3	3	679	679
INDEX_Digital_Transformation_Toolkits__xls	match	24	24	1957	1957
Infotabelle_WLAN im Flugzeug__xlsx	match	4	4	363	363
Keywords_Mapping_Graphs_and_Charts__xlsx	match	46	46	4511	4519
Laser Report 2024 FOIA __Oct (1)__xlsx	match	506	506	116956	116735
List of EQS securities_0__xls	match	104	104	33008	33008
List-of-Members-August-2017__xlsx	match	10	10	1674	1674
Liste-Zertifizierung-ChemKlimaschutzV-RPT__xls	match	5	5	1332	1332
MajCh-Digital-Certificate-Publication-Report__xlsx	match	328	328	66901	66901
MinCh-Digital-Certificate-Publication-Report__xlsx	match	179	179	112059	111969
NAARMO_Mexico_RVSM_Approvals__xlsx	match	16	16	6790	6790
NPA_21_21_Sentenced_Comments__xls	match	2	2	966	974
NPIAS_2007_App_A__xls	match	128	128	39764	39764
NPIAS_App_A__xls	match	124	124	33612	33612
National-Finalists-2024-1__xlsx	match	30	30	4155	4155
National-Reports__xlsx	match	6	6	1225	1225
NorwegianXPensionXFundXanalysisXexportsXandXLAWS-1__xls	match	8	8	729	729
ODs-February-2022-Airbus-Commercial-Aircraft__xlsx	match	175	175	15707	15715
P1636e__xls	match	2	2	344	344
PA_Delaware__xls	match	122	122	135663	135663
PBN Matrix NAAs (V01)__xlsx	match	25	25	5549	5547
PC1000__xls	match	13	13	856	855
Part_129_Operators__xlsx	match	23	23	4270	4272
Part_375_Operators__xlsx	match	19	19	2188	2190
Patent Index 2024 - Top 100 applicants 2024__xlsx	match	1	1	441	441
Performance__xlsx	match	13	13	2123	2123
Praktikastellen_-_chinesischsprachiger_Kulturraum__xls	match	34	34	1761	1761
Published_Issuances_2024__xlsx	match	1	1	479	479
RCO_VOR_Master_List_082824__xlsx	match	80	80	14896	14901
REDAC_SCHEDULE_RPD_135__xls	match	1	1	171	171
REDAC_SCHEDULE_RPD_137__xls	match	2	2	497	497
RMP 2011-2014 and Inventory__xls	match	38	38	18396	18396
RPA-Budgets-FY-17-19-20__xls	match	4	4	667	667
RPD 155 REDAC SCHEDULE 2014-04-02__xls	match	1	1	139	139
RVSM_Non_approved_list_2025_84c0b3f4ac__xlsx	match	2	2	431	431
RegChangeReport__xlsx	match	12	12	3137	3114
SIL_TDB605__xls	match	44	44	4039	4040
SIL_TDB609__xls	match	50	50	5139	5140
SIL_TDB648__xlsx	pages	89	90	7499	7500
SLSA_Directory_031423__xlsx	match	10	10	5782	5786
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA__xlsx	match	4	4	538	540
STC_WebList__xlsx	match	4372	4372	1286034	1284926
SectorAdvisoryGroupandStrategyBoards__xls	match	7	7	2400	2400
Special-Procedures_2025-07-10__xls	match	22	22	27923	27926
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing__xlsx	match	18	18	40420	40411
T0A0D0000090006XLSE__xls	match	162	162	40379	40382
TDA_Smoke-Detectors__xlsx	match	28	28	3766	3767
TICAPCapability_Final__xls	match	17	17	4907	4897
TK-Syllabus-Comparison-Document-v2__xlsx	match	1235	1235	255734	255761
TOGAF9-Tool-ConfReqts-CSQ__xls	match	28	28	23611	23513
Template Pilot Logbook JAR-FCL V3.0__xls	words	38	38	1587	1531
Travel-Cost-Estimate-Calculator__xlsx	match	3	3	193	193
UAE Type Accepted Aircraft Models__xlsx	match	6	6	760	760
UASEventsNov2014-Aug2015__xls	match	523	523	64056	63831
Upload__hvv_Linie_150_2023__xlsx	match	1	1	237	237
VOR Candidate Discontinuance List 2026-01-08__xlsx	match	7	7	1558	1558
WEBSITE-RESOURCE-LIST-by-CATEGORY-4-6-18-341pm__xlsx	match	1	1	521	521
WG7_NCWF_Skills_Table__xls	match	44	44	8511	8512
ZenithAviation_AuctionList__xls	match	33	33	6621	6621
activespecs__xls	match	266	266	46582	46583
afn-afn-20250801-fy25-jan25-mar25__xlsx	match	270	270	72796	72843
aircraft_analysis-2018-06__xlsx	match	42	42	7193	7193
aircraft_analysis_2016-04-27__xls	match	46	46	11676	11671
airports_6__xlsx	match	17	17	11022	11039
alle einzeln__xlsx	match	186	186	64184	64184
ans_mappings_of_eccairs_terms__xlsx	match	191	191	27894	27896
apron-area__xls	match	3	3	417	417
arp-sop-300-Exhibit-A-Table-Templates__xlsx	match	11	11	3664	3665
atspp_pay_tables__xlsx	match	101	101	12929	12929
capa-liste-nse-1__xls	match	108	108	20202	20205
certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013__xlsx	match	343	343	36722	36722
certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013__xlsx	match	82	82	13193	13201
commander-authorisation-tasks-spreadsheet-october-2025__xlsx	match	23	23	13077	13078
cy01_state__xls	match	36	36	20444	20441
cy06_primary_np_comm__xls	match	11	11	7074	7074
cy10_primary_enplanements__xls	match	12	12	5263	5263
data_20121018181533__xls	match	57	57	12480	12480
disclosures_ecm__xls	match	1	1	3517	3517
dragon-175066A__xlsx	match	13	13	7330	7329
e-pass-contact-details-template__xlsx	match	4	4	27	27
ecopy of 2016 statistical bulletin_public finance statistics_final__xlsx	match	17	17	5368	5404
edb-emissions-databank v27-NewFormat (web)__xlsx	match	368	368	76243	76202
einvoice-summary-worksheet__xlsx	match	2	2	107	107
environment-edb-docs-edb-emissions-databank__xls	match	195	195	63953	63955
essd-16-3433-2024-t02__xlsx	match	4	4	431	431
esurf-12-135-2024-t01__xlsx	match	1	1	123	124
flightstandards-doc-Cross-reference-table_version02__xlsx	match	464	464	61192	61155
flying-log-passenger-23rd-september-2014__xls	match	7	7	4033	4031
fm-provider-service-measures__xlsx	match	38	38	21245	21348
fse_identification_form__xlsx	words	3	3	440	427
fy20-may20-sep20__xlsx	match	96	96	51303	51303
fy2010-aip-grants__xls	match	100	100	49881	49881
fy2011-aip-grants__xls	match	93	93	43201	43201
grants-2005__xls	match	201	201	34032	34036
hdss-bulletin-index-2019-2022__xlsx	match	24	24	3611	3626
jobs-bulletin-51-22-december-2025__xlsx	match	12	12	1807	1807
june_2025_published__xlsx	match	15	15	12936	12936
laufende-nip-vorhaben-hyland__xls	match	18	18	6471	6471
links-2026__xlsx	match	45	45	2829	2829
npias_2009_appA__xls	match	73	73	49705	49706
oltl-bulletin-59-26-03-ptr-sc-registration-form-for-oltl-approved-software__xlsx	match	2	2	84	84
orbus_togaf_tool_csq__xls	pages,words	33	75	32183	46780
permit-applications-determined-july-2015__xls	match	1	1	1315	1315
programs contact list as of 07-01-10__xls	match	3	3	946	943
redac-sas-201503-fy17-research-portfolio__xlsx	match	2	2	734	734
register-changes-in-may-2024---adujsted__xlsx	match	10	10	784	784
sectors-defense-and-aerospace__xlsx	match	449	449	22990	22997
seihon_zassi_kikou_20221215__xlsx	match	84	84	48256	48257
sistem-rekod-markah-srm-_-rekod-master__xlsx	match	31	31	5854	5854
template-ECSPR-notifications__xlsx	match	26	26	288	288
tk-syllabus-comparison-document-v5__xlsx	match	855	855	234648	234666
underlying-holdings-emea-en_gb-monthly-holdings-state-street-emu-esg-screened-index-equity-fund__xls	match	15	15	4983	4988
wiley-cancelled-title-list__xlsx	match	60	60	7582	7582
