              face    pt |  ref asc  ref h | 600/mm100 max  720/mm100 max  720/mm100 split  8640/mm100 max  8640/mm100 split  8640/mm100 sum  96/mm100 max  exact (tree)
  DejaVu Sans Mono   7.5 |      247    311 | -1/-1  +0/+0  +0/+0  -1/-3  -1/-3  -1/-3  -9/-20  -1/-3
  DejaVu Sans Mono   8.0 |      261    328 | +1/+2  +0/+0  +0/+0  +1/+0  +1/+0  +1/+0  +4/+16  +1/+1
  DejaVu Sans Mono   8.5 |      279    350 | +0/+1  +0/+0  +0/+0  -1/-1  -1/-1  -1/-1  -14/-6  -1/-1
  DejaVu Sans Mono   9.0 |      296    370 | +0/+3  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -5/+0  -1/+0
  DejaVu Sans Mono   9.5 |      310    388 | -1/+1  +0/+0  +0/+0  +1/+2  +1/+2  +1/+2  +8/+9  +1/+2
  DejaVu Sans Mono  10.0 |      328    413 | -2/-2  +0/+0  +0/+0  +0/-2  +0/-2  +0/-2  -10/-16  -1/-2
  DejaVu Sans Mono  10.5 |      342    430 | +1/+2  +0/+0  +0/+0  +2/+1  +2/+1  +2/+1  +2/-7  +2/+1
  DejaVu Sans Mono  11.0 |      360    452 | +0/+1  +0/+0  +0/+0  +0/+0  +0/-1  +0/+0  +10/+24  +0/+0
  DejaVu Sans Mono  11.5 |      377    473 | +0/+1  +0/+0  +0/-1  +0/+0  +0/+0  +0/+0  -7/+3  +0/-1
  DejaVu Sans Mono  12.0 |      392    491 | +2/+5  +0/+0  +0/+0  +1/+2  +1/+2  +1/+1  +5/+12  +1/+2
  DejaVu Sans Mono  12.5 |      409    512 | +2/+5  +0/+0  +0/-1  +0/+1  +0/+1  +0/+1  +14/+17  +0/+1
  DejaVu Sans Mono  13.0 |      427    536 | -4/-7  +0/+0  +0/+0  -1/-2  -1/-2  -1/-2  -4/-7  -1/-2
  DejaVu Sans Mono  13.5 |      441    554 | -1/-4  +0/+0  +0/+0  +1/+0  +1/+0  +1/+0  +9/+2  +1/+0
  DejaVu Sans Mono  14.0 |      459    575 | +2/+5  +0/+0  +0/+0  -1/+0  -1/-1  -1/+0  +17/+7  -1/+0
  DejaVu Sans Mono  14.5 |      476    596 | -2/+1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +0/-14  -1/-1
  DejaVu Sans Mono  15.0 |      490    614 | +1/+0  +0/+0  +0/-1  +1/+2  +1/+2  +1/+2  +13/+21  +1/+2
  DejaVu Sans Mono  15.5 |      508    639 | +0/-4  +0/+0  +0/+0  +0/-2  +0/-2  +0/-2  -5/-4  +0/-2
  DejaVu Sans Mono  16.0 |      526    660 | -5/-8  +0/+0  +0/+0  -3/-4  -3/-4  -3/-4  -23/-25  -2/-3
  DejaVu Sans Mono  16.5 |      540    678 | -2/-5  +0/+0  +0/+0  +0/+0  +0/-1  +0/+0  -11/-17  +0/+0
  DejaVu Sans Mono  17.0 |      557    699 | +2/+0  +0/+0  +0/-1  +0/+0  +0/-1  +0/+0  -1/-11  +0/-1
  DejaVu Sans Mono  17.5 |      572    717 | +4/+3  +0/+0  +0/+0  +1/+2  +1/+2  +1/+1  -16/-29  +1/+2
  DejaVu Sans Mono  18.0 |      589    737 | -1/+0  +0/+0  +0/+0  +0/+2  +0/+2  +0/+2  -7/+4  +0/+2
  DejaVu Sans Mono  18.5 |      607    762 | -2/-4  +0/+0  +0/+0  -1/-2  -1/-2  -1/-2  +2/+6  -1/-2
  DejaVu Sans Mono  19.0 |      621    780 | +1/-1  +0/+0  +0/+0  +1/+0  +1/+0  +1/+0  -12/-12  +1/+0
  DejaVu Sans Mono  19.5 |      639    801 | +0/-1  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -4/-7  +0/+0
  DejaVu Sans Mono  20.0 |      656    822 | +0/-1  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +5/-2  -1/-1
  DejaVu Sans Mono  20.5 |      670    840 | +3/+2  +0/+0  +0/-1  +1/+2  +1/+2  +1/+1  -9/-20  +1/+2
  DejaVu Sans Mono  21.0 |      688    864 | -2/-4  +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  +0/+9  +0/-2
  DejaVu Sans Mono  21.5 |      706    886 | -3/-5  +0/+0  +0/+0  -3/-4  -3/-4  -3/-4  +8/+14  -2/-3
  DejaVu Sans Mono  22.0 |      720    903 | +0/-1  +0/+0  +0/+0  +1/+1  +1/+1  +1/+1  -6/-3  +0/+0
  DejaVu Sans Mono  22.5 |      737    924 | +4/+3  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +4/+2  +0/+0
  DejaVu Sans Mono  23.0 |      751    942 | +3/+3  +0/+0  +0/+0  +2/+2  +2/+2  +2/+2  +16/+11  +2/+3
  DejaVu Sans Mono  23.5 |      769    963 | +1/+2  +0/+0  +0/+0  +1/+2  +1/+2  +1/+2  -2/-10  +1/+2
  DejaVu Sans Mono  24.0 |      787    988 | +0/-2  +0/+0  +0/+0  -1/-2  -1/-2  -1/-2  +7/+18  -1/-2
         IPAGothic   5.0 |      155    176 | +2/+2  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +4/+9  +0/+0
         IPAGothic   5.5 |      169    194 | +0/+1  +0/+0  +0/+0  +2/+0  +2/+0  +2/+0  -10/-9  +2/+0
         IPAGothic   6.0 |      187    212 | -1/+0  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -2/+0  -1/+0
         IPAGothic   6.5 |      201    229 | +2/+0  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +11/+9  +1/+0
         IPAGothic   7.0 |      219    247 | -3/-1  +0/+0  +0/+0  -2/+0  -2/+0  -2/+0  -7/-9  -2/+0
         IPAGothic   7.5 |      233    265 | +0/+2  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +5/+0  +0/+0
         IPAGothic   8.0 |      247    282 | +3/+2  +0/+0  +0/+0  +1/+0  +1/+0  +1/+0  +18/+9  +1/+0
         IPAGothic   8.5 |      265    300 | -3/+1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +0/-9  -1/+0
         IPAGothic   9.0 |      279    318 | +0/+0  +0/+0  +0/+0  +1/+0  +1/+0  +1/+0  +12/+0  +0/+0
         IPAGothic   9.5 |      296    335 | +0/-1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -5/+9  -1/+0
         IPAGothic  10.0 |      310    353 | -1/-2  +0/+0  +0/-1  +1/+0  +1/+0  +1/+0  -19/-9  +0/+0
         IPAGothic  10.5 |      325    371 | +1/-3  +0/+0  +0/+0  +1/-1  +1/-1  +1/-1  -7/+0  +1/-1
         IPAGothic  11.0 |      342    388 | +1/+2  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +2/+9  -1/+0
         IPAGothic  11.5 |      356    406 | +0/+1  +0/+0  +0/-1  +1/+0  +1/+0  +1/+0  -12/-9  +1/+0
         IPAGothic  12.0 |      374    423 | -1/+1  +0/+0  +0/+0  -2/+0  -2/+0  -2/+0  -4/+0  -2/+0
         IPAGothic  12.5 |      388    441 | +1/-1  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +9/+9  +0/+0
         IPAGothic  13.0 |      402    459 | +0/-2  +0/+0  +0/-1  +2/+0  +2/+0  +2/+0  -5/-9  +2/+0
         IPAGothic  13.5 |      420    476 | -1/-2  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +3/+0  -1/+0
         IPAGothic  14.0 |      434    494 | +2/+1  +0/+0  +0/+0  +1/+0  +1/+0  +1/+0  +16/+9  +1/+0
         IPAGothic  14.5 |      452    512 | -3/+1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -2/-9  -2/+0
         IPAGothic  15.0 |      466    530 | +0/+0  +0/+0  +0/+0  -1/-1  -1/-1  -1/-1  +10/-1  +0/-1
         IPAGothic  15.5 |      480    547 | +3/+0  +0/+0  +0/+0  +1/+0  +1/+0  +1/+0  -4/+9  +1/+0
         IPAGothic  16.0 |      497    564 | -2/-1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -21/-8  +0/+0
         IPAGothic  16.5 |      512    583 | +0/-3  +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  -9/-1  +0/-1
         IPAGothic  17.0 |      529    600 | +0/+1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +0/+9  -1/+0
         IPAGothic  17.5 |      543    617 | -1/+1  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -14/-8  +0/+0
         IPAGothic  18.0 |      557    635 | +2/+0  +0/+0  +0/+0  +2/+0  +2/+0  +2/+0  -1/+0  +2/+0
         IPAGothic  18.5 |      575    653 | +1/-1  +0/+0  +0/+0  -1/+0  -1/-1  -1/+0  +7/+8  -1/+0
         IPAGothic  19.0 |      589    670 | -1/-1  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -7/-9  +1/+0
         IPAGothic  19.5 |      607    688 | -2/+2  +0/+0  +0/+0  -2/+0  -2/+0  -2/+0  +2/+0  -2/+0
         IPAGothic  20.0 |      621    706 | +1/+1  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +14/+8  +0/+0
         IPAGothic  20.5 |      635    723 | +0/+1  +0/+0  +0/+0  +1/+0  +1/+0  +1/+0  +0/-9  +1/+0
         IPAGothic  21.0 |      653    741 | -1/+0  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +8/+0  -1/+0
         IPAGothic  21.5 |      667    759 | -2/-1  +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  +21/+8  +0/-1
         IPAGothic  22.0 |      684    776 | -2/-1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +4/-9  -1/+0
         IPAGothic  22.5 |      699    794 | +0/+2  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -11/+0  -1/+0
         IPAGothic  23.0 |      713    812 | +2/+1  +0/+0  +0/+0  +1/-1  +1/-1  +1/-1  +1/+8  +1/-1
         IPAGothic  23.5 |      730    829 | -2/+1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -16/-9  -1/+0
         IPAGothic  24.0 |      744    847 | +1/+0  +0/+0  +0/-1  +1/+0  +1/+0  +1/+0  -3/+0  +1/+0

measured 273 of 312 pairs, mode=rich
  600/mm100 max      ascent  66/273   line height  37/273
  720/mm100 max      ascent 273/273   line height 273/273
  720/mm100 split    ascent 273/273   line height 238/273
  8640/mm100 max     ascent  92/273   line height 105/273
  8640/mm100 split   ascent  92/273   line height  92/273
  8640/mm100 sum     ascent  92/273   line height 104/273
  96/mm100 max       ascent  20/273   line height  20/273
  exact (tree)       ascent  94/273   line height  96/273
