              face    pt |  ref asc  ref h | 600/mm100 max  600/mm100 split  600/mm100 sum  720/mm100 max  8640/mm100 max  8640/twip max  exact (tree)
   Lib Sans Italic  17.5 |      559    690 | +0/+0  +0/+0  +0/+0  -2/-2  +0/+0  -242/-299  +0/+0
   Lib Sans Italic  18.0 |      576    711 | +0/+0  +0/+0  +0/+0  -1/-2  -1/-1  -250/-309  -1/-1
   Lib Sans Italic  18.5 |      588    728 | +0/+0  +0/+0  +0/+0  +1/-1  +3/+2  -253/-315  +3/+1
   Lib Sans Italic  19.0 |      605    745 | +0/+0  +0/+0  +0/+0  +2/+3  +1/+3  -261/-320  +2/+4
   Lib Sans Italic  19.5 |      627    775 | +0/+0  +0/+0  +0/+0  -3/-6  -4/-6  -274/-339  -4/-6
   Lib Sans Italic  20.0 |      639    787 | +0/+0  +0/+0  +0/+0  +0/+0  +0/+2  -277/-340  +0/+2
   Lib Sans Italic  20.5 |      656    809 | +0/+0  +0/-1  +0/+0  +0/-1  -2/-1  -285/-351  -1/-1
   Lib Sans Italic  21.0 |      669    826 | +0/+0  +0/+0  +0/+0  +1/+3  +2/+2  -289/-357  +2/+2
   Lib Sans Italic  21.5 |      686    847 | +0/+0  +0/+0  +0/+0  +2/+3  +0/+0  -297/-366  +1/+1
   Lib Sans Italic  22.0 |      703    868 | +0/+0  +0/+0  +0/+0  -1/+0  +0/-1  -305/-376  +0/-1
   Lib Sans Italic  22.5 |      720    889 | +0/+0  +0/+0  +0/+0  +0/+0  -1/-2  -313/-386  -1/-2
   Lib Sans Italic  23.0 |      737    911 | +0/+0  +0/+0  +0/-1  -3/-4  -3/-5  -320/-396  -2/-4
   Lib Sans Italic  23.5 |      749    927 | +0/+0  +0/+0  +0/+0  +2/+1  +2/+0  -323/-401  +1/-1
   Lib Sans Italic  24.0 |      766    944 | +0/+0  +0/+0  +0/+0  +0/+2  +1/+3  -331/-407  +0/+1
      Caladea Bold   5.0 |      161    208 | +0/+0  +0/+0  +0/-1  -2/-3  -3/-5  -71/-93  -2/-5
      Caladea Bold   5.5 |      174    225 | +0/+0  +0/+0  +0/-1  +2/+1  +1/-1  -75/-98  +1/-1
      Caladea Bold   6.0 |      191    246 | +0/+0  +0/+0  +0/+0  +0/-2  +0/-2  -83/-108  +0/-2
      Caladea Bold   6.5 |      207    267 | +0/+0  +0/-1  +0/+0  +1/-2  -1/-4  -90/-117  -1/-4
      Caladea Bold   7.0 |      220    284 | +0/+0  +0/+0  +0/+0  +2/+2  +2/+0  -94/-123  +2/+0
      Caladea Bold   7.5 |      241    309 | +0/+0  +0/+0  +0/+0  -1/-2  -3/-4  -106/-136  -3/-5
      Caladea Bold   8.0 |      254    326 | +0/+0  +0/+0  +0/+0  +0/-1  +0/-1  -110/-142  +0/-1
      Caladea Bold   8.5 |      271    347 | +0/+0  +0/+0  +0/+0  +1/-1  -1/-2  -118/-151  -1/-2
      Caladea Bold   9.0 |      288    368 | +0/+0  +0/+0  +0/+0  -2/-1  -2/-2  -126/-161  -2/-3
