              face    pt |  ref asc  ref h | 600/mm100 max  720/mm100 max  720/mm100 split  8640/mm100 max  8640/mm100 split  8640/mm100 sum  96/mm100 max  exact (tree)
   Liberation Sans  24.0 |      766      0 | +0/+944  +0/+946  +0/+946  +1/+947  +1/+947  +1/+946  +1/+953  +0/+946
           Carlito   5.0 |      169      0 | +0/+216  +0/+215  +0/+215  -1/+215  -1/+215  -1/+215  +16/+238  -1/+215
           Carlito   5.5 |      183      0 | +3/+237  +0/+236  +0/+236  +2/+237  +2/+237  +2/+237  +2/+238  +2/+237
           Carlito   6.0 |      201      0 | +2/+258  +0/+258  +0/+257  +1/+259  +1/+259  +1/+259  +11/+265  +1/+258
           Carlito   6.5 |      219      0 | -3/+280  +0/+279  +0/+279  -1/+280  -1/+279  -1/+280  +19/+291  -1/+280
           Carlito   7.0 |      236      0 | -3/+301  +0/+303  +0/+303  -1/+302  -1/+301  -1/+302  +2/+291  -1/+301
           Carlito   7.5 |      250      0 | +4/+326  +0/+321  +0/+321  +2/+323  +2/+323  +2/+323  +15/+344  +2/+323
           Carlito   8.0 |      268      0 | +3/+347  +0/+342  +0/+342  +0/+344  +0/+344  +0/+344  -3/+344  +1/+345
           Carlito   8.5 |      286      0 | +2/+368  +0/+367  +0/+367  -1/+366  -1/+366  -1/+366  -21/+344  +0/+366
           Carlito   9.0 |      303      0 | -2/+386  +0/+388  +0/+388  +0/+389  +0/+389  +0/+388  -12/+370  -1/+388
           Carlito   9.5 |      318      0 | +0/+407  +0/+410  +0/+410  +1/+409  +1/+409  +1/+409  +0/+397  +1/+409
           Carlito  10.0 |      335      0 | -1/+428  +0/+430  +0/+430  +1/+431  +1/+431  +1/+431  -17/+397  +1/+431
           Carlito  10.5 |      353      0 | -2/+449  +0/+452  +0/+452  -1/+452  -1/+451  -1/+452  -9/+450  +0/+452
           Carlito  11.0 |      370      0 | +3/+479  +0/+476  +0/+476  +0/+474  +0/+474  +0/+474  +0/+476  -1/+474
           Carlito  11.5 |      385      0 | +0/+495  +0/+494  +0/+494  +2/+496  +2/+496  +2/+496  -15/+476  +1/+495
           Carlito  12.0 |      402      0 | +0/+516  +0/+515  +0/+515  +1/+516  +1/+516  +1/+516  -5/+503  +1/+517
           Carlito  12.5 |      420      0 | -1/+538  +0/+540  +0/+540  +0/+538  +0/+538  +0/+538  +3/+556  +0/+538
           Carlito  13.0 |      437      0 | -1/+559  +0/+561  +0/+560  +0/+560  +0/+560  +0/+560  -14/+556  +0/+560
           Carlito  13.5 |      455      0 | -2/+580  +0/+582  +0/+582  -2/+581  -2/+581  -2/+581  -5/+582  -2/+581
           Carlito  14.0 |      469      0 | +1/+601  +0/+603  +0/+603  +1/+603  +1/+603  +1/+603  +7/+609  +1/+603
           Carlito  14.5 |      487      0 | +0/+622  +0/+625  +0/+625  +1/+626  +1/+626  +1/+625  -11/+609  +0/+624
           Carlito  15.0 |      504      0 | +0/+648  +0/+646  +0/+645  +0/+646  +0/+646  +0/+646  -1/+635  +0/+646
           Carlito  15.5 |      522      0 | -1/+669  +0/+670  +0/+670  -1/+668  -1/+668  -1/+668  +7/+688  -1/+667
           Carlito  16.0 |      536      0 | +2/+690  +0/+688  +0/+688  +1/+688  +1/+688  +1/+688  -7/+688  +1/+689
           Carlito  16.5 |      554      0 | -4/+707  +0/+709  +0/+709  +0/+711  +0/+710  +0/+711  +2/+715  +0/+711
           Carlito  17.0 |      572      0 | +0/+733  +0/+734  +0/+734  -1/+732  -1/+732  -1/+732  +10/+741  -1/+732
