              face    pt |  ref asc  ref h | 600/mm100 max  600/mm100 split  600/mm100 sum  720/mm100 max  8640/mm100 max  8640/twip max  exact (tree)
           Carlito  10.5 |      351    449 | +0/+0  +0/-1  +0/+0  +2/+3  +1/+3  -151/-193  +2/+3
           Carlito  11.0 |      373    479 | +0/+0  +0/+0  +0/-1  -3/-3  -3/-5  -163/-210  -4/-6
           Carlito  11.5 |      385    495 | +0/+0  +0/+0  +0/+0  +0/-1  +2/+1  -166/-214  +1/+0
           Carlito  12.0 |      402    516 | +0/+0  +0/+0  +0/+0  +0/-1  +1/+0  -173/-222  +1/+1
           Carlito  12.5 |      419    538 | +0/+0  +0/+0  +0/+0  +1/+2  +1/+0  -181/-233  +1/+0
           Carlito  13.0 |      436    559 | +0/+0  +0/+0  +0/+0  +1/+2  +1/+1  -188/-241  +1/+1
           Carlito  13.5 |      453    580 | +0/+0  +0/+0  +0/+0  +2/+2  +0/+1  -196/-250  +0/+1
           Carlito  14.0 |      470    601 | +0/+0  +0/+0  +0/+0  -1/+2  +0/+2  -203/-259  +0/+2
           Carlito  14.5 |      487    622 | +0/+0  +0/+0  +0/+0  +0/+3  +1/+4  -211/-268  +0/+2
           Carlito  15.0 |      504    648 | +0/+0  +0/+0  +0/+0  +0/-2  +0/-2  -218/-281  +0/-2
           Carlito  15.5 |      521    669 | +0/+0  +0/+0  +0/+0  +1/+1  +0/-1  -226/-290  +0/-1
           Carlito  16.0 |      538    690 | +0/+0  +0/+0  +0/+0  -2/-2  -1/-2  -233/-299  -1/-1
           Carlito  16.5 |      550    707 | +0/+0  +0/+0  +0/+0  +4/+2  +4/+4  -236/-304  +4/+3
           Carlito  17.0 |      572    733 | +0/+0  +0/+0  +0/-1  +0/+1  -1/-1  -248/-318  -1/-1
           Carlito  17.5 |      588    754 | +0/+0  +0/-1  +0/+0  +1/+1  +0/+0  -255/-327  +0/+0
           Carlito  18.0 |      605    775 | +0/+0  +0/-1  +0/+0  -2/-2  +0/+1  -262/-335  +0/+1
           Carlito  18.5 |      622    796 | +0/+0  +0/+0  +0/+0  -1/+1  +0/+1  -270/-344  -1/+0
           Carlito  19.0 |      635    813 | +0/+0  +0/+0  +0/+0  +4/+6  +3/+5  -273/-349  +3/+5
           Carlito  19.5 |      656    842 | +0/+0  +0/+0  +0/+0  +0/-2  -1/-2  -285/-366  -1/-2
           Carlito  20.0 |      673    864 | +0/+0  +0/+0  +0/+0  -3/-3  -1/-2  -292/-375  -1/-3
           Carlito  20.5 |      690    885 | +0/+0  +0/+0  +0/+0  -2/-3  -2/-3  -300/-384  -1/-2
           Carlito  21.0 |      707    906 | +0/+0  +0/+0  +0/+0  -1/-2  -1/-1  -307/-393  -2/-2
           Carlito  21.5 |      720    923 | +0/+0  +0/+0  +0/+0  +3/+5  +2/+2  -310/-397  +2/+3
           Carlito  22.0 |      737    944 | +0/+0  +0/+0  +0/+0  +0/+1  +2/+4  -318/-407  +2/+3
           Carlito  22.5 |      758    970 | +0/+0  +0/+0  +0/-1  -3/-3  -2/-1  -329/-420  -2/-1
           Carlito  23.0 |      775    995 | +0/+0  +0/+0  +0/+0  -2/-3  -3/-5  -337/-433  -2/-4
           Carlito  23.5 |      792   1016 | +0/+0  +0/+0  +0/+0  -2/-4  -3/-4  -344/-442  -3/-4
           Carlito  24.0 |      804   1033 | +0/+0  +0/+0  +0/+0  +4/+1  +2/+1  -347/-447  +2/+0
           Caladea   5.0 |      161    208 | +0/+0  +0/+0  +0/-1  -2/-3  -3/-5  -71/-93  -2/-5
           Caladea   5.5 |      174    225 | +0/+0  +0/+0  +0/-1  +2/+1  +1/-1  -75/-98  +1/-1
           Caladea   6.0 |      191    246 | +0/+0  +0/+0  +0/+0  +0/-2  +0/-2  -83/-108  +0/-2
           Caladea   6.5 |      207    267 | +0/+0  +0/-1  +0/+0  +1/-2  -1/-4  -90/-117  -1/-4
           Caladea   7.0 |      220    284 | +0/+0  +0/+0  +0/+0  +2/+2  +2/+0  -94/-123  +2/+0
           Caladea   7.5 |      241    309 | +0/+0  +0/+0  +0/+0  -1/-2  -3/-4  -106/-136  -3/-5
           Caladea   8.0 |      254    326 | +0/+0  +0/+0  +0/+0  +0/-1  +0/-1  -110/-142  +0/-1
           Caladea   8.5 |      271    347 | +0/+0  +0/+0  +0/+0  +1/-1  -1/-2  -118/-151  -1/-2
           Caladea   9.0 |      288    368 | +0/+0  +0/+0  +0/+0  -2/-1  -2/-2  -126/-161  -2/-3
           Caladea   9.5 |      301    386 | +0/+0  +0/+0  +0/-1  +2/+2  +1/+0  -130/-167  +1/+0
           Caladea  10.0 |      318    407 | +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  -138/-177  +0/-1
           Caladea  10.5 |      330    423 | +0/+0  +0/+0  +0/+0  +5/+4  +3/+3  -141/-181  +3/+3
           Caladea  11.0 |      351    449 | +0/+0  +0/-1  +0/+0  -2/-1  -2/-3  -153/-196  -2/-3
           Caladea  11.5 |      364    466 | +0/+0  +0/+0  +0/+0  +3/+3  +1/+1  -157/-201  +1/+0
           Caladea  12.0 |      381    487 | +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -165/-211  +0/+0
           Caladea  12.5 |      398    508 | +0/+0  +0/+0  +0/+0  +1/+0  -1/-1  -173/-220  -1/-1
           Caladea  13.0 |      411    525 | +0/+0  +0/+0  +0/+0  +2/+4  +2/+3  -177/-226  +2/+3
           Caladea  13.5 |      428    547 | +0/+0  +0/+0  +0/-1  +2/+3  +0/+0  -185/-236  +1/+1
           Caladea  14.0 |      445    568 | +0/+0  +0/+0  +0/-1  +0/+0  +0/+0  -193/-246  +0/+0
           Caladea  14.5 |      461    588 | +0/+0  +0/+0  +0/+0  +1/+1  +0/+1  -200/-254  -1/+0
           Caladea  15.0 |      478    610 | +0/+0  +0/-1  +0/+0  -2/+0  -2/-2  -208/-265  -2/-2
           Caladea  15.5 |      491    627 | +0/+0  +0/-1  +0/+0  +3/+5  +1/+2  -212/-270  +1/+2
           Caladea  16.0 |      508    648 | +0/+0  +0/+0  +0/+0  +0/+1  -1/+1  -220/-280  +0/+1
           Caladea  16.5 |      521    665 | +0/+0  +0/+0  +0/+0  +5/+6  +3/+5  -224/-285  +3/+5
           Caladea  17.0 |      542    694 | +0/+0  +0/+0  +0/+0  -2/-2  -2/-4  -236/-303  -2/-4
           Caladea  17.5 |      555    712 | +0/+0  +0/+0  +0/-1  +2/+1  +0/-2  -240/-309  +1/-2
           Caladea  18.0 |      572    733 | +0/+0  +0/+0  +0/-1  +0/-2  +0/-2  -248/-319  +0/-2
           Caladea  18.5 |      588    754 | +0/+0  +0/-1  +0/+0  +1/-3  +0/-3  -255/-328  -1/-4
           Caladea  19.0 |      601    770 | +0/+0  +0/+0  +0/+0  +2/+3  +2/+1  -259/-333  +2/+1
           Caladea  19.5 |      622    796 | +0/+0  +0/+0  +0/+0  -1/-2  -3/-5  -271/-347  -3/-5
           Caladea  20.0 |      635    813 | +0/+0  +0/+0  +0/+0  +0/-2  +1/+0  -275/-353  +0/-2
           Caladea  20.5 |      652    834 | +0/+0  +0/+0  +0/+0  +1/-1  -1/-2  -283/-362  -1/-2
           Caladea  21.0 |      669    855 | +0/+0  +0/+0  +0/+0  -2/-1  -2/-3  -291/-372  -2/-3
           Caladea  21.5 |      682    873 | +0/+0  +0/+0  +0/-1  +2/+2  +0/-1  -295/-378  +1/+0
           Caladea  22.0 |      699    894 | +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  -303/-388  +0/-1
           Caladea  22.5 |      715    914 | +0/+0  +0/+0  +0/+0  +1/+0  +0/-1  -310/-396  -1/-2
           Caladea  23.0 |      732    936 | +0/+0  +0/-1  +0/+0  -2/-1  -2/-3  -318/-407  -2/-3
           Caladea  23.5 |      745    953 | +0/+0  +0/-1  +0/+0  +3/+3  +1/+0  -322/-412  +1/+0
           Caladea  24.0 |      762    974 | +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -330/-422  +0/+0
       DejaVu Sans   5.0 |      165    207 | +0/+0  +0/+0  +0/+0  -3/-2  -2/-2  -72/-90  -1/-1
       DejaVu Sans   5.5 |      182    229 | +0/+0  +0/+0  +0/+0  -2/-3  -2/-3  -80/-101  -2/-3
       DejaVu Sans   6.0 |      195    246 | +0/+0  +0/+0  +0/+0  +3/+1  +2/+1  -84/-106  +1/+0
       DejaVu Sans   6.5 |      212    267 | +0/+0  +0/+0  +0/+0  +0/-2  +1/+0  -91/-115  +1/+0
       DejaVu Sans   7.0 |      229    288 | +0/+0  +0/+0  +0/+0  +0/+1  +0/+0  -99/-125  +0/-1
       DejaVu Sans   7.5 |      246    310 | +0/+0  +0/+0  +0/-1  +1/+1  +0/-2  -107/-135  +0/-2
       DejaVu Sans   8.0 |      262    330 | +0/+0  +0/+0  +0/+0  -1/-2  +0/-2  -113/-143  +0/-1
       DejaVu Sans   8.5 |      279    351 | +0/+0  +0/+0  +0/+0  +0/-1  -1/-2  -121/-153  -1/-2
       DejaVu Sans   9.0 |      296    373 | +0/+0  +0/-1  +0/+0  +0/-3  -1/-3  -129/-163  -1/-3
       DejaVu Sans   9.5 |      309    389 | +0/+0  +0/+0  +0/+0  +1/-1  +2/+1  -133/-168  +2/+1
       DejaVu Sans  10.0 |      326    411 | +0/+0  +0/+0  +0/+0  +2/+2  +2/+0  -140/-178  +1/-1
       DejaVu Sans  10.5 |      343    432 | +0/+0  +0/+0  +0/+0  -1/-2  +1/-1  -148/-187  +1/-1
       DejaVu Sans  11.0 |      360    453 | +0/+0  +0/+0  +0/+0  +0/-1  +0/-1  -156/-197  +0/-1
       DejaVu Sans  11.5 |      377    474 | +0/+0  +0/+0  +0/+0  +0/-1  +0/-1  -163/-206  +0/-1
       DejaVu Sans  12.0 |      394    496 | +0/+0  +0/+0  +0/-1  -2/-5  -1/-3  -171/-216  -1/-3
       DejaVu Sans  12.5 |      411    517 | +0/+0  +0/+0  +0/-1  -2/-5  -2/-4  -179/-226  -2/-4
       DejaVu Sans  13.0 |      423    529 | +0/+0  +0/+0  +0/+0  +4/+7  +3/+5  -182/-226  +3/+5
       DejaVu Sans  13.5 |      440    550 | +0/+0  +0/+0  +0/+0  +1/+4  +2/+4  -189/-235  +2/+4
       DejaVu Sans  14.0 |      461    580 | +0/+0  +0/+0  +0/+0  -2/-5  -3/-5  -201/-254  -3/-6
       DejaVu Sans  14.5 |      474    597 | +0/+0  +0/+0  +0/+0  +2/-1  +1/-1  -205/-259  +1/-1
       DejaVu Sans  15.0 |      491    614 | +0/+0  +0/+0  +0/+0  -1/+0  +0/+2  -212/-264  +0/+2
       DejaVu Sans  15.5 |      508    635 | +0/+0  +0/+0  +0/+0  +0/+4  +0/+2  -220/-274  +0/+2
       DejaVu Sans  16.0 |      521    652 | +0/+0  +0/+0  +0/+0  +5/+8  +2/+4  -224/-279  +3/+5
       DejaVu Sans  16.5 |      538    673 | +0/+0  +0/+0  +0/+0  +2/+5  +2/+5  -232/-289  +2/+4
       DejaVu Sans  17.0 |      559    699 | +0/+0  +0/+0  +0/+0  -2/+0  -2/+0  -243/-303  -2/-1
       DejaVu Sans  17.5 |      576    720 | +0/+0  +0/+0  +0/+0  -4/-3  -3/-1  -251/-312  -3/-1
       DejaVu Sans  18.0 |      588    737 | +0/+0  +0/-1  +0/+0  +1/+0  +1/+2  -254/-318  +1/+2
       DejaVu Sans  18.5 |      605    758 | +0/+0  +0/-1  +0/+0  +2/+4  +1/+2  -261/-327  +1/+2
       DejaVu Sans  19.0 |      622    779 | +0/+0  +0/+0  +0/+0  -1/+1  +0/+1  -269/-336  +0/+1
       DejaVu Sans  19.5 |      639    800 | +0/+0  +0/+0  +0/+0  +0/+1  +0/+1  -277/-346  +0/+1
       DejaVu Sans  20.0 |      656    821 | +0/+0  +0/+0  +0/+0  +0/+1  +0/+1  -285/-355  -1/+0
       DejaVu Sans  20.5 |      673    842 | +0/+0  +0/+0  +0/+0  -3/-2  -2/+0  -292/-364  -2/+0
       DejaVu Sans  21.0 |      686    860 | +0/+0  +0/+0  +0/-1  +2/+4  +2/+3  -296/-371  +2/+3
       DejaVu Sans  21.5 |      703    881 | +0/+0  +0/+0  +0/+0  +3/+5  +0/+1  -304/-380  +1/+2
       DejaVu Sans  22.0 |      720    902 | +0/+0  +0/+0  +0/+0  +0/+1  +1/+2  -311/-389  +0/+1
       DejaVu Sans  22.5 |      741    927 | +0/+0  +0/+0  +0/+0  -4/-3  -4/-3  -323/-403  -4/-3
       DejaVu Sans  23.0 |      754    945 | +0/+0  +0/+0  +0/-1  -3/-3  -1/-1  -327/-409  -1/-1
       DejaVu Sans  23.5 |      770    965 | +0/+0  +0/+0  +0/+0  -1/-2  +0/+0  -334/-418  +0/+1
       DejaVu Sans  24.0 |      787    986 | +0/+0  +0/+0  +0/+0  +0/+2  -1/+0  -341/-427  -1/+0

measured 195 of 195 pairs
  600/mm100 max      ascent 195/195   line height 195/195
  600/mm100 split    ascent 195/195   line height 172/195
  600/mm100 sum      ascent 195/195   line height 166/195
  720/mm100 max      ascent  44/195   line height  21/195
  8640/mm100 max     ascent  53/195   line height  33/195
  8640/twip max      ascent   0/195   line height   0/195
  exact (tree)       ascent  48/195   line height  35/195
