# grouped from /home/user/odsrow-work/parity-fixC.tsv, 2026-09-07
# ours   = Paperless.Cli at agent/odsgap with the print-range split fixed
# ref    = /opt/libreoffice26.2/program/soffice, LibreOffice 26.2.4.2
# fonts  = system fontconfig; all four tarball confounds aside, LiberationSansNarrow included (2026-09-07)
path	ext	verdict	group	pages	glyphs	glyph_delta_pct
sheets/chartset-005/ods/022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.ods	ods	words	ink-missing	2/2	907/937	-3.2
sheets/chartset-006/ods/006_Contextures_chart_sample_afa23b53.ods	ods	words	ink-missing	5/5	788/816	-3.4
sheets/chartset-006/ods/011_Contextures_chart_sample_599b4392.ods	ods	words	ink-missing	4/4	1009/1102	-8.4
sheets/chartset-006/ods/014_Contextures_chart_sample_991ecfc5.ods	ods	words	ink-missing	3/3	464/561	-17.3
sheets/chartset-006/ods/044_Cash_flow_forecast_Use_this_template_b8fa1f35.ods	ods	words	ink-missing	5/5	2213/2336	-5.3
sheets/chartset-006/ods/052_Manufacturing_output_chart_88570318.ods	ods	words	ink-missing	1/1	439/489	-10.2
sheets/chartset-007/ods/040_Blood_pressure_tracker_872b6833.ods	ods	words	ink-missing	1/1	615/715	-14.0
sheets/chartset-007/ods/058_Social_media_engagement_data_cfa1cb18.ods	ods	words	ink-missing	1/1	438/488	-10.2
sheets/chartset-007/ods/063_Sales_pipeline_aec57013.ods	ods	words	ink-missing	1/1	106/179	-40.8
sheets/chartset-008/ods/046_Cost_analysis_with_Pareto_chart_7db5ef69.ods	ods	words	ink-missing	1/1	427/625	-31.7
sheets/chartset-008/ods/055_Project_timeline_with_milestones_Use_this_template_546cecc0.ods	ods	words	ink-missing	2/2	680/934	-27.2
sheets/chartset-009/ods/029_Annual_budget_Use_this_template_30324a97.ods	ods	words	ink-missing	2/2	791/914	-13.5
sheets/chartset-010/ods/047_Date_tracker_Gantt_chart_bf34f3a8.ods	ods	words	ink-missing	8/8	3116/3538	-11.9
sheets/chartset-010/ods/084_Service_invoice_Use_this_template_c92b43dc.ods	ods	words	ink-missing	3/3	1170/1231	-5.0
sheets/chartset-011/ods/028_Budget_summary_report_4aeefd13.ods	ods	words	ink-missing	4/4	2931/3038	-3.5
sheets/chartset-012/ods/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.ods	ods	words	ink-missing	11/11	7571/7852	-3.6
sheets/chartset-013/ods/019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.ods	ods	words	ink-missing	9/9	3278/3660	-10.4
sheets/chartset-013/ods/035_Project_plan_for_law_firms_aa2d4462.ods	ods	words	ink-missing	4/4	3482/3879	-10.2
sheets/chartset-013/ods/049_Expenses_calculator_c351f3d0.ods	ods	words	ink-missing	4/4	1487/1548	-3.9
sheets/chartset-013/ods/059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.ods	ods	words	ink-missing	3/3	1818/1935	-6.0
sheets/chartset-014/ods/038_Baby_growth_chart_bb9cd672.ods	ods	words	ink-missing	2/2	408/554	-26.4
sheets/chartset-014/ods/039_Baby_growth_tracker_e295ae56.ods	ods	words	ink-missing	2/2	437/583	-25.0
sheets/done-003/ods/4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements.ods	ods	words	ink-missing	6/6	9348/9774	-4.4
sheets/done-005/ods/apron-area.ods	ods	words	ink-missing	3/3	1300/1814	-28.3
sheets/done-005/ods/cy10_primary_enplanements.ods	ods	words	ink-missing	12/12	22253/23129	-3.8
sheets/done-008/ods/TDA_Smoke-Detectors.ods	ods	words	ink-missing	28/28	17766/18137	-2.0
sheets/done-010/ods/PC1000.ods	ods	words	ink-missing	13/13	3611/3831	-5.7
sheets/done-014/ods/TICAPCapability_Final.ods	ods	words	ink-missing	17/17	21530/27777	-22.5
sheets/chartset-009/ods/053_Personal_asset_inventory_5446d84b.ods	ods	pages,words	pages-long	4/2	263/226	16.4
sheets/chartset-014/ods/027_Simple_personal_cash_flow_statement_675c6584.ods	ods	pages,words	pages-long	11/10	7585/7949	-4.6
sheets/done-004/ods/Foreign_SA-CAT-I_and_CAT-II-III_Pub_0.ods	ods	pages,words	pages-long	17/16	6704/7846	-14.6
sheets/done-005/ods/arp-sop-300-Exhibit-A-Table-Templates.ods	ods	pages,words	pages-long	17/11	18857/19784	-4.7
sheets/done-006/ods/SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA.ods	ods	pages,words	pages-long	7/4	784/2779	-71.8
sheets/done-008/ods/airports_6.ods	ods	pages	pages-long	18/17	58944/58811	0.2
sheets/done-011/ods/SIL_TDB605.ods	ods	pages,words	pages-long	48/44	17552/18693	-6.1
sheets/done-012/ods/2025_Active_Civil_Airmen_Statistics_FINAL.ods	ods	pages	pages-long	38/36	57987/57938	0.1
sheets/done-012/ods/SIL_TDB609.ods	ods	pages,words	pages-long	54/50	21393/22688	-5.7
sheets/done-013/ods/afn-afn-20250801-fy25-jan25-mar25.ods	ods	pages	pages-long	282/270	409045/409299	-0.1
sheets/pagination-001/ods/CIS_Debian_Linux_8_Benchmark_v1.0.0.ods	ods	pages,words	pages-long	88/61	38941/76210	-48.9
sheets/ceiling-001/ods/EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0.ods	ods	pages	pages-short	111/114	188829/188791	0.0
sheets/ceiling-001/ods/EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32.ods	ods	pages	pages-short	18/19	31382/31376	0.0
sheets/chartset-014/ods/016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144.ods	ods	pages	pages-short	3/4	1395/1419	-1.7
sheets/chartset-014/ods/017_Timeline_Templates_for_Excel_b88faee6.ods	ods	pages,words	pages-short	2/3	800/969	-17.4
sheets/done-004/ods/Part_375_Operators.ods	ods	pages,words	pages-short	17/19	11849/12221	-3.0
sheets/done-005/ods/Part_129_Operators.ods	ods	pages	pages-short	20/23	19223/19595	-1.9
sheets/done-005/ods/june_2025_published.ods	ods	pages	pages-short	14/15	90883/90883	0.0
sheets/done-006/ods/Hazard Analysis Template.ods	ods	pages,words	pages-short	2/3	2108/3313	-36.4
sheets/done-007/ods/National-Finalists-2024-1.ods	ods	pages	pages-short	24/27	27258/27258	0.0
sheets/done-007/ods/hdss-bulletin-index-2019-2022.ods	ods	pages	pages-short	21/24	18383/18407	-0.1
sheets/done-007/ods/wiley-cancelled-title-list.ods	ods	pages	pages-short	58/60	56700/56700	0.0
sheets/done-009/ods/6f9e605c-fded-11e3-bd0e-00144feab7de.ods	ods	pages	pages-short	15/16	32222/32397	-0.5
sheets/done-009/ods/Aviation_Abbreviations.ods	ods	pages	pages-short	86/94	92850/92850	0.0
sheets/done-009/ods/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.ods	ods	pages,words	pages-short	22/24	34104/39744	-14.2
sheets/done-009/ods/sistem-rekod-markah-srm-_-rekod-master.ods	ods	pages	pages-short	22/26	16180/16180	0.0
sheets/done-010/ods/RMP 2011-2014 and Inventory.ods	ods	pages	pages-short	36/38	97952/98381	-0.4
sheets/done-010/ods/Special-Procedures_2025-07-10.ods	ods	pages	pages-short	20/22	153843/153843	0.0
sheets/done-011/ods/Application_Compliance_Checklist_5_Apr_2021.ods	ods	pages,words	pages-short	12/14	93480/95915	-2.5
sheets/done-011/ods/FY2023-AIP-grants.ods	ods	pages	pages-short	30/33	352619/353363	-0.2
sheets/done-011/ods/aircraft_analysis-2018-06.ods	ods	pages	pages-short	38/42	38379/38379	0.0
sheets/done-012/ods/CSJU List of Recipients of funds 2013-2020.ods	ods	pages	pages-short	93/95	270622/270627	-0.0
sheets/done-012/ods/npias_2009_appA.ods	ods	pages	pages-short	72/73	201779/201534	0.1
sheets/done-013/ods/FY2021-AIP-grants.ods	ods	pages	pages-short	51/57	597433/598285	-0.1
sheets/done-013/ods/fy20-may20-sep20.ods	ods	pages	pages-short	95/96	290273/290332	-0.0
sheets/done-013/ods/fy2010-aip-grants.ods	ods	pages,words	pages-short	96/100	258773/264109	-2.0
sheets/done-013/ods/fy2011-aip-grants.ods	ods	pages,words	pages-short	85/93	223945/229395	-2.4
sheets/done-014/ods/seihon_zassi_kikou_20221215.ods	ods	pages	pages-short	76/84	302093/302717	-0.2
sheets/done-015/ods/PA_Delaware.ods	ods	pages	pages-short	118/122	575986/580602	-0.8
sheets/done-015/ods/activespecs.ods	ods	pages	pages-short	254/266	275296/280528	-1.9
sheets/done-015/ods/certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013.ods	ods	pages	pages-short	341/343	230345/230379	-0.0
sheets/done-015/ods/tk-syllabus-comparison-document-v5.ods	ods	pages	pages-short	852/855	1225772/1225755	0.0
sheets/done-016/ods/EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31.ods	ods	pages	pages-short	83/94	182618/182586	0.0
sheets/done-016/ods/Laser Report 2024 FOIA __Oct (1).ods	ods	pages	pages-short	486/506	588642/588374	0.0
sheets/done-016/ods/TK-Syllabus-Comparison-Document-v2.ods	ods	pages	pages-short	1231/1235	1311220/1311173	0.0
sheets/metrics-001/ods/ans_mappings_of_eccairs_terms.ods	ods	pages	pages-short	170/179	184822/184799	0.0
sheets/pagination-001/ods/SIL_TDB648.ods	ods	pages,words	pages-short	60/88	30069/30888	-2.7
sheets/done-016/ods/STC_WebList.ods	ods	ref-failed	ref-failed	4372/-	8158263/-	-
words/chartset-010/odt/051_Organogram_Template_Basic_Theme_e6464d06.odt	odt	words	ink-extra	1/1	86/60	43.3
words/chartset-011/odt/040_Venn_Diagram_Template_Three_Circle_80f32f5e.odt	odt	words	ink-extra	1/1	294/240	22.5
words/chartset-012/odt/031_Venn_Diagram_Template_Blue_Theme_a9e417b8.odt	odt	words	ink-extra	1/1	304/249	22.1
words/chartset-012/odt/055_Organogram_Template_Horizontal_Structure_28a7e725.odt	odt	words	ink-extra	1/1	470/402	16.9
words/chartset-014/odt/011_Project_Timeline_Template_Beautiful_Theme_2336e680.odt	odt	words	ink-extra	1/1	993/885	12.2
words/extra-001/odt/ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.odt	odt	words	ink-extra	12/12	13338/13015	2.5
words/ceiling-001/odt/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.odt	odt	words	ink-missing	2/2	660/764	-13.6
words/chartset-006/odt/002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b.odt	odt	words	ink-missing	1/1	224/304	-26.3
words/chartset-007/odt/018_Project_Timeline_Template_Editable_Format_e1cf1df5.odt	odt	words	ink-missing	1/1	379/421	-10.0
words/chartset-008/odt/010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.odt	odt	words	ink-missing	1/1	235/318	-26.1
words/chartset-008/odt/016_Project_Timeline_Template_Complete_Guide_7d36d09c.odt	odt	words	ink-missing	1/1	587/633	-7.3
words/chartset-009/odt/019_Project_Timeline_Template_Excellent_Layout_4ee62967.odt	odt	words	ink-missing	1/1	82/331	-75.2
words/chartset-009/odt/042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb.odt	odt	words	ink-missing	1/1	223/487	-54.2
words/chartset-010/odt/020_Project_Timeline_Template_Modern_Theme_0c215d87.odt	odt	words	ink-missing	1/1	109/316	-65.5
words/chartset-011/odt/043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1.odt	odt	words	ink-missing	1/1	41/1099	-96.3
words/chartset-012/odt/008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8.odt	odt	words	ink-missing	1/1	218/295	-26.1
words/chartset-012/odt/024_Unit_Circle_Chart_Colorful_Circles_7c92601e.odt	odt	words	ink-missing	1/1	517/557	-7.2
words/done-003/odt/DEP2008-1900.odt	odt	words	ink-missing	4/4	5179/5335	-2.9
words/done-006/odt/SDL_FSDO_Part91_LOA_Checklist.odt	odt	words	ink-missing	2/2	2195/2375	-7.6
words/done-007/odt/0c662f5c948a7d81d32ffd833c5cc59421a5f522.odt	odt	words	ink-missing	1/1	1953/2004	-2.5
words/done-010/odt/Checklist for TC STC ETSO data packages to FAA_TIP rev 5.odt	odt	words	ink-missing	3/3	5708/6062	-5.8
words/done-010/odt/te.iors.00048-002 SUP Questionnaire.odt	odt	words	ink-missing	4/4	3459/3627	-4.6
words/done-011/odt/part-145-approval list (1).odt	odt	words	ink-missing	8/8	8035/8415	-4.5
words/done-011/odt/part-145-approval list 2025.odt	odt	words	ink-missing	7/7	7521/7822	-3.8
words/done-012/odt/19-06 Assistive Technology TAB Final - 508.odt	odt	words	ink-missing	8/8	17102/18195	-6.0
words/done-012/odt/FO.FCTOA_.000129 Application for activities related to FSTD.odt	odt	words	ink-missing	6/6	8397/8979	-6.5
words/done-013/odt/gpp-pr-top-7-office-markets-4q-2023.odt	odt	words	ink-missing	4/4	5419/5669	-4.4
words/done-014/odt/1603642410-MoM-CASCOM-06-2020-draft04.odt	odt	words	ink-missing	9/9	22625/24054	-5.9
words/done-015/odt/2013_11.odt	odt	words	ink-missing	8/8	13144/13594	-3.3
words/missing-001/odt/May 25 bulletin focus on carers in the workplace.odt	odt	words	ink-missing	4/4	2384/2721	-12.4
words/missing-001/odt/xx_SETIS_PWS_template_10.19.22.odt	odt	words	ink-missing	15/15	23697/25219	-6.0
words/ceiling-001/odt/150_5300_13_chg8.odt	odt	pages	pages-long	21/18	41862/41416	1.1
words/chartset-014/odt/045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c.odt	odt	pages	pages-long	2/1	242/235	3.0
words/done-005/odt/BID_ACKNOWLEDGEMENT_FORM_FOR_A320.odt	odt	pages	pages-long	3/2	1529/1529	0.0
words/done-008/odt/FlightLaws.odt	odt	pages	pages-long	5/4	5533/5533	0.0
words/done-012/odt/AirbusCallouts.odt	odt	pages	pages-long	26/24	43756/43584	0.4
words/done-012/odt/Leadership Information Article.odt	odt	pages	pages-long	4/3	8107/8107	0.0
words/done-015/odt/03_Technical_Report_(progress)_template.odt	odt	pages,words	pages-long	11/10	7200/7403	-2.7
words/done-015/odt/JEMIT_Template.odt	odt	pages	pages-long	5/4	8768/8677	1.0
words/done-015/odt/Sample_SQMS_Program.odt	odt	pages,words	pages-long	62/61	82231/86734	-5.2
words/done-016/odt/AC-150-5370-10G-updated-201604.odt	odt	pages	pages-long	697/696	1433391/1432447	0.1
words/extra-001/odt/ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.odt	odt	pages,words	pages-long	30/29	46862/43748	7.1
words/extra-001/odt/info-bulletin-601.odt	odt	pages	pages-long	7/6	6921/6913	0.1
words/metrics-001/odt/02_mcar_part-2_and_IS_v2.10.odt	odt	pages	pages-long	312/311	413555/414433	-0.2
words/missing-001/odt/33004.odt	odt	pages	pages-long	48/47	60562/60488	0.1
words/pagination-001/odt/24-25_FAA_Holdover_Tables.odt	odt	pages,words	pages-long	225/155	306090/299593	2.2
words/pagination-001/odt/A_320.odt	odt	pages	pages-long	134/118	89754/88958	0.9
words/pagination-001/odt/FAA 2025-26 Holdover Tables.odt	odt	pages,words	pages-long	249/167	342658/335613	2.1
words/pagination-002/odt/150_5300_13_chg12.odt	odt	pages	pages-long	35/32	62229/61982	0.4
words/pagination-002/odt/docs-quality-MA.IMS.00001-Integrated-Management-System-manual.odt	odt	pages	pages-long	46/44	74086/73616	0.6
words/pagination-003/odt/150-5370-10H.odt	odt	pages	pages-long	729/726	1510008/1508501	0.1
words/pagination-003/odt/EHEST-SMS-Safety-Management-Manual-V2.odt	odt	pages	pages-long	90/82	106604/105180	1.4
words/table-001/odt/150_5300_13_chg10.odt	odt	pages,words	pages-long	84/76	119306/116181	2.7
words/table-001/odt/A1. EASA Form 2.odt	odt	pages,words	pages-long	9/7	12128/11534	5.1
words/table-001/odt/B11. TE.CAO.00129  Experience  logbook.odt	odt	pages	pages-long	7/6	6660/6645	0.2
words/table-001/odt/approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook.odt	odt	pages,words	pages-long	7/6	4539/5747	-21.0
words/ceiling-001/odt/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.odt	odt	pages	pages-short	15/16	18472/18544	-0.4
words/chartset-005/odt/087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04.odt	odt	pages	pages-short	1/2	27/37	-27.0
words/chartset-008/odt/012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550.odt	odt	pages,words	pages-short	1/2	75/201	-62.7
words/chartset-011/odt/015_Project_Timeline_Template_Colored_Background_6434b0e8.odt	odt	pages,words	pages-short	1/2	116/211	-45.0
words/done-004/odt/461249.odt	odt	pages,words	pages-short	4/5	8643/8911	-3.0
words/done-004/odt/PAT-047 - Architecture and Detailed Design Assessment.odt	odt	pages,words	pages-short	3/4	5992/6381	-6.1
words/done-005/odt/part-147_approval list_20230119.odt	odt	pages,words	pages-short	1/2	2910/3570	-18.5
words/done-009/odt/Case-Study-Heathrow-Airport.odt	odt	pages,words	pages-short	1/3	2052/6461	-68.2
words/done-010/odt/5709.16 ch.40_mgfinal.odt	odt	pages	pages-short	29/32	58284/58978	-1.2
words/done-012/odt/slcc-architecture-uu-architecture.odt	odt	pages,words	pages-short	3/4	5679/6328	-10.3
words/done-014/odt/644730BRI0mna000BOX361539B00public0.odt	odt	pages	pages-short	4/5	12871/12838	0.3
words/done-014/odt/AFS-050-004-F2_0i.odt	odt	pages,words	pages-short	4/8	11146/13442	-17.1
words/done-015/odt/Agile_Arc_SysDes.odt	odt	pages	pages-short	19/20	33850/33905	-0.2
words/done-016/odt/150_5335_5a.odt	odt	pages	pages-short	63/64	95864/95842	0.0
words/drawingset-001/odt/WordArt_Shapes_Arrows_Catalog1.odt	odt	pages,words	pages-short	45/52	13424/11390	17.9
words/metrics-001/odt/FRE-03_mcar_part-3_and_IS_v2.9.odt	odt	pages	pages-short	75/76	124792/124685	0.1
words/metrics-001/odt/OM template for non-complex NCC operators_August 2016.odt	odt	pages	pages-short	164/165	268507/268604	-0.0
words/metrics-001/odt/手机免提系统TSB.odt	odt	pages	pages-short	2/3	1173/1189	-1.3
words/pagination-001/odt/ESPN-R - MCF - Manual - Ed1.0 - For Publication.odt	odt	pages	pages-short	34/35	49374/49328	0.1
words/pagination-001/odt/ESPN-R - MCF - RA - Ed1.odt	odt	pages,words	pages-short	38/58	42181/65952	-36.0
words/pagination-001/odt/FO.FCTOA.00010 Application for a Part-ORA ATO Approval.odt	odt	pages	pages-short	15/16	22865/23316	-1.9
