path	ext	family	batch	kind	part	feature
slides/done-007/pptx/flying-by-numbers-presentation.pptx	pptx	slides	done-007		ppt/charts/chart1.xml	c:scatterChart
slides/done-007/pptx/flying-by-numbers-presentation.pptx	pptx	slides	done-007		ppt/charts/chart1.xml	@scatterStyle_line
slides/done-007/pptx/bitesize-writing-a-report.pptx	pptx	slides	done-007		ppt/charts/chart1.xml	c:pieChart
slides/done-007/pptx/bitesize-writing-a-report.pptx	pptx	slides	done-007		ppt/charts/chart2.xml	c:pieChart
slides/done-010/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	pptx	slides	done-010		ppt/charts/chart1.xml	c:barChart
slides/done-010/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	pptx	slides	done-010		ppt/charts/chart1.xml	@barDir_bar
slides/done-010/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	pptx	slides	done-010		ppt/charts/chart1.xml	@grouping_stacked
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart8.xml	c:lineChart
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart4.xml	c:lineChart
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart5.xml	c:barChart
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart5.xml	c:lineChart
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart5.xml	@smooth_1
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart9.xml	c:barChart
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart9.xml	c:lineChart
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart9.xml	@smooth_1
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart6.xml	c:barChart
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart6.xml	c:lineChart
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart6.xml	@smooth_1
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart3.xml	c:barChart
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart7.xml	c:lineChart
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart7.xml	@smooth_1
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart1.xml	c:lineChart
slides/done-011/pptx/171128IPAP.pptx	pptx	slides	done-011		ppt/charts/chart2.xml	c:lineChart
slides/done-011/pptx/3495.pptx	pptx	slides	done-011		ppt/charts/chart1.xml	c:pieChart
slides/done-011/pptx/3495.pptx	pptx	slides	done-011		ppt/charts/chart2.xml	c:pieChart
slides/done-011/pptx/3495.pptx	pptx	slides	done-011		ppt/charts/chart3.xml	c:pieChart
slides/done-011/pptx/3495.pptx	pptx	slides	done-011		ppt/charts/chart4.xml	c:pieChart
slides/done-011/pptx/1_Country-Updates_DRC_English.pptx	pptx	slides	done-011		ppt/charts/chart1.xml	c:lineChart
slides/done-011/pptx/1_Country-Updates_DRC_English.pptx	pptx	slides	done-011		ppt/charts/chart2.xml	c:barChart
slides/done-011/pptx/1_Country-Updates_DRC_English.pptx	pptx	slides	done-011		ppt/charts/chart2.xml	@grouping_stacked
slides/done-011/pptx/1_Country-Updates_DRC_English.pptx	pptx	slides	done-011		ppt/charts/chart3.xml	c:lineChart
