odfpath	srcext	srcpath	family	batch	feature
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	@percentage_true
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	@solid_type
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	class:chart:bar
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	@percentage_true
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	@solid_type
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	class:chart:bar
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	@percentage_true
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	@solid_type
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	class:chart:bar
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	@percentage_true
