document	kept	stated	heights
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1.ods	1	147	0.2398in
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1.ods	1	147	0.2291in
001_advanced_excel_bar.ods	1	24	0.2083in
002_advanced_excel_line.ods	1	24	0.2083in
005_advanced_excel_area.ods	1	24	0.2083in
006_advanced_excel_scatter.ods	1	24	0.2083in
016_advanced_excel_radar.ods	1	24	0.2083in
022_advanced_excel_scatter.ods	1	24	0.2083in
025_advanced_excel_bar.ods	1	24	0.2083in
028_advanced_excel_doughnut.ods	1	24	0.2083in
032_advanced_excel_radar.ods	1	24	0.2083in
033_advanced_excel_bar.ods	1	24	0.2083in
003_advanced_excel_pie.ods	1	24	0.2083in
007_advanced_excel_bubble.ods	1	24	0.2083in
011_advanced_excel_pie.ods	1	24	0.2083in
012_advanced_excel_doughnut.ods	1	24	0.2083in
013_advanced_excel_area.ods	1	24	0.2083in
021_advanced_excel_area.ods	1	24	0.2083in
026_advanced_excel_line.ods	1	24	0.2083in
027_advanced_excel_pie.ods	1	24	0.2083in
030_advanced_excel_scatter.ods	1	24	0.2083in
034_advanced_excel_line.ods	1	24	0.2083in
004_advanced_excel_doughnut.ods	1	24	0.2083in
008_advanced_excel_radar.ods	1	24	0.2083in
014_advanced_excel_scatter.ods	1	24	0.2083in
015_advanced_excel_bubble.ods	1	24	0.2083in
017_advanced_excel_bar.ods	1	24	0.2083in
018_advanced_excel_line.ods	1	24	0.2083in
020_advanced_excel_doughnut.ods	1	24	0.2083in
024_advanced_excel_radar.ods	1	24	0.2083in
029_advanced_excel_area.ods	1	24	0.2083in
031_advanced_excel_bubble.ods	1	24	0.2083in
009_advanced_excel_bar.ods	1	24	0.2083in
010_advanced_excel_line.ods	1	24	0.2083in
019_advanced_excel_pie.ods	1	24	0.2083in
023_advanced_excel_bubble.ods	1	24	0.2083in
004_Contextures_chart_sample_de7c0671.ods	1	40	0.2083in
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874.ods	1	79	0.1772in
073_Graph_paper_6e1a30eb.ods	1	151	0.1772in
006_Contextures_chart_sample_afa23b53.ods	1	35	0.2083in
008_Contextures_chart_sample_7ea7a1d7.ods	1	32	0.2083in
034_Personal_net_worth_calculator_f7b8fb57.ods	1	78	0.198in
024_Free_Kids_Chore_Chart_Template_ad74bb34.ods	1	79	0.2083in
029_Annual_budget_Use_this_template_30324a97.ods	1	68	0.1874in
085_Simple_Gantt_chart_d65b8377.ods	1	62	0.1772in
065_Weight_loss_tracker_ff1c89af.ods	1	439	0.2083in
066_Agile_Gantt_chart_08f9de45.ods	1	137	0.1874in
012_Contextures_chart_sample_9900da76.ods	1	23	0.2083in
013_Contextures_chart_sample_21b98e22.ods	1	28	0.2083in
043_Buy_a_car_vs._rideshare_ff07c7e6.ods	1	83	0.2083in
059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.ods	1	69	0.1772in
017_Timeline_Templates_for_Excel_b88faee6.ods	1	95	0.198in
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19.ods	1	1122	0.2189in
ExampleWhiteListData.ods	1	82	0.1772in
Geo_Abschlussarbeiten.ods	1	184	0.1563in
einvoice-summary-worksheet.ods	1	65	0.2083in
(5000021142)-(subc0226)-criminology-subject-collection-list.ods	1	50	0.1354in
Chicago.List.2025.ods	1	184	0.2083in
e-pass-contact-details-template.ods	1	32	0.1665in
