part	groups	axpairs	valax	dateax	catax	plotvisonly	varycolors	dpt	cellrange	dlblrange	strlit	numlit	spacebold	axorder	gaxorder	doc
ppt/charts/chart5.xml	1	1	0	0	0	True	1	5	0	0	0	0	0		doughnutChart::1	slides/chartset-003/pptx/005_advanced_powerpoint_doughnut.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:168992768;valAx:195874816	barChart:168992768,195874816:2	slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx
ppt/charts/chart1.xml	1	1	0	0	0	True	1	3	0	0	0	0	0		doughnutChart::1	slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx
ppt/charts/chart1.xml	1	1	2	0	0	True	0	0	0	0	0	0	0	valAx:1647269824;valAx:1647279808	scatterChart:1647269824,1647279808:1	slides/extra-001/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx
ppt/charts/chart8.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:67795968;valAx:67810048	lineChart:67795968,67810048:13	slides/done-011/pptx/171128IPAP.pptx
ppt/charts/chart4.xml	1	1	1	0	1	True	0	0	0	0	0	0	1	catAx:61140992;valAx:61142528	lineChart:61140992,61142528:2	slides/done-011/pptx/171128IPAP.pptx
ppt/charts/chart5.xml	2	2	2	1	1	True	0	0	0	0	0	0	0	dateAx:61827328;valAx:61837696;valAx:61839616;catAx:61857792	barChart:61827328,61837696:1|lineChart:61857792,61839616:1	slides/done-011/pptx/171128IPAP.pptx
ppt/charts/chart9.xml	2	2	2	2	0	True	0	0	0	0	0	0	0	dateAx:68142208;valAx:68144128;valAx:68228608;dateAx:68230528	barChart:68142208,68144128:1|lineChart:68230528,68228608:1	slides/done-011/pptx/171128IPAP.pptx
ppt/charts/chart6.xml	2	2	2	1	1	True	0	0	0	0	0	0	0	dateAx:61681024;valAx:61695488;valAx:61697408;catAx:61720064	barChart:61681024,61695488:1|lineChart:61720064,61697408:1	slides/done-011/pptx/171128IPAP.pptx
ppt/charts/chart3.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:61644800;valAx:61646336	barChart:61644800,61646336:1	slides/done-011/pptx/171128IPAP.pptx
