ident	verdict	ours_pages	ref_pages	ours_words	ref_words
4400-91_Proposal_To_Lease_Space_10-2024__docx	match	6	6	3280	3280
461249__docx	match	5	5	1671	1669
5709.16 ch.40_mgfinal__docx	match	32	32	9826	9821
62599_FRANCE-BRAZIL- Air France Flight 447 crash__docx	match	18	18	6133	6133
644730BRI0mna000BOX361539B00public0__doc	match	5	5	2327	2328
762__doc	pages	22	23	4120	4122
96-3-clement-data__doc	match	7	7	1469	1469
A1. EASA Form 2__docx	match	7	7	2207	2205
A320SimNotes__doc	match	42	42	13846	13919
A380MaenPressRel__doc	match	3	3	770	771
AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX__doc	match	20	20	7453	7453
ABCD-FE-01-00 Flight Envelope - v1 08.03.16__docx	pages,words	14	15	3844	3720
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1__docx	match	29	29	8419	8402
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16__docx	match	12	12	2639	2612
AC-150-5370-10G-updated-201604__docx	pages	687	696	280702	280560
AFS-050-004-F2_0i__docx	match	8	8	2228	2228
AUWG min 4-3-24 final__docx	match	2	2	647	647
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf__docx	words	2	2	141	135
AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024__docx	pages,words	12	15	2068	2125
A_320__doc	pages	141	118	18754	18592
Agile_Arc_SysDes__docx	match	20	20	5704	5737
AirbusCallouts__doc	match	24	24	8455	8458
Allegiant_Company_Profile_with_History__docx	match	3	3	1153	1153
Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA__docx	match	148	148	35041	35041
B11. TE.CAO.00129  Experience  logbook__docx	match	6	6	1253	1247
BID_ACKNOWLEDGEMENT_FORM_FOR_A320__docx	match	2	2	294	294
Bull01-06-Reserve Training Standards__doc	match	6	6	1482	1482
CMTA_Airport_Transportation__docx	match	1	1	255	255
CP-ETSO template_v2020__doc	match	6	6	1111	1111
CRIF - SpÃ©cification technique - Socle applicatif__docx	pages,words	27	29	6260	6618
CSCRS_Technical-Report-Documentation-Page-with-instructions__docx	match	2	2	719	719
Case-Study-Heathrow-Airport__docx	match	3	3	1184	1184
Checklist for TC STC ETSO data packages to FAA_TIP rev 5__docx	match	3	3	1102	1102
Company-profile-2022-EN__docx	match	5	5	1170	1171
Contract_Check_Pilot_Sample_LOA__docx	match	4	4	1324	1324
DEP2008-1900__doc	match	4	4	998	998
DOA_Template_Form_Type_Certification_Programme__docx	match	20	20	5380	5365
DRX-Ascend System Course Description__docx	match	2	2	475	475
ECSS-E-ST-50-16C-Annex-A(30September2021)__docx	match	4	4	670	670
EHEST-SMS-Safety-Management-Manual-V2__docx	pages	80	82	19199	19222
ESPN-R - MCF - Manual - Ed1.0 - For Publication__docx	match	35	35	9461	9397
ESPN-R - MCF - RA - Ed1__docx	pages	59	58	12189	12167
FAA 2025-26 Holdover Tables__docx	pages	185	167	75156	74831
FAA-2013-0422-0009_attachment_1__doc	match	7	7	1845	1845
FAA-2017-0628-0002_attachment_1__docx	match	4	4	638	638
FAA-High-Level-Org-Chart__docx	match	3	3	673	673
FG-AI4NDM-TR-skeleton_template__docx	match	5	5	434	433
FMRBullletinB-28__doc	match	2	2	461	461
FO.FCTOA.00010 Application for a Part-ORA ATO Approval__docx	match	16	16	4514	4513
FO.FCTOA_.000129 Application for activities related to FSTD__docx	match	6	6	1684	1684
FRE-03_mcar_part-3_and_IS_v2.9__docx	match	76	76	24740	24693
FlightLaws__doc	match	4	4	1073	1074
Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11__docx	match	3	3	614	615
GLACIERBG.ETT__doc	match	1	1	408	408
HC-Bulletin-template__docx	match	5	5	462	462
How-to-Write-an-Architecture-Document-for-a-Technology-Service__docx	match	3	3	953	953
II.1.2_Hypoxia__doc	match	13	13	3729	3729
Interview-mit-Manfred1-Müller__docx	match	2	2	801	801
JEMIT_Template__docx	match	4	4	1635	1627
LENTOBUSSIAIKATAULU.-31.10.-31.12.2022__doc	match	1	1	104	104
LHD-230-application-for-the-approval-of-an-aircraftr__doc	match	2	2	774	774
Leadership Information Article__docx	match	3	3	1452	1452
Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5__docx	match	3	3	1531	1531
License App Instructions 2-22__docx	match	3	3	1002	1002
May 25 bulletin focus on carers in the workplace__docx	pages,words	5	4	435	521
OM template for non-complex NCC operators_August 2016__docx	pages	164	165	51409	51673
P200904290238_0238_51880__doc	match	3	3	308	308
PAT-047 - Architecture and Detailed Design Assessment__docx	match	4	4	1081	1081
PES-Technical-Report-Template_Jan_2019__docx	match	14	14	2665	2663
PI-doc.-no.-2E-Technical-Review-Report__docx	match	12	12	1770	1794
PK_FlugzeugeStricken__doc	match	7	7	1394	1408
PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th__docx	match	5	5	582	582
PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024__doc	match	6	6	1027	1027
Pre-Application_Letter_of_Intent_Example__docx	match	1	1	350	350
Press release_EUREKA labels ITEA 3 Cluster__docx	match	2	2	827	813
RMI_Document_Repository_Public-Reprts_GettingOffOil__doc	match	6	6	2729	2729
RNW167A-150428__doc	match	9	9	1767	1767
Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission__docx	match	18	18	6394	6395
Reid__doc	match	4	4	1553	1553
RobertQ_Service__doc	match	4	4	547	547
SDL_FSDO_Part91_LOA_Checklist__docx	match	2	2	424	424
SFSP_2013-02_Bulletin__doc	match	4	4	935	942
SPA-02_mcar_part-2_and_IS_v2.9__docx	pages	267	266	95026	94826
SPA-06_mcar_part-6_and_IS_v2.9__docx	match	85	85	27396	27420
SPA-11_mcar_part-11_v2.9__docx	match	49	49	14007	13948
SWDD-template__docx	match	6	6	1062	1077
Sample_PAO-PSO_91-113_Letter__docx	match	1	1	307	307
Sample_SQMS_Program__docx	match	61	61	15979	15967
Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION__docx	match	1	1	297	297
Software Architecture Document Template__docx	match	3	3	589	589
Sol PJ14-03-04 Solution Contextual__docx	match	5	5	2067	2071
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx	match	15	15	2793	2793
Technical Report and Technical Update Guidelines__docx	match	4	4	1205	1205
Technical_Issue_Report_Form__docx	match	2	2	341	341
Temp16__doc	match	2	2	669	669
Theft-Restitution-Letter-Vancouver-ASC-2005__doc	match	1	1	262	262
UAS-SGI_waiver_approval_request_form__docx	match	2	2	489	489
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders__docx	pages,words	30	29	8011	7399
UG.CAO.00133 Foreign Part 145 approvals - Language__docx	words	18	18	3899	3667
Wales_Office_Quarter_4_Ministerial_Transparency_Return__doc	match	6	6	941	941
Writing a technical report (SCE subject guide)__docx	match	4	4	1221	1221
absrc-pac-01-info-note-en__doc	pages	6	7	1299	1303
advert-for-draft-decision-airbus-epr-bm3965ia-v006__doc	match	2	2	385	385
airbus-pdf-information-package_v1-4__docx	words	9	9	1272	1299
approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook__docx	match	6	6	1096	1098
b050-19__docx	match	3	3	872	872
b053-19__docx	match	2	2	491	491
bulletin__docx	match	14	14	3244	3253
cacs-206-1751218225__docx	match	2	2	347	347
certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10__doc	match	8	8	1221	1221
chapter 12__doc	match	12	12	3671	3671
congregationalhistories_ky_2023__doc	match	1	1	247	247
docs-quality-MA.IMS.00001-Integrated-Management-System-manual__docx	pages	43	44	12025	12213
draft-variation-notice-airbus-bm3965ia-v006-vs-comments__docx	match	9	9	1510	1499
dragon1-enterprise-architecture-document-example-v0.1d__docx	match	13	13	1648	1631
eTAR_External_Web_tool_Tip_Sheet_mh__docx	match	4	4	928	928
easa-form-1__docx	match	5	5	1421	1421
easa-regulations-update-20__docx	match	22	22	2738	2738
exhibit-06---technical-architecture-template__docx	match	8	8	1094	1085
f111__doc	match	11	11	3347	3347
f2_registro_de_aprovacao_com_pbcs_EN__docx	match	2	2	458	454
f445896eb008d14c1746fc37d412dc22__docx	match	15	15	5453	5453
final-technical-report-template__docx	match	6	6	1119	1123
fleetfastfacts16nov2023__docx	match	1	1	120	120
foca_form_1__doc	match	3	3	1672	1672
form_1123_application_form_rvsm_spa__docx	match	3	3	578	578
gpp-pr-top-7-office-markets-4q-2023__docx	match	4	4	1067	1075
hdss-bulletin-issue-285-25-june-2025__docx	match	10	10	3587	3529
healthcare-reform-nsa-consumer-bulletin__docx	match	4	4	1701	1701
healthcare-reform-nsa-provider-bulletin__docx	match	5	5	1936	1936
info-bulletin-601__doc	pages	5	6	1298	1302
johnson_hall_service_log.pdf__docx	match	1	1	274	274
lk03_17__docx	match	2	2	367	367
loi_format_letter_of_intent-a-320-214-a330__doc	match	10	10	3346	3346
mde087077~283__docx	match	4	4	987	987
monthly-content-feeder__docx	match	18	18	5890	5890
omrIMInterpretiveGuideLine__doc	match	2	2	376	382
opic 5--Case Studies Movie and Aviation Industries__doc	match	5	5	1194	1194
part-145-approval list (1)__docx	match	8	8	1590	1592
part-145-approval list 2025__docx	match	7	7	1455	1455
part-147_approval list_20230119__docx	match	2	2	735	735
prison-population-bulletin-june__doc	match	4	4	1425	1425
private-hire-operators-licensed__docx	match	2	2	237	237
report-template__docx	pages	19	20	2980	3026
review-welsh-government-communications-mister-peter-mandelson__docx	match	14	14	3015	3017
s33song-beverlyactproductionofdocuments__docx	match	2	2	571	571
slcc-architecture-uu-architecture__docx	match	4	4	1205	1205
system_design__technical_architecture_template__docx	match	17	17	1722	1720
t_TEMPforInvProgs__docx	match	26	26	4963	5020
te.iors.00048-002 SUP Questionnaire__docx	match	4	4	620	620
technical report template__docx	match	10	10	856	845
technical-architecture__docx	match	8	8	1130	1109
technical-memo-format__docx	match	5	5	1813	1812
technical-report-template__docx	match	7	7	728	715
template---tpr-technical-progress-report-with-guidance__docx	pages	8	7	1840	1842
template-technical-report__docx	match	10	10	837	837
tibs_guidelines_2__docx	match	13	13	3154	3143
xx_SETIS_PWS_template_10.19.22__docx	match	15	15	4920	4923
手机免提系统TSB__doc	match	3	3	98	95
