# side=ours binary=/home/user/wt-odpfoot/dotnet/tools/Paperless.Cli/bin/Debug/net10.0/linux-x64/Paperless.Cli version=d766db3778c3cac048fb6488d5f44ae503c30616
path	status	rc	pages	words	rawwords	glyphs	fonts	unemb
slides/chartset-013/pptx/088_Infographic_Quadrant_Pie_Chart_7b1e8abd.pptx	OK	0	3	289	294	1435	5	0
slides/chartset-014/pptx/019_4-Step_Segmented_Cycle_Process_2ff93c19.pptx	OK	0	3	281	286	1417	5	0
slides/chartset-014/pptx/021_5-Position_Org_Chart_cb042559.pptx	OK	0	3	136	138	765	4	0
slides/chartset-014/pptx/024_5-Step_Segmented_Cycle_Process_c8ca37ef.pptx	OK	0	3	343	348	1721	5	0
slides/chartset-014/pptx/029_8-Step_Neumorphic_Cycle_Diagram_b9b75044.pptx	OK	0	3	341	346	1503	5	0
slides/chartset-014/pptx/036_Chevron_Process_Cards_3c8f0ea1.pptx	OK	0	3	161	166	737	5	0
slides/chartset-014/pptx/059_Four-Part_Concept_Puzzle_30cea7e5.pptx	OK	0	6	570	594	2961	6	0
slides/chartset-014/pptx/081_Infographic_Funnel_w_3_Stages_for_PowerPoint_28e26b31.pptx	OK	0	3	397	397	2006	5	0
slides/chartset-014/pptx/082_Infographic_Funnel_with_4_Stages_for_PowerPoint_72d4f125.pptx	OK	0	3	393	393	1990	5	0
slides/chartset-014/pptx/085_Infographic_Org_Chart_for_PowerPoint_5_Blocks_3870252f.pptx	OK	0	3	49	49	304	5	0
slides/chartset-014/pptx/086_Infographic_Org_Chart_for_PowerPoint_6_Blocks_f9086d83.pptx	OK	0	3	53	53	324	5	0
slides/done-001/ppt/WC_Update-Aug03.ppt	OK	0	11	452	519	2874	2	0
slides/done-001/ppt/policy-pesentation.ppt	OK	0	16	389	478	2288	3	0
slides/done-001/ppt/wells08_basic.ppt	OK	0	27	986	1172	5741	4	0
slides/done-001/pptx/111006 COMSTAC STOWG Aero spaceports IFG.pptx	OK	0	8	267	309	1647	2	0
slides/done-001/pptx/BMFE-06-03 (Gerflor) Smoke Density and Toxicity.pptx	OK	0	6	732	794	3547	4	0
slides/done-001/pptx/Definitions commodity chains.pptx	OK	0	4	261	279	1556	2	0
slides/done-001/pptx/Statement of Work presentation.pptx	OK	0	10	227	233	1286	3	0
slides/done-001/pptx/Trust Fund Excise Taxes Structure.pptx	OK	0	1	169	189	868	2	0
slides/done-001/pptx/fishbone-diagram-template-ppt-1.pptx	OK	0	1	189	197	882	2	0
slides/done-001/pptx/iaeg_work_group_leader_updates.pptx	OK	0	1	90	91	505	4	0
slides/done-002/ppt/080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	OK	0	18	815	838	4473	4	0
slides/done-002/ppt/gfopportunitiesforlinkagespres_2010_en.ppt	OK	0	27	1652	1722	10371	7	0
slides/done-002/ppt/ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007.ppt	OK	0	14	743	823	4659	5	0
slides/done-002/ppt/ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles.ppt	OK	0	20	909	1025	5043	3	0
slides/done-002/ppt/ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar.ppt	OK	0	10	555	587	2925	3	0
slides/done-002/ppt/ws_prod-g-doc-Events-Part-M-presentation.ppt	OK	0	30	1844	1923	10489	3	0
slides/done-002/pptx/Curriculum-Schematic-E22-11052025.pptx	OK	0	12	1131	1319	6925	5	0
slides/done-002/pptx/dhs-293364.pptx	OK	0	39	3618	3827	19661	8	0
slides/done-002/pptx/diapo_6_fees_vous_etes_poctdoct_exterieur_a_luniv_v2_0_1.pptx	OK	0	1	92	98	558	3	0
slides/done-002/pptx/medicines_bulletin_february_2023_final.pptx	OK	0	1	534	545	3093	4	0
slides/done-003/ppt/010605Vul.ppt	OK	0	21	947	1092	5746	6	0
slides/done-003/ppt/Inducement-to-Insurance-Business.ppt	OK	0	22	2587	2598	12942	4	0
slides/done-003/ppt/outlook_of_nigerian_pension_sector.ppt	OK	0	12	1021	1118	5802	5	0
slides/done-003/ppt/ws_prod-g-doc-Events-2007-Privileges.ppt	OK	0	15	799	842	4160	5	0
slides/done-003/ppt/ws_prod-g-doc-Events-2007-september-M.017-(French)-France.ppt	OK	0	55	6215	6471	33915	3	0
slides/done-003/ppt/ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ.ppt	OK	0	38	2662	2855	14835	4	0
slides/done-003/pptx/02_REDAC_New ATM briefing _March 2017v2.pptx	OK	0	6	759	805	4920	5	0
slides/done-003/pptx/97936.pptx	OK	0	15	1267	1353	6561	5	0
slides/done-003/pptx/NCW-2024-Guide-.pptx	OK	0	1	211	222	1181	4	0
slides/done-003/pptx/ev122_jj-liew-tort-of-bribery-webinar.pptx	OK	0	24	1374	1449	6738	5	0
slides/done-004/ppt/0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	OK	0	12	612	658	4499	3	0
slides/done-004/ppt/undp_presentation_revised_17_may.ppt	OK	0	22	1839	1930	10590	7	0
