# ours=dotnet/probes/odp-running-r71/ours-before.tsv ref=dotnet/probes/odp-master-r70/ref.tsv
path	pages	glyphs	verdict
slides/chartset-008/odp/018_4-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_19957cce.odp	3/3	1685/1685	match
slides/chartset-008/odp/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.odp	3/3	1585/1449	words
slides/chartset-008/odp/040_Crab_Diagram_for_PowerPoint_and_Google_Slides_13d38ff3.odp	3/3	633/633	match
slides/chartset-008/odp/058_Four-Direction_Divergence_Diagram_for_PowerPoint_and_Google_Slides_9838e28d.odp	3/3	1423/1423	match
slides/chartset-008/odp/065_Fourfold_Ribbon_Rings_for_PowerPoint_and_Google_Slides_39687419.odp	3/3	1401/1401	match
slides/chartset-008/odp/072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0.odp	3/3	407/407	match
slides/chartset-008/odp/078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a.odp	3/3	1155/1155	match
slides/chartset-008/odp/100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.odp	5/5	2032/2032	match
slides/chartset-009/odp/015_4-Option_Color_Wheel_Diagram_df7e4b8f.odp	3/3	1413/1413	match
slides/chartset-009/odp/020_5-Option_Color_Wheel_Diagram_104ea3b0.odp	3/3	1569/1569	match
slides/chartset-009/odp/022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e.odp	3/3	2063/2063	match
slides/chartset-009/odp/025_6-Option_Color_Wheel_Diagram_27e1c74d.odp	3/3	2021/2021	match
slides/chartset-009/odp/030_Abstract_Petal_Diagram_71aa5e3a.odp	3/3	1337/1335	match
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	3/3	1117/1117	match
slides/chartset-009/odp/037_Circle_Matrix_Framework_44bc5218.odp	3/3	1455/1453	match
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	3/3	1421/1421	match
slides/chartset-009/odp/075_Heart_Arc_Radial_for_PowerPoint_and_Google_Slides_a27a3021.odp	3/3	1029/1029	match
slides/chartset-009/odp/087_Infographic_Organization_Chart_for_PowerPoint_and_Google_Slides_2d951912.odp	4/4	3855/3855	match
slides/chartset-010/odp/002_10-Point_Dual_Hub_Comparison_4ee242c9.odp	3/3	445/445	match
slides/chartset-010/odp/027_6-Point_Dual_Hub_Comparison_13f9af30.odp	3/3	443/443	match
slides/chartset-010/odp/028_8-Point_Dual_Hub_Comparison_d6c5dde5.odp	3/3	443/443	match
slides/chartset-010/odp/041_Crosswise_Quadrant_Diagram_ea8bdf52.odp	3/3	1301/1299	match
slides/chartset-010/odp/042_Diamond_Hub_Infographic_a60cfaa1.odp	3/3	1403/1403	match
slides/chartset-010/odp/045_Dual-Segment_Quadrant_14a57221.odp	3/3	1483/1481	match
slides/chartset-010/odp/048_Five-Arrows_Converging_Cycle_bb192e27.odp	3/3	1589/1587	match
slides/chartset-010/odp/063_Four-Step_Infinity_Loop_3480185b.odp	3/3	573/573	match
slides/chartset-010/odp/093_Insightful_Zoom_Chart_22b5464e.odp	3/3	1831/1829	match
slides/chartset-010/odp/095_Interwoven_Bars_e5aa46c2.odp	3/3	1409/1407	match
slides/chartset-011/odp/010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0.odp	3/3	895/715	words
slides/chartset-011/odp/026_6-Part_Hexagon_Radial_Diagram_b8ca3f40.odp	3/3	987/987	match
slides/chartset-011/odp/034_Central_Idea_Hub_Diagram_8258e6ad.odp	3/3	747/747	match
slides/chartset-011/odp/046_Eight-Point_Strategic_Compass_35ee62de.odp	3/3	877/875	match
slides/chartset-011/odp/051_Five-Stage_Zigzag_Timeline_2bd39be9.odp	3/3	781/781	match
slides/chartset-011/odp/053_Flow_Wave_Process_9c0082f4.odp	3/3	889/889	match
slides/chartset-011/odp/060_Four-Part_Radial_Core_Diagram_40d6614e.odp	3/3	1349/1349	match
slides/chartset-011/odp/062_Four-Step_Growth_Staircase_8a3ef338.odp	3/3	979/979	match
slides/chartset-011/odp/097_Labeled_Organization_Chart_for_PowerPoint_and_Google_Slides_f24fa592.odp	3/3	1237/1237	match
slides/chartset-011/odp/098_Leaning_Cards_Process_dadb3738.odp	3/3	967/967	match
slides/chartset-012/odp/003_2-Circle_Venn_Diagram_7ab74e5c.odp	3/3	769/767	match
slides/chartset-012/odp/008_3-Circle_Venn_Diagram_024a12c5.odp	3/3	1097/1095	match
slides/chartset-012/odp/013_3-Step_Segmented_Cycle_Process_5232f82d.odp	3/3	1113/1113	match
slides/chartset-012/odp/061_Four-Stage_Serpentine_Chart_05699efe.odp	3/3	397/395	match
slides/chartset-012/odp/064_Four-Step_Success_Cycle_30c0a917.odp	3/3	701/701	match
slides/chartset-012/odp/067_Free_PowerPoint_Layered_Funnel_Process_4_Stages_4deb9647.odp	4/4	2392/2392	match
slides/chartset-012/odp/073_Halo_Radial_for_PowerPoint_and_Google_Slides_4bd0918b.odp	3/3	1383/1383	match
slides/chartset-012/odp/074_Hashtag_Matrix_246eb8d9.odp	3/3	1271/1269	match
slides/chartset-012/odp/080_Infographic_Cycle_Venn_Diagram_for_PowerPoint_2e3cdb7f.odp	3/3	1406/1406	match
slides/chartset-012/odp/089_Infographic_Radial_Matrix_for_PowerPoint_and_Google_Slides_eb0550f2.odp	3/3	1453/1453	match
slides/chartset-013/odp/014_3D_Radial_Block_List_for_PowerPoint_and_Google_Slides_0773075e.odp	3/3	2249/2249	match
slides/chartset-013/odp/016_4-Position_Org_Chart_1d3640b6.odp	3/3	745/745	match
slides/chartset-013/odp/023_5-Step_Progress_Cards_91d5ff57.odp	3/3	1155/1155	match
slides/chartset-013/odp/032_BCG_Growth-Share_Matrix_560d0485.odp	3/3	1153/1153	match
slides/chartset-013/odp/049_Five-Block_Hub_Spoke_42ee8593.odp	3/3	1333/1331	match
slides/chartset-013/odp/050_Five-Point_Radial_Hub_00793e08.odp	3/3	755/755	match
slides/chartset-013/odp/056_Four-Block_Hub_Spoke_134b89d1.odp	3/3	1107/1105	match
slides/chartset-013/odp/066_Free_PowerPoint_Layered_Funnel_Process_c0b380ec.odp	5/5	2975/2975	match
slides/chartset-013/odp/079_Horizontal_Relationships_for_PowerPoint_and_Google_Slides_a3d35f63.odp	3/3	745/745	match
slides/chartset-013/odp/088_Infographic_Quadrant_Pie_Chart_7b1e8abd.odp	3/3	1435/1433	match
slides/chartset-014/odp/019_4-Step_Segmented_Cycle_Process_2ff93c19.odp	3/3	1417/1417	match
slides/chartset-014/odp/021_5-Position_Org_Chart_cb042559.odp	3/3	765/765	match
slides/chartset-014/odp/024_5-Step_Segmented_Cycle_Process_c8ca37ef.odp	3/3	1721/1721	match
slides/chartset-014/odp/029_8-Step_Neumorphic_Cycle_Diagram_b9b75044.odp	3/3	1503/1501	match
slides/chartset-014/odp/036_Chevron_Process_Cards_3c8f0ea1.odp	3/3	737/737	match
slides/chartset-014/odp/059_Four-Part_Concept_Puzzle_30cea7e5.odp	6/6	2961/2959	match
slides/chartset-014/odp/081_Infographic_Funnel_w_3_Stages_for_PowerPoint_28e26b31.odp	3/3	2006/2006	match
slides/chartset-014/odp/082_Infographic_Funnel_with_4_Stages_for_PowerPoint_72d4f125.odp	3/3	1990/1990	match
slides/chartset-014/odp/085_Infographic_Org_Chart_for_PowerPoint_5_Blocks_3870252f.odp	3/3	304/304	match
slides/chartset-014/odp/086_Infographic_Org_Chart_for_PowerPoint_6_Blocks_f9086d83.odp	3/3	324/324	match
slides/done-001/odp/111006 COMSTAC STOWG Aero spaceports IFG.odp	8/8	1546/1647	words
slides/done-001/odp/BMFE-06-03 (Gerflor) Smoke Density and Toxicity.odp	6/6	3477/3547	match
slides/done-001/odp/Definitions commodity chains.odp	4/4	1326/1556	words
slides/done-001/odp/Statement of Work presentation.odp	10/10	1286/1255	words
slides/done-001/odp/Trust Fund Excise Taxes Structure.odp	1/1	868/868	match
slides/done-001/odp/WC_Update-Aug03.odp	11/11	2862/2874	match
slides/done-001/odp/fishbone-diagram-template-ppt-1.odp	1/1	882/882	match
slides/done-001/odp/iaeg_work_group_leader_updates.odp	1/1	505/505	match
slides/done-001/odp/policy-pesentation.odp	16/16	2288/2288	match
slides/done-001/odp/wells08_basic.odp	27/27	5671/5762	match
slides/done-002/odp/080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.odp	18/18	4473/4473	match
slides/done-002/odp/Curriculum-Schematic-E22-11052025.odp	12/12	6925/6925	match
slides/done-002/odp/dhs-293364.odp	39/39	17382/19700	words
slides/done-002/odp/diapo_6_fees_vous_etes_poctdoct_exterieur_a_luniv_v2_0_1.odp	1/1	558/558	match
slides/done-002/odp/gfopportunitiesforlinkagespres_2010_en.odp	27/27	10366/10371	match
slides/done-002/odp/medicines_bulletin_february_2023_final.odp	1/1	2902/3093	words
slides/done-002/odp/ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007.odp	14/14	4542/4659	words
slides/done-002/odp/ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles.odp	20/20	4658/5043	words
