doc	ours_items	ref_items	ours_meanw	ref_meanw	width_ratio
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1__docx.pdf	92	100	0.908	0.875	1.037
014_advanced_excel_scatter__xlsx.pdf	484	492	0.970	0.965	1.005
014_advanced_powerpoint_area__pptx.pdf	37	46	0.998	0.992	1.006
014_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
015_Free_Gantt_Chart_Template_for_Excel_414e86bf__xlsx.pdf	199	213	0.800	0.593	1.350
015_advanced_excel_bubble__xlsx.pdf	42	50	0.737	0.736	1.002
015_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
016_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
017_advanced_powerpoint_bar__pptx.pdf	37	46	0.998	0.992	1.006
017_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
018_4-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_19957cce__pptx.pdf	342	342	2.239	2.239	1.000
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx.pdf	908	920	1.012	1.007	1.006
018_advanced_excel_line__xlsx.pdf	1352	1360	0.987	0.984	1.003
018_advanced_powerpoint_column__pptx.pdf	37	46	0.998	0.992	1.006
018_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx.pdf	492	518	0.621	0.624	0.995
019_advanced_powerpoint_line__pptx.pdf	53	62	1.301	1.255	1.036
019_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
020_5-Option_Color_Wheel_Diagram_104ea3b0__pptx.pdf	50	50	2.392	2.392	1.000
020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39__xlsx.pdf	221	236	0.750	0.748	1.002
020_Project_Timeline_Template_Modern_Theme_0c215d87__docx.pdf	93	98	0.849	0.857	0.991
020_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d__xlsx.pdf	573	575	0.791	0.786	1.006
021_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e__pptx.pdf	330	330	2.239	2.239	1.000
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874__xlsx.pdf	83	84	0.825	0.820	1.007
022_advanced_excel_scatter__xlsx.pdf	482	490	0.971	0.966	1.005
022_advanced_powerpoint_area__pptx.pdf	37	46	0.998	0.992	1.006
022_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
023_advanced_excel_bubble__xlsx.pdf	40	48	0.737	0.736	1.002
023_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
024_Free_Kids_Chore_Chart_Template_ad74bb34__xlsx.pdf	101	107	0.293	0.352	0.832
024_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
025_6-Option_Color_Wheel_Diagram_27e1c74d__pptx.pdf	68	68	2.198	2.198	1.000
025_advanced_powerpoint_bar__pptx.pdf	37	46	0.998	0.992	1.006
025_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
026_6-Part_Hexagon_Radial_Diagram_b8ca3f40__pptx.pdf	699	686	0.545	0.537	1.016
026_advanced_excel_line__xlsx.pdf	1352	1360	0.987	0.984	1.003
026_advanced_powerpoint_column__pptx.pdf	37	46	0.998	0.992	1.006
026_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
027_advanced_powerpoint_line__pptx.pdf	53	62	1.301	1.255	1.036
027_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
028_Budget_summary_report_4aeefd13__xlsx.pdf	68	68	0.686	0.564	1.217
028_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
029_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx.pdf	148	182	0.892	0.898	0.993
030_advanced_excel_scatter__xlsx.pdf	484	492	0.970	0.965	1.005
030_advanced_powerpoint_area__pptx.pdf	37	46	0.998	0.992	1.006
030_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
031_Business_expense_budget_f3a46278__xlsx.pdf	37	37	0.661	0.656	1.007
031_advanced_excel_bubble__xlsx.pdf	40	48	0.737	0.736	1.002
031_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
032_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
033_Event_planning_tracker_Use_this_template_f29a848e__xlsx.pdf	92	104	0.584	0.464	1.259
033_advanced_powerpoint_bar__pptx.pdf	37	46	0.998	0.992	1.006
033_advanced_word_chart_report__docx.pdf	10	10	1.000	1.000	1.000
034_Personal_net_worth_calculator_f7b8fb57__xlsx.pdf	73	79	0.774	0.770	1.006
034_advanced_excel_line__xlsx.pdf	1354	1362	0.987	0.984	1.003
036_Chevron_Process_Cards_3c8f0ea1__pptx.pdf	10	10	3.005	3.005	1.000
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx.pdf	26	26	0.327	0.331	0.987
037_Personal_money_tracker_a57957bb__xlsx.pdf	61	65	1.085	1.019	1.065
038_Baby_growth_chart_bb9cd672__xlsx.pdf	41	41	0.520	0.520	1.000
039_Baby_growth_tracker_e295ae56__xlsx.pdf	41	41	0.511	0.510	1.000
03_Technical_Report_(progress)_template__docx.pdf	146	149	0.603	0.601	1.002
040_Blood_pressure_tracker_872b6833__xlsx.pdf	35	41	0.919	0.754	1.219
043_Buy_a_car_vs._rideshare_ff07c7e6__xlsx.pdf	58	62	1.119	0.944	1.186
043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1__docx.pdf	49	53	0.500	0.500	1.000
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx.pdf	326	348	0.750	0.483	1.554
045_Check_register_with_chart_4becb8a0__xlsx.pdf	17	17	2.280	1.559	1.462
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c__docx.pdf	23	23	0.500	0.500	1.000
046_Cost_analysis_with_Pareto_chart_7db5ef69__xlsx.pdf	21	21	0.385	0.393	0.980
049_Expenses_calculator_c351f3d0__xlsx.pdf	34	36	1.060	1.121	0.945
049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f__docx.pdf	16	16	0.500	0.500	1.000
050_Financial_vision_d44241e1__xlsx.pdf	22	23	1.005	0.470	2.138
052_Manufacturing_output_chart_88570318__xlsx.pdf	10	10	0.472	0.464	1.018
053_Organogram_Template_Creative_Theme_21657a3d__docx.pdf	20	20	0.325	0.325	1.000
053_Personal_asset_inventory_5446d84b__xlsx.pdf	335	324	0.601	0.602	0.998
056_Organogram_Template_Square_Theme_38f373d4__docx.pdf	39	39	0.500	0.500	1.000
057_Simple_balance_sheet_Use_this_template_e2d4cbb2__xlsx.pdf	16	20	1.765	2.966	0.595
058_Social_media_engagement_data_cfa1cb18__xlsx.pdf	11	11	0.650	0.556	1.168
061_Regional_sales_chart_cb9eb690__xlsx.pdf	41	41	1.046	0.848	1.233
062_Four-Step_Growth_Staircase_8a3ef338__pptx.pdf	672	738	0.298	0.367	0.813
062_Run_chart_cb7476ea__xlsx.pdf	52	56	2.267	1.998	1.135
063_Four-Step_Infinity_Loop_3480185b__pptx.pdf	56	56	2.239	2.239	1.000
063_Sales_pipeline_aec57013__xlsx.pdf	16	16	1.550	1.332	1.164
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06__docx.pdf	35	39	0.514	0.564	0.912
064_Four-Step_Success_Cycle_30c0a917__pptx.pdf	592	732	0.833	1.170	0.712
065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62__docx.pdf	31	25	0.361	0.424	0.852
067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b__docx.pdf	63	52	0.144	0.154	0.939
070_Storyboard_Template_Blank_Format_fc41673a__docx.pdf	128	134	1.500	1.500	1.000
071_Four-week_project_timeline_Use_this_template_4f05db49__xlsx.pdf	81	90	0.824	0.367	2.247
072_Storyboard_Template_Colored_Theme_28524a15__docx.pdf	52	52	0.577	0.577	1.000
073_Graph_paper_6e1a30eb__xlsx.pdf	173	179	0.750	0.750	1.000
074_Storyboard_Template_Editable_Design_132436d1__docx.pdf	38	38	1.105	1.105	1.000
076_Storyboard_Template_Gray_Theme_1e5fd5e5__docx.pdf	48	48	1.000	1.000	1.000
077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab__docx.pdf	96	96	1.000	1.000	1.000
078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a__pptx.pdf	120	120	0.510	0.510	1.000
079_Horizontal_Relationships_for_PowerPoint_and_Google_Slides_a3d35f63__pptx.pdf	38	38	14.003	14.003	1.000
079_Org_charts_visual_248d1dcf__xlsx.pdf	157	159	0.750	0.158	4.759
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop__ppt.pdf	32	26	1.547	1.542	1.003
080_Printable_Graph_Paper_Template_Black_Theme_6b066be1__docx.pdf	86	86	0.767	0.767	1.000
081_Printable_Graph_Paper_Template_Blue_Theme_629316cb__docx.pdf	92	92	0.481	0.481	1.000
082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b__docx.pdf	98	99	0.684	0.684	0.999
082_Project_to_do_list_28f80082__xlsx.pdf	10	10	0.750	0.435	1.724
083_Printable_Graph_Paper_Template_Customizable_Format_55ff93a3__docx.pdf	24	24	0.500	0.500	1.000
084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820__docx.pdf	86	86	1.000	1.000	1.000
084_Service_invoice_Use_this_template_c92b43dc__xlsx.pdf	36	40	0.108	0.182	0.596
085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a__docx.pdf	82	82	0.695	0.695	1.000
085_Simple_Gantt_chart_d65b8377__xlsx.pdf	336	410	0.750	0.399	1.882
087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04__docx.pdf	88	87	0.491	0.494	0.994
088_Printable_Graph_Paper_Template_Quality_layout_33051f6e__docx.pdf	50	50	0.500	0.500	1.000
089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88__docx.pdf	108	108	0.500	0.500	1.000
090_Business_Case_Template_Blue_Theme_108ff0f1__docx.pdf	24	23	0.483	0.500	0.967
090_Weekly_time_sheet_Use_this_template_0499cc43__xlsx.pdf	26	29	0.750	0.467	1.606
091_Business_Case_Template_Complete_Guide_cb91a140__docx.pdf	31	31	0.500	0.500	1.000
091_Volunteer_Sign_Up_Sheet_Template_Colored_Background_2cb58d01__xlsx.pdf	32	35	0.050	0.100	0.500
092_Business_Case_Template_Convenient_Format_00786cce__docx.pdf	103	103	0.500	0.500	1.000
093_Business_Case_Template_Customizable_Layout_510c25e7__docx.pdf	28	28	0.500	0.500	1.000
093_Volunteer_Sign_Up_Sheet_Template_Customizable_Format_3a4d6b58__xlsx.pdf	76	86	0.750	0.750	1.000
094_Business_Case_Template_Decent_Layout_e7722f2b__docx.pdf	24	24	0.500	0.500	1.000
094_Volunteer_Sign_Up_Sheet_Template_Editable_Format_6711b281__xlsx.pdf	30	34	0.750	0.737	1.018
096_Business_Case_Template_Editable_Layout_41fe0bc0__docx.pdf	40	40	0.500	0.500	1.000
096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5__pptx.pdf	84	84	6.009	6.009	1.000
096_Volunteer_Sign_Up_Sheet_Template_Green_Theme_b4f1809d__xlsx.pdf	99	104	0.050	0.104	0.481
097_Business_Case_Template_Elegant_Layout_3ba9cbf2__docx.pdf	43	43	0.500	0.500	1.000
098_Business_Case_Template_Fillable_Layout_d0c5410e__docx.pdf	27	30	0.485	0.447	1.086
098_Leaning_Cards_Process_dadb3738__pptx.pdf	402	438	0.603	0.596	1.013
099_Business_Case_Template_Gray_Theme_ac3edbf4__docx.pdf	32	32	0.500	0.500	1.000
100_Business_Case_Template_Modern_Format_ff9e7282__docx.pdf	57	57	0.500	0.640	0.781
10795__doc.pdf	50	56	0.580	0.620	0.936
150-5370-10H__docx.pdf	2328	2406	0.072	0.089	0.818
150_5300_13_chg8__doc.pdf	2567	2429	0.104	0.114	0.910
1528039320__docx.pdf	79	79	0.387	0.387	1.000
1528364855__doc.pdf	203	202	0.797	0.799	0.998
16424782563923__xlsx.pdf	123	129	0.750	0.750	1.000
171128IPAP__pptx.pdf	1112	1107	2.623	2.599	1.009
18-02RD301_ILS_components_Master_9-13-18__xls.pdf	10	11	0.750	0.750	1.000
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls.pdf	28	33	0.750	0.659	1.137
2014BSA_Sunday_Killion__pptx.pdf	441	472	1.943	1.826	1.064
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	163	168	0.750	0.750	1.000
2015-April-SWIM_Users_Forum-Q&A__docx.pdf	70	66	0.500	0.526	0.951
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1__xlsx.pdf	171	177	0.750	0.532	1.409
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1__xlsx.pdf	171	177	0.750	0.532	1.409
2023-qhp-form-and-rate-combined-checklist-final__xlsx.pdf	141	160	0.842	0.844	0.998
2025_Active_Civil_Airmen_Statistics_FINAL__xlsx.pdf	149	160	0.750	0.749	1.001
237287_0486190101_0486190101_geolink2neu__doc.pdf	92	95	0.500	0.498	1.004
2ca950374241722b8ea7c132dfce63ae__doc.pdf	44	38	0.336	0.332	1.014
4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements__xls.pdf	129	141	0.750	0.750	1.000
429_BLISc 2019 IInd Sem.  PAPER-7 UNIT 3__pptx.pdf	16	16	0.737	0.737	1.000
4400-91_Proposal_To_Lease_Space_10-2024__docx.pdf	99	89	0.500	0.500	1.000
5709.16 ch.40_mgfinal__docx.pdf	48	50	2.219	2.154	1.030
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web__xlsx.pdf	358	372	0.750	0.383	1.961
8_P-Pavese_AIRBUS-ATB-journee-CRATB__pptx.pdf	58	47	0.823	0.804	1.023
97936__pptx.pdf	63	71	1.244	1.234	1.008
A1. EASA Form 2__docx.pdf	433	433	0.473	0.484	0.977
A320SimNotes__doc.pdf	81	92	0.500	0.534	0.937
AATF-Fact-Sheet-2025__pptx.pdf	13	15	0.635	0.611	1.040
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1__docx.pdf	202	243	0.551	0.528	1.043
AFCforPtF-Digital-Certificate-Publication-Report__xlsx.pdf	222	239	0.750	0.750	1.000
AFS-050-004-F2_0i__docx.pdf	220	218	0.669	0.672	0.996
AIRBUS_station_evaluation_checklist_v2__xlsx.pdf	35	37	0.750	0.458	1.639
AMOC-Digital-Certificate-Publication-Report__xlsx.pdf	115	132	0.750	0.750	1.000
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf__docx.pdf	14	14	0.464	0.464	1.000
AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024__docx.pdf	234	235	0.517	0.518	0.998
A_320__doc.pdf	84	86	0.732	0.729	1.004
Air_Boss_Master_List__xlsx.pdf	113	125	0.898	0.950	0.945
AirbusCallouts__doc.pdf	223	229	0.612	0.605	1.011
Aircraft_Database__xlsx.pdf	264	257	1.095	1.124	0.974
Application_Compliance_Checklist_5_Apr_2021__xlsx.pdf	1255	1284	0.472	0.206	2.291
Application_for_authorisation_as_crowdfunding_service_provider__xlsx.pdf	106	122	0.750	0.746	1.005
B11. TE.CAO.00129  Experience  logbook__docx.pdf	152	163	0.946	0.989	0.956
Background_Declaration_Template__xls.pdf	156	162	0.750	0.602	1.245
Bulletin-37-Appendix-2-immediate-detriment-data-request__xlsx.pdf	11	13	0.780	0.673	1.159
CIS_Debian_Linux_8_Benchmark_v1.0.0__xls.pdf	49	52	0.750	0.750	1.000
CP-ETSO template_v2020__doc.pdf	100	100	0.500	0.500	1.000
CSA_CCM_v1.2__xls.pdf	525	554	0.750	0.300	2.500
CSCRS_Technical-Report-Documentation-Page-with-instructions__docx.pdf	24	24	0.500	0.500	1.000
CSJU List of Recipients of funds 2013-2020__xlsx.pdf	540	559	0.750	0.509	1.472
Case-Study-Heathrow-Airport__docx.pdf	44	41	1.591	1.700	0.936
DOA_Template_Form_Type_Certification_Programme__docx.pdf	160	197	0.814	0.801	1.017
DOE Interactive Exercise Presentation draft rev 2__pptx.pdf	400	498	1.033	1.134	0.910
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0)__xlsx.pdf	34	36	0.750	0.750	1.000
Data-Architecture-Tool-Fit-Assessment-Template__xlsx.pdf	194	211	0.750	0.750	1.000
Demick_JetBlue__pptx.pdf	595	608	1.296	1.303	0.995
EASA_PRODUCT_LIST_-_ALL__xlsx.pdf	399	415	0.750	0.750	1.001
ECA Sinters__xls.pdf	559	572	0.750	0.416	1.803
ECSS-E-ST-50-16C-Annex-A(30September2021)__docx.pdf	87	106	0.787	0.736	1.070
EG1_dsrc tech__ppt.pdf	1399	1409	0.543	0.540	1.005
ESPN-R - MCF - Manual - Ed1.0 - For Publication__docx.pdf	125	132	0.396	0.428	0.925
ESPN-R - MCF - RA - Ed1__docx.pdf	210	226	0.510	0.532	0.957
ExampleWhiteListData__xlsx.pdf	277	289	0.750	0.750	1.000
FAA_Form_337__ppt.pdf	2570	2626	0.107	0.128	0.832
FG-AI4NDM-TR-skeleton_template__docx.pdf	18	18	0.833	0.833	1.000
FIT26-Presentation-PR-Briefing-Debrief-Airbus__pptx.pdf	131	131	1.341	1.343	0.999
FO.FCTOA.00010 Application for a Part-ORA ATO Approval__docx.pdf	282	282	0.387	0.385	1.005
FO.FCTOA_.000129 Application for activities related to FSTD__docx.pdf	283	333	0.457	0.480	0.951
FY2021-AIP-grants__xlsx.pdf	890	921	0.750	0.270	2.778
FY2023-AIP-grants__xlsx.pdf	851	881	0.750	0.323	2.325
Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11__docx.pdf	247	251	0.256	0.261	0.981
Geo_Abschlussarbeiten__xlsx.pdf	111	111	0.118	0.113	1.045
Global_Market_Forecast_2016-2035_Airbus_Data_Set__xlsx.pdf	309	317	0.750	0.750	1.000
Hazard Analysis Template__xls.pdf	84	89	0.917	0.795	1.153
INDEX_Digital_Transformation_Toolkits__xls.pdf	24	26	1.417	1.365	1.038
Infotabelle_WLAN im Flugzeug__xlsx.pdf	87	97	0.750	0.745	1.007
Keywords_Mapping_Graphs_and_Charts__xlsx.pdf	174	196	0.830	0.815	1.019
LHD-230-application-for-the-approval-of-an-aircraftr__doc.pdf	22	23	0.586	0.583	1.006
List of EQS securities_0__xls.pdf	418	435	0.772	0.778	0.992
Liste-Zertifizierung-ChemKlimaschutzV-RPT__xls.pdf	171	181	0.762	0.426	1.787
MajCh-Digital-Certificate-Publication-Report__xlsx.pdf	223	240	0.750	0.750	1.000
MinCh-Digital-Certificate-Publication-Report__xlsx.pdf	156	173	0.750	0.750	1.000
N2_E_Maestroni_Swarm_COP__pptx.pdf	18	21	0.450	0.499	0.901
NPIAS_2007_App_A__xls.pdf	479	495	0.750	0.750	1.000
NPIAS_App_A__xls.pdf	271	280	0.827	0.609	1.360
National-Finalists-2024-1__xlsx.pdf	354	367	0.753	0.753	1.000
National-Reports__xlsx.pdf	255	267	0.750	0.750	1.000
ODs-February-2022-Airbus-Commercial-Aircraft__xlsx.pdf	613	630	0.858	0.858	1.000
P1636e__xls.pdf	11	11	1.114	1.114	1.000
P200904290238_0238_51880__doc.pdf	73	67	0.500	0.504	0.991
PA_Delaware__xls.pdf	185	207	0.961	0.704	1.366
PBN Matrix NAAs (V01)__xlsx.pdf	23	28	0.750	0.788	0.952
PC1000__xls.pdf	556	596	0.761	0.748	1.018
PI-doc.-no.-2E-Technical-Review-Report__docx.pdf	87	106	0.514	0.559	0.920
PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024__doc.pdf	19	21	0.500	0.529	0.946
Patent Index 2024 - Top 100 applicants 2024__xlsx.pdf	106	108	0.750	0.255	2.941
Performance__xlsx.pdf	37	44	0.750	0.619	1.212
Presentation - Identify Components of the Airport (1)__pptx.pdf	12	11	3.005	3.365	0.893
RCO_VOR_Master_List_082824__xlsx.pdf	21	23	1.083	1.141	0.949
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx.pdf	66	76	1.765	1.664	1.061
REDAC_SCHEDULE_RPD_135__xls.pdf	87	89	0.957	0.926	1.033
REDAC_SCHEDULE_RPD_137__xls.pdf	225	229	0.901	0.682	1.321
RMP 2011-2014 and Inventory__xls.pdf	250	290	0.830	0.502	1.655
RNW167A-150428__doc.pdf	206	214	0.500	0.500	1.000
ROK-PI Climate Bulletin - Edition 2017-06__pptx.pdf	58	72	0.918	0.936	0.981
RPA-Budgets-FY-17-19-20__xls.pdf	257	261	0.750	0.750	1.000
RPD 155 REDAC SCHEDULE 2014-04-02__xls.pdf	48	49	1.167	0.801	1.456
RVSM_Non_approved_list_2025_84c0b3f4ac__xlsx.pdf	113	119	1.423	1.422	1.000
SDL_FSDO_Part91_LOA_Checklist__docx.pdf	41	43	0.476	0.553	0.859
SIL_TDB605__xls.pdf	14	16	1.107	1.114	0.994
SIL_TDB609__xls.pdf	62	69	0.960	0.936	1.025
SIL_TDB648__xlsx.pdf	64	71	1.031	1.026	1.005
SRDMG(16)024_60 GHz onboard airplanes__pptx.pdf	23	25	0.669	0.806	0.830
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA__xlsx.pdf	42	52	0.750	0.748	1.003
STC_WebList__xlsx.pdf	117	130	0.750	0.750	1.000
Sean Monogue__pptx.pdf	88	109	1.212	1.163	1.043
SectorAdvisoryGroupandStrategyBoards__xls.pdf	329	343	0.750	0.503	1.492
Snowbirds_High_Show__pptx.pdf	385	476	1.457	1.430	1.019
Stakeholders-v08052017 - v5__pptx.pdf	52	57	1.666	1.625	1.025
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing__xlsx.pdf	214	225	0.750	0.236	3.180
T0A0D0000090006XLSE__xls.pdf	81	97	0.750	0.750	1.000
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx.pdf	394	464	0.556	0.557	0.997
TICAPCapability_Final__xls.pdf	329	333	0.849	0.515	1.648
TOGAF9-Tool-ConfReqts-CSQ__xls.pdf	486	540	0.478	0.255	1.877
Temp16__doc.pdf	23	23	0.739	0.739	1.000
Template Pilot Logbook JAR-FCL V3.0__xls.pdf	275	320	0.768	0.796	0.965
Thailand17__ppt.pdf	11	11	1.545	0.800	1.931
Travel-Cost-Estimate-Calculator__xlsx.pdf	62	71	0.750	0.752	0.997
UAE Type Accepted Aircraft Models__xlsx.pdf	252	264	0.750	0.750	1.000
UAS-SGI_waiver_approval_request_form__docx.pdf	83	91	0.596	0.664	0.899
UG.CAO.00133 Foreign Part 145 approvals - Language__docx.pdf	89	94	0.598	0.598	1.000
VOR Candidate Discontinuance List 2026-01-08__xlsx.pdf	351	365	0.750	0.750	1.000
Wales_Office_Quarter_4_Ministerial_Transparency_Return__doc.pdf	216	218	0.500	0.504	0.993
WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222__pptx.pdf	108	107	1.653	1.640	1.008
afn-afn-20250801-fy25-jan25-mar25__xlsx.pdf	152	168	0.750	0.750	1.000
airbus-pdf-information-package_v1-4__docx.pdf	167	167	0.522	0.522	1.000
alle einzeln__xlsx.pdf	127	131	1.024	1.031	0.993
approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook__docx.pdf	155	162	0.947	1.002	0.945
architecture6__ppt.pdf	46	46	1.478	1.020	1.450
arp-sop-300-Exhibit-A-Table-Templates__xlsx.pdf	103	124	0.750	0.647	1.160
atspp_pay_tables__xlsx.pdf	275	330	0.877	0.750	1.169
bar_chart__pptx.pdf	12	11	0.749	0.737	1.016
capa-liste-nse-1__xls.pdf	439	457	0.764	0.765	0.998
certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10__doc.pdf	99	102	0.500	0.503	0.994
certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013__xlsx.pdf	52	56	1.308	1.286	1.017
commander-authorisation-tasks-spreadsheet-october-2025__xlsx.pdf	15	15	0.750	0.735	1.020
cy01_state__xls.pdf	509	525	0.750	0.690	1.087
cy06_primary_np_comm__xls.pdf	596	625	0.199	0.255	0.781
cy10_primary_enplanements__xls.pdf	460	490	0.243	0.299	0.814
docs-quality-MA.IMS.00001-Integrated-Management-System-manual__docx.pdf	54	66	0.642	0.648	0.991
draft-variation-notice-airbus-bm3965ia-v006-vs-comments__docx.pdf	88	90	0.554	0.553	1.002
dragon-175066A__xlsx.pdf	656	697	0.750	0.274	2.739
dragon1-enterprise-architecture-document-example-v0.1d__docx.pdf	29	26	0.500	0.500	1.000
e-pass-contact-details-template__xlsx.pdf	26	32	0.750	0.750	1.000
