# words track re-swept 2026-09-06 at 559c86998 + this round's change
# ours: Paperless.Cli from /home/user/wt-diagram; reference: /usr/bin/soffice 24.2.7.2 420(Build:2)
# fonts: system fontconfig (Carlito, Caladea, Liberation, DejaVu, WenQuanYi, IPAGothic); PAPERLESS_BUNDLED_FONTS unset
# corpus /home/user/sample-files; scored against /home/user/gate-2f47/parity.tsv
# TOTAL 338  MATCH 313  MISMATCH 25  REF-CANNOT-RENDER 0   (banked: MATCH 312  MISMATCH 26)
# words = tokens carrying at least one Unicode letter or digit; rawwords = pdftotext | wc -w
# NOT comparable to any scoreboard recorded before 2026-08-13 — see dotnet/probes/gate-01/results.md
path	ext	pages	words	fonts	unemb	verdict	rawwords
words/chartset-002/docx/017_advanced_word_chart_report.docx	docx	1/1	95/95	4/4	0	match	101/101	540/540
words/chartset-002/docx/021_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	532/532
words/chartset-002/docx/023_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	532/532
words/chartset-002/docx/029_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	528/528
words/chartset-002/docx/030_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	528/528
words/chartset-002/docx/033_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	529/529
words/chartset-003/docx/001_advanced_word_chart_report.docx	docx	1/1	95/95	4/4	0	match	101/101	535/535
words/chartset-003/docx/003_advanced_word_chart_report.docx	docx	1/1	95/95	4/4	0	match	101/101	534/534
words/chartset-003/docx/004_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	530/530
words/chartset-003/docx/007_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	531/531
words/chartset-003/docx/009_advanced_word_chart_report.docx	docx	1/1	96/96	4/4	0	match	102/102	540/540
words/chartset-003/docx/016_advanced_word_chart_report.docx	docx	1/1	95/95	4/4	0	match	101/101	537/537
words/chartset-003/docx/019_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	533/533
words/chartset-003/docx/025_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	524/524
words/chartset-003/docx/027_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	528/528
words/chartset-003/docx/028_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	530/530
words/chartset-004/docx/010_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	533/533
words/chartset-004/docx/012_advanced_word_chart_report.docx	docx	1/1	95/95	4/4	0	match	101/101	538/538
words/chartset-004/docx/013_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	525/525
words/chartset-004/docx/018_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	530/530
words/chartset-004/docx/022_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	530/530
words/chartset-004/docx/024_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	536/536
words/chartset-004/docx/031_advanced_word_chart_report.docx	docx	1/1	94/94	4/4	0	match	100/100	527/527
words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	docx	1/1	29/29	2/2	0	match	29/29	120/120
words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	docx	1/1	2/2	1/1	0	match	2/2	8/8
words/chartset-005/docx/036_Venn_Diagram_Template_Fillable_Layout_3ffbba36.docx	docx	1/1	13/13	2/2	0	match	15/15	61/61
words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	docx	1/1	42/42	1/1	0	match	42/42	178/178
words/chartset-005/docx/053_Organogram_Template_Creative_Theme_21657a3d.docx	docx	1/1	32/32	1/1	0	match	32/32	138/138
words/chartset-005/docx/054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8.docx	docx	1/1	36/36	1/1	0	match	36/36	154/154
words/chartset-005/docx/083_Printable_Graph_Paper_Template_Customizable_Format_55ff93a3.docx	docx	1/1	3/3	1/1	0	match	4/4	14/14
words/chartset-005/docx/084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820.docx	docx	1/1	2/4	2/1	0	match	2/6	10/19
words/chartset-005/docx/085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a.docx	docx	1/1	4/4	1/1	0	match	6/6	19/19
words/chartset-005/docx/087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04.docx	docx	2/1	14/12	2/2	0	pages	16/14	37/27
words/chartset-006/docx/001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7.docx	docx	1/1	43/43	2/2	0	match	43/43	176/176
words/chartset-006/docx/002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b.docx	docx	1/1	88/86	2/2	0	match	88/86	303/304
words/chartset-006/docx/033_Venn_Diagram_Template_Colored_Theme_2aea6697.docx	docx	1/1	13/13	1/1	0	match	16/16	63/63
words/chartset-006/docx/057_Organogram_Template_Vertical_Colorful_Theme_724b143c.docx	docx	1/1	36/36	2/2	0	match	36/36	202/202
words/chartset-006/docx/081_Printable_Graph_Paper_Template_Blue_Theme_629316cb.docx	docx	1/1	5/5	2/1	0	match	8/8	25/25
words/chartset-006/docx/086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7.docx	docx	1/1	2/4	2/1	0	match	2/6	10/19
words/chartset-006/docx/088_Printable_Graph_Paper_Template_Quality_layout_33051f6e.docx	docx	1/1	2/2	1/1	0	match	2/2	10/10
words/chartset-006/docx/093_Business_Case_Template_Customizable_Layout_510c25e7.docx	docx	1/1	34/34	2/2	0	match	34/34	201/201
words/chartset-006/docx/097_Business_Case_Template_Elegant_Layout_3ba9cbf2.docx	docx	2/1	54/54	3/3	0	pages	54/54	276/276
words/chartset-006/docx/099_Business_Case_Template_Gray_Theme_ac3edbf4.docx	docx	1/1	45/45	1/1	0	match	45/45	294/294
words/chartset-007/docx/009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0.docx	docx	1/1	44/44	3/3	0	match	44/44	170/170
words/chartset-007/docx/018_Project_Timeline_Template_Editable_Format_e1cf1df5.docx	docx	1/1	108/108	2/2	0	match	108/108	422/422
words/chartset-007/docx/025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892.docx	docx	1/1	141/141	3/3	0	match	157/141	607/607
words/chartset-007/docx/034_Venn_Diagram_Template_Customizable_Format_d14642b7.docx	docx	1/1	13/13	1/1	0	match	16/16	63/63
words/chartset-007/docx/049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f.docx	docx	1/1	61/61	2/2	0	match	62/62	406/406
words/chartset-007/docx/058_Organogram_Template_With_Picture_Theme_44b79368.docx	docx	1/1	16/16	1/1	0	match	16/16	74/74
words/chartset-007/docx/074_Storyboard_Template_Editable_Design_132436d1.docx	docx	1/1	19/19	3/3	0	match	51/51	170/170
words/chartset-007/docx/080_Printable_Graph_Paper_Template_Black_Theme_6b066be1.docx	docx	1/1	6/6	1/1	0	match	9/9	27/27
words/chartset-007/docx/089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88.docx	docx	1/1	2/2	1/1	0	match	4/4	10/10
words/chartset-007/docx/094_Business_Case_Template_Decent_Layout_e7722f2b.docx	docx	1/1	29/29	2/2	0	match	29/29	189/189
words/chartset-008/docx/004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	docx	1/1	37/37	3/3	0	match	37/37	145/145
words/chartset-008/docx/006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541.docx	docx	1/1	53/53	3/3	0	match	53/53	203/203
words/chartset-008/docx/010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	docx	1/1	77/77	3/3	0	match	77/77	318/318
words/chartset-008/docx/012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550.docx	docx	2/2	49/49	2/2	0	match	56/56	201/201
words/chartset-008/docx/016_Project_Timeline_Template_Complete_Guide_7d36d09c.docx	docx	1/1	159/159	3/3	0	match	159/159	633/633
words/chartset-008/docx/035_Venn_Diagram_Template_Editable_Format_966dff5f.docx	docx	1/1	39/39	2/2	0	match	40/40	142/142
words/chartset-008/docx/046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0.docx	docx	1/1	93/93	2/2	0	match	99/99	591/591
words/chartset-008/docx/092_Business_Case_Template_Convenient_Format_00786cce.docx	docx	7/7	1025/1026	2/2	0	match	1027/1028	5699/5699
words/chartset-008/docx/098_Business_Case_Template_Fillable_Layout_d0c5410e.docx	docx	1/1	89/89	2/2	0	match	89/89	458/458
words/chartset-008/docx/100_Business_Case_Template_Modern_Format_ff9e7282.docx	docx	5/5	98/102	2/2	0	match	100/104	512/512
words/chartset-009/docx/007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	docx	1/1	34/34	3/3	0	match	34/34	137/137
words/chartset-009/docx/017_Project_Timeline_Template_Customizable_Format_5d5ca2e8.docx	docx	1/1	89/89	3/3	0	match	89/89	470/470
words/chartset-009/docx/019_Project_Timeline_Template_Excellent_Layout_4ee62967.docx	docx	1/1	95/95	2/2	0	match	100/100	331/331
words/chartset-009/docx/027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	docx	1/1	379/378	3/3	0	match	379/378	1557/1557
words/chartset-009/docx/030_Unit_Circle_Chart_Points_System_23b5ef07.docx	docx	1/1	114/114	3/3	0	match	124/118	403/403
words/chartset-009/docx/037_Venn_Diagram_Template_Four_Circle_764829a0.docx	docx	1/1	20/20	1/1	0	match	20/20	98/98
words/chartset-009/docx/041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010.docx	docx	1/1	30/30	2/2	0	match	33/33	124/124
words/chartset-009/docx/042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb.docx	docx	1/1	85/86	3/3	0	match	87/88	487/487
words/chartset-009/docx/077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab.docx	docx	1/1	6/6	3/3	0	match	32/32	33/33
words/chartset-009/docx/082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b.docx	docx	1/1	3/3	1/1	0	match	6/6	14/14
words/chartset-010/docx/020_Project_Timeline_Template_Modern_Theme_0c215d87.docx	docx	1/1	109/109	2/2	0	match	122/122	316/316
words/chartset-010/docx/023_Unit_Circle_Chart_Circular_Percentage_790f7b75.docx	docx	1/1	107/107	3/3	0	match	107/107	550/550
words/chartset-010/docx/026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1.docx	docx	1/1	99/99	4/3	0	match	153/153	418/418
words/chartset-010/docx/028_Unit_Circle_Chart_Optimized_Graph_83d9c756.docx	docx	1/1	317/305	3/3	0	match	317/305	1220/1218
words/chartset-010/docx/032_Venn_Diagram_Template_Brown_Theme_d5b549f0.docx	docx	1/1	43/43	1/1	0	match	43/43	195/195
words/chartset-010/docx/051_Organogram_Template_Basic_Theme_e6464d06.docx	docx	1/1	23/23	2/2	0	match	23/23	60/60
words/chartset-010/docx/056_Organogram_Template_Square_Theme_38f373d4.docx	docx	1/1	56/56	1/1	0	match	56/56	235/235
words/chartset-010/docx/066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248.docx	docx	1/1	54/54	1/1	0	match	54/54	255/255
words/chartset-010/docx/067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b.docx	docx	1/1	37/37	1/1	0	match	37/37	237/237
words/chartset-010/docx/090_Business_Case_Template_Blue_Theme_108ff0f1.docx	docx	1/1	41/41	2/2	0	match	47/47	263/263
words/chartset-011/docx/015_Project_Timeline_Template_Colored_Background_6434b0e8.docx	docx	2/2	50/50	4/4	0	match	54/54	211/211
words/chartset-011/docx/022_Unit_Circle_Chart_Circle_A_and_B_19dbf275.docx	docx	1/1	195/195	4/4	0	match	219/219	1047/1047
words/chartset-011/docx/029_Unit_Circle_Chart_Pie_Theme_8a922142.docx	docx	1/1	113/114	3/2	0	match	113/114	568/568
words/chartset-011/docx/039_Venn_Diagram_Template_Simple_Format_6f82661d.docx	docx	1/1	35/35	2/2	0	match	38/38	161/161
words/chartset-011/docx/040_Venn_Diagram_Template_Three_Circle_80f32f5e.docx	docx	1/1	52/52	3/3	0	match	61/61	240/240
words/chartset-011/docx/043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1.docx	docx	1/1	184/184	3/3	0	match	186/186	1099/1099
words/chartset-011/docx/061_Nursing_Concept_Map_Template_fb9816f0.docx	docx	1/1	21/21	3/2	0	match	23/23	150/150
words/chartset-011/docx/064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	docx	1/1	41/41	1/1	0	match	41/41	184/184
words/chartset-011/docx/065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62.docx	docx	1/1	28/29	2/2	0	match	28/29	172/185
words/chartset-011/docx/068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8.docx	docx	1/1	85/85	2/2	0	match	86/86	493/493
words/chartset-012/docx/008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8.docx	docx	1/1	70/70	3/3	0	match	70/70	295/295
words/chartset-012/docx/013_Project_Timeline_Template_Blue_Background_4ea3475e.docx	docx	1/1	98/98	3/3	0	match	100/100	312/312
words/chartset-012/docx/021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	docx	1/1	107/107	3/2	0	match	107/107	549/549
words/chartset-012/docx/024_Unit_Circle_Chart_Colorful_Circles_7c92601e.docx	docx	1/1	105/105	2/2	0	match	105/105	557/557
words/chartset-012/docx/031_Venn_Diagram_Template_Blue_Theme_a9e417b8.docx	docx	1/1	54/55	3/3	0	match	63/64	250/249
words/chartset-012/docx/044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0.docx	docx	1/1	66/67	3/3	0	match	66/67	263/271
words/chartset-012/docx/050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744.docx	docx	1/1	214/215	4/4	0	match	215/216	1282/1288
words/chartset-012/docx/055_Organogram_Template_Horizontal_Structure_28a7e725.docx	docx	1/1	67/66	1/1	0	match	68/67	402/402
words/chartset-012/docx/095_Business_Case_Template_Easy_Format_61de7128.docx	docx	1/1	56/56	2/2	0	match	74/74	348/348
words/chartset-012/docx/096_Business_Case_Template_Editable_Layout_41fe0bc0.docx	docx	1/1	34/34	2/2	0	match	40/40	235/235
words/chartset-013/docx/038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e.docx	docx	1/1	40/41	3/2	0	match	42/43	180/180
words/chartset-013/docx/047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e.docx	docx	1/1	51/51	3/3	0	match	55/55	224/225
words/chartset-013/docx/048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee.docx	docx	1/1	61/61	2/2	0	match	62/62	402/402
words/chartset-013/docx/059_Disease_Concept_Map_Template_4acf63f2.docx	docx	1/1	19/19	2/2	0	match	19/19	130/130
words/chartset-013/docx/060_Human_Body_Concept_Map_Template_ac872cfb.docx	docx	1/1	29/29	2/2	0	match	29/29	138/138
words/chartset-013/docx/069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1.docx	docx	1/1	108/108	1/1	0	match	110/110	298/298
words/chartset-013/docx/072_Storyboard_Template_Colored_Theme_28524a15.docx	docx	1/1	43/43	2/2	0	match	64/64	197/197
words/chartset-013/docx/073_Storyboard_Template_Easy_to_Use_44ce05fc.docx	docx	1/1	46/46	3/3	0	match	57/54	210/210
words/chartset-013/docx/075_Storyboard_Template_Fillable_Format_7fa01641.docx	docx	1/1	61/61	3/3	0	match	109/109	316/316
words/chartset-013/docx/091_Business_Case_Template_Complete_Guide_cb91a140.docx	docx	5/5	586/590	3/3	0	match	628/632	3134/3134
words/chartset-014/docx/011_Project_Timeline_Template_Beautiful_Theme_2336e680.docx	docx	1/1	158/158	4/4	0	match	158/158	885/885
words/chartset-014/docx/014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	docx	1/1	168/168	3/3	0	match	168/168	820/820
words/chartset-014/docx/045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c.docx	docx	1/1	42/42	3/3	0	match	47/47	235/235
words/chartset-014/docx/062_Vocabulary_Concept_Map_Template_2f7c1c09.docx	docx	1/1	11/11	2/1	0	match	11/11	76/76
words/chartset-014/docx/063_Foot_Reflexology_Chart_Complete_Guide_cf5ed992.docx	docx	1/1	75/75	2/2	0	match	75/75	402/402
words/chartset-014/docx/070_Storyboard_Template_Blank_Format_fc41673a.docx	docx	1/1	8/8	2/2	0	match	44/44	42/42
words/chartset-014/docx/071_Storyboard_Template_Cartoon_Theme_ae113de2.docx	docx	1/1	21/21	2/2	0	match	41/41	141/141
words/chartset-014/docx/076_Storyboard_Template_Gray_Theme_1e5fd5e5.docx	docx	1/1	2/2	3/3	0	match	32/32	10/10
words/chartset-014/docx/078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f.docx	docx	1/1	54/54	3/3	0	match	84/84	253/253
words/chartset-014/docx/079_Storyboard_Template_Simple_Format_81653703.docx	docx	1/1	24/24	2/2	0	match	45/45	144/144
words/done-001/doc/FAA-2013-0422-0009_attachment_1.doc	doc	7/7	1845/1845	1/1	0	match	1907/1907	9308/9308
words/done-001/doc/GLACIERBG.ETT.doc	doc	1/1	408/408	3/3	0	match	411/411	2397/2397
words/done-001/doc/LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc	doc	1/1	104/104	3/3	0	match	128/128	716/716
words/done-001/doc/advert-for-draft-decision-airbus-epr-bm3965ia-v006.doc	doc	2/2	385/385	3/3	0	match	387/387	2104/2104
words/done-001/doc/foca_form_1.doc	doc	3/3	1672/1672	2/2	0	match	1687/1687	8518/8518
words/done-001/docx/CMTA_Airport_Transportation.docx	docx	1/1	255/255	2/2	0	match	260/260	1305/1305
words/done-001/docx/Pre-Application_Letter_of_Intent_Example.docx	docx	1/1	350/350	2/2	0	match	350/350	1780/1780
words/done-001/docx/Sample_PAO-PSO_91-113_Letter.docx	docx	1/1	307/307	2/2	0	match	317/317	1629/1629
words/done-001/docx/Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION.docx	docx	1/1	297/297	3/3	0	match	300/300	1223/1223
words/done-001/docx/private-hire-operators-licensed.docx	docx	2/2	237/237	2/2	0	match	239/239	1417/1417
words/done-002/doc/Bull01-06-Reserve Training Standards.doc	doc	6/6	1482/1482	2/2	0	match	1483/1483	7948/7948
words/done-002/doc/FMRBullletinB-28.doc	doc	2/2	461/461	3/3	0	match	461/461	2835/2835
words/done-002/doc/prison-population-bulletin-june.doc	doc	4/4	1425/1425	2/2	0	match	1440/1440	6038/6038
words/done-002/docx/AUWG min 4-3-24 final.docx	docx	2/2	647/647	2/2	0	match	649/649	3463/3463
words/done-002/docx/CSCRS_Technical-Report-Documentation-Page-with-instructions.docx	docx	2/2	719/719	3/3	0	match	720/720	3936/3936
words/done-002/docx/FAA-High-Level-Org-Chart.docx	docx	3/3	673/673	4/4	0	match	812/812	4204/4204
words/done-002/docx/Interview-mit-Manfred1-Müller.docx	docx	2/2	801/801	2/2	0	match	805/805	4744/4744
words/done-002/docx/easa-form-1.docx	docx	5/5	1421/1421	2/2	0	match	1434/1434	7489/7489
words/done-002/docx/lk03_17.docx	docx	2/2	367/367	2/2	0	match	373/373	1931/1931
words/done-002/docx/s33song-beverlyactproductionofdocuments.docx	docx	2/2	571/571	3/3	0	match	572/572	3227/3227
words/done-003/doc/10795.doc	doc	4/4	853/857	3/4	0	match	860/864	5424/5428
words/done-003/doc/96-3-clement-data.doc	doc	7/7	1469/1469	4/4	0	match	1513/1513	10193/10193
words/done-003/doc/DEP2008-1900.doc	doc	4/4	998/998	5/4	0	match	1011/1011	5335/5335
words/done-003/doc/II.1.2_Hypoxia.doc	doc	13/13	3729/3732	2/2	0	match	3738/3741	19253/19253
words/done-003/doc/Temp16.doc	doc	2/2	669/669	3/3	0	match	671/671	3431/3431
words/done-003/docx/191216_Lesefassung_Nachtflugregelung.docx	docx	3/3	907/906	4/4	0	match	910/909	5435/5435
words/done-003/docx/2015-April-SWIM_Users_Forum-Q&A.docx	docx	5/5	1701/1700	4/4	0	match	1705/1704	8333/8333
words/done-003/docx/DRX-Ascend System Course Description.docx	docx	2/2	475/475	4/4	0	match	512/512	2950/2950
words/done-003/docx/Technical_Issue_Report_Form.docx	docx	2/2	341/341	4/4	0	match	406/406	1922/1922
words/done-003/docx/mde087077~283.docx	docx	4/4	987/987	3/3	0	match	997/997	5806/5806
words/done-004/doc/07-04.doc	doc	3/3	1069/1066	5/5	0	match	1078/1075	5485/5473
words/done-004/doc/2ca950374241722b8ea7c132dfce63ae.doc	doc	3/3	949/949	4/4	0	match	1051/1051	5118/5118
words/done-004/doc/RobertQ_Service.doc	doc	4/4	547/547	2/2	0	match	587/587	2735/2735
words/done-004/doc/opic 5--Case Studies Movie and Aviation Industries.doc	doc	5/5	1194/1194	5/5	0	match	1196/1196	5293/5293
words/done-004/docx/1528039320.docx	docx	1/1	289/289	2/2	0	match	292/292	1790/1790
words/done-004/docx/461249.docx	docx	5/5	1671/1669	4/4	0	match	1710/1708	8911/8911
words/done-004/docx/How-to-Write-an-Architecture-Document-for-a-Technology-Service.docx	docx	3/3	953/953	3/3	0	match	960/960	5482/5482
words/done-004/docx/License App Instructions 2-22.docx	docx	3/3	1002/1002	4/4	0	match	1036/1036	5737/5737
words/done-004/docx/PAT-047 - Architecture and Detailed Design Assessment.docx	docx	4/4	1081/1081	6/6	0	match	1094/1094	6385/6385
words/done-004/docx/Software Architecture Document Template.docx	docx	3/3	589/589	5/5	0	match	604/604	3390/3390
words/done-005/doc/316r_a_e.doc	doc	14/14	4372/4374	4/4	0	match	4417/4419	24142/24160
words/done-005/doc/316r_a_f.doc	doc	14/14	4581/4585	4/4	0	match	4631/4635	25168/25186
words/done-005/doc/Theft-Restitution-Letter-Vancouver-ASC-2005.doc	doc	1/1	262/262	2/2	0	match	265/265	1319/1319
words/done-005/doc/loi_format_letter_of_intent-a-320-214-a330.doc	doc	10/10	3346/3346	4/5	0	match	3372/3372	16753/16753
words/done-005/docx/2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai.docx	docx	3/3	668/668	4/3	0	match	672/672	3631/3631
words/done-005/docx/BID_ACKNOWLEDGEMENT_FORM_FOR_A320.docx	docx	2/2	294/295	3/3	0	match	310/311	1529/1529
words/done-005/docx/Technical Report and Technical Update Guidelines.docx	docx	4/4	1205/1205	5/5	0	match	1251/1251	6716/6716
words/done-005/docx/f445896eb008d14c1746fc37d412dc22.docx	docx	15/16	5453/5453	3/3	0	pages	5657/5657	27066/27066
words/done-005/docx/healthcare-reform-nsa-consumer-bulletin.docx	docx	4/4	1701/1701	5/5	0	match	1711/1711	8645/8645
words/done-005/docx/part-147_approval list_20230119.docx	docx	2/2	732/735	5/5	0	match	755/758	3563/3570
words/done-006/doc/003.doc	doc	5/4	984/984	3/3	0	pages	999/999	5761/5761
words/done-006/doc/1244277 1 Comment.doc	doc	2/2	389/389	5/5	0	match	393/393	1745/1745
words/done-006/doc/LHD-230-application-for-the-approval-of-an-aircraftr.doc	doc	2/2	774/774	3/3	0	match	781/779	4383/4383
words/done-006/doc/P200904290238_0238_51880.doc	doc	3/3	308/308	4/4	0	match	312/312	1921/1921
words/done-006/doc/Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	doc	6/6	941/941	4/4	0	match	955/955	5642/5642
words/done-006/docx/62599_FRANCE-BRAZIL- Air France Flight 447 crash.docx	docx	18/18	6133/6133	2/2	0	match	6166/6166	30134/30134
words/done-006/docx/SDL_FSDO_Part91_LOA_Checklist.docx	docx	2/2	424/424	3/3	0	match	430/430	2375/2375
words/done-006/docx/cacs-206-1751218225.docx	docx	2/2	347/347	3/3	0	match	348/348	1925/1925
words/done-006/docx/healthcare-reform-nsa-provider-bulletin.docx	docx	5/5	1936/1936	7/7	0	match	1980/1980	11209/11209
words/done-006/docx/technical-memo-format.docx	docx	5/5	1812/1812	5/5	0	match	1846/1846	9300/9300
words/done-007/doc/RNW167A-150428.doc	doc	9/9	1767/1767	5/5	0	match	1770/1770	9336/9336
words/done-007/doc/chapter 12.doc	doc	12/12	3671/3671	4/4	0	match	3683/3683	18868/18868
words/done-007/doc/congregationalhistories_ky_2023.doc	doc	1/1	247/247	3/3	0	match	252/252	1579/1579
words/done-007/docx/09.docx	docx	2/2	463/463	4/4	0	match	463/463	2608/2608
words/done-007/docx/0c662f5c948a7d81d32ffd833c5cc59421a5f522.docx	docx	1/1	397/400	4/4	0	match	417/420	2004/2004
words/done-007/docx/Press release_EUREKA labels ITEA 3 Cluster.docx	docx	2/2	827/813	3/3	0	match	843/828	4331/4264
words/done-007/docx/final-technical-report-template.docx	docx	6/6	1123/1129	6/6	0	match	1136/1142	6153/6153
words/done-007/docx/johnson_hall_service_log.pdf.docx	docx	1/1	274/274	6/6	0	match	317/317	1364/1364
words/done-007/docx/technical-report-template.docx	docx	7/7	728/715	3/2	0	match	738/725	3860/3815
