doc	tagged_pages	untagged_pages	pages_diff	diff_px	max_frac
laufende-nip-vorhaben-hyland__xls.pdf	18	18	0	0	0.000000
links-2026__xlsx.pdf	45	45	0	0	0.000000
npias_2009_appA__xls.pdf	73	73	0	0	0.000000
oltl-bulletin-59-26-03-ptr-sc-registration-form-for-oltl-approved-software__xlsx.pdf	2	2	0	0	0.000000
orbus_togaf_tool_csq__xls.pdf	75	75	16	85289	0.063412
permit-applications-determined-july-2015__xls.pdf	1	1	0	0	0.000000
programs contact list as of 07-01-10__xls.pdf	3	3	0	0	0.000000
redac-sas-201503-fy17-research-portfolio__xlsx.pdf	2	2	0	0	0.000000
register-changes-in-may-2024---adujsted__xlsx.pdf	10	10	0	0	0.000000
sectors-defense-and-aerospace__xlsx.pdf	449	449	0	0	0.000000
seihon_zassi_kikou_20221215__xlsx.pdf	84	84	0	0	0.000000
sistem-rekod-markah-srm-_-rekod-master__xlsx.pdf	31	31	10	950	0.000275
template-ECSPR-notifications__xlsx.pdf	26	26	0	0	0.000000
tk-syllabus-comparison-document-v5__xlsx.pdf	855	855	0	0	0.000000
underlying-holdings-emea-en_gb-monthly-holdings-state-street-emu-esg-screened-index-equity-fund__xls.pdf	15	15	0	0	0.000000
wiley-cancelled-title-list__xlsx.pdf	60	60	0	0	0.000000
