doc	pages	ink_signed	ink_abs	residual	residual_per_page	ceiling_pages	major	major_on_ceiling
Ramp Up Campaign - French__pptx	6	0.50	0.55	0.55	0.092	0	2	0
029_8-Step_Neumorphic_Cycle_Diagram_b9b75044__pptx	3	0.20	0.54	0.54	0.180	0	2	0
006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084__pptx	3	0.21	0.53	0.53	0.177	0	1	0
line_chart__pptx	1	0.53	0.53	0.53	0.530	0	0	0
017_advanced_powerpoint_bar__pptx	1	0.48	0.51	0.51	0.510	0	0	0
025_advanced_powerpoint_bar__pptx	1	0.45	0.50	0.50	0.500	0	0	0
040_Crab_Diagram_for_PowerPoint_and_Google_Slides_13d38ff3__pptx	3	0.50	0.50	0.50	0.167	0	2	0
009_advanced_powerpoint_bar__pptx	1	0.46	0.49	0.49	0.490	0	0	0
033_advanced_powerpoint_bar__pptx	1	0.46	0.49	0.49	0.490	0	0	0
086_Infographic_Org_Chart_for_PowerPoint_6_Blocks_f9086d83__pptx	3	0.25	0.49	0.49	0.163	0	1	0
combo_bar_line_chart__pptx	1	0.47	0.47	0.47	0.470	0	0	0
001_advanced_powerpoint_bar__pptx	1	0.43	0.46	0.46	0.460	0	0	0
ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar__ppt	10	0.34	0.46	0.46	0.046	0	0	0
Definitions commodity chains__pptx	4	0.43	0.43	0.43	0.107	0	0	0
Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS__pptx	9	0.39	0.43	0.43	0.048	0	0	0
052_Flame_Percentage_Chart_d27d49c4__pptx	3	0.38	0.41	0.41	0.137	0	0	0
policy-pesentation__ppt	16	0.40	0.41	0.41	0.026	0	0	0
087_Infographic_Organization_Chart_for_PowerPoint_and_Google_Slides_2d951912__pptx	4	0.26	0.39	0.39	0.098	0	0	0
080_Infographic_Cycle_Venn_Diagram_for_PowerPoint_2e3cdb7f__pptx	3	0.38	0.38	0.38	0.127	0	0	0
039_Consumer_Decision_Journey_for_PowerPoint_319207e1__pptx	1	0.11	0.36	0.36	0.360	0	1	0
061_Four-Stage_Serpentine_Chart_05699efe__pptx	3	0.33	0.36	0.36	0.120	0	0	0
stacked_area_chart__pptx	1	0.34	0.35	0.35	0.350	0	0	0
013_3-Step_Segmented_Cycle_Process_5232f82d__pptx	3	0.26	0.28	0.28	0.093	0	0	0
019_4-Step_Segmented_Cycle_Process_2ff93c19__pptx	3	0.27	0.28	0.28	0.093	0	0	0
024_5-Step_Segmented_Cycle_Process_c8ca37ef__pptx	3	0.26	0.28	0.28	0.093	0	0	0
iaeg_work_group_leader_updates__pptx	1	0.26	0.27	0.27	0.270	0	0	0
