id	ourchars	refchars	equal	prefix	ourwords	refwords	jaccard	firstdiff
068_Funnel_Diagram_for_PowerPoint_with_2_Steps_437e4ba7__pptx	66	66	DIFF	35	10	10	0.8333	'tep1Step2www.presentationgo.com' | 'TEP1STEP2www.presentationgo.com'
069_Funnel_Diagram_for_PowerPoint_with_3_Steps_f96396fc__pptx	71	71	DIFF	35	12	12	0.7750	'tep1Step2Step3www.presentationgo.com' | 'TEP1STEP2STEP3www.presentationgo.com'
070_Funnel_Diagram_for_PowerPoint_with_4_Steps_975f1642__pptx	76	76	DIFF	35	14	14	0.7273	'tep1Step2Step3Step4www.presentationgo.co' | 'TEP1STEP2STEP3STEP4www.presentationgo.co'
071_Funnel_Diagram_for_PowerPoint_with_5_Steps_5ceacdec__pptx	81	81	DIFF	35	16	16	0.6875	'tep1Step2Step3Step4Step5www.presentation' | 'TEP1STEP2STEP3STEP4STEP5www.presentation'
072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0__pptx	415	415	DIFF	36	92	114	1.0000	'15203525252010402030LoremIpsum4020Label1' | '40152035251025202030LoremIpsum4020Label1'
073_Halo_Radial_for_PowerPoint_and_Google_Slides_4bd0918b__pptx	1455	1455	SAME	1455	270	292	1.0000	
074_Hashtag_Matrix_246eb8d9__pptx	1337	1337	SAME	1337	245	276	1.0000	
075_Heart_Arc_Radial_for_PowerPoint_and_Google_Slides_a27a3021__pptx	1085	1085	DIFF	256	210	238	1.0000	'ipsumdolorsitamet,nibhest.Amagnamaecenas' | 'IpsumLoremIpsumLoremipsumdolorsitamet,ni'
076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835__pptx	1163	1163	SAME	1163	214	246	1.0000	
077_Horizontal_Org_Chart_for_PowerPoint_and_Google_Slides_8cf07020__pptx	1025	1025	SAME	1025	202	232	1.0000	
078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a__pptx	1179	1179	SAME	1179	208	244	1.0000	
079_Horizontal_Relationships_for_PowerPoint_and_Google_Slides_a3d35f63__pptx	771	771	SAME	771	142	176	1.0000	
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop__ppt	4729	4731	DIFF	3185	815	815	0.9996	'6.5(the2003UKEnergyWhitePapersaysthatwen' | '-6.5(the2003UKEnergyWhitePapersaysthatwe'
080_Infographic_Cycle_Venn_Diagram_for_PowerPoint_2e3cdb7f__pptx	1476	1476	DIFF	47	275	309	1.0000	'oremipsumdolorsitamet,nibhest.Amagnamaec' | 'OREMIPSUMLoremipsumdolorsitamet,nibhest.'
081_Infographic_Funnel_w_3_Stages_for_PowerPoint_28e26b31__pptx	2110	2110	SAME	2110	397	437	1.0000	
082_Infographic_Funnel_with_4_Stages_for_PowerPoint_72d4f125__pptx	2110	2110	SAME	2110	393	433	1.0000	
083_Infographic_Hexagon_Cluster_for_PowerPoint_and_Google_Slides_ef811a12__pptx	1085	1085	SAME	1085	204	244	1.0000	
084_Infographic_Hierarchy_Tree_for_PowerPoint_fda8141c__pptx	1166	1166	SAME	1166	213	253	1.0000	
085_Infographic_Org_Chart_for_PowerPoint_5_Blocks_3870252f__pptx	314	314	SAME	314	49	85	1.0000	
086_Infographic_Org_Chart_for_PowerPoint_6_Blocks_f9086d83__pptx	334	334	SAME	334	53	89	1.0000	
087_Infographic_Organization_Chart_for_PowerPoint_and_Google_Slides_2d951912__pptx	4031	4031	SAME	4031	750	798	1.0000	
088_Infographic_Quadrant_Pie_Chart_7b1e8abd__pptx	1509	1509	SAME	1509	289	333	1.0000	
089_Infographic_Radial_Matrix_for_PowerPoint_and_Google_Slides_eb0550f2__pptx	1525	1525	SAME	1525	282	322	1.0000	
090_Infographic_Radial_for_PowerPoint_and_Google_Slides_16a69891__pptx	649	649	SAME	649	112	144	1.0000	
091_Infographic_Radial_for_PowerPoint_and_Google_Slides_c6909fa6__pptx	2177	2177	SAME	2177	422	454	1.0000	
092_Infographic_Tree_Diagram_for_PowerPoint_and_Google_Slides_d721fa00__pptx	1369	1369	SAME	1369	278	316	1.0000	
093_Insightful_Zoom_Chart_22b5464e__pptx	1925	1925	SAME	1925	355	388	1.0000	
094_Intersecting_Teardrops_for_PowerPoint_and_Google_Slides_ff43aedb__pptx	1477	1477	SAME	1477	270	308	1.0000	
095_Interwoven_Bars_e5aa46c2__pptx	1483	1483	SAME	1483	285	314	1.0000	
096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5__pptx	1059	1059	SAME	1059	192	216	1.0000	
097_Labeled_Organization_Chart_for_PowerPoint_and_Google_Slides_f24fa592__pptx	1291	1291	SAME	1291	238	276	1.0000	
098_Leaning_Cards_Process_dadb3738__pptx	1027	1027	SAME	1027	211	242	1.0000	
099_Light_Bulb_SWOT_for_PowerPoint_and_Google_Slides_554a1e33__pptx	1467	1467	SAME	1467	272	292	1.0000	
1-secretariat__ppt	1132	1132	SAME	1132	150	150	1.0000	
10. Drawings, circuit diagrams and schematics__pptx	8715	8715	DIFF	80	1501	1502	1.0000	'8.Constructioninformationanddataprincipl' | 'PowerPointn8.Constructioninformationandd'
100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44__pptx	2148	2148	DIFF	45	422	495	1.0000	'151151412202011151214www.presentationgo.' | '201511514201211151214www.presentationgo.'
111006 COMSTAC STOWG Aero spaceports IFG__pptx	1747	1747	SAME	1747	267	267	1.0000	
1200-Assigning-Club-officers__pptx	996	996	DIFF	298	165	165	1.0000	'FoundationVocationalSvcYouthInternationa' | 'VocationalSvcFoundationInternationalSvcY'
16 - UTM - (NASA)__pptx	15764	14571	DIFF	711	2454	2260	0.9041	'ationalandRegionalSecurityProtectingkeya' | 'ATIONALANDREGIONALSECURITYProtectingkeya'
171128IPAP__pptx	26406	26424	DIFF	114	4640	4670	0.9844	'\ue4c2Policycontext\ue4c2Coreobjectives\ue4c2Selectedac' | '\uf0fcPolicycontext\uf0fcCoreobjectives\uf0fcSelectedac'
1_Country-Updates_DRC_English__pptx	4544	4545	DIFF	1057	780	782	0.9998	'13%TestedforHIV79%TBVH+7%NotificationMDR' | '\u200b13%TestedforHIV79%TBVH+7%NotificationMD'
2014BSA_Sunday_Killion__pptx	19138	19138	DIFF	824	3619	3559	1.0000	'30Source:ISM60Jan-1465Jan-13Jan-12Jan-11' | 'Source:ISM60Jan-1465Jan-13Jan-12Jan-11Ja'
2015-Civil-Rights-Website-training__ppt	36896	36906	DIFF	264	6116	6119	0.9788	'\ue439CivilRightsAct(VI&VII)\ue439RehabilitationAc' | '\uf06eCivilRightsAct(VI&VII)\uf06eRehabilitationAc'
23-session-2-pptx__pptx	1915	1915	DIFF	43	304	304	0.9742	'\ue340\ue340\ue340\ue340\ue340\ue340\ue340\ue340UnderstandWhytheStateisImplement' | '\uf061\uf061\uf061\uf061\uf061\uf061\uf061\uf061UnderstandWhytheStateisImplement'
30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1__pptx	8143	8144	DIFF	2864	1359	1361	0.9999	'AFRICA-2018_NICD-Bulletin-Vol17-Iss2-Oct' | '-AFRICA-2018_NICD-Bulletin-Vol17-Iss2-Oc'
3492__pptx	7072	7072	DIFF	355	1268	1266	0.9994	'OverviewofSafetyatLandingHulllossandsign' | 'NumberofAccidentsOverviewofSafetyatLandi'
3495__pptx	4585	4585	DIFF	324	747	747	0.9806	'\ue12c\ue12c\ue12cIncursionsandexcursionsingeneral.Past' | '\uf0b7\uf0b7\uf0b7Incursionsandexcursionsingeneral.Past'
429_BLISc 2019 IInd Sem.  PAPER-7 UNIT 3__pptx	18518	18517	DIFF	187	3126	3125	0.9923	'▶DocumentDeliveryService(DDS)isactuallyc' | '\uf075DocumentDeliveryService(DDS)isactuallyc'
5b_upasana_dasgupta_-_liability_and_registration__pptx	5221	5220	DIFF	219	955	956	0.9850	'\ue108Directlyassociatedwiththesustainabledev' | '\uf02aDirectlyassociatedwiththesustainabledev'
7-Zulkefli_Part147n66_IKMAS__pptx	5772	5772	DIFF	191	969	973	1.0000	'BScSpecialistUniKLMIAT(2001–present)inEl' | 'SpecialistUniKLEngineeringMIAT(2001–pres'
71393_pp7__ppt	13018	13018	DIFF	99	2151	2151	0.9702	'\ue437EBUinthenutshell\ue437Broadcastvs.telecom\ue437Po' | '\uf06cEBUinthenutshell\uf06cBroadcastvs.telecom\uf06cPo'
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009__ppt	23410	23413	DIFF	84	4310	4311	0.9853	'\ue49eTheInSystsystemwillbeupgradedinOctober2' | '\uf0d8TheInSystsystemwillbeupgradedinOctober2'
