path	ext	hlinkClick	field	inert
slides/chartset-005/pptx/006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084.pptx	pptx	3	3	0
slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx	pptx	3	3	0
slides/chartset-005/pptx/084_Infographic_Hierarchy_Tree_for_PowerPoint_fda8141c.pptx	pptx	3	3	0
slides/chartset-006/pptx/001_1-2-3_Horizontal_Hierarchy_39795b4d.pptx	pptx	3	3	0
slides/chartset-006/pptx/007_3_Circles_Diagram_for_PowerPoint_dac9f170.pptx	pptx	3	3	0
slides/chartset-006/pptx/031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.pptx	pptx	3	3	0
slides/chartset-006/pptx/043_Dual_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_5074b09e.pptx	pptx	3	3	0
slides/chartset-006/pptx/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx	pptx	3	3	0
slides/chartset-006/pptx/055_Four_Pillar_Hierarchy_for_PowerPoint_and_Google_Slides_6b42ed18.pptx	pptx	3	3	0
slides/chartset-006/pptx/077_Horizontal_Org_Chart_for_PowerPoint_and_Google_Slides_8cf07020.pptx	pptx	3	3	0
slides/chartset-006/pptx/094_Intersecting_Teardrops_for_PowerPoint_and_Google_Slides_ff43aedb.pptx	pptx	3	3	0
slides/chartset-006/pptx/099_Light_Bulb_SWOT_for_PowerPoint_and_Google_Slides_554a1e33.pptx	pptx	3	3	0
slides/chartset-007/pptx/035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx	pptx	3	3	0
slides/chartset-007/pptx/047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx	pptx	3	3	0
slides/chartset-007/pptx/054_Flowchart_Board_Game_for_PowerPoint_and_Google_Slides_1b047962.pptx	pptx	3	3	0
slides/chartset-007/pptx/057_Four-Branch_Diagram_for_PowerPoint_and_Google_Slides_ddf5d27c.pptx	pptx	3	3	0
slides/chartset-007/pptx/083_Infographic_Hexagon_Cluster_for_PowerPoint_and_Google_Slides_ef811a12.pptx	pptx	3	3	0
slides/chartset-007/pptx/090_Infographic_Radial_for_PowerPoint_and_Google_Slides_16a69891.pptx	pptx	3	3	0
slides/chartset-007/pptx/091_Infographic_Radial_for_PowerPoint_and_Google_Slides_c6909fa6.pptx	pptx	3	3	0
slides/chartset-007/pptx/092_Infographic_Tree_Diagram_for_PowerPoint_and_Google_Slides_d721fa00.pptx	pptx	3	3	0
slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	pptx	3	3	0
slides/chartset-008/pptx/009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9.pptx	pptx	2	2	0
slides/chartset-008/pptx/012_3-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_982482b5.pptx	pptx	3	3	0
slides/chartset-008/pptx/018_4-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_19957cce.pptx	pptx	3	3	0
slides/chartset-008/pptx/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.pptx	pptx	3	3	0
slides/chartset-008/pptx/040_Crab_Diagram_for_PowerPoint_and_Google_Slides_13d38ff3.pptx	pptx	3	3	0
slides/chartset-008/pptx/058_Four-Direction_Divergence_Diagram_for_PowerPoint_and_Google_Slides_9838e28d.pptx	pptx	3	3	0
slides/chartset-008/pptx/065_Fourfold_Ribbon_Rings_for_PowerPoint_and_Google_Slides_39687419.pptx	pptx	3	3	0
slides/chartset-008/pptx/072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0.pptx	pptx	3	3	0
slides/chartset-008/pptx/078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a.pptx	pptx	3	3	0
slides/chartset-008/pptx/100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.pptx	pptx	3	3	0
slides/chartset-009/pptx/015_4-Option_Color_Wheel_Diagram_df7e4b8f.pptx	pptx	3	3	0
slides/chartset-009/pptx/020_5-Option_Color_Wheel_Diagram_104ea3b0.pptx	pptx	3	3	0
slides/chartset-009/pptx/022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e.pptx	pptx	3	3	0
slides/chartset-009/pptx/025_6-Option_Color_Wheel_Diagram_27e1c74d.pptx	pptx	3	3	0
slides/chartset-009/pptx/030_Abstract_Petal_Diagram_71aa5e3a.pptx	pptx	2	2	0
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	pptx	3	3	0
slides/chartset-009/pptx/037_Circle_Matrix_Framework_44bc5218.pptx	pptx	2	2	0
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	pptx	3	3	0
slides/chartset-009/pptx/075_Heart_Arc_Radial_for_PowerPoint_and_Google_Slides_a27a3021.pptx	pptx	3	3	0
slides/chartset-009/pptx/087_Infographic_Organization_Chart_for_PowerPoint_and_Google_Slides_2d951912.pptx	pptx	3	3	0
slides/chartset-010/pptx/002_10-Point_Dual_Hub_Comparison_4ee242c9.pptx	pptx	3	3	0
slides/chartset-010/pptx/027_6-Point_Dual_Hub_Comparison_13f9af30.pptx	pptx	3	3	0
slides/chartset-010/pptx/028_8-Point_Dual_Hub_Comparison_d6c5dde5.pptx	pptx	3	3	0
slides/chartset-010/pptx/041_Crosswise_Quadrant_Diagram_ea8bdf52.pptx	pptx	3	3	0
slides/chartset-010/pptx/042_Diamond_Hub_Infographic_a60cfaa1.pptx	pptx	3	3	0
slides/chartset-010/pptx/045_Dual-Segment_Quadrant_14a57221.pptx	pptx	3	3	0
slides/chartset-010/pptx/048_Five-Arrows_Converging_Cycle_bb192e27.pptx	pptx	3	3	0
slides/chartset-010/pptx/063_Four-Step_Infinity_Loop_3480185b.pptx	pptx	3	3	0
slides/chartset-010/pptx/093_Insightful_Zoom_Chart_22b5464e.pptx	pptx	3	3	0
slides/chartset-010/pptx/095_Interwoven_Bars_e5aa46c2.pptx	pptx	3	3	0
slides/chartset-011/pptx/010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0.pptx	pptx	3	3	0
slides/chartset-011/pptx/026_6-Part_Hexagon_Radial_Diagram_b8ca3f40.pptx	pptx	3	3	0
slides/chartset-011/pptx/034_Central_Idea_Hub_Diagram_8258e6ad.pptx	pptx	3	3	0
slides/chartset-011/pptx/046_Eight-Point_Strategic_Compass_35ee62de.pptx	pptx	3	3	0
slides/chartset-011/pptx/051_Five-Stage_Zigzag_Timeline_2bd39be9.pptx	pptx	3	3	0
slides/chartset-011/pptx/053_Flow_Wave_Process_9c0082f4.pptx	pptx	3	3	0
slides/chartset-011/pptx/060_Four-Part_Radial_Core_Diagram_40d6614e.pptx	pptx	3	3	0
slides/chartset-011/pptx/062_Four-Step_Growth_Staircase_8a3ef338.pptx	pptx	3	3	0
slides/chartset-011/pptx/097_Labeled_Organization_Chart_for_PowerPoint_and_Google_Slides_f24fa592.pptx	pptx	3	3	0
slides/chartset-011/pptx/098_Leaning_Cards_Process_dadb3738.pptx	pptx	3	3	0
slides/chartset-012/pptx/003_2-Circle_Venn_Diagram_7ab74e5c.pptx	pptx	3	3	0
slides/chartset-012/pptx/008_3-Circle_Venn_Diagram_024a12c5.pptx	pptx	3	3	0
slides/chartset-012/pptx/013_3-Step_Segmented_Cycle_Process_5232f82d.pptx	pptx	3	3	0
slides/chartset-012/pptx/061_Four-Stage_Serpentine_Chart_05699efe.pptx	pptx	3	3	0
slides/chartset-012/pptx/064_Four-Step_Success_Cycle_30c0a917.pptx	pptx	3	3	0
slides/chartset-012/pptx/073_Halo_Radial_for_PowerPoint_and_Google_Slides_4bd0918b.pptx	pptx	3	3	0
slides/chartset-012/pptx/074_Hashtag_Matrix_246eb8d9.pptx	pptx	3	3	0
slides/chartset-012/pptx/080_Infographic_Cycle_Venn_Diagram_for_PowerPoint_2e3cdb7f.pptx	pptx	3	3	0
slides/chartset-012/pptx/089_Infographic_Radial_Matrix_for_PowerPoint_and_Google_Slides_eb0550f2.pptx	pptx	3	3	0
slides/chartset-013/pptx/014_3D_Radial_Block_List_for_PowerPoint_and_Google_Slides_0773075e.pptx	pptx	3	3	0
slides/chartset-013/pptx/016_4-Position_Org_Chart_1d3640b6.pptx	pptx	3	3	0
slides/chartset-013/pptx/023_5-Step_Progress_Cards_91d5ff57.pptx	pptx	3	3	0
slides/chartset-013/pptx/032_BCG_Growth-Share_Matrix_560d0485.pptx	pptx	3	3	0
slides/chartset-013/pptx/049_Five-Block_Hub_Spoke_42ee8593.pptx	pptx	3	3	0
slides/chartset-013/pptx/050_Five-Point_Radial_Hub_00793e08.pptx	pptx	3	3	0
slides/chartset-013/pptx/056_Four-Block_Hub_Spoke_134b89d1.pptx	pptx	3	3	0
slides/chartset-013/pptx/079_Horizontal_Relationships_for_PowerPoint_and_Google_Slides_a3d35f63.pptx	pptx	3	3	0
slides/chartset-013/pptx/088_Infographic_Quadrant_Pie_Chart_7b1e8abd.pptx	pptx	2	2	0
slides/chartset-014/pptx/019_4-Step_Segmented_Cycle_Process_2ff93c19.pptx	pptx	3	3	0
slides/chartset-014/pptx/021_5-Position_Org_Chart_cb042559.pptx	pptx	3	3	0
slides/chartset-014/pptx/024_5-Step_Segmented_Cycle_Process_c8ca37ef.pptx	pptx	3	3	0
slides/chartset-014/pptx/029_8-Step_Neumorphic_Cycle_Diagram_b9b75044.pptx	pptx	3	3	0
slides/chartset-014/pptx/036_Chevron_Process_Cards_3c8f0ea1.pptx	pptx	3	3	0
slides/chartset-014/pptx/059_Four-Part_Concept_Puzzle_30cea7e5.pptx	pptx	3	3	0
slides/chartset-014/pptx/081_Infographic_Funnel_w_3_Stages_for_PowerPoint_28e26b31.pptx	pptx	3	3	0
slides/chartset-014/pptx/082_Infographic_Funnel_with_4_Stages_for_PowerPoint_72d4f125.pptx	pptx	3	3	0
slides/chartset-014/pptx/085_Infographic_Org_Chart_for_PowerPoint_5_Blocks_3870252f.pptx	pptx	3	3	0
slides/chartset-014/pptx/086_Infographic_Org_Chart_for_PowerPoint_6_Blocks_f9086d83.pptx	pptx	3	3	0
slides/done-002/pptx/Curriculum-Schematic-E22-11052025.pptx	pptx	14	14	0
slides/done-002/pptx/dhs-293364.pptx	pptx	9	9	0
slides/done-002/pptx/medicines_bulletin_february_2023_final.pptx	pptx	9	9	0
slides/done-003/pptx/NCW-2024-Guide-.pptx	pptx	17	17	0
slides/done-004/pptx/Item 6b - UNSD - Dissemination through APIs.pptx	pptx	5	5	0
slides/done-004/pptx/attendance-updates-for-governors.pptx	pptx	3	3	0
slides/done-004/pptx/ghgp-supply-chain-initiative_20100323_wri.pptx	pptx	2	2	0
slides/done-005/pptx/NAS-Infrastructure-Roadmaps-HSI.pptx	pptx	51	51	0
slides/done-005/pptx/NAS-Infrastructure-Roadmaps-Weather.pptx	pptx	125	125	0
slides/done-005/pptx/c_291533.pptx	pptx	1	1	0
slides/done-006/pptx/Course Selection 2025-26 Current Grade 09.pptx	pptx	1	1	0
slides/done-006/pptx/Stakeholders-v08052017 - v5.pptx	pptx	7	7	0
slides/done-006/pptx/iris07.12.12.pptx	pptx	2	2	0
slides/done-006/pptx/social-media-app-bulletin-january.pptx	pptx	11	11	0
slides/done-007/pptx/10. Drawings, circuit diagrams and schematics.pptx	pptx	5	5	0
slides/done-007/pptx/BHCA Part II webinar #2 - 10.2020.pptx	pptx	8	8	0
slides/done-007/pptx/PAL Block Intro 2023.pptx	pptx	20	20	0
slides/done-007/pptx/bitesize-writing-a-report.pptx	pptx	3	3	0
slides/done-008/pptx/FIT26-Presentation-Airservices-Update.pptx	pptx	1	1	0
slides/done-008/pptx/G-InvoicingKeithJarboe.pptx	pptx	9	9	0
slides/done-008/pptx/ROK-PI Climate Bulletin - Edition 2017-06.pptx	pptx	4	4	0
slides/done-009/pptx/30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1.pptx	pptx	1	1	0
slides/done-009/pptx/COMSTAC_11_5_2021am_2.pptx	pptx	2	2	0
slides/done-009/pptx/HENTZEN_COMPOSITE_MATERIALS_IN_THE_AEROSPACE_INDUSTRY.pptx	pptx	3	3	0
slides/done-009/pptx/redac-sas-201403-ppt-portfolio-rev-sim.pptx	pptx	1	1	0
slides/done-010/pptx/Copy of Full deck with references Promotion of Outside Interests at Work final(1).pptx	pptx	26	26	0
slides/done-010/pptx/John_Broggio__RSS_Campion_event_John_Broggio.pptx	pptx	4	4	0
slides/done-010/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	pptx	19	19	0
slides/done-010/pptx/Tax factsheet 2022 (1).pptx	pptx	34	34	0
slides/done-010/pptx/passiv.pptx	pptx	2	2	0
slides/done-010/pptx/section_1_our_rights_presentation.pptx	pptx	7	7	0
slides/done-011/pptx/1_Country-Updates_DRC_English.pptx	pptx	1	1	0
slides/done-011/pptx/23-session-2-pptx.pptx	pptx	1	1	0
slides/done-011/pptx/NAS-Infrastructure-Roadmaps-v16.0.pptx	pptx	1304	1304	0
slides/done-011/pptx/Session-1-Presentation-Reporting-Forms-Form-12-final.pptx	pptx	2	2	0
slides/done-011/pptx/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.pptx	pptx	34	34	0
slides/done-011/pptx/order-of-worship-ppt-revised-2018.pptx	pptx	2	2	0
slides/done-012/pptx/County ACHS Presentaion Webinar 8-16-16 Peg.pptx	pptx	31	31	0
slides/done-012/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	pptx	22	22	0
slides/done-012/pptx/SRDMG(16)024_60 GHz onboard airplanes.pptx	pptx	1	1	0
slides/done-013/pptx/2014BSA_Sunday_Killion.pptx	pptx	1	1	0
slides/done-013/pptx/Structural Testing.pptx	pptx	3	3	0
slides/done-013/pptx/redac-sas-201703-hf-research-division.pptx	pptx	1	1	0
slides/done-013/pptx/schematicplaymar21.pptx	pptx	14	14	0
slides/done-014/pptx/Presentation - Identify Components of the Airport (1).pptx	pptx	9	9	0
slides/done-014/pptx/Reporting_responsibilities_matrix.pptx	pptx	363	363	0
slides/done-014/pptx/redac-sas-201509-asisp-research.pptx	pptx	9	9	0
slides/done-014/pptx/schematicplay.pptx	pptx	10	10	0
slides/done-014/pptx/vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment.pptx	pptx	2	2	0
slides/extra-001/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx	pptx	3	3	0
slides/missing-001/pptx/NWD-GLA-Community-Outreach-Day-Oct-2025.pptx	pptx	14	14	0
words/done-007/docx/09.docx	docx	2	2	0
