doc	stream	shapeType	group	fillType	statesFillType	fFilledStated	fFilled	fillColor	fillBackColor	fillOpacity	blipForm	blipValue
RMP 2011-2014 and Inventory.xls	0	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	0	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	0	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	0	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	0	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	0	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	0	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	0	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	0	202	False	solid	False	True	True	134217808	134217808	None	None	None
RMP 2011-2014 and Inventory.xls	0	202	False	solid	False	True	True	134217808	134217808	None	None	None
RMP 2011-2014 and Inventory.xls	0	202	False	solid	False	True	True	134217808	134217808	None	None	None
RMP 2011-2014 and Inventory.xls	0	202	False	solid	False	True	True	134217808	134217808	None	None	None
RMP 2011-2014 and Inventory.xls	0	202	False	solid	False	True	True	134217808	134217808	None	None	None
RMP 2011-2014 and Inventory.xls	0	202	False	solid	False	True	True	134217808	134217808	None	None	None
RMP 2011-2014 and Inventory.xls	0	202	False	solid	False	True	True	134217808	134217808	None	None	None
RMP 2011-2014 and Inventory.xls	0	202	False	solid	False	True	True	134217808	134217808	None	None	None
RMP 2011-2014 and Inventory.xls	1	0	True	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	1	202	False	solid	False	True	True	134217808	134217808	None	None	None
RMP 2011-2014 and Inventory.xls	1	202	False	solid	False	True	True	134217808	134217808	None	None	None
RMP 2011-2014 and Inventory.xls	1	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	1	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	1	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	1	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	1	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	1	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	1	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	1	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	1	201	False	solid	False	False	False	None	None	None	None	None
RMP 2011-2014 and Inventory.xls	1	202	False	solid	False	True	True	134217808	134217808	None	None	None
RMP 2011-2014 and Inventory.xls	1	202	False	solid	False	True	True	134217808	134217808	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	0	0	True	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	1	0	True	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	2	0	True	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	2	201	False	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	2	202	False	solid	False	True	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	2	201	False	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	2	201	False	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	2	201	False	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	2	201	False	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	2	201	False	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	2	201	False	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	2	201	False	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	3	0	True	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	3	201	False	solid	False	True	True	134217806	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	4	0	True	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	5	0	True	solid	False	False	False	None	None	None	None	None
TOGAF9-Tool-ConfReqts-CSQ.xls	6	0	True	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	0	0	True	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	1	0	True	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	2	0	True	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	2	202	False	solid	False	True	True	None	None	None	None	None
SIL_TDB605.xls	2	202	False	solid	False	True	True	None	None	None	None	None
SIL_TDB605.xls	3	0	True	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	4	0	True	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	5	0	True	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	5	201	False	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	5	201	False	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	5	201	False	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	5	201	False	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	5	201	False	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	6	0	True	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	6	201	False	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	6	201	False	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	6	201	False	solid	False	False	False	None	None	None	None	None
SIL_TDB605.xls	6	201	False	solid	False	False	False	None	None	None	None	None
