identity	track	prior	imgs_ours	imgs_ref	missing	media_parts	container	draws_ours	draws_ref
091_Volunteer_Sign_Up_Sheet_Template_Colored_Background_2cb58d01__xlsx	sheets	0	0	1	1	1	zip	74	39
093_Volunteer_Sign_Up_Sheet_Template_Customizable_Format_3a4d6b58__xlsx	sheets	0	0	1	1	1	zip	136	95
096_Volunteer_Sign_Up_Sheet_Template_Green_Theme_b4f1809d__xlsx	sheets	0	0	1	1	1	zip	224	116
098_Volunteer_Sign_Up_Sheet_Template_Simple_Layout_080a06a1__xlsx	sheets	0	0	1	1	1	zip	97	71
095_Volunteer_Sign_Up_Sheet_Template_Fillable_Format_b3330009__xlsx	sheets	0	0	1	1	1	zip	87	74
088_To-do_list_with_progress_tracker_Use_this_template_8c438912__xlsx	sheets	0	0	1	1	0	zip	8	8
099_Volunteer_Sign_Up_Sheet_Template_Stylish_Format_c0cc35a6__xlsx	sheets	0	0	1	1	1	zip	70	48
092_Volunteer_Sign_Up_Sheet_Template_Complete_Guide_31fe4d22__xlsx	sheets	0	0	1	1	1	zip	84	61
pie-chart-result__docx	words	11	0	1	1	0	zip	26	39
pie-chart-template__docx	words	8	0	1	1	0	zip	11	18
Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission__docx	words	0	0	1	1	1	zip	120	94
071_Four-week_project_timeline_Use_this_template_4f05db49__xlsx	sheets	0	2	3	1	12	zip	1759	156
086_Infographic_Org_Chart_for_PowerPoint_6_Blocks_f9086d83__pptx	slides	1	13	14	1	14	zip	143	715
W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed__ppt	slides	2	13	14	1	-1	ole2	239	85
094_Volunteer_Sign_Up_Sheet_Template_Editable_Format_6711b281__xlsx	sheets	0	1	2	1	2	zip	139	53
100_Volunteer_Sign_Up_Sheet_Template_Tabular_Format_0975f34e__xlsx	sheets	0	1	2	1	2	zip	69	44
097_Volunteer_Sign_Up_Sheet_Template_Professional_Format_075d06ed__xlsx	sheets	0	1	2	1	2	zip	95	89
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab__docx	words	11	1	2	1	1	zip	5	8
PK_FlugzeugeStricken__doc	words	2	1	2	1	-1	ole2	22	28
065_Fourfold_Ribbon_Rings_for_PowerPoint_and_Google_Slides_39687419__pptx	slides	0	5	6	1	17	zip	43	79
150_5300_13_chg12__doc	words	19	5	6	1	-1	ole2	815	460
150_5300_13_chg8__doc	words	17	2	3	1	-1	ole2	1598	1392
059_Disease_Concept_Map_Template_4acf63f2__docx	words	2	2	3	1	4	zip	29	29
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders__docx	words	2	30	31	1	5	zip	171	131
John_Broggio__RSS_Campion_event_John_Broggio__pptx	slides	1	24	25	1	28	zip	103	127
30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1__pptx	slides	1	55	56	1	16	zip	113	130
order-of-worship-ppt-revised-2018__pptx	slides	0	42	43	1	16	zip	200	228
outlook_of_nigerian_pension_sector__ppt	slides	12	13	14	1	-1	ole2	149	161
