mso_spt	preset	odf_type	verdict	chamfer_identity	chamfer_mirrorV	chamfer_mirrorH	chamfer_rot180
80	downArrowCallout	down-arrow-callout	differs	0.0105	0.1426	0.0105	0.1426
81	leftRightArrowCallout	left-right-arrow-callout	differs	0.0160	0.0160	0.0160	0.0160
82	upDownArrowCallout	up-down-arrow-callout	differs	0.0160	0.0160	0.0160	0.0160
83	quadArrowCallout	quad-arrow-callout	differs	0.0169	0.0169	0.0169	0.0169
84	bevel	quad-bevel	identical	0.0000	0.0000	0.0000	0.0000
85	leftBracket	left-bracket	identical	0.0017	0.0017	0.1079	0.1079
86	rightBracket	right-bracket	identical	0.0017	0.0017	0.1079	0.1079
87	leftBrace	left-brace	identical	0.0016	0.0016	0.1909	0.1909
88	rightBrace	right-brace	identical	0.0016	0.0016	0.1909	0.1909
89	leftUpArrow	mso-spt89	differs	0.0279	0.1061	0.1058	0.0797
90	bentUpArrow	mso-spt90	differs	0.0230	0.1435	0.1304	0.1368
91	bentArrow	mso-spt91	differs	0.0265	0.1660	0.1643	0.1102
92	star24	star24	identical	0.0027	0.0027	0.0027	0.0027
93	stripedRightArrow	striped-right-arrow	differs	0.0325	0.0325	0.0608	0.0608
94	notchedRightArrow	notched-right-arrow	differs	0.0568	0.0568	0.0763	0.0763
95	blockArc	block-arc	identical	0.0009	0.2284	0.0009	0.2284
96	smileyFace	smiley	identical	0.0057	0.0326	0.0057	0.0326
97	verticalScroll	vertical-scroll	identical	0.0004	0.0354	0.0209	0.0206
98	horizontalScroll	horizontal-scroll	identical	0.0005	0.0207	0.0354	0.0205
99	circularArrow	circular-arrow	differs	0.0707	0.2002	0.0701	0.2061
101	uturnArrow	mso-spt101	differs	0.0230	0.0750	0.1125	0.1201
102	curvedRightArrow	mso-spt102	differs	0.0266	0.0788	0.0853	0.0944
103	curvedLeftArrow	mso-spt103	differs	0.0262	0.0776	0.0873	0.0965
104	curvedUpArrow	mso-spt104	differs	0.0262	0.0873	0.0776	0.0965
105	curvedDownArrow	mso-spt105	differs	0.0266	0.0852	0.0787	0.0943
106	cloudCallout	cloud-callout	differs	0.0328	0.0864	0.0889	0.0571
107	ellipseRibbon	mso-spt107	identical	0.0014	0.0662	0.0014	0.0662
108	ellipseRibbon2	mso-spt108	identical	0.0014	0.0663	0.0014	0.0663
109	flowChartProcess	flowchart-process	identical	0.0000	0.0000	0.0000	0.0000
110	flowChartDecision	flowchart-decision	identical	0.0000	0.0000	0.0000	0.0000
111	flowChartInputOutput	flowchart-data	identical	0.0012	0.0573	0.0573	0.0012
112	flowChartPredefinedProcess	flowchart-predefined-process	identical	0.0025	0.0025	0.0025	0.0025
113	flowChartInternalStorage	flowchart-internal-storage	differs	0.0202	0.0293	0.0293	0.0385
114	flowChartDocument	flowchart-document	identical	0.0015	0.0490	0.0315	0.0493
115	flowChartMultidocument	flowchart-multidocument	identical	0.0023	0.0442	0.0445	0.0557
116	flowChartTerminator	flowchart-terminator	identical	0.0008	0.0008	0.0008	0.0008
117	flowChartPreparation	flowchart-preparation	identical	0.0010	0.0010	0.0010	0.0010
118	flowChartManualInput	flowchart-manual-input	identical	0.0002	0.0529	0.0276	0.0529
119	flowChartManualOperation	flowchart-manual-operation	identical	0.0010	0.0588	0.0010	0.0588
120	flowChartConnector	flowchart-connector	identical	0.0012	0.0012	0.0012	0.0012
121	flowChartPunchedCard	flowchart-card	identical	0.0003	0.0110	0.0110	0.0110
122	flowChartPunchedTape	flowchart-punched-tape	identical	0.0024	0.0671	0.0671	0.0024
123	flowChartSummingJunction	flowchart-summing-junction	identical	0.0012	0.0012	0.0012	0.0012
124	flowChartOr	flowchart-or	identical	0.0007	0.0007	0.0007	0.0007
125	flowChartCollate	flowchart-collate	identical	0.0006	0.0006	0.0006	0.0006
126	flowChartSort	flowchart-sort	identical	0.0000	0.0000	0.0000	0.0000
127	flowChartExtract	flowchart-extract	identical	0.0000	0.1870	0.0000	0.1870
128	flowChartMerge	flowchart-merge	identical	0.0000	0.1878	0.0000	0.1878
129	flowChartOfflineStorage	mso-spt129	no-escher-geometry				
130	flowChartOnlineStorage	flowchart-stored-data	identical	0.0007	0.0007	0.0591	0.0591
131	flowChartMagneticTape	flowchart-sequential-access	identical	0.0023	0.0229	0.0227	0.0230
132	flowChartMagneticDisk	flowchart-magnetic-disk	identical	0.0051	0.0481	0.0051	0.0481
133	flowChartMagneticDrum	flowchart-direct-access-storage	identical	0.0051	0.0051	0.0480	0.0480
134	flowChartDisplay	flowchart-display	identical	0.0009	0.0009	0.0262	0.0262
135	flowChartDelay	flowchart-delay	identical	0.0006	0.0006	0.0635	0.0635
176	flowChartAlternateProcess	flowchart-alternate-process	identical	0.0004	0.0004	0.0004	0.0004
177	flowChartOffpageConnector	flowchart-off-page-connector	identical	0.0013	0.0579	0.0013	0.0579
178	callout1	mso-spt178	differs	0.1470	0.1427	1.2894	1.2628
179	accentCallout1	mso-spt179	differs	0.0477	0.0515	1.2040	1.2049
180	borderCallout1	mso-spt180	differs	0.0221	0.0233	0.0316	0.0316
181	accentBorderCallout1	line-callout-3	differs	0.0146	0.0158	0.0347	0.0347
182	leftRightUpArrow	mso-spt182	differs	0.0818	0.0955	0.0818	0.0955
183	sun	sun	identical	0.0010	0.0010	0.0010	0.0010
184	moon	moon	identical	0.0028	0.0028	0.1314	0.1314
185	bracketPair	bracket-pair	identical	0.0009	0.0009	0.0009	0.0009
186	bracePair	brace-pair	identical	0.0005	0.0005	0.0005	0.0005
187	star4	star4	identical	0.0004	0.0004	0.0004	0.0004
188	doubleWave	mso-spt188	identical	0.0030	0.0366	0.0366	0.0030
189	actionButtonBlank	mso-spt189	differs	0.0101	0.0101	0.0101	0.0101
190	actionButtonHome	mso-spt190	differs	0.0176	0.0236	0.0192	0.0236
191	actionButtonHelp	mso-spt191	differs	0.0146	0.0228	0.0165	0.0239
192	actionButtonInformation	mso-spt192	differs	0.0200	0.0208	0.0205	0.0208
193	actionButtonForwardNext	mso-spt193	differs	0.0170	0.0170	0.0311	0.0311
194	actionButtonBackPrevious	mso-spt194	differs	0.0170	0.0170	0.0310	0.0310
195	actionButtonEnd	mso-spt195	differs	0.0195	0.0195	0.0275	0.0275
196	actionButtonBeginning	mso-spt196	differs	0.0195	0.0195	0.0275	0.0275
197	actionButtonReturn	mso-spt197	differs	0.0185	0.0225	0.0263	0.0254
198	actionButtonDocument	mso-spt198	differs	0.0197	0.0230	0.0229	0.0230
199	actionButtonSound	mso-spt199	differs	0.0151	0.0151	0.0246	0.0246
200	actionButtonMovie	mso-spt200	differs	0.0155	0.0161	0.0173	0.0174
