label	face	size	kind	group	tabtwips	page	x0	x1	rx	nrules	cover	contiguous	spans
L129	DejaVu Sans	10	strike	span	0	5	56.80	316.94	316.94	1	260.10	1	56.80-316.90
L130	DejaVu Sans	10	strike	span	0	5	56.80	389.99	389.99	1	333.15	1	56.80-389.95
L131	DejaVu Sans	10	strike	span	0	5	56.80	463.24	463.24	1	406.40	1	56.80-463.20
L132	DejaVu Sans	14	under	span	0	5	56.80	91.30		1	189.70	1	56.70-246.40
L133	DejaVu Sans	14	under	span	0	5	56.80	91.30		1	262.90	1	56.70-319.60
L134	DejaVu Sans	14	under	span	0	5	56.80	91.30		1	335.95	1	56.70-392.65
L135	DejaVu Sans	14	under	span	0	5	56.80	91.30		1	409.20	1	56.70-465.90
L136	DejaVu Sans	14	over	span	0	5	56.80	246.52	246.52	1	189.70	1	56.80-246.50
L137	DejaVu Sans	14	over	span	0	5	56.80	319.72	319.72	1	262.90	1	56.80-319.70
L138	DejaVu Sans	14	over	span	0	6	56.80	392.77	392.77	1	335.95	1	56.80-392.75
L139	DejaVu Sans	14	over	span	0	6	56.80	466.02	466.02	1	409.20	1	56.80-466.00
L140	DejaVu Sans	14	strike	span	0	6	56.80	246.52	246.52	1	189.70	1	56.80-246.50
L141	DejaVu Sans	14	strike	span	0	6	56.80	319.72	319.72	1	262.90	1	56.80-319.70
L142	DejaVu Sans	14	strike	span	0	6	56.80	392.77	392.77	1	335.95	1	56.80-392.75
L143	DejaVu Sans	14	strike	span	0	6	56.80	466.02	466.02	1	409.20	1	56.80-466.00
L144	Liberation Serif	10	under	skip	0	6	56.80	316.66	316.66	2	27.70	0	56.80-77.90;310.00-316.60
L145	Liberation Serif	10	over	skip	0	6	56.80	316.66	316.66	2	27.70	0	56.80-77.90;310.00-316.60
L146	Liberation Serif	10	strike	skip	0	6	56.80	316.66	316.66	2	27.70	0	56.80-77.90;310.00-316.60
L147	Liberation Sans	10	under	skip	0	6	56.80	317.22	317.22	2	29.40	0	56.80-79.00;310.00-317.20
L148	Liberation Sans	10	over	skip	0	6	56.80	317.22	317.22	2	29.40	0	56.80-79.00;310.00-317.20
L149	Liberation Sans	10	strike	skip	0	6	56.80	317.22	317.22	2	29.40	0	56.80-79.00;310.00-317.20
L150	Carlito	10	under	skip	0	6	56.80	315.42	315.42	2	24.80	0	56.80-76.20;310.00-315.40
L151	Carlito	10	over	skip	0	6	56.80	315.42	315.42	2	24.80	0	56.80-76.20;310.00-315.40
L152	Carlito	10	strike	skip	0	6	56.80	315.42	315.42	2	24.80	0	56.80-76.20;310.00-315.40
L153	DejaVu Sans	10	under	skip	0	6	56.80	316.94	316.94	2	31.50	0	56.80-81.40;310.00-316.90
L154	DejaVu Sans	10	over	skip	0	6	56.80	316.94	316.94	2	31.50	0	56.80-81.40;310.00-316.90
L155	DejaVu Sans	10	strike	skip	0	6	56.80	316.94	316.94	2	31.50	0	56.80-81.40;310.00-316.90
L156	Liberation Mono	10	under	mono	30	6	56.80	116.80		2	66.00	0	56.70-116.70;118.20-124.20
L157	Liberation Mono	10	under	mono	90	6	56.80	116.80		2	66.00	0	56.70-116.70;121.20-127.20
L158	Liberation Mono	10	under	mono	119	6	56.80	116.80		2	66.00	0	56.70-116.70;122.65-128.65
L159	Liberation Mono	10	under	mono	121	6	56.80	116.80		1	72.05	1	56.70-128.75
L160	Liberation Mono	10	under	mono	180	6	56.80	116.80		1	75.00	1	56.70-131.70
L161	Liberation Mono	10	under	mono	361	6	56.80	116.80		1	84.05	1	56.70-140.75
L162	Liberation Sans	10	under	cliff	54	6	59.40	67.27		1	7.70	1	59.40-67.10
L163	Liberation Sans	10	under	cliff	55	6	56.70	67.32		1	10.45	1	56.70-67.15
L164	Liberation Sans	10	under	cliff	56	6	56.70	67.37		1	10.50	1	56.70-67.20
L165	Liberation Sans	10	under	cliff	57	7	56.70	67.42		1	10.55	1	56.70-67.25
L166	Liberation Mono	10	under	resid	200	7	56.70	72.80		1	16.00	1	56.70-72.70
L167	Liberation Mono	10	under	resid	260	7	56.70	75.80		1	19.00	1	56.70-75.70
L168	Liberation Mono	10	under	resid	340	7	56.70	79.80		1	23.00	1	56.70-79.70
L169	Liberation Mono	10	under	resid	460	7	73.69	85.80		1	29.00	1	56.70-85.70
L170	Liberation Mono	10	under	resid	580	7	79.69	91.80		1	35.00	1	56.70-91.70
