name	ours_pages	ref_pages	ours_glyphs	ref_glyphs	unemb	verdict
Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA	148	148	189432	189432	0	match
B11. TE.CAO.00129  Experience  logbook	6	8	5086	5537	0	pages,words
BID_ACKNOWLEDGEMENT_FORM_FOR_A320	3	3	1529	1529	0	match
Bull01-06-Reserve Training Standards	6	6	7948	7948	0	match
CMTA_Airport_Transportation	1	1	1305	1305	0	match
CP-ETSO template_v2020	6	6	6448	6448	0	match
CRIF - SpÃ©cification technique - Socle applicatif	28	28	37030	35523	0	words
CSCRS_Technical-Report-Documentation-Page-with-instructions	2	2	3936	3936	0	match
Case-Study-Heathrow-Airport	3	3	6461	6461	0	match
Checklist for TC STC ETSO data packages to FAA_TIP rev 5	3	3	6062	6062	0	match
Company-profile-2022-EN	5	5	5630	5630	0	match
Contract_Check_Pilot_Sample_LOA	4	4	7205	7213	0	match
DEP2008-1900	3	3	5168	5168	0	match
DOA_Template_Form_Type_Certification_Programme	24	19	27371	28467	0	pages,words
DRX-Ascend System Course Description	2	2	2950	2950	0	match
ECSS-E-ST-50-16C-Annex-A(30September2021)	4	4	3613	3613	0	match
EHEST-SMS-Safety-Management-Manual-V2	82	81	105242	105000	0	pages
ESPN-R - MCF - Manual - Ed1.0 - For Publication	33	42	47962	49405	0	pages,words
ESPN-R - MCF - RA - Ed1	50	46	58736	57725	0	pages
FAA 2025-26 Holdover Tables	166	233	335535	358857	0	pages,words
FAA-2013-0422-0009_attachment_1	7	7	9308	9308	0	match
FAA-2017-0628-0002_attachment_1	5	4	3661	3607	0	pages
FAA-High-Level-Org-Chart	3	3	4204	4204	0	match
FG-AI4NDM-TR-skeleton_template	5	5	2028	2029	0	match
FMRBullletinB-28	2	2	2835	2835	0	match
FO.FCTOA.00010 Application for a Part-ORA ATO Approval	15	16	22598	23291	0	pages,words
FO.FCTOA_.000129 Application for activities related to FSTD	6	7	9023	9261	0	pages,words
FRE-03_mcar_part-3_and_IS_v2.9	76	70	123907	124466	0	pages
FlightLaws	4	4	5533	5533	0	match
Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11	3	3	3322	3322	0	match
GLACIERBG.ETT	1	1	2397	2397	0	match
HC-Bulletin-template	5	1	2947	95	0	pages,words
How-to-Write-an-Architecture-Document-for-a-Technology-Service	3	3	5482	5482	0	match
II.1.2_Hypoxia	12	13	19253	19253	0	pages
Interview-mit-Manfred1-Müller	2	2	4744	4744	0	match
JEMIT_Template	5	4	8773	8679	0	pages
LENTOBUSSIAIKATAULU.-31.10.-31.12.2022	1	1	716	716	0	match
LHD-230-application-for-the-approval-of-an-aircraftr	2	2	4383	4383	0	match
Leadership Information Article	4	4	8107	8107	0	match
Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5	3	3	7946	7946	0	match
License App Instructions 2-22	3	3	5737	5737	0	match
May 25 bulletin focus on carers in the workplace	5	4	2281	2721	0	pages,words
OM template for non-complex NCC operators_August 2016	165	171	269965	270393	0	pages
P200904290238_0238_51880	3	3	1873	1873	0	match
PAT-047 - Architecture and Detailed Design Assessment	4	4	6139	6137	0	match
PES-Technical-Report-Template_Jan_2019	13	17	13373	13464	0	pages
PI-doc.-no.-2E-Technical-Review-Report	10	10	9795	9461	0	words
PK_FlugzeugeStricken	7	7	10066	10066	0	match
PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th	5	5	2742	2742	0	match
PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024	6	6	6234	6234	0	match
Pre-Application_Letter_of_Intent_Example	1	1	1780	1780	0	match
Press release_EUREKA labels ITEA 3 Cluster	2	2	4106	4106	0	match
RMI_Document_Repository_Public-Reprts_GettingOffOil	6	6	14617	14617	0	match
RNW167A-150428	9	9	9336	9336	0	match
Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission	17	4	33430	1000	0	pages,words
Reid	4	4	8425	8425	0	match
RobertQ_Service	4	4	2735	2735	0	match
SDL_FSDO_Part91_LOA_Checklist	2	2	2375	2375	0	match
SFSP_2013-02_Bulletin	4	4	5136	5136	0	match
SPA-02_mcar_part-2_and_IS_v2.9	273	274	479025	485696	0	pages
SPA-06_mcar_part-6_and_IS_v2.9	88	88	142129	142393	0	match
SPA-11_mcar_part-11_v2.9	49	47	70744	70606	0	pages
SWDD-template	6	6	5833	5833	0	match
Sample_PAO-PSO_91-113_Letter	1	1	1629	1629	0	match
Sample_SQMS_Program	60	77	85167	87329	0	pages,words
Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION	1	1	1223	1223	0	match
Software Architecture Document Template	3	3	3390	3390	0	match
Sol PJ14-03-04 Solution Contextual	5	6	11366	11414	0	pages
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook	17	26	10089	13132	0	pages,words
Technical Report and Technical Update Guidelines	4	4	6716	6716	0	match
Technical_Issue_Report_Form	2	2	1922	1922	0	match
Temp16	2	2	3431	3431	0	match
Theft-Restitution-Letter-Vancouver-ASC-2005	1	1	1319	1319	0	match
UAS-SGI_waiver_approval_request_form	3	3	2750	2750	0	match
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders	29	29	36073	35164	0	words
Wales_Office_Quarter_4_Ministerial_Transparency_Return	6	6	5642	5642	0	match
WordArt_Shapes_Arrows_Catalog1	26	26	10532	9957	0	words
Writing a technical report (SCE subject guide)	4	4	6403	6403	0	match
absrc-pac-01-info-note-en	6	7	6873	6901	0	pages
advert-for-draft-decision-airbus-epr-bm3965ia-v006	2	2	2104	2104	0	match
airbus-pdf-information-package_v1-4	9	9	5613	5613	0	match
approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook	6	8	5004	6130	0	pages,words
b050-19	3	3	4882	4882	0	match
b053-19	2	2	2916	2916	0	match
bulletin	15	15	17038	17038	0	match
cacs-206-1751218225	2	2	1925	1925	0	match
certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10	8	8	6253	6253	0	match
chapter 12	12	12	18868	18868	0	match
clustered-column-result	1	1	389	253	0	words
clustered-column-template	1	1	200	121	0	words
congregationalhistories_ky_2023	1	1	1579	1579	0	match
draft-variation-notice-airbus-bm3965ia-v006-vs-comments	9	9	7871	8101	0	words
dragon1-enterprise-architecture-document-example-v0.1d	13	13	9975	9975	0	match
eTAR_External_Web_tool_Tip_Sheet_mh	4	4	4604	4579	0	match
easa-form-1	5	5	7489	7489	0	match
easa-regulations-update-20	22	19	14939	14843	0	pages
exhibit-06---technical-architecture-template	8	10	6601	7118	0	pages,words
f111	11	11	18181	18181	0	match
f2_registro_de_aprovacao_com_pbcs_EN	2	2	2255	2255	0	match
f445896eb008d14c1746fc37d412dc22	15	15	27066	27066	0	match
final-technical-report-template	6	6	6153	6153	0	match
fleetfastfacts16nov2023	2	2	733	733	0	match
foca_form_1	3	3	8518	8518	0	match
form_1123_application_form_rvsm_spa	3	3	3321	3321	0	match
gpp-pr-top-7-office-markets-4q-2023	4	4	5669	5669	0	match
hdss-bulletin-issue-285-25-june-2025	10	10	19647	19647	0	match
healthcare-reform-nsa-consumer-bulletin	4	4	8645	8645	0	match
healthcare-reform-nsa-provider-bulletin	6	5	11257	11209	0	pages
info-bulletin-601	6	6	6913	6913	0	match
johnson_hall_service_log.pdf	1	1	1364	1364	0	match
lk03_17	2	2	1931	1931	0	match
loi_format_letter_of_intent-a-320-214-a330	10	10	16753	16752	0	match
mde087077~283	4	4	5746	5746	0	match
monthly-content-feeder	18	18	34555	34555	0	match
omrIMInterpretiveGuideLine	2	2	2253	2253	0	match
opic 5--Case Studies Movie and Aviation Industries	5	5	5293	5293	0	match
part-145-approval list (1)	8	8	8044	8072	0	match
part-145-approval list 2025	7	7	7528	7528	0	match
part-147_approval list_20230119	2	2	3494	3498	0	match
pie-chart-result	1	1	234	157	0	words
pie-chart-template	1	1	73	57	0	words
prison-population-bulletin-june	6	4	6038	6038	0	pages
private-hire-operators-licensed	2	2	1417	1417	0	match
report-template	12	12	15342	15341	0	match
review-welsh-government-communications-mister-peter-mandelson	14	14	14961	14961	0	match
s33song-beverlyactproductionofdocuments	2	2	3227	3227	0	match
slcc-architecture-uu-architecture	4	4	6328	6328	0	match
system_design__technical_architecture_template	10	11	9609	9652	0	pages
t_TEMPforInvProgs	25	25	27424	27421	0	match
