# advance-width: the laid-out width of a repeated unit, by differencing two
# right-aligned lines. Measured 2026-09-06
# 24.2.7.2: /usr/bin/soffice -> LibreOffice 24.2.7.2 420(Build:2)
# 26.2.4.2: /opt/libreoffice26.2/program/soffice -> LibreOffice 26.2.4.2 0229ac93fcf0d7cbc6376066c6f35021cef002dc
# fonts: system /usr/share/fonts; the TDF tarball's bundled Latin duplicates and its
# Latin NotoSans-*/NotoSerif-* are moved aside, so 26.2.4.2 resolves the system faces.
# fc-match "DejaVu Sans" -> DejaVuSans.ttf: "DejaVu Sans" "Book"
# ours: /home/user/wt-advance/dotnet/tools/Paperless.Cli/bin/Debug/net10.0/linux-x64/Paperless.Cli
binary	face	unit	size_pt	reps	glyphs_per_unit	design_pt	measured_pt	ratio_to_design
24.2.7.2	Liberation Mono	hamburgefonstiv	12	12	15	108.017578	108.016667	0.999992
24.2.7.2	Liberation Mono	hamburgefonstiv	14	10	15	126.020508	126.020000	0.999996
24.2.7.2	Liberation Mono	hamburgefonstiv	16	8	15	144.023438	144.025000	1.000011
24.2.7.2	Liberation Mono	hamburgefonstiv	20	6	15	180.029297	180.033333	1.000022
24.2.7.2	Liberation Mono	hamburgefonstiv	24	5	15	216.035156	216.040000	1.000022
24.2.7.2	Liberation Mono	hamburgefonstiv	32	3	15	288.046875	288.050000	1.000011
24.2.7.2	Liberation Mono	hamburgefonstiv	48	1	15	432.070312	432.050000	0.999953
24.2.7.2	Liberation Mono	kerned	6	18	21	75.612305	75.613889	1.000021
24.2.7.2	Liberation Mono	kerned	8	13	21	100.816406	100.815385	0.999990
24.2.7.2	Liberation Mono	kerned	10	10	21	126.020508	126.020000	0.999996
24.2.7.2	Liberation Mono	kerned	10.5	9	21	132.321533	132.322222	1.000005
24.2.7.2	Liberation Mono	kerned	12	8	21	151.224609	151.225000	1.000003
24.2.7.2	Liberation Mono	kerned	14	6	21	176.428711	176.433333	1.000026
24.2.7.2	Liberation Mono	kerned	16	5	21	201.632812	201.640000	1.000036
24.2.7.2	Liberation Mono	kerned	20	4	21	252.041016	252.037500	0.999986
24.2.7.2	Liberation Mono	kerned	24	3	21	302.449219	302.450000	1.000003
24.2.7.2	Liberation Mono	kerned	32	1	21	403.265625	403.250000	0.999961
24.2.7.2	Liberation Mono	prose	6	7	44	158.425781	158.428571	1.000018
24.2.7.2	Liberation Mono	prose	8	5	44	211.234375	211.240000	1.000027
24.2.7.2	Liberation Mono	prose	10	3	44	264.042969	264.033333	0.999964
24.2.7.2	Liberation Mono	prose	10.5	3	44	277.245117	277.250000	1.000018
24.2.7.2	Liberation Mono	prose	12	2	44	316.851562	316.850000	0.999995
24.2.7.2	Liberation Mono	prose	14	2	44	369.660156	369.675000	1.000040
24.2.7.2	Liberation Mono	prose	16	1	44	422.468750	422.450000	0.999956
24.2.7.2	Liberation Serif	o	6	238	1	3.000000	3.000000	1.000000
24.2.7.2	Liberation Serif	o	8	238	1	4.000000	4.000000	1.000000
24.2.7.2	Liberation Serif	o	10	238	1	5.000000	5.000000	1.000000
24.2.7.2	Liberation Serif	o	10.5	238	1	5.250000	5.250000	1.000000
24.2.7.2	Liberation Serif	o	12	238	1	6.000000	6.000000	1.000000
24.2.7.2	Liberation Serif	o	14	218	1	7.000000	7.000000	1.000000
24.2.7.2	Liberation Serif	o	16	190	1	8.000000	8.000000	1.000000
24.2.7.2	Liberation Serif	o	20	152	1	10.000000	10.000000	1.000000
24.2.7.2	Liberation Serif	o	24	126	1	12.000000	12.000000	1.000000
24.2.7.2	Liberation Serif	o	32	94	1	16.000000	16.000000	1.000000
24.2.7.2	Liberation Serif	o	48	62	1	24.000000	24.000000	1.000000
24.2.7.2	Liberation Serif	i	6	238	1	1.666992	1.667017	1.000015
24.2.7.2	Liberation Serif	i	8	238	1	2.222656	2.222689	1.000015
24.2.7.2	Liberation Serif	i	10	238	1	2.778320	2.778361	1.000015
24.2.7.2	Liberation Serif	i	10.5	238	1	2.917236	2.917227	0.999997
24.2.7.2	Liberation Serif	i	12	238	1	3.333984	3.334034	1.000015
24.2.7.2	Liberation Serif	i	14	238	1	3.889648	3.889496	0.999961
24.2.7.2	Liberation Serif	i	16	238	1	4.445312	4.445378	1.000015
24.2.7.2	Liberation Serif	i	20	238	1	5.556641	5.556723	1.000015
24.2.7.2	Liberation Serif	i	24	228	1	6.667969	6.667982	1.000002
24.2.7.2	Liberation Serif	i	32	171	1	8.890625	8.890643	1.000002
24.2.7.2	Liberation Serif	i	48	113	1	13.335938	13.336283	1.000026
24.2.7.2	Liberation Serif	space_o	6	238	2	4.500000	4.500000	1.000000
24.2.7.2	Liberation Serif	space_o	8	238	2	6.000000	6.000000	1.000000
24.2.7.2	Liberation Serif	space_o	10	203	2	7.500000	7.500000	1.000000
24.2.7.2	Liberation Serif	space_o	10.5	193	2	7.875000	7.875130	1.000016
24.2.7.2	Liberation Serif	space_o	12	169	2	9.000000	9.000000	1.000000
24.2.7.2	Liberation Serif	space_o	14	144	2	10.500000	10.500000	1.000000
24.2.7.2	Liberation Serif	space_o	16	126	2	12.000000	12.000000	1.000000
24.2.7.2	Liberation Serif	space_o	20	100	2	15.000000	15.000000	1.000000
24.2.7.2	Liberation Serif	space_o	24	83	2	18.000000	18.000000	1.000000
24.2.7.2	Liberation Serif	space_o	32	62	2	24.000000	24.000000	1.000000
24.2.7.2	Liberation Serif	space_o	48	40	2	36.000000	36.000000	1.000000
24.2.7.2	Liberation Serif	hamburgefonstiv	6	34	15	41.991211	41.991176	0.999999
24.2.7.2	Liberation Serif	hamburgefonstiv	8	25	15	55.988281	55.988000	0.999995
24.2.7.2	Liberation Serif	hamburgefonstiv	10	20	15	69.985352	69.987500	1.000031
24.2.7.2	Liberation Serif	hamburgefonstiv	10.5	18	15	73.484619	73.486111	1.000020
24.2.7.2	Liberation Serif	hamburgefonstiv	12	16	15	83.982422	83.984375	1.000023
24.2.7.2	Liberation Serif	hamburgefonstiv	14	13	15	97.979492	97.980769	1.000013
24.2.7.2	Liberation Serif	hamburgefonstiv	16	11	15	111.976562	111.977273	1.000006
24.2.7.2	Liberation Serif	hamburgefonstiv	20	9	15	139.970703	139.972222	1.000011
24.2.7.2	Liberation Serif	hamburgefonstiv	24	7	15	167.964844	167.964286	0.999997
24.2.7.2	Liberation Serif	hamburgefonstiv	32	4	15	223.953125	223.950000	0.999986
24.2.7.2	Liberation Serif	hamburgefonstiv	48	2	15	335.929688	335.925000	0.999986
24.2.7.2	Liberation Serif	kerned	6	22	21	63.984375	63.986364	1.000031
24.2.7.2	Liberation Serif	kerned	8	16	21	85.312500	85.312500	1.000000
24.2.7.2	Liberation Serif	kerned	10	12	21	106.640625	106.637500	0.999971
24.2.7.2	Liberation Serif	kerned	10.5	11	21	111.972656	111.972727	1.000001
24.2.7.2	Liberation Serif	kerned	12	10	21	127.968750	127.970000	1.000010
24.2.7.2	Liberation Serif	kerned	14	8	21	149.296875	149.293750	0.999979
24.2.7.2	Liberation Serif	kerned	16	7	21	170.625000	170.628571	1.000021
24.2.7.2	Liberation Serif	kerned	20	5	21	213.281250	213.280000	0.999994
24.2.7.2	Liberation Serif	kerned	24	4	21	255.937500	255.937500	1.000000
24.2.7.2	Liberation Serif	kerned	32	2	21	341.250000	341.250000	1.000000
24.2.7.2	Liberation Serif	kerned	48	1	21	511.875000	511.900000	1.000049
24.2.7.2	Liberation Serif	prose	6	12	44	109.142578	109.141667	0.999992
24.2.7.2	Liberation Serif	prose	8	8	44	145.523438	145.525000	1.000011
24.2.7.2	Liberation Serif	prose	10	6	44	181.904297	181.908333	1.000022
24.2.7.2	Liberation Serif	prose	10.5	6	44	190.999512	191.000000	1.000003
24.2.7.2	Liberation Serif	prose	12	5	44	218.285156	218.290000	1.000022
24.2.7.2	Liberation Serif	prose	14	4	44	254.666016	254.662500	0.999986
24.2.7.2	Liberation Serif	prose	16	3	44	291.046875	291.050000	1.000011
24.2.7.2	Liberation Serif	prose	20	2	44	363.808594	363.825000	1.000045
24.2.7.2	Liberation Serif	prose	24	1	44	436.570312	436.550000	0.999953
24.2.7.2	Liberation Sans	o	6	238	1	3.336914	3.336975	1.000018
24.2.7.2	Liberation Sans	o	8	238	1	4.449219	4.449160	0.999987
24.2.7.2	Liberation Sans	o	10	238	1	5.561523	5.561555	1.000006
24.2.7.2	Liberation Sans	o	10.5	238	1	5.839600	5.839496	0.999982
24.2.7.2	Liberation Sans	o	12	228	1	6.673828	6.673904	1.000011
24.2.7.2	Liberation Sans	o	14	195	1	7.786133	7.786154	1.000003
24.2.7.2	Liberation Sans	o	16	171	1	8.898438	8.898538	1.000011
24.2.7.2	Liberation Sans	o	20	136	1	11.123047	11.123162	1.000010
24.2.7.2	Liberation Sans	o	24	113	1	13.347656	13.347788	1.000010
24.2.7.2	Liberation Sans	o	32	84	1	17.796875	17.797024	1.000008
24.2.7.2	Liberation Sans	o	48	55	1	26.695312	26.695455	1.000005
24.2.7.2	Liberation Sans	i	6	238	1	1.333008	1.332983	0.999982
24.2.7.2	Liberation Sans	i	8	238	1	1.777344	1.777311	0.999982
24.2.7.2	Liberation Sans	i	10	238	1	2.221680	2.221639	0.999982
24.2.7.2	Liberation Sans	i	10.5	238	1	2.332764	2.332773	1.000004
24.2.7.2	Liberation Sans	i	12	238	1	2.666016	2.665966	0.999982
24.2.7.2	Liberation Sans	i	14	238	1	3.110352	3.110504	1.000049
24.2.7.2	Liberation Sans	i	16	238	1	3.554688	3.554832	1.000041
24.2.7.2	Liberation Sans	i	20	238	1	4.443359	4.443277	0.999982
24.2.7.2	Liberation Sans	i	24	238	1	5.332031	5.332143	1.000021
24.2.7.2	Liberation Sans	i	32	214	1	7.109375	7.109579	1.000029
24.2.7.2	Liberation Sans	i	48	142	1	10.664062	10.664085	1.000002
24.2.7.2	Liberation Sans	space_o	6	238	2	5.003906	5.003992	1.000017
24.2.7.2	Liberation Sans	space_o	8	228	2	6.671875	6.671930	1.000008
24.2.7.2	Liberation Sans	space_o	10	182	2	8.339844	8.339835	0.999999
24.2.7.2	Liberation Sans	space_o	10.5	173	2	8.756836	8.756936	1.000011
24.2.7.2	Liberation Sans	space_o	12	151	2	10.007812	10.007947	1.000013
24.2.7.2	Liberation Sans	space_o	14	129	2	11.675781	11.675969	1.000016
24.2.7.2	Liberation Sans	space_o	16	113	2	13.343750	13.343805	1.000004
24.2.7.2	Liberation Sans	space_o	20	90	2	16.679688	16.680000	1.000019
24.2.7.2	Liberation Sans	space_o	24	74	2	20.015625	20.015541	0.999996
24.2.7.2	Liberation Sans	space_o	32	55	2	26.687500	26.687273	0.999991
24.2.7.2	Liberation Sans	space_o	48	36	2	40.031250	40.031944	1.000017
24.2.7.2	Liberation Sans	hamburgefonstiv	6	31	15	45.354492	45.354839	1.000008
24.2.7.2	Liberation Sans	hamburgefonstiv	8	23	15	60.472656	60.471739	0.999985
24.2.7.2	Liberation Sans	hamburgefonstiv	10	18	15	75.590820	75.588889	0.999974
24.2.7.2	Liberation Sans	hamburgefonstiv	10.5	17	15	79.370361	79.370588	1.000003
24.2.7.2	Liberation Sans	hamburgefonstiv	12	14	15	90.708984	90.710714	1.000019
24.2.7.2	Liberation Sans	hamburgefonstiv	14	12	15	105.827148	105.829167	1.000019
24.2.7.2	Liberation Sans	hamburgefonstiv	16	10	15	120.945312	120.945000	0.999997
24.2.7.2	Liberation Sans	hamburgefonstiv	20	8	15	151.181641	151.181250	0.999997
24.2.7.2	Liberation Sans	hamburgefonstiv	24	6	15	181.417969	181.416667	0.999993
24.2.7.2	Liberation Sans	hamburgefonstiv	32	4	15	241.890625	241.887500	0.999987
24.2.7.2	Liberation Sans	hamburgefonstiv	48	2	15	362.835938	362.850000	1.000039
24.2.7.2	Liberation Sans	kerned	6	21	21	66.685547	66.685714	1.000003
24.2.7.2	Liberation Sans	kerned	8	15	21	88.914062	88.913333	0.999992
24.2.7.2	Liberation Sans	kerned	10	11	21	111.142578	111.140909	0.999985
24.2.7.2	Liberation Sans	kerned	10.5	11	21	116.699707	116.700000	1.000003
24.2.7.2	Liberation Sans	kerned	12	9	21	133.371094	133.372222	1.000008
24.2.7.2	Liberation Sans	kerned	14	7	21	155.599609	155.600000	1.000003
24.2.7.2	Liberation Sans	kerned	16	6	21	177.828125	177.833333	1.000029
24.2.7.2	Liberation Sans	kerned	20	4	21	222.285156	222.287500	1.000011
24.2.7.2	Liberation Sans	kerned	24	3	21	266.742188	266.733333	0.999967
24.2.7.2	Liberation Sans	kerned	32	2	21	355.656250	355.675000	1.000053
24.2.7.2	Liberation Sans	prose	6	11	44	118.394531	118.395455	1.000008
24.2.7.2	Liberation Sans	prose	8	7	44	157.859375	157.864286	1.000031
24.2.7.2	Liberation Sans	prose	10	5	44	197.324219	197.320000	0.999979
24.2.7.2	Liberation Sans	prose	10.5	5	44	207.190430	207.190000	0.999998
24.2.7.2	Liberation Sans	prose	12	4	44	236.789062	236.787500	0.999993
24.2.7.2	Liberation Sans	prose	14	3	44	276.253906	276.250000	0.999986
24.2.7.2	Liberation Sans	prose	16	2	44	315.718750	315.725000	1.000020
24.2.7.2	Liberation Sans	prose	20	1	44	394.648438	394.650000	1.000004
24.2.7.2	Liberation Sans	prose	24	1	44	473.578125	473.600000	1.000046
24.2.7.2	Carlito	o	6	238	1	3.164062	3.164076	1.000004
24.2.7.2	Carlito	o	8	238	1	4.218750	4.218697	0.999988
24.2.7.2	Carlito	o	10	238	1	5.273438	5.273529	1.000017
24.2.7.2	Carlito	o	10.5	238	1	5.537109	5.537185	1.000014
24.2.7.2	Carlito	o	12	238	1	6.328125	6.328151	1.000004
24.2.7.2	Carlito	o	14	206	1	7.382812	7.383010	1.000027
24.2.7.2	Carlito	o	16	180	1	8.437500	8.437500	1.000000
24.2.7.2	Carlito	o	20	144	1	10.546875	10.546875	1.000000
24.2.7.2	Carlito	o	24	119	1	12.656250	12.656303	1.000004
24.2.7.2	Carlito	o	32	89	1	16.875000	16.875281	1.000017
24.2.7.2	Carlito	o	48	58	1	25.312500	25.312069	0.999983
24.2.7.2	Carlito	i	6	238	1	1.376953	1.376891	0.999955
24.2.7.2	Carlito	i	8	238	1	1.835938	1.836134	1.000107
24.2.7.2	Carlito	i	10	238	1	2.294922	2.294958	1.000016
24.2.7.2	Carlito	i	10.5	238	1	2.409668	2.409664	0.999998
24.2.7.2	Carlito	i	12	238	1	2.753906	2.753992	1.000031
24.2.7.2	Carlito	i	14	238	1	3.212891	3.212815	0.999977
24.2.7.2	Carlito	i	16	238	1	3.671875	3.671849	0.999993
24.2.7.2	Carlito	i	20	238	1	4.589844	4.589706	0.999970
24.2.7.2	Carlito	i	24	238	1	5.507812	5.507983	1.000031
24.2.7.2	Carlito	i	32	207	1	7.343750	7.343720	0.999996
24.2.7.2	Carlito	i	48	137	1	11.015625	11.015328	0.999973
24.2.7.2	Carlito	space_o	6	238	2	4.520508	4.520378	0.999971
24.2.7.2	Carlito	space_o	8	238	2	6.027344	6.027311	0.999995
24.2.7.2	Carlito	space_o	10	202	2	7.534180	7.534158	0.999997
24.2.7.2	Carlito	space_o	10.5	192	2	7.910889	7.910938	1.000006
24.2.7.2	Carlito	space_o	12	168	2	9.041016	9.040774	0.999973
24.2.7.2	Carlito	space_o	14	144	2	10.547852	10.547917	1.000006
24.2.7.2	Carlito	space_o	16	125	2	12.054688	12.054800	1.000009
24.2.7.2	Carlito	space_o	20	100	2	15.068359	15.068000	0.999976
24.2.7.2	Carlito	space_o	24	83	2	18.082031	18.081928	0.999994
24.2.7.2	Carlito	space_o	32	61	2	24.109375	24.109836	1.000019
24.2.7.2	Carlito	space_o	48	40	2	36.164062	36.163750	0.999991
24.2.7.2	Carlito	hamburgefonstiv	6	34	14	42.202148	42.158824	0.998973
24.2.7.2	Carlito	hamburgefonstiv	8	25	14	56.269531	56.212000	0.998978
24.2.7.2	Carlito	hamburgefonstiv	10	19	14	70.336914	70.263158	0.998951
24.2.7.2	Carlito	hamburgefonstiv	10.5	18	14	73.853760	73.777778	0.998971
24.2.7.2	Carlito	hamburgefonstiv	12	16	14	84.404297	84.315625	0.998949
24.2.7.2	Carlito	hamburgefonstiv	14	13	14	98.471680	98.369231	0.998960
24.2.7.2	Carlito	hamburgefonstiv	16	11	14	112.539062	112.422727	0.998966
24.2.7.2	Carlito	hamburgefonstiv	20	8	14	140.673828	140.525000	0.998942
24.2.7.2	Carlito	hamburgefonstiv	24	7	14	168.808594	168.635714	0.998976
24.2.7.2	Carlito	hamburgefonstiv	32	4	14	225.078125	224.837500	0.998931
24.2.7.2	Carlito	hamburgefonstiv	48	2	14	337.617188	337.250000	0.998912
24.2.7.2	Carlito	kerned	6	25	21	56.689453	56.688000	0.999974
24.2.7.2	Carlito	kerned	8	18	21	75.585938	75.586111	1.000002
24.2.7.2	Carlito	kerned	10	14	21	94.482422	94.482143	0.999997
24.2.7.2	Carlito	kerned	10.5	13	21	99.206543	99.207692	1.000012
24.2.7.2	Carlito	kerned	12	11	21	113.378906	113.381818	1.000026
24.2.7.2	Carlito	kerned	14	9	21	132.275391	132.277778	1.000018
24.2.7.2	Carlito	kerned	16	8	21	151.171875	151.168750	0.999979
24.2.7.2	Carlito	kerned	20	6	21	188.964844	188.958333	0.999966
24.2.7.2	Carlito	kerned	24	4	21	226.757812	226.762500	1.000021
24.2.7.2	Carlito	kerned	32	3	21	302.343750	302.333333	0.999966
24.2.7.2	Carlito	kerned	48	1	21	453.515625	453.500000	0.999966
24.2.7.2	Carlito	prose	6	12	44	109.201172	109.200000	0.999989
24.2.7.2	Carlito	prose	8	8	44	145.601562	145.600000	0.999989
24.2.7.2	Carlito	prose	10	6	44	182.001953	182.000000	0.999989
24.2.7.2	Carlito	prose	10.5	6	44	191.102051	191.100000	0.999989
24.2.7.2	Carlito	prose	12	5	44	218.402344	218.400000	0.999989
24.2.7.2	Carlito	prose	14	4	44	254.802734	254.800000	0.999989
24.2.7.2	Carlito	prose	16	3	44	291.203125	291.200000	0.999989
24.2.7.2	Carlito	prose	20	2	44	364.003906	364.000000	0.999989
24.2.7.2	Carlito	prose	24	1	44	436.804688	436.800000	0.999989
24.2.7.2	DejaVu Sans	o	6	238	1	3.670898	3.670798	0.999973
24.2.7.2	DejaVu Sans	o	8	238	1	4.894531	4.894538	1.000001
24.2.7.2	DejaVu Sans	o	10	238	1	6.118164	6.118067	0.999984
24.2.7.2	DejaVu Sans	o	10.5	237	1	6.424072	6.424051	0.999997
24.2.7.2	DejaVu Sans	o	12	207	1	7.341797	7.341787	0.999999
24.2.7.2	DejaVu Sans	o	14	177	1	8.565430	8.565254	0.999980
24.2.7.2	DejaVu Sans	o	16	155	1	9.789062	9.789032	0.999997
24.2.7.2	DejaVu Sans	o	20	123	1	12.236328	12.236585	1.000021
24.2.7.2	DejaVu Sans	o	24	102	1	14.683594	14.683824	1.000016
24.2.7.2	DejaVu Sans	o	32	76	1	19.578125	19.578289	1.000008
24.2.7.2	DejaVu Sans	o	48	50	1	29.367188	29.367000	0.999994
24.2.7.2	DejaVu Sans	i	6	238	1	1.666992	1.667017	1.000015
24.2.7.2	DejaVu Sans	i	8	238	1	2.222656	2.222689	1.000015
24.2.7.2	DejaVu Sans	i	10	238	1	2.778320	2.778361	1.000015
24.2.7.2	DejaVu Sans	i	10.5	238	1	2.917236	2.917227	0.999997
24.2.7.2	DejaVu Sans	i	12	238	1	3.333984	3.334034	1.000015
24.2.7.2	DejaVu Sans	i	14	238	1	3.889648	3.889496	0.999961
24.2.7.2	DejaVu Sans	i	16	238	1	4.445312	4.445378	1.000015
24.2.7.2	DejaVu Sans	i	20	238	1	5.556641	5.556723	1.000015
24.2.7.2	DejaVu Sans	i	24	228	1	6.667969	6.667982	1.000002
24.2.7.2	DejaVu Sans	i	32	171	1	8.890625	8.890643	1.000002
24.2.7.2	DejaVu Sans	i	48	113	1	13.335938	13.336283	1.000026
24.2.7.2	DejaVu Sans	space_o	6	238	2	5.578125	5.578151	1.000005
24.2.7.2	DejaVu Sans	space_o	8	205	2	7.437500	7.437317	0.999975
24.2.7.2	DejaVu Sans	space_o	10	163	2	9.296875	9.296933	1.000006
24.2.7.2	DejaVu Sans	space_o	10.5	155	2	9.761719	9.761935	1.000022
24.2.7.2	DejaVu Sans	space_o	12	136	2	11.156250	11.156250	1.000000
24.2.7.2	DejaVu Sans	space_o	14	116	2	13.015625	13.015517	0.999992
24.2.7.2	DejaVu Sans	space_o	16	101	2	14.875000	14.875248	1.000017
24.2.7.2	DejaVu Sans	space_o	20	80	2	18.593750	18.593750	1.000000
24.2.7.2	DejaVu Sans	space_o	24	67	2	22.312500	22.311940	0.999975
24.2.7.2	DejaVu Sans	space_o	32	49	2	29.750000	29.750000	1.000000
24.2.7.2	DejaVu Sans	space_o	48	32	2	44.625000	44.625000	1.000000
24.2.7.2	DejaVu Sans	hamburgefonstiv	6	27	15	51.893555	51.892593	0.999981
24.2.7.2	DejaVu Sans	hamburgefonstiv	8	20	15	69.191406	69.190000	0.999980
24.2.7.2	DejaVu Sans	hamburgefonstiv	10	15	15	86.489258	86.486667	0.999970
24.2.7.2	DejaVu Sans	hamburgefonstiv	10.5	14	15	90.813721	90.810714	0.999967
24.2.7.2	DejaVu Sans	hamburgefonstiv	12	12	15	103.787109	103.787500	1.000004
24.2.7.2	DejaVu Sans	hamburgefonstiv	14	10	15	121.084961	121.085000	1.000000
24.2.7.2	DejaVu Sans	hamburgefonstiv	16	9	15	138.382812	138.383333	1.000004
24.2.7.2	DejaVu Sans	hamburgefonstiv	20	6	15	172.978516	172.983333	1.000028
24.2.7.2	DejaVu Sans	hamburgefonstiv	24	5	15	207.574219	207.570000	0.999980
24.2.7.2	DejaVu Sans	hamburgefonstiv	32	3	15	276.765625	276.766667	1.000004
24.2.7.2	DejaVu Sans	hamburgefonstiv	48	1	15	415.148438	415.150000	1.000004
24.2.7.2	DejaVu Sans	kerned	6	19	21	70.365234	70.363158	0.999970
24.2.7.2	DejaVu Sans	kerned	8	14	21	93.820312	93.821429	1.000012
24.2.7.2	DejaVu Sans	kerned	10	11	21	117.275391	117.277273	1.000016
24.2.7.2	DejaVu Sans	kerned	10.5	10	21	123.139160	123.135000	0.999966
24.2.7.2	DejaVu Sans	kerned	12	8	21	140.730469	140.731250	1.000006
24.2.7.2	DejaVu Sans	kerned	14	7	21	164.185547	164.185714	1.000001
24.2.7.2	DejaVu Sans	kerned	16	6	21	187.640625	187.641667	1.000006
24.2.7.2	DejaVu Sans	kerned	20	4	21	234.550781	234.550000	0.999997
24.2.7.2	DejaVu Sans	kerned	24	3	21	281.460938	281.466667	1.000020
24.2.7.2	DejaVu Sans	kerned	32	2	21	375.281250	375.300000	1.000050
24.2.7.2	DejaVu Sans	prose	6	9	44	135.861328	135.861111	0.999998
24.2.7.2	DejaVu Sans	prose	8	6	44	181.148438	181.150000	1.000009
24.2.7.2	DejaVu Sans	prose	10	4	44	226.435547	226.437500	1.000009
24.2.7.2	DejaVu Sans	prose	10.5	4	44	237.757324	237.762500	1.000022
24.2.7.2	DejaVu Sans	prose	12	3	44	271.722656	271.716667	0.999978
24.2.7.2	DejaVu Sans	prose	14	2	44	317.009766	317.025000	1.000048
24.2.7.2	DejaVu Sans	prose	16	2	44	362.296875	362.300000	1.000009
24.2.7.2	DejaVu Sans	prose	20	1	44	452.871094	452.850000	0.999953
26.2.4.2	Liberation Mono	o	6	238	1	3.600586	3.600420	0.999954
26.2.4.2	Liberation Mono	o	8	238	1	4.800781	4.800630	0.999969
26.2.4.2	Liberation Mono	o	10	238	1	6.000977	6.000840	0.999977
26.2.4.2	Liberation Mono	o	10.5	238	1	6.301025	6.300840	0.999971
26.2.4.2	Liberation Mono	o	12	211	1	7.201172	7.200948	0.999969
26.2.4.2	Liberation Mono	o	14	181	1	8.401367	8.401381	1.000002
26.2.4.2	Liberation Mono	o	16	158	1	9.601562	9.601582	1.000002
26.2.4.2	Liberation Mono	o	20	126	1	12.001953	12.001984	1.000003
