track   binary    face               sz   n   offset    pixel     err    exact     err  spread
words   26.2.4.2  Liberation Sans    18   5    6.405    6.378  +0.027    5.946  +0.459   0.038
words   24.2.7.2  Liberation Sans    20   5    6.732    6.746  -0.015    6.606  +0.125   0.029
words   26.2.4.2  Liberation Sans    20   5    6.760    6.746  +0.013    6.606  +0.153   0.029
words   24.2.7.2  Liberation Sans    24   3    8.233    8.235  -0.001    7.928  +0.306   0.025
words   26.2.4.2  Liberation Sans    24   3    8.262    8.235  +0.028    7.928  +0.335   0.025
words   24.2.7.2  Liberation Serif    7  10    2.259    2.254  +0.006    2.213  +0.046   0.021
words   26.2.4.2  Liberation Serif    7  10    2.288    2.254  +0.034    2.213  +0.074   0.022
words   24.2.7.2  Liberation Serif    8  10    2.998    3.005  -0.007    2.529  +0.469   0.040
words   26.2.4.2  Liberation Serif    8  10    3.027    3.005  +0.022    2.529  +0.497   0.041
words   24.2.7.2  Liberation Serif    9  10    2.996    3.005  -0.008    2.845  +0.151   0.028
words   26.2.4.2  Liberation Serif    9  10    3.025    3.005  +0.020    2.845  +0.179   0.027
words   24.2.7.2  Liberation Serif   10  10    3.392    3.387  +0.005    3.162  +0.230   0.047
words   26.2.4.2  Liberation Serif   10  10    3.420    3.387  +0.033    3.162  +0.259   0.046
words   24.2.7.2  Liberation Serif   11   5    3.755    3.756  -0.001    3.478  +0.277   0.039
words   26.2.4.2  Liberation Serif   11   5    3.784    3.756  +0.028    3.478  +0.306   0.039
words   24.2.7.2  Liberation Serif   12   5    4.091    4.110  -0.020    3.794  +0.297   0.019
words   26.2.4.2  Liberation Serif   12   5    4.119    4.110  +0.009    3.794  +0.325   0.019
words   24.2.7.2  Liberation Serif   13   5    4.137    4.124  +0.013    4.110  +0.027   0.026
words   26.2.4.2  Liberation Serif   13   5    4.166    4.124  +0.041    4.110  +0.055   0.026
words   24.2.7.2  Liberation Serif   14   5    4.870    4.876  -0.005    4.426  +0.444   0.021
words   26.2.4.2  Liberation Serif   14   5    4.899    4.876  +0.023    4.426  +0.473   0.022
words   24.2.7.2  Liberation Serif   16   5    5.255    5.258  -0.003    5.059  +0.197   0.017
words   26.2.4.2  Liberation Serif   16   5    5.283    5.258  +0.025    5.059  +0.225   0.017
words   24.2.7.2  Liberation Serif   18   5    5.993    6.009  -0.017    5.691  +0.302   0.011
words   26.2.4.2  Liberation Serif   18   5    6.021    6.009  +0.012    5.691  +0.330   0.010
words   24.2.7.2  Liberation Serif   20   5    6.732    6.746  -0.015    6.323  +0.408   0.029
words   26.2.4.2  Liberation Serif   20   5    6.760    6.746  +0.013    6.323  +0.436   0.029
words   24.2.7.2  Liberation Serif   24   3    8.233    8.235  -0.001    7.588  +0.645   0.025
words   26.2.4.2  Liberation Serif   24   3    8.262    8.235  +0.028    7.588  +0.674   0.025
words   24.2.7.2  Carlito             7  10    2.627    2.622  +0.005    2.393  +0.234   0.045
words   26.2.4.2  Carlito             7  10    2.655    2.622  +0.033    2.393  +0.262   0.046
words   24.2.7.2  Carlito             8  10    2.633    2.636  -0.003    2.734  -0.101   0.029
words   26.2.4.2  Carlito             8  10    2.661    2.636  +0.025    2.734  -0.073   0.029
words   24.2.7.2  Carlito             9  10    2.996    3.005  -0.008    3.076  -0.080   0.028
words   26.2.4.2  Carlito             9  10    3.025    3.005  +0.020    3.076  -0.051   0.027
