family	path	pages	shows	turned	md5
words	pie-chart-result.docx	1	30	0	391416e38d4efaab6184734fb61c54bc
slides	scatter_chart.pptx	1	41	1	274ff7e01094c373a25d2dd4a5e5fac2
slides	stacked_area_chart.pptx	1	20	0	d7cb15c15f7768082ebaa7818cc2c683
slides	stacked_bar_chart.pptx	1	20	0	ec93bb8be1b33511ca782f211292a906
slides	bar_chart.pptx	1	20	0	7fca12d1b8eeb8940b936f595c3459ef
slides	combo_bar_line_chart.pptx	1	31	0	b7e4afe49a3a6e2b7841bc7149916a89
slides	line_chart.pptx	1	17	0	2f2cbfe76eb36edb45b3ccb4199725e4
slides	008_advanced_powerpoint_bubble.pptx	1	11	0	f5713da12ead273faee05612cf956b5e
slides	015_advanced_powerpoint_scatter.pptx	1	11	0	91b1fa1c5f822c7e1e5254b2feca577b
slides	016_advanced_powerpoint_bubble.pptx	1	11	0	7a31754c95c041744e179b334c2a7331
slides	031_advanced_powerpoint_scatter.pptx	1	11	0	83ec9fc8d3085815833d84e3acb61faf
slides	007_advanced_powerpoint_scatter.pptx	1	11	0	3377183210b94e5d5750024e2a608fc4
slides	023_advanced_powerpoint_scatter.pptx	1	11	0	e0d0f594f28e4fb346c454d6fbfb462d
slides	032_advanced_powerpoint_bubble.pptx	1	11	0	f4653920004310fec8abb3e11073a135
slides	024_advanced_powerpoint_bubble.pptx	1	11	0	e73a5a5e643aadcc156e9d52e37c241d
slides	006_advanced_powerpoint_area.pptx	1	30	0	d5622389e00fb6492a3b0c6202ba9fb5
slides	014_advanced_powerpoint_area.pptx	1	30	0	72b244c5e4e4a2cb5b366d55867ca618
slides	030_advanced_powerpoint_area.pptx	1	30	0	7dbd3cdd398f42fc482be0a95bd723b1
slides	001_advanced_powerpoint_bar.pptx	1	30	0	4fc0b49d63660f1c9ea0e258962d5c3c
slides	017_advanced_powerpoint_bar.pptx	1	30	0	4f60c56083b1c9076dac4d948aa0499d
slides	033_advanced_powerpoint_bar.pptx	1	30	0	e9207e19424e5075f3ad33adaf460e73
slides	019_advanced_powerpoint_line.pptx	1	30	0	bdf34b5264a2a2e3677ceb7c1849a414
slides	003_advanced_powerpoint_line.pptx	1	30	0	311187db979d86cb68a1e396ae6269df
slides	002_advanced_powerpoint_column.pptx	1	30	0	32be3b35a94b0af20e96e62ad83ee5f0
slides	010_advanced_powerpoint_column.pptx	1	30	0	68636d642c3e2bde9b270823019583fa
slides	011_advanced_powerpoint_line.pptx	1	30	0	3064ff87a34c3e86dce3026d17745fb3
slides	027_advanced_powerpoint_line.pptx	1	30	0	a7863327dd96e01b2a3a619fe498f891
slides	012_advanced_powerpoint_pie.pptx	1	21	0	dddc6f8b1074fe0141d2c39c1d7a252f
slides	028_advanced_powerpoint_pie.pptx	1	21	0	3fa225c01b622db883e8fbe110b9733c
slides	005_advanced_powerpoint_doughnut.pptx	1	21	0	636d4b4a90a3b5931dd9656c049b2c38
slides	009_advanced_powerpoint_bar.pptx	1	30	0	db78db26f4ece3bc6c98c4f9d4ee201d
slides	021_advanced_powerpoint_doughnut.pptx	1	21	0	066e34c18f7981969a2d0680aedeed31
slides	025_advanced_powerpoint_bar.pptx	1	30	0	711d39918de62fb2552a8c2b6c2a5be1
slides	026_advanced_powerpoint_column.pptx	1	30	0	d163b5e40201780c6d9da7ad225141a2
slides	013_advanced_powerpoint_doughnut.pptx	1	21	0	3187cf7d41b77d3aebddeea5bf3942ff
slides	029_advanced_powerpoint_doughnut.pptx	1	21	0	fea92e5e43c83bee65e0aa0f59404881
slides	004_advanced_powerpoint_pie.pptx	1	21	0	08a042c37b17944b1a8c6d557e16e65a
slides	020_advanced_powerpoint_pie.pptx	1	21	0	1c7521a55ffeea95c79bf8a287e98e80
slides	022_advanced_powerpoint_area.pptx	1	30	0	d1d160277c0045d3367756b082b11671
slides	018_advanced_powerpoint_column.pptx	1	30	0	a0deb27bc05c160500de7d0c5a0093e9
words	027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	1	275	0	28f8e26ee68ad1056f7690db43cbff69
words	023_Unit_Circle_Chart_Circular_Percentage_790f7b75.docx	1	30	0	94c84b583f4bc45b0b02a8f2b1383ca6
words	028_Unit_Circle_Chart_Optimized_Graph_83d9c756.docx	1	58	0	9daee55b8c271bfe9685a875de9be8ab
words	029_Unit_Circle_Chart_Pie_Theme_8a922142.docx	1	19	0	ebc5492a52ca8a9e77126bc260816c05
words	021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	1	16	0	2649450641ca6242a2ef103b71851382
slides	076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx	3	72	0	3c4582dff5233624a46cb299e9b7b9ee
slides	031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.pptx	3	100	0	7b98be997e71e3f75cfb400ecaa85441
slides	044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx	4	139	0	fbe89b58c81c8e9dca4b23f60eb53213
slides	035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx	3	344	0	7f1cb3ad95d70e249c31b5617a2f4a5a
slides	047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx	4	159	0	f35554991702d74595fcf79bae6f8dac
slides	096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	3	66	0	093d97af4a4da9dbc5ceeafb73b2baa4
slides	038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.pptx	3	142	0	25563c935afda490511f61929d4016f8
slides	072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0.pptx	3	68	0	a124e8694a43f93f01d8cc793ed3cf49
slides	100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.pptx	5	166	0	2dbbc891a7cf91a3eb1162d4dff7c34f
slides	033_Battery_Percentage_Chart_c99c24b5.pptx	3	74	0	8924c2e62f63ab82057482ea6b777efc
slides	052_Flame_Percentage_Chart_d27d49c4.pptx	3	99	0	0e93a75389eec4f3c0ad7099d0659e77
slides	093_Insightful_Zoom_Chart_22b5464e.pptx	3	88	0	a7cedc3d9fd78a1b434f27c76e5b677d
slides	061_Four-Stage_Serpentine_Chart_05699efe.pptx	3	52	0	29e76366991ca95bfcaa2a862d9adaee
