path	pages_base	pages_after	glyphs_base	glyphs_after	moved
slides/chartset-002/odp/032_advanced_powerpoint_bubble.odp	1	1	284	284	-
slides/chartset-002/odp/033_advanced_powerpoint_bar.odp	1	1	328	328	-
slides/chartset-003/odp/002_advanced_powerpoint_column.odp	1	1	335	335	-
slides/chartset-003/odp/003_advanced_powerpoint_line.odp	1	1	332	332	-
slides/chartset-003/odp/005_advanced_powerpoint_doughnut.odp	1	1	301	301	-
slides/chartset-003/odp/009_advanced_powerpoint_bar.odp	1	1	339	339	-
slides/chartset-003/odp/010_advanced_powerpoint_column.odp	1	1	332	332	-
slides/chartset-003/odp/011_advanced_powerpoint_line.odp	1	1	328	328	-
slides/chartset-003/odp/012_advanced_powerpoint_pie.odp	1	1	308	308	-
slides/chartset-003/odp/019_advanced_powerpoint_line.odp	1	1	331	331	-
slides/chartset-003/odp/027_advanced_powerpoint_line.odp	1	1	326	326	-
slides/chartset-003/odp/028_advanced_powerpoint_pie.odp	1	1	300	300	-
slides/chartset-004/odp/004_advanced_powerpoint_pie.odp	1	1	300	300	-
slides/chartset-004/odp/013_advanced_powerpoint_doughnut.odp	1	1	297	297	-
slides/chartset-004/odp/018_advanced_powerpoint_column.odp	1	1	329	329	-
slides/chartset-004/odp/020_advanced_powerpoint_pie.odp	1	1	300	300	-
slides/chartset-004/odp/021_advanced_powerpoint_doughnut.odp	1	1	304	304	-
slides/chartset-004/odp/022_advanced_powerpoint_area.odp	1	1	329	329	-
slides/chartset-004/odp/025_advanced_powerpoint_bar.odp	1	1	323	323	-
slides/chartset-004/odp/026_advanced_powerpoint_column.odp	1	1	332	332	-
slides/chartset-004/odp/029_advanced_powerpoint_doughnut.odp	1	1	300	300	-
slides/chartset-005/odp/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.odp	3	3	1101	1101	-
slides/chartset-006/odp/031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.odp	3	3	1865	1865	-
slides/chartset-006/odp/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.odp	4	4	2628	2628	-
slides/chartset-007/odp/035_Chemistry_Column_PowerPoint_Chart_45bf8a76.odp	3	3	1462	1462	-
slides/chartset-007/odp/047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.odp	4	4	2720	2720	-
slides/chartset-007/odp/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.odp	3	3	1009	1009	-
slides/chartset-008/odp/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.odp	3	3	1585	1585	-
