path	pages_base	pages_after	glyphs_base	glyphs_o51	glyphs_after	moved_by
sheets/chartset-006/xls/014_Contextures_chart_sample_991ecfc5.xls	3	3	564	564	564	-
sheets/chartset-006/xlsx/005_Contextures_chart_sample_6e279b08.xlsx	8	8	1456	1456	1456	-
sheets/chartset-006/xlsx/006_Contextures_chart_sample_afa23b53.xlsx	5	5	822	822	822	-
sheets/chartset-006/xlsx/044_Cash_flow_forecast_Use_this_template_b8fa1f35.xlsx	5	5	2332	2332	2332	-
sheets/chartset-006/xlsx/052_Manufacturing_output_chart_88570318.xlsx	1	1	477	477	477	-
sheets/chartset-006/xlsx/061_Regional_sales_chart_cb9eb690.xlsx	1	1	423	423	423	-
sheets/chartset-007/xlsm/003_Contextures_chart_sample_9bda2719.xlsm	6	6	1426	1426	1426	-
sheets/chartset-007/xlsx/037_Personal_money_tracker_a57957bb.xlsx	5	5	2476	2476	2476	-
sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	1	1	727	727	727	-
sheets/chartset-007/xlsx/050_Financial_vision_d44241e1.xlsx	1	1	400	400	400	-
sheets/chartset-007/xlsx/054_Problem_analysis_with_Pareto_chart_11058329.xlsx	1	1	299	299	299	-
sheets/chartset-007/xlsx/058_Social_media_engagement_data_cfa1cb18.xlsx	1	1	476	476	476	-
sheets/chartset-007/xlsx/063_Sales_pipeline_aec57013.xlsx	1	1	179	179	179	-
sheets/chartset-008/xlsx/008_Contextures_chart_sample_7ea7a1d7.xlsx	5	5	807	807	807	-
sheets/chartset-008/xlsx/021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.xlsx	5	5	3695	3695	3695	-
sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	5	5	3661	3661	3661	-
sheets/chartset-008/xlsx/034_Personal_net_worth_calculator_f7b8fb57.xlsx	7	7	1069	1069	1069	-
sheets/chartset-008/xlsx/046_Cost_analysis_with_Pareto_chart_7db5ef69.xlsx	1	1	629	629	629	-
sheets/chartset-008/xlsx/051_Manufacturer_defect_analysis_53db27ea.xlsx	1	1	320	320	320	-
sheets/chartset-008/xlsx/055_Project_timeline_with_milestones_Use_this_template_546cecc0.xlsx	2	2	960	960	934	O50
sheets/chartset-009/xlsx/018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a.xlsx	10	10	4812	4812	4812	-
sheets/chartset-009/xlsx/029_Annual_budget_Use_this_template_30324a97.xlsx	2	2	943	943	943	-
sheets/chartset-009/xlsx/041_Business_budget_ef942467.xlsx	4	4	1359	1359	1359	-
sheets/chartset-009/xlsx/053_Personal_asset_inventory_5446d84b.xlsx	4	4	257	257	257	-
sheets/chartset-009/xlsx/056_Quarterly_sale_report_baa6bb0d.xlsx	4	4	629	629	629	-
sheets/chartset-010/xlsx/047_Date_tracker_Gantt_chart_bf34f3a8.xlsx	5	5	3058	3058	3058	-
sheets/chartset-010/xlsx/062_Run_chart_cb7476ea.xlsx	2	2	643	643	643	-
sheets/chartset-010/xlsx/065_Weight_loss_tracker_ff1c89af.xlsx	2	2	340	340	340	-
sheets/chartset-011/xlsx/010_Contextures_chart_sample_e6ea06a3.xlsx	6	6	1044	1044	1044	-
sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	4	4	3038	3038	3038	-
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	8	8	1727	1727	1727	-
sheets/chartset-011/xlsx/042_Business_monthly_budget_4e4d092f.xlsx	4	4	1567	1567	1567	-
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	3	3	2185	2185	2185	-
sheets/chartset-011/xlsx/060_Monthly_company_budget_47b2a99a.xlsx	4	4	1659	1659	1659	-
sheets/chartset-012/xlsx/002_Contextures_chart_sample_f605e7bc.xlsx	8	8	1953	1953	1953	-
sheets/chartset-012/xlsx/012_Contextures_chart_sample_9900da76.xlsx	6	6	648	648	648	-
sheets/chartset-012/xlsx/013_Contextures_chart_sample_21b98e22.xlsx	7	7	830	830	830	-
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	11	11	7879	7879	7879	-
sheets/chartset-012/xlsx/036_Simple_to-do_list_Use_this_template_ba44373b.xlsx	4	4	354	354	354	-
sheets/chartset-013/xlsx/001_Contextures_chart_sample_b089bc34.xlsx	15	15	3874	3874	3874	-
sheets/chartset-013/xlsx/019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	9	9	3664	3664	3664	-
sheets/chartset-013/xlsx/031_Business_expense_budget_f3a46278.xlsx	8	8	7699	7699	7699	-
sheets/chartset-013/xlsx/032_Business_expenses_budget_d377eaab.xlsx	4	4	4873	4873	4873	-
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	3	3	2720	2720	2720	-
sheets/chartset-013/xlsx/035_Project_plan_for_law_firms_aa2d4462.xlsx	4	4	3923	3923	3923	-
sheets/chartset-013/xlsx/043_Buy_a_car_vs._rideshare_ff07c7e6.xlsx	7	7	1440	1440	1440	-
sheets/chartset-013/xlsx/049_Expenses_calculator_c351f3d0.xlsx	4	4	1558	1558	1558	-
sheets/chartset-013/xlsx/059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.xlsx	3	3	1935	1935	1935	-
sheets/chartset-014/xlsx/027_Simple_personal_cash_flow_statement_675c6584.xlsx	10	10	7932	7949	7949	O51
sheets/chartset-014/xlsx/038_Baby_growth_chart_bb9cd672.xlsx	2	2	554	554	554	-
sheets/chartset-014/xlsx/039_Baby_growth_tracker_e295ae56.xlsx	2	2	583	583	583	-
sheets/chartset-014/xlsx/045_Check_register_with_chart_4becb8a0.xlsx	1	1	736	736	736	-
sheets/chartset-014/xlsx/048_Expense_trends_budget_18d1e8ba.xlsx	14	14	3985	3985	3985	-
sheets/chartset-014/xlsx/064_Small_business_cash_flow_Use_this_template_0a640756.xlsx	7	7	1801	1801	1801	-
sheets/done-002/xls/2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2.xls	3	3	2447	2447	2447	-
sheets/done-002/xls/2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2.xls	5	5	2986	2986	2986	-
sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	24	24	40006	40006	40006	-
sheets/done-010/xls/TOGAF9-Tool-ConfReqts-CSQ.xls	28	28	156461	156461	156461	-
sheets/done-010/xlsx/Keywords_Mapping_Graphs_and_Charts.xlsx	46	46	27295	27295	27295	-
sheets/missing-001/xls/orbus_togaf_tool_csq.xls	75	75	299338	299338	299338	-
slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	30	30	28695	28695	28695	-
slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx	15	15	5700	5700	5700	-
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	26	26	10424	10424	10424	-
slides/ceiling-002/pptx/Demick_JetBlue.pptx	10	10	3519	3519	3519	-
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	23	23	10979	10979	10979	-
slides/chartset-001/pptx/008_advanced_powerpoint_bubble.pptx	1	1	284	284	284	-
slides/chartset-001/pptx/015_advanced_powerpoint_scatter.pptx	1	1	283	283	283	-
slides/chartset-001/pptx/016_advanced_powerpoint_bubble.pptx	1	1	287	287	287	-
slides/chartset-001/pptx/031_advanced_powerpoint_scatter.pptx	1	1	278	278	278	-
slides/chartset-001/pptx/bar_chart.pptx	1	1	131	131	131	-
slides/chartset-001/pptx/combo_bar_line_chart.pptx	1	1	219	219	219	-
slides/chartset-001/pptx/line_chart.pptx	1	1	113	113	113	-
slides/chartset-001/pptx/scatter_chart.pptx	1	1	105	105	105	-
slides/chartset-001/pptx/stacked_area_chart.pptx	1	1	174	174	174	-
slides/chartset-001/pptx/stacked_bar_chart.pptx	1	1	173	173	173	-
slides/chartset-002/pptx/001_advanced_powerpoint_bar.pptx	1	1	334	334	334	-
slides/chartset-002/pptx/006_advanced_powerpoint_area.pptx	1	1	328	328	328	-
slides/chartset-002/pptx/007_advanced_powerpoint_scatter.pptx	1	1	282	282	282	-
slides/chartset-002/pptx/014_advanced_powerpoint_area.pptx	1	1	330	330	330	-
slides/chartset-002/pptx/017_advanced_powerpoint_bar.pptx	1	1	339	339	339	-
slides/chartset-002/pptx/023_advanced_powerpoint_scatter.pptx	1	1	283	283	283	-
slides/chartset-002/pptx/024_advanced_powerpoint_bubble.pptx	1	1	286	286	286	-
slides/chartset-002/pptx/030_advanced_powerpoint_area.pptx	1	1	327	327	327	-
slides/chartset-002/pptx/032_advanced_powerpoint_bubble.pptx	1	1	284	284	284	-
slides/chartset-002/pptx/033_advanced_powerpoint_bar.pptx	1	1	328	328	328	-
slides/chartset-003/pptx/002_advanced_powerpoint_column.pptx	1	1	335	335	335	-
slides/chartset-003/pptx/003_advanced_powerpoint_line.pptx	1	1	332	332	332	-
slides/chartset-003/pptx/005_advanced_powerpoint_doughnut.pptx	1	1	301	301	301	-
slides/chartset-003/pptx/009_advanced_powerpoint_bar.pptx	1	1	339	339	339	-
slides/chartset-003/pptx/010_advanced_powerpoint_column.pptx	1	1	332	332	332	-
slides/chartset-003/pptx/011_advanced_powerpoint_line.pptx	1	1	328	328	328	-
slides/chartset-003/pptx/012_advanced_powerpoint_pie.pptx	1	1	308	308	308	-
slides/chartset-003/pptx/019_advanced_powerpoint_line.pptx	1	1	331	331	331	-
slides/chartset-003/pptx/027_advanced_powerpoint_line.pptx	1	1	326	326	326	-
slides/chartset-003/pptx/028_advanced_powerpoint_pie.pptx	1	1	300	300	300	-
slides/chartset-004/pptx/004_advanced_powerpoint_pie.pptx	1	1	300	300	300	-
slides/chartset-004/pptx/013_advanced_powerpoint_doughnut.pptx	1	1	297	297	297	-
slides/chartset-004/pptx/018_advanced_powerpoint_column.pptx	1	1	329	329	329	-
slides/chartset-004/pptx/020_advanced_powerpoint_pie.pptx	1	1	300	300	300	-
slides/chartset-004/pptx/021_advanced_powerpoint_doughnut.pptx	1	1	304	304	304	-
slides/chartset-004/pptx/022_advanced_powerpoint_area.pptx	1	1	329	329	329	-
slides/chartset-004/pptx/025_advanced_powerpoint_bar.pptx	1	1	323	323	323	-
slides/chartset-004/pptx/026_advanced_powerpoint_column.pptx	1	1	332	332	332	-
slides/chartset-004/pptx/029_advanced_powerpoint_doughnut.pptx	1	1	300	300	300	-
slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx	3	3	1101	1101	1101	-
slides/chartset-006/pptx/031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.pptx	3	3	1865	1865	1865	-
slides/chartset-006/pptx/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx	4	4	2628	2628	2628	-
slides/chartset-007/pptx/035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx	3	3	1462	1462	1462	-
slides/chartset-007/pptx/047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx	4	4	2720	2720	2720	-
slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	3	3	1009	1009	1009	-
slides/chartset-008/pptx/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.pptx	3	3	1585	1585	1585	-
slides/chartset-008/pptx/072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0.pptx	3	3	407	407	407	-
slides/chartset-008/pptx/100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.pptx	5	5	2032	2032	2032	-
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	3	3	1117	1117	1117	-
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	3	3	1421	1421	1421	-
slides/chartset-010/pptx/093_Insightful_Zoom_Chart_22b5464e.pptx	3	3	1831	1831	1831	-
slides/chartset-012/pptx/061_Four-Stage_Serpentine_Chart_05699efe.pptx	3	3	397	397	397	-
slides/done-007/pptx/bitesize-writing-a-report.pptx	15	15	3791	3791	3791	-
slides/done-007/pptx/flying-by-numbers-presentation.pptx	10	10	2379	2379	2379	-
slides/done-010/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	24	24	23961	23961	23961	-
slides/done-011/pptx/171128IPAP.pptx	40	40	25455	25455	25455	-
slides/done-011/pptx/1_Country-Updates_DRC_English.pptx	16	16	4281	4281	4281	-
slides/done-011/pptx/3492.pptx	22	22	6835	6835	6835	-
slides/done-011/pptx/3495.pptx	26	26	4375	4375	4375	-
slides/done-012/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	39	39	17994	17994	17994	-
slides/done-015/pptx/RPA P4 - Advanced Material.pptx	20	20	8749	8749	8749	-
slides/extra-001/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx	30	30	5868	5868	5868	-
words/ceiling-001/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	14	14	18420	18420	18420	-
words/chartset-001/docx/clustered-column-result.docx	1	1	389	389	389	-
words/chartset-001/docx/clustered-column-template.docx	1	1	200	200	200	-
words/chartset-001/docx/pie-chart-result.docx	1	1	234	234	234	-
words/chartset-001/docx/pie-chart-template.docx	1	1	73	73	73	-
words/chartset-009/docx/027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	1	1	1557	1557	1557	-
words/chartset-010/docx/023_Unit_Circle_Chart_Circular_Percentage_790f7b75.docx	1	1	550	550	550	-
words/chartset-010/docx/028_Unit_Circle_Chart_Optimized_Graph_83d9c756.docx	1	1	1220	1220	1220	-
words/chartset-011/docx/029_Unit_Circle_Chart_Pie_Theme_8a922142.docx	1	1	568	568	568	-
words/chartset-012/docx/021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	1	1	549	549	549	-
