group	document	status	pages	pages_displaced	worst_dx_pt	spans_matched	sign
control	ae86b2414b7b-laufende-nip-vorhaben-hyland	unpaired					
control	b048c7677039-REDAC_SCHEDULE_RPD_135	ok	1	1	0.88	5/127	left
control	b3e59f489eee-028_advanced_excel_doughnut	ok	2	0	0.03	84/104	-
control	ba513f184f41-091_Volunteer_Sign_Up_Sheet_Template_Colored_Background_2cb58d01	ok	1	0	0.03	28/35	-
control	be8be80035e7-cy01_state	ok	36	0	0.14	36/18363	-
control	bed44dee2831-redac-sas-201503-fy17-research-portfolio	unpaired					
control	c04f8c01d6b3-commander-authorisation-tasks-spreadsheet-october-2025	ok	23	0	0.03	69/3986	-
control	c301f66ff28f-EASA_PRODUCT_LIST_-_ALL	ok	170	0	0.01	42827/49809	-
control	c30286ca0294-097_Volunteer_Sign_Up_Sheet_Template_Professional_Format_075d06ed	ok	1	0	0.00	12/109	-
control	c7e0a43f4101-FY2018_Q4_UAS_Sightings	ok	302	0	0.03	6388/7894	-
control	cd21f4a68e21-004_Contextures_chart_sample_de7c0671	ok	3	0	0.03	69/108	-
control	cfd94243f8fe-Bulletin-37-Appendix-2-immediate-detriment-data-request	ok	5	0	0.01	110/112	-
control	d1fd75343360-dragon-175066A	ok	13	0	0.03	872/1376	-
control	d26637408e87-register-changes-in-may-2024---adujsted	ok	7	0	0.03	394/398	-
control	d546df2fe2a0-007_advanced_excel_bubble	ok	2	0	0.03	84/115	-
control	d6ef19843fc2-026_advanced_excel_line	ok	2	0	0.03	84/123	-
control	dcf160575147-EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36	ok	254	0	0.00	19751/20153	-
control	e04ee835c47b-001_advanced_excel_bar	ok	2	0	0.03	84/125	-
control	e05b8fbadedf-18-02RD301_ILS_components_Master_9-13-18	ok	5	5	11.02	35/44537	left
control	ed1d9d3df86e-atspp_pay_tables	ok	101	0	0.09	4713/6942	-
control	fbbb3b61becc-disclosures_ecm	ok	1	0	0.00	673/687	-
control	fddd2e20ca8d-Keywords_Mapping_Graphs_and_Charts	ok	35	0	0.04	1870/2507	-
