track	path	ext	rawO	rawR	alnumO	alnumR	nonO	nonR
sheets	sheets/batch-007/xlsx/ecopy of 2016 statistical bulletin_public finance statistics_final.xlsx	xlsx	5701	5755	5368	5404	333	351
sheets	sheets/batch-007/xlsx/essd-16-3433-2024-t02.xlsx	xlsx	956	439	945	431	11	8
sheets	sheets/batch-007/xlsx/jobs-bulletin-51-22-december-2025.xlsx	xlsx	1896	1884	1817	1807	79	77
sheets	sheets/batch-007/xlsx/wiley-cancelled-title-list.xlsx	xlsx	7706	7706	7582	7582	124	124
sheets	sheets/batch-008/xls/ACRONYM.xls	xls	9851	9851	9840	9840	11	11
sheets	sheets/batch-008/xls/Liste-Zertifizierung-ChemKlimaschutzV-RPT.xls	xls	1364	1364	1332	1332	32	32
sheets	sheets/batch-008/xls/data_20121018181533.xls	xls	12483	12483	12480	12480	3	3
sheets	sheets/batch-008/xlsx/2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit.xlsx	xlsx	3260	2949	3224	2913	36	36
sheets	sheets/batch-008/xlsx/Computer and Software Services_50 State Comparison.xlsx	xlsx	2818	2819	2800	2801	18	18
sheets	sheets/batch-008/xlsx/RVSM_Non_approved_list_2025_84c0b3f4ac.xlsx	xlsx	445	445	431	431	14	14
sheets	sheets/batch-008/xlsx/SLSA_Directory_031423.xlsx	xlsx	5902	5898	5790	5786	112	112
sheets	sheets/batch-008/xlsx/commander-authorisation-tasks-spreadsheet-october-2025.xlsx	xlsx	13489	13490	13077	13078	412	412
sheets	sheets/batch-008/xlsx/hdss-bulletin-index-2019-2022.xlsx	xlsx	3796	3811	3611	3626	185	185
sheets	sheets/batch-008/xlsx/template-ECSPR-notifications.xlsx	xlsx	290	290	288	288	2	2
sheets	sheets/batch-009/xls/6f9e605c-fded-11e3-bd0e-00144feab7de.xls	xls	7418	7418	7331	7331	87	87
sheets	sheets/batch-009/xlsx/Aviation_Abbreviations.xlsx	xlsx	15701	15701	15677	15677	24	24
