cells	document	sheet	sheet_state	origin	sqref	formula	hits_value_range	hits_walked_range	hits_print_area	dxf_paints	can_paint
54	sheets/chartset-007/xlsx/082_Project_to_do_list_28f80082.xlsx	To Do List	visible	main	B8:G16	AND($C8>=valHStart, $C8<=valHEnd)	yes	yes	yes	yes	yes
44	sheets/chartset-014/xlsx/027_Simple_personal_cash_flow_statement_675c6584.xlsx	Daily cash flow	visible	main	D12:D55	"(MOD(ROW(),2)<>0)*($B12<>""Income"")"	yes	yes	n/a	yes	yes
44	sheets/chartset-014/xlsx/027_Simple_personal_cash_flow_statement_675c6584.xlsx	Daily cash flow	visible	main	D12:D55	"(MOD(ROW(),2)<>0)*($B12=""Income"")"	yes	yes	n/a	yes	yes
44	sheets/chartset-014/xlsx/027_Simple_personal_cash_flow_statement_675c6584.xlsx	Daily cash flow	visible	main	E12:E55	"(MOD(ROW(),2)<>0)*($B12<>""Income"")"	yes	yes	n/a	yes	yes
44	sheets/chartset-014/xlsx/027_Simple_personal_cash_flow_statement_675c6584.xlsx	Daily cash flow	visible	main	E12:E55	"(MOD(ROW(),2)<>0)*($B12=""Income"")"	yes	yes	n/a	yes	yes
44	sheets/chartset-014/xlsx/027_Simple_personal_cash_flow_statement_675c6584.xlsx	Daily cash flow	visible	main	F12:F55	"(MOD(ROW(),2)<>0)*($B12<>""Income"")"	yes	yes	n/a	yes	yes
44	sheets/chartset-014/xlsx/027_Simple_personal_cash_flow_statement_675c6584.xlsx	Daily cash flow	visible	main	F12:F55	"(MOD(ROW(),2)<>0)*($B12=""Income"")"	yes	yes	n/a	yes	yes
42	sheets/chartset-012/xlsx/036_Simple_to-do_list_Use_this_template_ba44373b.xlsx	To-do list	visible	main	D6:F19	"AND($D6<>"""",$D6<TODAY())"	yes	yes	yes	yes	yes
40	sheets/chartset-006/xlsx/088_To-do_list_with_progress_tracker_Use_this_template_8c438912.xlsx	To-Do List	visible	main	B3:I7	"AND($G3=0,$G3<>"""")"	yes	yes	n/a	yes	yes
31	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I6:AM6	I$7<=EOMONTH($I$7,0)	yes	yes	n/a	yes	yes
31	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I6:AM6	I$7<=EOMONTH($I$7,0)	yes	yes	n/a	yes	yes
31	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I6:AM6	I$7<=EOMONTH($I$7,0)	yes	yes	n/a	yes	yes
28	sheets/chartset-011/xlsx/071_Four-week_project_timeline_Use_this_template_4f05db49.xlsx	Project timeline	visible	main	E6:AF6	E$7=TODAY()	yes	yes	n/a	yes	yes
