document	sheet	sheet_state	origin	sqref	cells	dxfId	priority	accepted	formula_count	formula	hits_value_range	hits_walked_range	hits_print_area	dxf_paints	value_range	walked_range
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	1560	7	4	no	1	Actual	yes	yes	n/a	yes	B1:BO30	A1:BO30
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	1560	6	5	no	1	ActualBeyond	yes	yes	n/a	yes	B1:BO30	A1:BO30
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	1560	5	6	no	1	Plan	yes	yes	n/a	yes	B1:BO30	A1:BO30
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	1560	4	7	no	1	H$4=period_selected	yes	yes	n/a	yes	B1:BO30	A1:BO30
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	1560	3	11	no	1	MOD(COLUMN(),2)	yes	yes	n/a	yes	B1:BO30	A1:BO30
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H5:BO30	1560	2	12	no	1	MOD(COLUMN(),2)=0	yes	yes	n/a	yes	B1:BO30	A1:BO30
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	B31:BO31	66	1	2	no	1	TRUE	no	no	n/a	no	B1:BO30	A1:BO30
sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	Project Planner	visible	main	H4:BO4	60	0	8	no	1	H$4=period_selected	yes	yes	n/a	yes	B1:BO30	A1:BO30
sheets/chartset-010/xlsx/078_Modern_inventory_list_Use_this_template_41abd5bf.xlsx	Inventory list	visible	main	C6:L30	250	7	21	yes	1	$B6=1	yes	yes	n/a	yes	B2:L30	A1:M31
sheets/chartset-010/xlsx/078_Modern_inventory_list_Use_this_template_41abd5bf.xlsx	Inventory list	visible	main	C6:L30	250	4	47	yes	1	"$L6=""yes"""	yes	yes	n/a	yes	B2:L30	A1:M31
sheets/chartset-010/xlsx/078_Modern_inventory_list_Use_this_template_41abd5bf.xlsx	Inventory list	visible	main	C31:L31	10	6	1	yes	1	$B31=1	no	yes	n/a	yes	B2:L30	A1:M31
sheets/chartset-010/xlsx/078_Modern_inventory_list_Use_this_template_41abd5bf.xlsx	Inventory list	visible	main	C31:L31	10	5	2	yes	1	"$L31=""yes"""	no	yes	n/a	yes	B2:L30	A1:M31
sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	Budget summary	visible	main	C6:H17 C20:H30 C33:H36 C39:H42	186	46	9	no	1	_xlfn.ISFORMULA(C6)	yes	yes	n/a	yes	B1:J42	A1:XFD43
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I7:BL36	1680	57	1	no	1	AND(TODAY()>=I$7,TODAY()<J$7)	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I6:AM6	31	56	4	no	1	I$7<=EOMONTH($I$7,0)	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	J6:BL6	55	55	3	no	1	AND(J$7<=EOMONTH($I$7,2),J$7>EOMONTH($I$7,0),J$7>EOMONTH($I$7,1))	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I6:BL6	56	54	2	no	1	AND(I$7<=EOMONTH($I$7,1),I$7>EOMONTH($I$7,0))	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I10:BL35	1456	53	7	no	1	"AND($C10=""Low Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I10:BL35	1456	52	8	no	1	"AND($C10=""High Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I10:BL35	1456	51	9	no	1	"AND($C10=""On Track"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I10:BL35	1456	50	10	no	1	"AND($C10=""Med Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I10:BL35	1456	49	11	no	1	AND(LEN($C10)=0,I$7>=$F10,I$7<=$F10+$G10-1)	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I36:BL36	56	48	13	no	1	"AND(#REF!=""Low Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I36:BL36	56	47	14	no	1	"AND(#REF!=""High Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I36:BL36	56	46	15	no	1	"AND(#REF!=""On Track"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I36:BL36	56	45	16	no	1	"AND(#REF!=""Med Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I36:BL36	56	44	17	no	1	AND(LEN(#REF!)=0,I$7>=#REF!,I$7<=#REF!+#REF!-1)	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I7:BL36	1680	35	1	no	1	AND(TODAY()>=I$7,TODAY()<J$7)	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I6:AM6	31	34	4	no	1	I$7<=EOMONTH($I$7,0)	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	J6:BL6	55	33	3	no	1	AND(J$7<=EOMONTH($I$7,2),J$7>EOMONTH($I$7,0),J$7>EOMONTH($I$7,1))	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I6:BL6	56	32	2	no	1	AND(I$7<=EOMONTH($I$7,1),I$7>EOMONTH($I$7,0))	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I10:BL35	1456	31	7	no	1	"AND($C10=""Low Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I10:BL35	1456	30	8	no	1	"AND($C10=""High Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I10:BL35	1456	29	9	no	1	"AND($C10=""On Track"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I10:BL35	1456	28	10	no	1	"AND($C10=""Med Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I10:BL35	1456	27	11	no	1	AND(LEN($C10)=0,I$7>=$F10,I$7<=$F10+$G10-1)	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I36:BL36	56	26	13	no	1	"AND(#REF!=""Low Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I36:BL36	56	25	14	no	1	"AND(#REF!=""High Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I36:BL36	56	24	15	no	1	"AND(#REF!=""On Track"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I36:BL36	56	23	16	no	1	"AND(#REF!=""Med Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I36:BL36	56	22	17	no	1	AND(LEN(#REF!)=0,I$7>=#REF!,I$7<=#REF!+#REF!-1)	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I7:BL36	1680	17	1	no	1	AND(TODAY()>=I$7,TODAY()<J$7)	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I6:AM6	31	16	4	no	1	I$7<=EOMONTH($I$7,0)	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	J6:BL6	55	15	3	no	1	AND(J$7<=EOMONTH($I$7,2),J$7>EOMONTH($I$7,0),J$7>EOMONTH($I$7,1))	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I6:BL6	56	14	2	no	1	AND(I$7<=EOMONTH($I$7,1),I$7>EOMONTH($I$7,0))	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I10:BL35	1456	13	7	no	1	"AND($C10=""Low Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I10:BL35	1456	12	8	no	1	"AND($C10=""High Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I10:BL35	1456	11	9	no	1	"AND($C10=""On Track"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I10:BL35	1456	10	10	no	1	"AND($C10=""Med Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I10:BL35	1456	9	11	no	1	AND(LEN($C10)=0,I$7>=$F10,I$7<=$F10+$G10-1)	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I36:BL36	56	8	13	no	1	"AND(#REF!=""Low Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I36:BL36	56	7	14	no	1	"AND(#REF!=""High Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I36:BL36	56	6	15	no	1	"AND(#REF!=""On Track"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I36:BL36	56	5	16	no	1	"AND(#REF!=""Med Risk"",I$7>=#REF!,I$7<=#REF!+#REF!-1)"	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I36:BL36	56	4	17	no	1	AND(LEN(#REF!)=0,I$7>=#REF!,I$7<=#REF!+#REF!-1)	yes	yes	n/a	yes	B2:BL36	A1:BP38
sheets/chartset-011/xlsx/071_Four-week_project_timeline_Use_this_template_4f05db49.xlsx	Project timeline	visible	main	E7:AF7	28	9	5	no	1	E$7=TODAY()	yes	yes	n/a	yes	D1:AG12	A1:XFD52
sheets/chartset-011/xlsx/071_Four-week_project_timeline_Use_this_template_4f05db49.xlsx	Project timeline	visible	main	E6:AF6	28	8	4	no	1	E$7=TODAY()	yes	yes	n/a	yes	D1:AG12	A1:XFD52
sheets/chartset-011/xlsx/071_Four-week_project_timeline_Use_this_template_4f05db49.xlsx	Project timeline	visible	main	AG8:AG25	18	7	2	yes	1	"$AG8=""in progress"""	yes	yes	n/a	yes	D1:AG12	A1:XFD52
