doc	part	holder	depth	alt	pos	has_wh	w	h	left	top	frm	to	parse	strokeweight	strokecolor	stroked	strokeoff	fullpath
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	14188,15450	14188,19077	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,-4662	0,2207	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	21125,-4488	21125,5833	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	-7735,2205	21125,2205	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	1349,-1084	1349,3624	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	-167,-5314	-167,1325	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	33982,-5002	33982,1499	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	-168,1306	34003,1306	1	.5pt	#00b050	-	0	/home/user/sample-files/words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	15194,0	15194,3443	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,0	15233,0	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	2256,17812	2256,21138	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	42818,18264	45294,20550	1	.5pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	42206,17777	45000,20355	1	.5pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	56248,690	59658,4112	1	.5pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	56161,690	59571,4112	1	.5pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	72614,0	77751,4851	1	.5pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	72680,0	77822,4857	1	.5pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	-435140,-37012	79166,448730	1	.5pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	-438797,-37012	75515,448730	1	.5pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	8137,0	13281,4857	1	.5pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	8101,0	13244,4857	1	.5pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	30019,30002	30019,34412	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	75278,18819	75278,21772	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	80581,16342	80585,18855	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	69536,18819	80585,18819	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	69536,15629	69536,18773	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	80476,9375	80488,11717	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	58585,9250	58585,12298	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	58585,9315	80492,9315	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	67412,2126	67412,9270	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	60267,2126	72743,2126	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	44125,19446	44125,24747	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	59223,16426	59223,19302	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	29664,19349	59287,19349	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	29664,16264	29664,19279	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	8080,18818	8080,24450	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	20839,9250	20839,12286	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	29630,9248	29664,12012	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	12652,9250	29702,9250	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	12651,9248	12668,12324	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	12650,16827	12668,18836	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	3402,18819	12641,18819	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	16693,2126	16693,9270	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	10101,2126	28181,2126	1	1pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	56188,29450	56188,33860	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	48053,29450	60267,29450	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	50412,24878	50412,29004	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	36943,24878	36943,28862	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	36892,24876	50479,24876	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	22365,29873	35403,29873	1	.5pt	#0d0d0d [3069]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,381	7298,381	1	.5pt	#70ad47 [3209]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,0	7296,0	1	.5pt	#70ad47 [3209]	-	0	/home/user/sample-files/words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,86	6920,86	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,86	6920,86	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	21017,49950	42669,49950	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,86	6920,86	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,86	6920,86	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	126,49820	56981,49820	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	3498,-3410	3498,3580	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,86	6920,86	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,86	6920,86	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,86	6920,86	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,86	6920,86	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,32	6920,32	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	0,86	6920,86	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	word/document.xml	w:pict	group	fallback	absolute	0	-	-	-	-	20881,47767	20881,49957	1	2.25pt	black [3200]	-	0	/home/user/sample-files/words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx
