doc	part	requires	vlines_in_fallback	choice_holds
022_Unit_Circle_Chart_Circle_A_and_B_19dbf275.docx	word/document.xml	wpg	6	cNvCnPr,prstGeom:ellipse,prstGeom:line,wgp,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
