path	charts	lineparts
slides/chartset-002/odp/032_advanced_powerpoint_bubble.odp	1	0
slides/chartset-002/odp/033_advanced_powerpoint_bar.odp	1	0
slides/chartset-003/odp/002_advanced_powerpoint_column.odp	1	0
slides/chartset-003/odp/003_advanced_powerpoint_line.odp	1	1
slides/chartset-003/odp/005_advanced_powerpoint_doughnut.odp	1	0
slides/chartset-003/odp/009_advanced_powerpoint_bar.odp	1	0
slides/chartset-003/odp/010_advanced_powerpoint_column.odp	1	0
slides/chartset-003/odp/011_advanced_powerpoint_line.odp	1	1
slides/chartset-003/odp/012_advanced_powerpoint_pie.odp	1	0
slides/chartset-003/odp/019_advanced_powerpoint_line.odp	1	1
slides/chartset-003/odp/027_advanced_powerpoint_line.odp	1	1
slides/chartset-003/odp/028_advanced_powerpoint_pie.odp	1	0
slides/chartset-004/odp/004_advanced_powerpoint_pie.odp	1	0
slides/chartset-004/odp/013_advanced_powerpoint_doughnut.odp	1	0
slides/chartset-004/odp/018_advanced_powerpoint_column.odp	1	0
slides/chartset-004/odp/020_advanced_powerpoint_pie.odp	1	0
slides/chartset-004/odp/021_advanced_powerpoint_doughnut.odp	1	0
slides/chartset-004/odp/022_advanced_powerpoint_area.odp	1	0
slides/chartset-004/odp/025_advanced_powerpoint_bar.odp	1	0
slides/chartset-004/odp/026_advanced_powerpoint_column.odp	1	0
slides/chartset-004/odp/029_advanced_powerpoint_doughnut.odp	1	0
slides/chartset-005/odp/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.odp	6	0
slides/chartset-006/odp/031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.odp	2	0
slides/chartset-006/odp/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.odp	3	0
slides/chartset-007/odp/035_Chemistry_Column_PowerPoint_Chart_45bf8a76.odp	2	0
slides/chartset-007/odp/047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.odp	2	0
slides/chartset-007/odp/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.odp	6	0
slides/chartset-008/odp/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.odp	2	0
slides/chartset-008/odp/072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0.odp	6	0
slides/chartset-008/odp/100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.odp	6	0
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	6	0
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	8	0
slides/chartset-010/odp/093_Insightful_Zoom_Chart_22b5464e.odp	2	0
slides/chartset-012/odp/061_Four-Stage_Serpentine_Chart_05699efe.odp	8	0
slides/done-003/odp/outlook_of_nigerian_pension_sector.odp	6	3
slides/done-004/odp/undp_presentation_revised_17_may.odp	2	0
slides/done-005/odp/pods05.odp	11	9
slides/done-007/odp/bitesize-writing-a-report.odp	2	0
