doc	page	dLeft	dBottom	dRight	dTop	refW	refH	oH	oV	rH	rV
Reporting_responsibilities_matrix__pptx	219	+0.00	+0.08	+0.05	-0.01	960.8	453.2	4	4	4	4
Reporting_responsibilities_matrix__pptx	220	+0.00	+0.05	+0.05	-0.01	960.0	462.5	0	4	0	4
Reporting_responsibilities_matrix__pptx	221	+0.00	-0.00	+0.05	-0.01	960.0	449.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	222	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	223	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	224	+0.00	-0.05	+0.05	-0.01	960.8	431.7	4	4	4	4
Reporting_responsibilities_matrix__pptx	225	+0.00	-0.01	+0.05	-0.01	960.0	446.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	226	+0.00	-0.04	+0.05	-0.01	960.0	434.4	0	4	0	4
Reporting_responsibilities_matrix__pptx	227	+0.00	+0.05	+0.05	-0.01	960.0	446.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	228	+0.00	+0.05	+0.05	-0.01	960.0	462.5	0	4	0	4
Reporting_responsibilities_matrix__pptx	229	+0.00	-0.00	+0.05	-0.01	960.0	444.3	0	4	0	4
Reporting_responsibilities_matrix__pptx	230	+0.00	+0.01	+0.05	-0.01	960.0	435.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	231	+0.00	+0.01	+0.05	-0.01	960.0	435.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	232	+0.00	+0.01	+0.05	-0.01	960.0	435.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	233	+0.00	+0.01	+0.05	-0.01	960.0	435.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	234	+0.00	-0.00	+0.05	-0.01	960.8	426.4	4	4	4	4
Reporting_responsibilities_matrix__pptx	235	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	236	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	237	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	238	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	239	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	240	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	241	+0.00	-0.03	+0.05	-0.01	960.0	426.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	242	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	243	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	244	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	245	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	246	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	247	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	248	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	249	+0.00	-0.03	+0.05	-0.01	960.0	431.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	250	+0.00	+0.03	+0.05	-0.01	960.8	440.0	4	4	4	4
Reporting_responsibilities_matrix__pptx	251	+0.00	-0.05	+0.05	-0.01	960.0	426.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	252	+0.00	-0.00	+0.05	-0.01	960.0	430.2	0	4	0	4
Reporting_responsibilities_matrix__pptx	253	+0.00	-0.05	+0.05	-0.01	960.0	426.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	254	+0.00	+5.62	+0.05	-0.01	960.8	440.5	4	4	4	4
Reporting_responsibilities_matrix__pptx	255	+0.00	+0.00	+0.05	-0.01	960.0	435.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	256	+0.00	+0.00	+0.05	-0.01	960.0	435.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	257	+0.00	+0.00	+0.05	-0.01	960.0	435.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	258	+0.00	+0.05	+0.05	-0.01	960.0	446.0	0	4	0	4
Reporting_responsibilities_matrix__pptx	259	+0.00	+0.01	+0.05	-0.01	960.0	431.9	0	4	0	4
Reporting_responsibilities_matrix__pptx	260	+0.00	+0.08	+0.05	-0.01	960.8	436.6	4	4	4	4
Reporting_responsibilities_matrix__pptx	261	+0.00	+0.00	+0.05	-0.01	960.0	431.1	0	4	0	4
Reporting_responsibilities_matrix__pptx	262	+0.00	-0.03	+0.05	-0.01	960.0	433.4	0	4	0	4
Reporting_responsibilities_matrix__pptx	263	+0.00	+0.02	+0.05	-0.01	960.0	449.7	0	4	0	4
Reporting_responsibilities_matrix__pptx	264	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	265	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	266	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
Reporting_responsibilities_matrix__pptx	267	+0.00	-0.03	+0.05	-0.01	960.0	427.8	0	4	0	4
SRDMG(16)024_60 GHz onboard airplanes__pptx	8	+0.01	+0.00	+0.00	+0.02	199.6	199.4	0	6	0	6
SRDMG(16)024_60 GHz onboard airplanes__pptx	9	-0.24	-0.02	+0.24	+0.02	304.0	290.9	6	6	6	6
SRDMG(16)024_60 GHz onboard airplanes__pptx	10	+0.03	-0.02	+0.04	-0.03	54.5	280.3	0	5	0	5
Sean Monogue__pptx	1	+0.00	+0.02	+0.00	-0.02	719.7	442.0	10	0	10	0
Sean Monogue__pptx	2	+0.01	+0.02	+0.02	-0.02	719.7	442.0	10	0	10	0
Sean Monogue__pptx	3	+0.01	+0.02	+0.02	-0.02	719.7	442.0	10	0	10	0
Sean Monogue__pptx	4	+0.01	+0.02	+0.02	-0.02	719.7	442.0	10	0	10	0
Sean Monogue__pptx	5	+0.01	+0.02	+0.02	-0.02	719.7	442.0	10	0	10	0
Sean Monogue__pptx	6	+0.01	+0.02	+0.02	-0.02	719.7	442.0	10	0	10	0
Sean Monogue__pptx	7	+0.01	+0.02	+0.02	-0.02	719.7	442.0	10	0	10	0
Sean Monogue__pptx	8	+0.01	+0.02	+0.02	-0.02	719.7	442.0	10	0	10	0
Sean Monogue__pptx	9	+0.01	+0.02	+0.02	-0.02	719.7	442.0	10	0	10	0
Sean Monogue__pptx	10	+0.01	+0.02	+0.02	-0.02	719.7	442.0	10	0	10	0
Sean Monogue__pptx	11	+0.01	+0.02	+0.02	-0.02	719.7	442.0	10	0	10	0
Sean Monogue__pptx	12	+0.01	+0.33	+0.02	-0.02	719.7	485.3	10	4	10	4
Sean Monogue__pptx	13	+0.01	+0.02	+0.02	-0.02	719.7	442.0	10	0	10	0
Sean Monogue__pptx	14	+0.01	+0.02	+0.02	-0.02	719.7	442.0	10	0	10	0
Sean Monogue__pptx	15	+0.01	+0.02	+0.02	-0.02	719.7	442.0	10	0	10	0
Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack__pptx	11	+0.02	-0.02	+0.01	+89.83	680.4	315.6	6	0	6	0
Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack__pptx	16	-0.09	-0.07	+0.04	-0.68	189.3	96.0	0	8	0	7
Stakeholders-v08052017 - v5__pptx	3	+0.02	-0.03	+0.02	-0.02	660.9	286.2	0	12	0	12
Structural Testing__pptx	11	+0.01	-0.08	+0.02	-0.03	228.0	152.0	12	6	9	6
Structural Testing__pptx	12	+0.03	-0.01	+0.03	-0.02	195.4	143.6	6	0	6	0
Structural Testing__pptx	39	-0.02	+0.14	+0.07	+0.02	175.9	146.1	6	5	6	5
Structural Testing__pptx	42	-0.00	-0.01	+0.05	+0.01	199.9	356.0	10	5	10	5
Structural Testing__pptx	43	-0.02	+0.03	+0.10	+0.02	331.8	171.0	6	6	6	6
Structural Testing__pptx	44	-0.02	-0.03	+0.10	+0.02	355.8	186.2	6	6	6	6
Structural Testing__pptx	64	+0.03	+0.01	+0.06	-0.03	232.1	240.0	11	0	6	0
Structural Testing__pptx	67	+0.04	+0.03	+0.06	-0.04	232.1	240.1	11	0	6	0
Structural Testing__pptx	76	+0.02	-0.08	+0.07	-0.03	651.6	238.0	6	6	0	6
Structural Testing__pptx	77	+0.03	-0.07	+0.06	-0.03	540.4	258.9	4	6	4	6
Structural Testing__pptx	78	+0.03	-0.07	+0.08	-0.02	461.1	274.6	8	8	8	8
Sylva%20introduction%20session__pptx	11	+35.63	-35.59	-35.59	+35.62	810.1	171.1	6	0	0	6
Sylva%20introduction%20session__pptx	12	+0.00	+0.00	-0.00	-0.02	420.3	42.8	4	0	4	0
Sylva%20introduction%20session__pptx	13	+0.03	-0.05	+0.07	+0.00	934.4	329.9	4	6	0	6
Tax factsheet 2022 (1)__pptx	7	-0.02	-100.73	-205.11	+0.01	889.9	307.9	7	5	7	5
Technical_Report_Elements[1]__pptx	3	-0.05	+0.06	+0.06	-0.07	166.1	87.5	0	4	0	4
Technical_Report_Elements[1]__pptx	8	+0.00	-0.03	+0.04	-0.01	698.1	317.7	28	28	28	28
Thailand17__ppt	2	-0.02	+0.04	-0.06	+0.01	629.9	395.9	30	30	30	30
Thailand17__ppt	7	+0.48	+0.01	-0.47	+0.01	535.0	413.4	6	0	6	0
Thailand17__ppt	9	+0.49	-0.03	-0.49	-0.01	481.0	316.2	6	0	6	0
Thailand17__ppt	11	+0.47	+3.53	-0.48	-0.47	635.7	329.8	10	7	10	7
Thailand17__ppt	12	+0.49	+0.47	-0.48	-0.49	663.2	361.3	7	4	7	4
Thailand17__ppt	26	+0.01	+0.03	-0.02	+0.03	597.1	389.6	8	4	8	4
Thailand17__ppt	27	-0.01	+0.01	+0.01	+0.01	598.7	178.8	6	6	6	6
Thailand17__ppt	29	+0.47	+0.48	-0.48	-0.47	481.0	431.0	8	4	8	4
Thailand17__ppt	30	+0.01	-1.29	-0.04	-0.02	660.0	36.2	10	0	10	0
Thailand17__ppt	32	+0.48	+0.01	-0.47	-0.01	535.0	430.0	6	0	6	0
Thailand17__ppt	33	-0.01	+0.00	+0.01	-0.01	654.0	366.0	10	6	10	6
Thailand17__ppt	35	+0.49	+0.49	-0.49	-0.47	481.0	365.0	7	4	7	4
Thailand17__ppt	36	+0.01	-1.29	-0.04	-0.02	660.0	36.2	10	0	10	0
Thailand17__ppt	38	+0.48	+0.01	-0.47	-0.01	535.0	430.0	6	0	6	0
Thailand17__ppt	40	-0.01	+0.00	+0.01	-0.01	654.0	366.0	20	8	20	8
W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed__ppt	6	+0.00	+0.01	+0.01	+0.00	606.0	42.0	0	10	0	10
W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed__ppt	9	+0.00	+0.01	+0.01	+0.00	606.0	42.0	0	8	0	8
WC_Update-Aug03__ppt	4	+0.00	+0.39	-0.04	-0.01	600.0	75.8	6	8	6	8
WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222__pptx	18	+0.00	+0.01	+0.02	-0.02	467.1	0.5	4	0	4	0
WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222__pptx	23	+0.00	+0.01	+0.02	-0.02	467.1	0.5	4	0	4	0
Wildlife for REDAC September 11__pptx	2	+0.02	-0.06	+0.03	+36.29	293.9	96.3	6	0	6	0
Wildlife for REDAC September 11__pptx	5	-0.02	-0.02	-0.01	-0.00	55.1	30.8	4	0	4	0
[Christophe]NLP_reseau_inge_stat__pptx	11	+0.43	+0.42	-0.45	-0.43	891.0	299.2	11	0	11	8
airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20__pptx	13	+0.03	-0.03	+0.05	+0.01	420.0	284.4	28	28	30	28
architecture6__ppt	10	+0.20	+4.85	-0.20	-0.00	648.4	336.4	7	0	7	0
architecture6__ppt	14	+0.21	+55.15	-0.19	-0.01	566.6	420.4	7	0	7	0
architecture6__ppt	21	+0.21	+21.66	-0.20	+0.00	519.8	420.4	7	0	7	0
architecture6__ppt	24	+0.20	+4.73	-0.21	+0.00	575.0	336.4	7	0	7	0
architecture6__ppt	27	+0.20	+21.54	-0.20	+0.00	566.5	353.2	7	0	7	0
attendance-updates-for-governors__pptx	4	+467.02	+0.86	+470.48	+1.91	195.3	324.4	10	0	10	0
bar_chart__pptx	1	+4.21	+4.89	+0.13	-0.26	570.4	273.4	10	0	10	0
berlin__ppt	19	-0.01	-0.37	+0.03	+31.76	444.0	0.0	6	0	6	0
berlin__ppt	24	+0.01	-0.04	+0.01	-0.03	468.0	210.0	0	8	0	8
berlin__ppt	27	+0.01	-0.03	+0.01	-0.03	72.0	198.0	0	4	0	4
c_291533__pptx	10	+0.00	+0.01	+0.05	+0.01	672.0	281.8	0	4	0	4
combo_bar_line_chart__pptx	1	+4.16	+4.87	+0.42	-0.23	453.0	273.8	11	0	11	0
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011__ppt	11	+0.03	+0.01	+0.00	+17.97	576.0	300.4	5	4	5	4
diapo_6_fees_vous_etes_poctdoct_exterieur_a_luniv_v2_0_1__pptx	1	+0.00	-0.02	+0.02	-0.01	813.2	252.6	4	4	4	4
fishbone-diagram-template-ppt-1__pptx	1	-0.00	+0.12	+0.04	-0.01	324.1	536.9	7	0	7	0
flying-by-numbers-presentation__pptx	7	-0.01	+0.16	+0.01	-0.01	528.3	216.2	7	0	7	0
flying-by-numbers-presentation__pptx	8	+17.42	+4.57	+0.04	-0.22	323.7	290.8	14	12	14	12
flying-by-numbers-presentation__pptx	9	+0.01	+0.20	+0.08	+0.00	666.1	281.8	8	5	8	5
gfopportunitiesforlinkagespres_2010_en__ppt	16	+0.02	-0.03	+0.03	-0.01	356.4	402.6	6	6	6	6
ghgp-supply-chain-initiative_20100323_wri__pptx	5	+0.02	-0.08	+0.06	-0.02	680.5	322.7	4	4	4	4
ghgp-supply-chain-initiative_20100323_wri__pptx	6	+7.58	-173.03	-6.47	-0.03	456.5	208.4	4	4	4	4
ghgp-supply-chain-initiative_20100323_wri__pptx	8	+0.01	-0.05	+0.05	-0.01	660.8	434.6	10	0	10	0
ghgp-supply-chain-initiative_20100323_wri__pptx	12	+0.03	-0.02	+0.05	+93.31	686.0	207.7	4	4	4	4
ghgp-supply-chain-initiative_20100323_wri__pptx	13	+12.83	-0.04	+0.03	-0.06	697.5	144.9	14	7	14	14
ghgp-supply-chain-initiative_20100323_wri__pptx	15	+0.01	+0.08	+0.04	-0.01	702.8	405.6	7	0	7	0
ghgp-supply-chain-initiative_20100323_wri__pptx	16	-0.01	-0.04	-0.10	-0.04	477.5	113.2	6	0	10	0
ghgp-supply-chain-initiative_20100323_wri__pptx	17	-0.01	-0.81	+0.01	+0.01	708.4	515.8	13	4	13	4
ghgp-supply-chain-initiative_20100323_wri__pptx	20	+0.00	-0.04	+0.03	+0.01	666.8	341.0	5	0	5	0
ghgp-supply-chain-initiative_20100323_wri__pptx	21	-0.01	+0.07	+0.03	-0.01	642.8	318.3	7	0	7	0
ghgp-supply-chain-initiative_20100323_wri__pptx	22	-0.00	-0.02	+0.01	-0.02	332.8	79.4	4	0	4	0
ghgp-supply-chain-initiative_20100323_wri__pptx	23	+0.00	+0.05	+0.05	+0.00	672.8	356.4	4	4	4	4
ghgp-supply-chain-initiative_20100323_wri__pptx	24	+0.00	+0.01	+0.04	+0.01	685.1	386.3	4	4	4	4
ghgp-supply-chain-initiative_20100323_wri__pptx	27	+0.03	-0.03	+0.04	+43.82	678.0	388.6	10	20	12	20
ghgp-supply-chain-initiative_20100323_wri__pptx	28	+0.01	-0.13	+0.08	-0.01	636.8	515.9	29	0	29	0
ghgp-supply-chain-initiative_20100323_wri__pptx	34	+0.00	+0.01	+0.01	+0.00	631.8	312.0	10	0	10	5
ghgp-supply-chain-initiative_20100323_wri__pptx	46	+0.01	-0.10	+0.05	-0.00	696.0	395.1	20	0	20	0
ghgp-supply-chain-initiative_20100323_wri__pptx	47	-0.01	-0.50	+0.01	+0.00	672.8	426.0	23	0	23	0
ghgp-supply-chain-initiative_20100323_wri__pptx	48	+0.01	+0.47	+0.06	-0.01	672.8	441.6	19	0	19	0
hofman__ppt	8	-0.01	+0.01	-0.00	+0.00	386.0	233.3	14	4	14	4
hofman__ppt	11	+0.00	-0.07	+0.04	+34.64	606.0	358.7	18	16	18	16
iaeg_work_group_leader_updates__pptx	1	+0.03	-0.03	+0.05	-0.03	564.0	90.9	20	10	20	10
iep-amount-frequency-for-webinar__ppt	14	+0.21	+0.19	-0.19	-0.20	666.4	371.1	5	5	5	5
iep-amount-frequency-for-webinar__ppt	15	+0.21	+0.20	-0.21	-0.20	660.4	392.8	5	5	5	5
iep-amount-frequency-for-webinar__ppt	16	+0.00	+0.20	-0.01	-0.20	654.0	360.4	0	5	0	5
iep-amount-frequency-for-webinar__ppt	17	+0.00	+0.19	+0.01	-0.20	642.0	326.3	0	5	0	5
iep-amount-frequency-for-webinar__ppt	22	+0.00	+0.20	+0.00	-0.20	666.0	370.4	0	5	0	5
iep-amount-frequency-for-webinar__ppt	24	+0.00	+0.21	-0.01	-0.20	672.0	338.9	0	5	0	5
iep-amount-frequency-for-webinar__ppt	25	+0.01	+0.19	+0.00	-0.19	672.0	314.8	0	5	0	5
iep-amount-frequency-for-webinar__ppt	26	+0.00	+0.19	+0.01	-0.19	660.0	352.4	0	5	0	5
iep-amount-frequency-for-webinar__ppt	27	+0.20	+0.20	-0.21	-0.19	654.4	412.4	4	5	4	5
iep-amount-frequency-for-webinar__ppt	29	+0.00	+0.21	-0.01	-0.21	672.0	156.4	0	5	0	5
introduction_to_bea_tuxedo__ppt	12	+0.01	-0.01	+0.00	-0.00	79.3	189.2	8	8	4	8
introduction_to_bea_tuxedo__ppt	13	+370.78	-0.02	+0.04	-0.04	464.5	189.3	8	8	8	6
introduction_to_bea_tuxedo__ppt	14	+370.78	-0.02	+0.04	-0.04	464.5	189.3	8	8	8	6
introduction_to_bea_tuxedo__ppt	16	+10.99	+0.02	-11.00	+0.00	678.0	66.0	4	0	4	4
introduction_to_bea_tuxedo__ppt	28	+0.02	+0.00	+0.01	-0.04	330.0	60.0	8	0	8	0
introduction_to_bea_tuxedo__ppt	29	+0.03	+0.02	+0.00	-0.04	306.0	108.1	8	0	8	0
introduction_to_bea_tuxedo__ppt	30	+0.03	+0.02	+0.00	+113.96	306.0	108.1	9	0	8	0
introduction_to_bea_tuxedo__ppt	33	+0.00	+1.46	+95.96	-0.03	438.0	478.5	38	4	36	4
introduction_to_bea_tuxedo__ppt	36	+0.00	+0.04	+0.01	+0.00	444.0	237.0	12	5	12	20
joint_user_outcomes_michael_fullerton_29.06.12__ppt	15	+0.47	+36.30	-0.48	-0.49	618.9	386.5	19	6	19	6
line_chart__pptx	1	+4.25	+4.85	-7.77	-0.23	540.2	261.8	8	0	8	0
medicines_bulletin_february_2023_final__pptx	1	+0.03	-0.04	+0.06	-0.02	215.2	61.5	4	4	0	4
outlook_of_nigerian_pension_sector__ppt	5	-0.01	-0.02	-0.00	-0.04	584.0	368.6	0	4	0	4
outlook_of_nigerian_pension_sector__ppt	6	+0.02	+0.07	-0.05	+0.03	273.9	278.3	8	4	8	4
outlook_of_nigerian_pension_sector__ppt	7	+0.20	+0.18	-0.17	-0.19	305.1	287.5	6	6	6	6
outlook_of_nigerian_pension_sector__ppt	10	+0.00	+0.05	-0.01	-0.01	296.1	251.0	7	4	7	4
passiv__pptx	4	+0.00	-0.02	+0.04	+33.35	418.3	132.6	10	0	10	0
passiv__pptx	7	+0.00	-0.17	+0.01	+0.00	629.1	302.2	7	0	7	0
pods05__ppt	3	+0.00	-0.60	-0.02	-0.02	680.8	202.2	8	16	8	16
pods05__ppt	5	+0.04	+0.00	+37.02	+223.38	552.0	72.0	4	4	4	4
pods05__ppt	16	+0.01	-0.04	-0.01	-0.04	408.0	234.0	4	4	4	4
pods05__ppt	18	+0.00	+0.00	+0.04	+0.01	649.0	253.0	4	6	4	6
pods05__ppt	19	+0.00	+0.02	-0.01	-0.02	684.5	202.8	8	16	8	12
pods05__ppt	20	+0.03	+0.02	-0.00	-0.04	660.5	202.9	16	32	16	16
pods05__ppt	21	+0.02	-0.60	-0.00	-0.02	660.0	94.4	4	8	4	8
pods05__ppt	22	+0.01	+162.01	+0.03	-0.01	654.0	246.0	4	10	4	10
pods05__ppt	24	-0.03	-0.97	+0.03	+0.96	600.9	108.6	12	0	12	0
pods05__ppt	25	-0.00	+0.03	-0.03	+0.04	464.2	227.9	11	0	11	0
pods05__ppt	29	+0.02	-1.81	-0.04	-0.02	206.2	340.2	6	0	6	0
pods05__ppt	30	+0.01	-1.81	-0.04	-0.03	206.0	238.2	4	0	4	0
pods05__ppt	31	+0.02	-0.04	+0.03	-0.01	48.0	108.0	4	4	0	4
pods05__ppt	32	+0.01	+0.01	-0.01	-0.02	48.0	108.0	4	4	0	4
pods05__ppt	37	+0.03	-1.79	+0.01	-0.02	206.0	238.2	4	0	4	0
pods05__ppt	47	+0.19	+18.09	-0.21	+0.00	648.4	367.1	7	0	7	0
pods05__ppt	52	+0.03	-0.60	-0.00	-0.02	660.5	202.2	8	16	8	16
pods05__ppt	53	+0.00	+0.02	-0.02	-0.02	680.8	202.8	8	16	8	14
pods05__ppt	55	+0.20	+1.67	-0.21	-0.19	654.4	373.0	7	7	7	7
pods05__ppt	56	+0.20	+70.27	-0.21	-0.20	654.4	484.5	10	5	12	6
pods05__ppt	58	+0.00	-0.64	+0.00	-0.02	648.0	449.0	14	16	14	16
pods05__ppt	60	+0.02	-1.81	-0.04	-0.02	206.2	340.2	6	0	6	0
pres_ioc_phuket__ppt	5	+0.02	+0.02	+0.03	+0.00	156.0	120.0	16	16	16	16
pres_ioc_phuket__ppt	6	+0.02	-0.03	+0.01	-0.03	492.0	342.0	4	4	4	4
pres_ioc_phuket__ppt	23	+0.01	+0.47	-0.01	-0.48	480.0	60.9	0	7	0	7
pres_ioc_phuket__ppt	24	+0.00	+0.47	-0.01	-0.47	560.0	60.9	0	8	0	8
redac-nasops-201503-RIRP-portfolio-update__pptx	8	+0.03	-0.03	+0.06	-0.01	792.0	73.6	4	4	4	4
redac-nasops-201503-RIRP-portfolio-update__pptx	11	-0.01	-0.05	+0.09	+0.02	726.8	218.6	4	6	4	6
redac-nasops-201503-RIRP-portfolio-update__pptx	12	-0.02	-0.02	+0.02	+0.02	689.5	186.4	4	6	4	6
redac-nasops-201503-RIRP-portfolio-update__pptx	15	+0.03	-0.03	+0.06	-0.01	792.0	73.6	4	4	4	4
redac-nasops-201503-RIRP-portfolio-update__pptx	18	-0.02	+6.08	+0.08	+0.01	696.8	185.6	4	6	4	6
redac-nasops-201503-RIRP-portfolio-update__pptx	30	+0.04	-0.03	+0.05	-0.01	103.9	225.3	14	4	14	4
redac-nasops-201503-RIRP-portfolio-update__pptx	31	+0.04	-0.04	+0.05	+21.14	559.3	259.0	10	4	10	4
redac-nasops-201503-RIRP-portfolio-update__pptx	34	-0.02	-0.02	+0.08	+0.01	696.8	304.4	6	7	6	7
redac-nasops-201503-RIRP-portfolio-update__pptx	41	+0.03	-0.02	+0.04	+0.01	482.2	59.4	4	0	4	0
redac-nasops-201503-RIRP-portfolio-update__pptx	43	+0.03	-0.03	+0.06	-0.01	792.0	73.6	4	4	4	4
redac-sas-201403-ppt-portfolio-rev-sim__pptx	2	-0.00	-0.23	+0.04	+0.00	618.7	382.9	15	4	15	4
redac-sas-201403-ppt-portfolio-rev-sim__pptx	6	-0.01	-0.00	-0.01	-0.02	91.6	95.3	4	0	4	0
redac-sas-201403-ppt-portfolio-rev-sim__pptx	7	+0.06	-0.04	+0.34	+0.44	84.2	120.5	7	0	7	0
redac-sas-201403-ppt-portfolio-rev-sim__pptx	9	+0.00	-0.11	+0.04	-0.00	555.8	335.0	7	4	7	4
redac-sas-201403-ppt-portfolio-rev-sim__pptx	10	-0.01	-0.03	+0.09	-0.01	291.4	63.3	0	6	0	6
redac-sas-201403-ppt-portfolio-rev-sim__pptx	11	-0.01	-0.02	+0.05	+0.01	282.8	63.3	0	6	0	6
redac-sas-201403-ppt-portfolio-rev-sim__pptx	12	-0.01	-0.03	+0.05	-0.00	282.8	63.3	0	6	0	6
redac-sas-201403-ppt-portfolio-rev-sim__pptx	13	+0.00	-0.02	+0.10	+0.01	291.4	63.3	0	6	0	6
redac-sas-201403-ppt-portfolio-rev-sim__pptx	14	+0.00	+4.76	+0.06	-0.01	282.8	68.1	0	6	0	6
redac-sas-201509-asisp-research__pptx	14	+0.01	-0.02	+0.04	+0.01	647.3	183.1	4	4	4	4
redac-sas-201509-asisp-research__pptx	28	+0.05	-0.04	+0.03	-0.03	574.4	60.3	0	10	0	10
redac-sas-201509-asisp-research__pptx	37	+13.05	-0.02	+0.03	-0.07	480.0	240.5	12	6	12	12
redac-sas-201509-asisp-research__pptx	38	+13.05	-0.02	+0.03	-0.07	480.0	240.5	12	6	12	12
redac-sas-201509-asisp-research__pptx	39	+13.05	-0.03	+0.03	-0.05	480.0	240.5	12	6	12	12
redac-sas-201509-asisp-research__pptx	42	+13.05	-0.02	+0.03	-0.07	480.0	240.5	12	6	12	12
scatter_chart__pptx	1	+4.06	+4.73	+0.08	-1.03	583.1	252.3	12	10	12	10
schematicplay__pptx	7	+0.01	-0.03	-0.01	-0.04	909.1	359.4	8	12	8	12
schematicplay__pptx	17	+0.11	+0.13	-0.13	-0.11	183.7	272.0	4	4	4	4
schematicplaymar21__pptx	7	+0.01	-0.03	-0.01	-0.04	909.1	359.4	8	12	8	12
schematicplaymar21__pptx	17	+0.11	+0.13	-0.13	-0.11	183.7	272.0	4	4	4	4
section_1_our_rights_presentation__pptx	5	-0.00	+0.04	+0.01	-0.01	847.0	307.0	7	0	7	0
section_1_our_rights_presentation__pptx	7	+0.00	+0.05	+0.13	+0.01	880.9	355.4	4	8	4	8
section_1_our_rights_presentation__pptx	8	-0.00	+0.06	+0.05	-0.00	886.2	403.9	0	4	0	4
section_1_our_rights_presentation__pptx	9	+0.00	-60.18	+0.05	-0.00	886.2	420.4	0	4	0	4
section_1_our_rights_presentation__pptx	10	+0.00	+0.04	+0.13	+0.00	887.0	389.9	4	8	4	8
section_1_our_rights_presentation__pptx	11	+0.00	+0.05	+0.05	-0.00	886.2	519.1	0	4	0	4
section_1_our_rights_presentation__pptx	12	+0.01	-0.03	+0.11	-0.01	855.7	354.0	4	8	4	8
section_1_our_rights_presentation__pptx	13	-0.00	+0.06	+0.05	+0.00	886.2	461.5	0	4	0	4
section_1_our_rights_presentation__pptx	14	+0.00	-0.04	+0.05	-0.01	886.2	372.8	0	4	0	4
section_1_our_rights_presentation__pptx	15	+0.00	+0.11	+0.07	-0.01	883.8	414.9	5	8	5	8
section_1_our_rights_presentation__pptx	16	-0.00	+0.03	+0.05	+0.01	886.2	425.7	0	4	0	4
section_1_our_rights_presentation__pptx	17	-0.00	-0.00	+0.05	+0.00	886.2	410.3	0	4	0	4
section_1_our_rights_presentation__pptx	18	+0.00	+0.05	+0.07	+0.01	883.8	411.8	5	8	5	8
section_1_our_rights_presentation__pptx	19	-0.00	+0.02	+0.02	+0.00	889.0	404.0	0	4	0	4
