slides/chartset-003/pptx/011_advanced_powerpoint_line.pptx	pptx	1/1	61/61	4/4	0	match	67/67	328/328	02dbb2ce7b0bee2ed5dcc0a778420817
slides/chartset-004/pptx/021_advanced_powerpoint_doughnut.pptx	pptx	1/1	52/52	4/4	0	match	58/58	304/304	5fd0708e0048edaa507c486144bdd9b7
slides/chartset-003/pptx/019_advanced_powerpoint_line.pptx	pptx	1/1	61/61	4/4	0	match	67/67	331/331	113c960a6ad8d854fe2d371632ec07f6
slides/chartset-004/pptx/025_advanced_powerpoint_bar.pptx	pptx	1/1	61/61	4/4	0	match	67/67	323/323	c55ab3cfb930e253564f188d1866016e
slides/chartset-003/pptx/028_advanced_powerpoint_pie.pptx	pptx	1/1	52/52	4/4	0	match	58/58	300/300	c2c8b667b29184458904181604d1a13f
slides/chartset-004/pptx/029_advanced_powerpoint_doughnut.pptx	pptx	1/1	52/52	4/4	0	match	58/58	300/300	2a2704924719dfc49d0ad5db4bc1d771
slides/chartset-004/pptx/013_advanced_powerpoint_doughnut.pptx	pptx	1/1	52/52	4/4	0	match	58/58	297/297	6d36a1308d596cafe38b62eb6b04c90b
slides/chartset-005/pptx/005_2-Step_Funnel_On_left_With_Text_767f0490.pptx	pptx	1/1	93/93	3/3	0	match	93/93	470/470	45da0f5a6662f078219748097bec79e1
slides/chartset-004/pptx/020_advanced_powerpoint_pie.pptx	pptx	1/1	52/52	4/4	0	match	58/58	300/300	6a2e68a8a76ba796f2272214887af6ee
slides/chartset-005/pptx/011_3-Stage_Vertical_Funnel_Diagram_for_PowerPoint_10ce23dd.pptx	pptx	1/1	75/74	3/3	0	match	75/74	352/352	28748725973113159159a39f6502d80e
slides/chartset-004/pptx/022_advanced_powerpoint_area.pptx	pptx	1/1	61/61	4/4	0	match	67/67	329/329	475531167e328b6c04087aeb7226bfce
slides/chartset-005/pptx/069_Funnel_Diagram_for_PowerPoint_with_3_Steps_f96396fc.pptx	pptx	1/1	12/12	3/3	0	match	12/12	68/68	b71eb003fa53767354926fce302d1124
slides/chartset-004/pptx/026_advanced_powerpoint_column.pptx	pptx	1/1	61/61	4/4	0	match	67/67	332/332	f5745e14848a8bf38e109af6f7d6e73a
slides/chartset-005/pptx/071_Funnel_Diagram_for_PowerPoint_with_5_Steps_5ceacdec.pptx	pptx	1/1	16/16	3/3	0	match	16/16	78/78	657573505100634fa26bcb5791cd0710
slides/chartset-005/pptx/004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80.pptx	pptx	1/1	70/69	3/3	0	match	70/69	340/340	ba7a28e0db17058a1d44c4f7b4463023
slides/chartset-005/pptx/084_Infographic_Hierarchy_Tree_for_PowerPoint_fda8141c.pptx	pptx	3/3	213/253	5/3	0	match	213/253	1128/1128	34c05f27759dad31c8d1a435172eea94
slides/chartset-006/pptx/007_3_Circles_Diagram_for_PowerPoint_dac9f170.pptx	pptx	3/3	269/293	4/3	0	match	269/293	1378/1378	eda004eece463ce9c15dc39800e8c82e
slides/chartset-005/pptx/006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084.pptx	pptx	3/3	124/162	5/3	0	match	126/164	645/645	bae946441ae8f3e41e4de16d88fdf8f1
slides/chartset-005/pptx/068_Funnel_Diagram_for_PowerPoint_with_2_Steps_437e4ba7.pptx	pptx	1/1	10/10	3/3	0	match	10/10	63/63	5f5707899bb04772244abc0481446323
slides/chartset-006/pptx/031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.pptx	pptx	3/3	358/382	4/3	0	match	360/384	1865/1865	b094b324b7eed79048e47422c4050720
slides/chartset-005/pptx/070_Funnel_Diagram_for_PowerPoint_with_4_Steps_975f1642.pptx	pptx	1/1	14/14	3/3	0	match	14/14	73/73	77583200b2a49d0599b1db0e063ebbd2
slides/chartset-006/pptx/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx	pptx	4/4	483/534	4/3	0	match	486/537	2628/2628	5afb063d76d0bbd3915ae645dc45022a
slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx	pptx	3/3	214/246	4/3	0	match	216/248	1101/1101	cba09d24fee3ffbcc7b1f74cf81f5244
slides/chartset-006/pptx/077_Horizontal_Org_Chart_for_PowerPoint_and_Google_Slides_8cf07020.pptx	pptx	3/3	202/232	5/3	0	match	204/234	961/961	2cf7a2ce592d7abe85e9ae37acc3820c
slides/chartset-006/pptx/001_1-2-3_Horizontal_Hierarchy_39795b4d.pptx	pptx	3/3	246/284	4/3	0	match	248/286	1247/1247	5ae78f68b1644b0a5e8010642c25fe8c
slides/chartset-006/pptx/099_Light_Bulb_SWOT_for_PowerPoint_and_Google_Slides_554a1e33.pptx	pptx	3/3	272/292	4/3	0	match	274/294	1395/1395	2bc73baa35e284ccf865ec31415e9427
slides/chartset-006/pptx/017_4-Stage_Vertical_Funnel_Diagram_for_PowerPoint_61e7bde5.pptx	pptx	1/1	80/79	3/3	0	match	80/79	364/364	07e3802d0716decf4ffe28facc92749d
slides/chartset-007/pptx/039_Consumer_Decision_Journey_for_PowerPoint_319207e1.pptx	pptx	1/1	86/86	4/4	0	match	88/88	554/554	970d588b1a8080a8f69ff231add0953c
slides/chartset-006/pptx/043_Dual_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_5074b09e.pptx	pptx	3/3	124/164	5/3	0	match	126/166	693/693	bfaadd114a3ad876986628571f485f10
slides/chartset-007/pptx/054_Flowchart_Board_Game_for_PowerPoint_and_Google_Slides_1b047962.pptx	pptx	3/3	180/208	4/3	0	match	182/210	967/967	2c0a1d2167b5a6bdf37b68214d9c4459
slides/chartset-006/pptx/055_Four_Pillar_Hierarchy_for_PowerPoint_and_Google_Slides_6b42ed18.pptx	pptx	3/3	334/362	4/3	0	match	336/364	1705/1705	02e8f2b86d2307871f57979dee5b8f40
slides/chartset-007/pptx/083_Infographic_Hexagon_Cluster_for_PowerPoint_and_Google_Slides_ef811a12.pptx	pptx	3/3	204/244	5/3	0	match	206/246	1037/1037	4bf6663377ea8b12b5cad891c8c99cfa
slides/chartset-006/pptx/094_Intersecting_Teardrops_for_PowerPoint_and_Google_Slides_ff43aedb.pptx	pptx	3/3	270/308	5/3	0	match	272/310	1405/1405	3235cb612b5bb17b72a03a56a61d9a86
slides/chartset-007/pptx/091_Infographic_Radial_for_PowerPoint_and_Google_Slides_c6909fa6.pptx	pptx	3/3	422/454	4/3	0	match	424/456	2073/2073	4b8f4ec39a2bb83f14e0a6ac0217d927
slides/chartset-007/pptx/035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx	pptx	3/3	293/325	4/3	0	match	293/325	1462/1462	828e2e756c25d35dfe3a7650ea12af3a
slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	pptx	3/3	192/216	4/3	0	match	194/218	1009/1009	6f92c2452a9b441468366bfbaac79dcf
slides/chartset-008/pptx/012_3-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_982482b5.pptx	pptx	3/3	268/296	5/3	0	match	268/296	1307/1307	b219993e0edd39bad62338728d92e0d1
slides/chartset-007/pptx/047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx	pptx	4/4	536/592	5/3	0	match	539/599	2720/2720	dd5ade3faef365fd1c333204ce73b237
slides/chartset-007/pptx/057_Four-Branch_Diagram_for_PowerPoint_and_Google_Slides_ddf5d27c.pptx	pptx	3/3	148/180	4/3	0	match	150/182	805/805	d7c14fba9272c89938858ce5c72898f0
slides/chartset-008/pptx/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.pptx	pptx	3/3	250/270	4/4	0	words	252/272	1585/1449	1d339b84cfe60d7fc5061bc88c79965f
slides/chartset-007/pptx/090_Infographic_Radial_for_PowerPoint_and_Google_Slides_16a69891.pptx	pptx	3/3	112/144	5/3	0	match	114/146	625/625	3801b4065a27833f219517b3d485b231
slides/chartset-008/pptx/058_Four-Direction_Divergence_Diagram_for_PowerPoint_and_Google_Slides_9838e28d.pptx	pptx	3/3	272/318	4/3	0	match	274/320	1423/1423	3538f85fd4becc5c991e78ef952c1c5d
slides/chartset-007/pptx/092_Infographic_Tree_Diagram_for_PowerPoint_and_Google_Slides_d721fa00.pptx	pptx	3/3	278/316	5/3	0	match	280/318	1293/1293	8a84c0332a7fbdbf1b9f8babad129818
slides/chartset-008/pptx/009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9.pptx	pptx	2/2	136/136	5/4	0	match	136/136	692/692	883c57a6e2170f9477f3b0633ffad70d
slides/chartset-008/pptx/072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0.pptx	pptx	3/3	92/114	4/3	0	match	94/116	407/407	d0d558800517ee9af5b2ec51df9e1375
slides/chartset-008/pptx/018_4-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_19957cce.pptx	pptx	3/3	350/378	5/3	0	match	350/378	1685/1685	5697a98566271d2edd046b1b830d6bb4
