# ours   = Paperless.Cli @ f4b8c38255a92caf1f05cc8acdf8d8288a5ceac4 (base, before this round)
# ref    = /opt/libreoffice26.2/program/soffice, LibreOffice 26.2.4.2 (TDF tarball)
# fonts  = system fontconfig; ALL FOUR tarball confounds moved aside on 2026-09-07 --
#          Carlito/Caladea/Liberation/DejaVu duplicates, the Latin Noto, and the four
#          LiberationSansNarrow. 38 faces in .duplicates-aside, 71 left in the directory.
#          fc-match "DejaVu Sans" -> DejaVuSans.ttf. fc-list | grep -i narrow is empty.
# rule   = batch-check.sh of 2026-09-05: page count, then alphanumeric characters within
#          max(2%, 15), then unembedded fonts.
# corpus = /home/user/sample-files (reference columns from /home/user/gate-2f47 @ 2f4709c08)
# note   = the reference half here reproduces probes/odf-gate-01/rows.tsv's ref columns on
#          302 of 302 .odp rows, pages and glyphs, so the Narrow move did not touch them.
path	ext	pages	words	fonts	unemb	verdict	rawwords	glyphs
slides/chartset-010/pptx/028_8-Point_Dual_Hub_Comparison_d6c5dde5.pptx	pptx	3/3	89/88	5/5	0	match	94/93	443/443
slides/chartset-010/pptx/041_Crosswise_Quadrant_Diagram_ea8bdf52.pptx	pptx	3/3	255/254	5/5	0	match	260/259	1301/1300
slides/chartset-010/pptx/042_Diamond_Hub_Infographic_a60cfaa1.pptx	pptx	3/3	283/282	5/5	0	match	288/287	1403/1403
slides/chartset-010/pptx/045_Dual-Segment_Quadrant_14a57221.pptx	pptx	3/3	293/292	5/5	0	match	298/297	1483/1482
slides/chartset-010/pptx/048_Five-Arrows_Converging_Cycle_bb192e27.pptx	pptx	3/3	311/310	5/5	0	match	316/315	1589/1588
slides/chartset-010/pptx/063_Four-Step_Infinity_Loop_3480185b.pptx	pptx	3/3	127/126	5/5	0	match	132/131	573/573
slides/chartset-010/pptx/093_Insightful_Zoom_Chart_22b5464e.pptx	pptx	3/3	355/354	5/5	0	match	360/359	1831/1830
slides/chartset-010/pptx/095_Interwoven_Bars_e5aa46c2.pptx	pptx	3/3	285/284	5/5	0	match	290/289	1409/1408
slides/chartset-011/pptx/010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0.pptx	pptx	3/3	144/146	5/3	0	match	146/148	715/715
slides/chartset-011/pptx/026_6-Part_Hexagon_Radial_Diagram_b8ca3f40.pptx	pptx	3/3	217/216	5/5	0	match	222/221	987/987
slides/chartset-011/pptx/034_Central_Idea_Hub_Diagram_8258e6ad.pptx	pptx	3/3	169/168	5/5	0	match	174/173	747/747
slides/chartset-011/pptx/046_Eight-Point_Strategic_Compass_35ee62de.pptx	pptx	3/3	195/194	5/5	0	match	200/199	877/876
slides/chartset-011/pptx/051_Five-Stage_Zigzag_Timeline_2bd39be9.pptx	pptx	3/3	161/160	5/5	0	match	166/165	781/781
slides/chartset-011/pptx/053_Flow_Wave_Process_9c0082f4.pptx	pptx	3/3	211/200	5/5	0	match	216/205	889/889
slides/chartset-011/pptx/060_Four-Part_Radial_Core_Diagram_40d6614e.pptx	pptx	3/3	291/290	5/5	0	match	296/295	1349/1349
