name	pages	words	fonts	unemb	verdict
2024-2nd-quarter-case-summaries__doc.pdf	10/10	5675/5675	4/4	0	match
231164_SystemDesignDocument__docx.pdf	28/28	6603/6562	6/6	0	match
237287_0486190101_0486190101_geolink2neu__doc.pdf	8/8	1430/1430	4/4	0	match
24-25_FAA_Holdover_Tables__docx.pdf	154/155	67147/67111	9/9	0	pages
2ca950374241722b8ea7c132dfce63ae__doc.pdf	3/3	949/949	4/4	0	match
300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie__doc.pdf	1/1	332/332	3/4	0	match
316r_a_e__doc.pdf	14/14	4372/4373	4/4	0	match
316r_a_f__doc.pdf	14/14	4581/4584	4/4	0	match
33004__docx.pdf	47/47	11980/11963	15/15	0	match
361400CSLegislation1RF01PUBLIC1__doc.pdf	35/35	12615/12620	4/4	0	match
4400-91_Proposal_To_Lease_Space_10-2024__docx.pdf	6/6	3280/3280	5/5	0	match
461249__docx.pdf	5/5	1671/1669	4/4	0	match
5709.16 ch.40_mgfinal__docx.pdf	32/32	9826/9821	4/4	0	match
62599_FRANCE-BRAZIL- Air France Flight 447 crash__docx.pdf	18/18	6133/6133	2/2	0	match
644730BRI0mna000BOX361539B00public0__doc.pdf	5/5	2327/2328	7/7	0	match
762__doc.pdf	22/23	4120/4122	8/8	0	pages
96-3-clement-data__doc.pdf	7/7	1469/1469	4/4	0	match
A1. EASA Form 2__docx.pdf	7/7	2207/2205	4/5	0	match
A320SimNotes__doc.pdf	41/42	13845/13919	6/10	0	pages
A380MaenPressRel__doc.pdf	3/3	770/771	5/6	0	match
AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX__doc.pdf	20/20	7453/7453	5/7	0	match
ABCD-FE-01-00 Flight Envelope - v1 08.03.16__docx.pdf	14/15	3844/3720	6/5	0	pages,words
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1__docx.pdf	29/29	8419/8402	8/8	0	match
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16__docx.pdf	12/12	2639/2612	7/6	0	match
AC-150-5370-10G-updated-201604__docx.pdf	687/696	280702/280560	11/12	0	pages
AFS-050-004-F2_0i__docx.pdf	8/8	2228/2228	9/9	0	match
AUWG min 4-3-24 final__docx.pdf	2/2	647/647	2/2	0	match
AW-104D-RVSM-Aircraft-Approval-Checklist.pdf__docx.pdf	2/2	141/135	3/4	0	words
AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024__docx.pdf	12/15	2068/2125	6/6	0	pages,words
A_320__doc.pdf	141/118	18754/18592	4/4	0	pages
Agile_Arc_SysDes__docx.pdf	20/20	5704/5737	11/11	0	match
AirbusCallouts__doc.pdf	24/24	8455/8458	4/5	0	match
Allegiant_Company_Profile_with_History__docx.pdf	3/3	1153/1153	3/3	0	match
Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA__docx.pdf	148/148	35041/35041	5/5	0	match
B11. TE.CAO.00129  Experience  logbook__docx.pdf	6/6	1253/1247	6/6	0	match
BID_ACKNOWLEDGEMENT_FORM_FOR_A320__docx.pdf	2/2	294/294	3/3	0	match
Bull01-06-Reserve Training Standards__doc.pdf	6/6	1482/1482	2/2	0	match
CMTA_Airport_Transportation__docx.pdf	1/1	255/255	2/2	0	match
CP-ETSO template_v2020__doc.pdf	6/6	1111/1111	4/6	0	match
CRIF - SpÃ©cification technique - Socle applicatif__docx.pdf	27/29	6260/6618	10/10	0	pages,words
CSCRS_Technical-Report-Documentation-Page-with-instructions__docx.pdf	2/2	719/719	3/3	0	match
Case-Study-Heathrow-Airport__docx.pdf	3/3	1184/1184	6/6	0	match
Checklist for TC STC ETSO data packages to FAA_TIP rev 5__docx.pdf	3/3	1102/1102	4/4	0	match
Company-profile-2022-EN__docx.pdf	5/5	1170/1171	5/6	0	match
Contract_Check_Pilot_Sample_LOA__docx.pdf	4/4	1324/1324	6/6	0	match
DEP2008-1900__doc.pdf	4/4	998/998	5/4	0	match
DOA_Template_Form_Type_Certification_Programme__docx.pdf	20/20	5380/5365	5/5	0	match
DRX-Ascend System Course Description__docx.pdf	2/2	475/475	4/4	0	match
ECSS-E-ST-50-16C-Annex-A(30September2021)__docx.pdf	4/4	670/670	4/4	0	match
EHEST-SMS-Safety-Management-Manual-V2__docx.pdf	80/82	19182/19222	6/8	0	pages
ESPN-R - MCF - Manual - Ed1.0 - For Publication__docx.pdf	35/35	9461/9397	5/6	0	match
ESPN-R - MCF - RA - Ed1__docx.pdf	59/58	12189/12167	8/8	0	pages
FAA 2025-26 Holdover Tables__docx.pdf	185/167	75156/74831	10/10	0	pages
FAA-2013-0422-0009_attachment_1__doc.pdf	7/7	1845/1845	1/1	0	match
FAA-2017-0628-0002_attachment_1__docx.pdf	4/4	638/638	5/5	0	match
FAA-High-Level-Org-Chart__docx.pdf	3/3	673/673	4/4	0	match
FG-AI4NDM-TR-skeleton_template__docx.pdf	5/5	434/433	7/7	0	match
FMRBullletinB-28__doc.pdf	2/2	461/461	3/3	0	match
FO.FCTOA.00010 Application for a Part-ORA ATO Approval__docx.pdf	16/16	4492/4513	6/7	0	match
FO.FCTOA_.000129 Application for activities related to FSTD__docx.pdf	6/6	1684/1684	5/6	0	match
FRE-03_mcar_part-3_and_IS_v2.9__docx.pdf	76/76	24740/24693	2/4	0	match
FlightLaws__doc.pdf	4/4	1073/1074	4/5	0	match
Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11__docx.pdf	3/3	614/615	7/7	0	match
GLACIERBG.ETT__doc.pdf	1/1	408/408	3/3	0	match
HC-Bulletin-template__docx.pdf	5/5	462/462	7/7	0	match
How-to-Write-an-Architecture-Document-for-a-Technology-Service__docx.pdf	3/3	953/953	3/3	0	match
II.1.2_Hypoxia__doc.pdf	13/13	3729/3729	2/2	0	match
Interview-mit-Manfred1-Müller__docx.pdf	2/2	801/801	2/2	0	match
JEMIT_Template__docx.pdf	4/4	1636/1627	10/10	0	match
LENTOBUSSIAIKATAULU.-31.10.-31.12.2022__doc.pdf	1/1	104/104	3/3	0	match
LHD-230-application-for-the-approval-of-an-aircraftr__doc.pdf	2/2	774/774	3/3	0	match
Leadership Information Article__docx.pdf	3/3	1452/1452	4/4	0	match
Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5__docx.pdf	3/3	1531/1531	4/4	0	match
License App Instructions 2-22__docx.pdf	3/3	1002/1002	4/4	0	match
May 25 bulletin focus on carers in the workplace__docx.pdf	5/4	435/521	3/3	0	pages,words
OM template for non-complex NCC operators_August 2016__docx.pdf	164/165	51409/51673	8/8	0	pages
P200904290238_0238_51880__doc.pdf	3/3	308/308	4/4	0	match
PAT-047 - Architecture and Detailed Design Assessment__docx.pdf	4/4	1081/1081	6/6	0	match
PES-Technical-Report-Template_Jan_2019__docx.pdf	14/14	2665/2663	8/8	0	match
PI-doc.-no.-2E-Technical-Review-Report__docx.pdf	12/12	1770/1794	9/8	0	match
PK_FlugzeugeStricken__doc.pdf	7/7	1394/1408	7/7	0	match
PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th__docx.pdf	5/5	582/582	4/4	0	match
PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024__doc.pdf	6/6	1027/1027	4/4	0	match
Pre-Application_Letter_of_Intent_Example__docx.pdf	1/1	350/350	2/2	0	match
Press release_EUREKA labels ITEA 3 Cluster__docx.pdf	2/2	827/813	3/3	0	match
RMI_Document_Repository_Public-Reprts_GettingOffOil__doc.pdf	6/6	2729/2729	5/5	0	match
RNW167A-150428__doc.pdf	9/9	1767/1767	5/5	0	match
Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission__docx.pdf	18/18	6394/6395	4/5	0	match
Reid__doc.pdf	4/4	1553/1553	5/6	0	match
RobertQ_Service__doc.pdf	4/4	547/547	2/2	0	match
SDL_FSDO_Part91_LOA_Checklist__docx.pdf	2/2	424/424	3/3	0	match
SFSP_2013-02_Bulletin__doc.pdf	4/4	935/942	6/6	0	match
SPA-02_mcar_part-2_and_IS_v2.9__docx.pdf	267/266	95026/94826	4/4	0	pages
SPA-06_mcar_part-6_and_IS_v2.9__docx.pdf	85/85	27396/27420	3/5	0	match
SPA-11_mcar_part-11_v2.9__docx.pdf	49/49	14007/13948	3/3	0	match
SWDD-template__docx.pdf	6/6	1062/1077	6/6	0	match
Sample_PAO-PSO_91-113_Letter__docx.pdf	1/1	307/307	2/2	0	match
Sample_SQMS_Program__docx.pdf	60/61	15954/15967	9/9	0	pages
Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION__docx.pdf	1/1	297/297	3/3	0	match
Software Architecture Document Template__docx.pdf	3/3	589/589	5/5	0	match
Sol PJ14-03-04 Solution Contextual__docx.pdf	5/5	2067/2071	5/6	0	match
TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook__docx.pdf	15/15	2675/2793	6/6	0	words
Technical Report and Technical Update Guidelines__docx.pdf	4/4	1205/1205	5/5	0	match
Technical_Issue_Report_Form__docx.pdf	2/2	341/341	4/4	0	match
Temp16__doc.pdf	2/2	669/669	3/3	0	match
Theft-Restitution-Letter-Vancouver-ASC-2005__doc.pdf	1/1	262/262	2/2	0	match
UAS-SGI_waiver_approval_request_form__docx.pdf	2/2	489/489	3/3	0	match
UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders__docx.pdf	30/29	8011/7399	9/9	0	pages,words
UG.CAO.00133 Foreign Part 145 approvals - Language__docx.pdf	18/18	3899/3667	5/5	0	words
Wales_Office_Quarter_4_Ministerial_Transparency_Return__doc.pdf	6/6	941/941	4/4	0	match
Writing a technical report (SCE subject guide)__docx.pdf	4/4	1221/1221	8/8	0	match
absrc-pac-01-info-note-en__doc.pdf	6/7	1299/1303	4/5	0	pages
advert-for-draft-decision-airbus-epr-bm3965ia-v006__doc.pdf	2/2	385/385	3/3	0	match
airbus-pdf-information-package_v1-4__docx.pdf	9/9	1272/1299	7/7	0	words
approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook__docx.pdf	6/6	1096/1098	6/6	0	match
b050-19__docx.pdf	3/3	872/872	4/4	0	match
b053-19__docx.pdf	2/2	491/491	2/2	0	match
bulletin__docx.pdf	14/14	3244/3253	6/5	0	match
cacs-206-1751218225__docx.pdf	2/2	347/347	3/3	0	match
certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10__doc.pdf	8/8	1221/1221	4/4	0	match
chapter 12__doc.pdf	12/12	3671/3671	4/4	0	match
congregationalhistories_ky_2023__doc.pdf	1/1	247/247	3/3	0	match
docs-quality-MA.IMS.00001-Integrated-Management-System-manual__docx.pdf	43/44	12025/12213	6/6	0	pages
draft-variation-notice-airbus-bm3965ia-v006-vs-comments__docx.pdf	9/9	1510/1499	3/3	0	match
dragon1-enterprise-architecture-document-example-v0.1d__docx.pdf	13/13	1648/1631	9/9	0	match
eTAR_External_Web_tool_Tip_Sheet_mh__docx.pdf	4/4	928/928	3/3	0	match
easa-form-1__docx.pdf	5/5	1421/1421	2/2	0	match
easa-regulations-update-20__docx.pdf	22/22	2738/2738	5/5	0	match
exhibit-06---technical-architecture-template__docx.pdf	8/8	1094/1085	12/12	0	match
f111__doc.pdf	11/11	3347/3347	6/6	0	match
f2_registro_de_aprovacao_com_pbcs_EN__docx.pdf	2/2	458/454	5/5	0	match
f445896eb008d14c1746fc37d412dc22__docx.pdf	15/15	5453/5453	3/3	0	match
final-technical-report-template__docx.pdf	6/6	1119/1123	6/6	0	match
fleetfastfacts16nov2023__docx.pdf	1/1	120/120	4/5	0	match
foca_form_1__doc.pdf	3/3	1672/1672	2/2	0	match
form_1123_application_form_rvsm_spa__docx.pdf	3/3	578/578	5/5	0	match
gpp-pr-top-7-office-markets-4q-2023__docx.pdf	4/4	1067/1075	3/5	0	match
hdss-bulletin-issue-285-25-june-2025__docx.pdf	10/10	3587/3529	7/7	0	match
healthcare-reform-nsa-consumer-bulletin__docx.pdf	4/4	1701/1701	5/5	0	match
healthcare-reform-nsa-provider-bulletin__docx.pdf	5/5	1936/1936	7/7	0	match
info-bulletin-601__doc.pdf	5/6	1298/1302	5/5	0	pages
johnson_hall_service_log.pdf__docx.pdf	1/1	274/274	6/6	0	match
lk03_17__docx.pdf	2/2	367/367	2/2	0	match
loi_format_letter_of_intent-a-320-214-a330__doc.pdf	10/10	3346/3346	4/5	0	match
mde087077~283__docx.pdf	4/4	987/987	3/3	0	match
monthly-content-feeder__docx.pdf	18/18	5890/5890	9/10	0	match
omrIMInterpretiveGuideLine__doc.pdf	2/2	376/382	4/4	0	match
opic 5--Case Studies Movie and Aviation Industries__doc.pdf	5/5	1194/1194	5/5	0	match
part-145-approval list (1)__docx.pdf	8/8	1590/1592	5/5	0	match
part-145-approval list 2025__docx.pdf	7/7	1455/1455	5/5	0	match
part-147_approval list_20230119__docx.pdf	2/2	735/735	5/5	0	match
prison-population-bulletin-june__doc.pdf	4/4	1425/1425	2/2	0	match
private-hire-operators-licensed__docx.pdf	2/2	237/237	2/2	0	match
report-template__docx.pdf	19/20	2980/3026	4/4	0	pages
review-welsh-government-communications-mister-peter-mandelson__docx.pdf	14/14	3015/3017	6/6	0	match
s33song-beverlyactproductionofdocuments__docx.pdf	2/2	571/571	3/3	0	match
slcc-architecture-uu-architecture__docx.pdf	4/4	1205/1205	7/7	0	match
system_design__technical_architecture_template__docx.pdf	17/17	1722/1720	6/6	0	match
t_TEMPforInvProgs__docx.pdf	26/26	4963/5020	5/6	0	match
te.iors.00048-002 SUP Questionnaire__docx.pdf	4/4	620/620	2/2	0	match
technical report template__docx.pdf	10/10	856/845	4/4	0	match
technical-architecture__docx.pdf	8/8	1130/1109	10/10	0	match
technical-memo-format__docx.pdf	5/5	1813/1812	5/5	0	match
technical-report-template__docx.pdf	7/7	728/715	2/2	0	match
template---tpr-technical-progress-report-with-guidance__docx.pdf	8/7	1840/1842	8/8	0	pages
template-technical-report__docx.pdf	10/10	837/837	3/3	0	match
tibs_guidelines_2__docx.pdf	13/13	3154/3143	8/9	0	match
xx_SETIS_PWS_template_10.19.22__docx.pdf	15/15	4375/4923	6/6	0	words
手机免提系统TSB__doc.pdf	2/3	74/95	8/6	0	pages,words
