identity	ext	path	npages	ours_solo	ours_solo_pt	ours_solo_pages	ref_solo	ref_solo_pt	ref_solo_pages	worst_page
015_advanced_word_chart_report__docx	docx	words/chartset-002/docx/015_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
023_advanced_word_chart_report__docx	docx	words/chartset-002/docx/023_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1__docx	docx	words/chartset-011/docx/043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1.docx	1	0	0	0	3	230	1	0
033_advanced_word_chart_report__docx	docx	words/chartset-002/docx/033_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62__docx	docx	words/chartset-011/docx/065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62.docx	1	0	0	0	59	4325	1	0
004_advanced_word_chart_report__docx	docx	words/chartset-003/docx/004_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
016_advanced_word_chart_report__docx	docx	words/chartset-003/docx/016_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
027_advanced_word_chart_report__docx	docx	words/chartset-003/docx/027_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
055_Organogram_Template_Horizontal_Structure_28a7e725__docx	docx	words/chartset-012/docx/055_Organogram_Template_Horizontal_Structure_28a7e725.docx	1	0	0	0	84	4077	1	0
012_advanced_word_chart_report__docx	docx	words/chartset-004/docx/012_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
07-04__doc	doc	words/done-004/doc/07-04.doc	3	19	5508	3	17	4608	3	1
opic 5--Case Studies Movie and Aviation Industries__doc	doc	words/done-004/doc/opic 5--Case Studies Movie and Aviation Industries.doc	5	1	144	1	8	1411	4	5
022_advanced_word_chart_report__docx	docx	words/chartset-004/docx/022_advanced_word_chart_report.docx	1	4	2043	1	2	1023	1	1
059_Disease_Concept_Map_Template_4acf63f2__docx	docx	words/chartset-013/docx/059_Disease_Concept_Map_Template_4acf63f2.docx	1	0	0	0	45	7790	1	0
