file	pages	verdict	detail
02_REDAC_New ATM briefing _March 2017v2__pptx.pdf	6	no-field	
02_mcar_part-2_and_IS_v2.10__docx.pdf	312	no-field	
030_Abstract_Petal_Diagram_71aa5e3a__pptx.pdf	3	no-field	
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx.pdf	8	no-field	
030_Unit_Circle_Chart_Points_System_23b5ef07__docx.pdf	1	skip-short	
030_advanced_excel_scatter__xlsx.pdf	3	no-field	
030_advanced_powerpoint_area__pptx.pdf	1	skip-short	
030_advanced_word_chart_report__docx.pdf	1	skip-short	
031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05__pptx.pdf	3	no-field	
031_Business_expense_budget_f3a46278__xlsx.pdf	8	sequential	6/6 match index
031_Venn_Diagram_Template_Blue_Theme_a9e417b8__docx.pdf	1	skip-short	
031_advanced_excel_bubble__xlsx.pdf	3	no-field	
031_advanced_powerpoint_scatter__pptx.pdf	1	skip-short	
031_advanced_word_chart_report__docx.pdf	1	skip-short	
032_BCG_Growth-Share_Matrix_560d0485__pptx.pdf	3	no-field	
032_Business_expenses_budget_d377eaab__xlsx.pdf	4	no-field	
032_Venn_Diagram_Template_Brown_Theme_d5b549f0__docx.pdf	1	skip-short	
032_advanced_excel_radar__xlsx.pdf	3	no-field	
032_advanced_powerpoint_bubble__pptx.pdf	1	skip-short	
032_advanced_word_chart_report__docx.pdf	1	skip-short	
0335fab9-79f0-4944-b92c-f223837ca2d8__ppt.pdf	12	no-field	
033_Battery_Percentage_Chart_c99c24b5__pptx.pdf	3	no-field	
033_Event_planning_tracker_Use_this_template_f29a848e__xlsx.pdf	3	no-field	
033_Venn_Diagram_Template_Colored_Theme_2aea6697__docx.pdf	1	skip-short	
033_advanced_excel_bar__xlsx.pdf	3	no-field	
033_advanced_powerpoint_bar__pptx.pdf	1	skip-short	
033_advanced_word_chart_report__docx.pdf	1	skip-short	
034_Central_Idea_Hub_Diagram_8258e6ad__pptx.pdf	3	no-field	
034_Personal_net_worth_calculator_f7b8fb57__xlsx.pdf	7	no-field	
034_Venn_Diagram_Template_Customizable_Format_d14642b7__docx.pdf	1	skip-short	
034_advanced_excel_line__xlsx.pdf	3	no-field	
035_Chemistry_Column_PowerPoint_Chart_45bf8a76__pptx.pdf	3	no-field	
035_Project_plan_for_law_firms_aa2d4462__xlsx.pdf	4	no-field	
035_Venn_Diagram_Template_Editable_Format_966dff5f__docx.pdf	1	skip-short	
036_Chevron_Process_Cards_3c8f0ea1__pptx.pdf	3	no-field	
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx.pdf	4	no-field	
036_Venn_Diagram_Template_Fillable_Layout_3ffbba36__docx.pdf	1	skip-short	
037_Circle_Matrix_Framework_44bc5218__pptx.pdf	3	no-field	
037_Personal_money_tracker_a57957bb__xlsx.pdf	5	no-field	
037_Venn_Diagram_Template_Four_Circle_764829a0__docx.pdf	1	skip-short	
038_Baby_growth_chart_bb9cd672__xlsx.pdf	2	skip-short	
038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6__pptx.pdf	3	no-field	
038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e__docx.pdf	1	skip-short	
039_Baby_growth_tracker_e295ae56__xlsx.pdf	2	skip-short	
039_Consumer_Decision_Journey_for_PowerPoint_319207e1__pptx.pdf	1	skip-short	
039_Venn_Diagram_Template_Simple_Format_6f82661d__docx.pdf	1	skip-short	
03_Technical_Report_(progress)_template__docx.pdf	10	sequential	10/10 match index
040_Blood_pressure_tracker_872b6833__xlsx.pdf	1	skip-short	
040_Crab_Diagram_for_PowerPoint_and_Google_Slides_13d38ff3__pptx.pdf	3	no-field	
040_Venn_Diagram_Template_Three_Circle_80f32f5e__docx.pdf	1	skip-short	
041_Business_budget_ef942467__xlsx.pdf	4	sequential	3/3 match index
041_Crosswise_Quadrant_Diagram_ea8bdf52__pptx.pdf	3	no-field	
041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010__docx.pdf	1	skip-short	
042_Business_monthly_budget_4e4d092f__xlsx.pdf	4	sequential	3/3 match index
042_Diamond_Hub_Infographic_a60cfaa1__pptx.pdf	3	no-field	
042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb__docx.pdf	1	skip-short	
043_Buy_a_car_vs._rideshare_ff07c7e6__xlsx.pdf	7	no-field	
043_Dual_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_5074b09e__pptx.pdf	3	no-field	
043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1__docx.pdf	1	skip-short	
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx.pdf	5	no-field	
044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a__pptx.pdf	4	no-field	
044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0__docx.pdf	1	skip-short	
045_Check_register_with_chart_4becb8a0__xlsx.pdf	1	skip-short	
045_Dual-Segment_Quadrant_14a57221__pptx.pdf	3	no-field	
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c__docx.pdf	1	skip-short	
046_Cost_analysis_with_Pareto_chart_7db5ef69__xlsx.pdf	1	skip-short	
046_Eight-Point_Strategic_Compass_35ee62de__pptx.pdf	3	no-field	
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0__docx.pdf	1	skip-short	
047_Date_tracker_Gantt_chart_bf34f3a8__xlsx.pdf	8	sequential	7/7 match index
047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6__pptx.pdf	4	no-field	
047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e__docx.pdf	1	skip-short	
048_Expense_trends_budget_18d1e8ba__xlsx.pdf	14	sequential	13/13 match index
048_Five-Arrows_Converging_Cycle_bb192e27__pptx.pdf	3	no-field	
048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee__docx.pdf	1	skip-short	
049_Expenses_calculator_c351f3d0__xlsx.pdf	4	no-field	
049_Five-Block_Hub_Spoke_42ee8593__pptx.pdf	3	no-field	
049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f__docx.pdf	1	skip-short	
050_Financial_vision_d44241e1__xlsx.pdf	1	skip-short	
050_Five-Point_Radial_Hub_00793e08__pptx.pdf	3	no-field	
050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744__docx.pdf	1	skip-short	
051_Five-Stage_Zigzag_Timeline_2bd39be9__pptx.pdf	3	no-field	
051_Manufacturer_defect_analysis_53db27ea__xlsx.pdf	1	skip-short	
051_Organogram_Template_Basic_Theme_e6464d06__docx.pdf	1	skip-short	
052_Flame_Percentage_Chart_d27d49c4__pptx.pdf	3	no-field	
052_Manufacturing_output_chart_88570318__xlsx.pdf	1	skip-short	
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe__docx.pdf	1	skip-short	
053_Flow_Wave_Process_9c0082f4__pptx.pdf	3	no-field	
053_Organogram_Template_Creative_Theme_21657a3d__docx.pdf	1	skip-short	
