arm	page	kind	y	x0	x1	thick
PBNN	2	cell	411.34	196.10	237.74	11.07	r13c1
PBNN	2	cell	422.89	76.10	117.74	11.07	r14c0
PBNN	2	cell	422.89	196.10	237.74	11.07	r14c1
PBNN	2	cell	434.44	76.10	117.74	11.07	r15c0
PBNN	2	cell	434.44	196.10	237.74	11.07	r15c1
PBNN	2	cell	445.99	76.10	117.74	11.07	r16c0
PBNN	2	cell	445.99	196.10	237.74	11.07	r16c1
PBNN	2	cell	457.54	76.10	117.74	11.07	r17c0
PBNN	2	cell	457.54	196.10	237.74	11.07	r17c1
PBNN	2	cell	469.09	76.10	117.74	11.07	r18c0
PBNN	2	cell	469.09	196.10	237.74	11.07	r18c1
PBNN	2	cell	480.64	76.10	117.74	11.07	r19c0
PBNN	2	cell	480.64	196.10	237.74	11.07	r19c1
PBNN	2	cell	492.19	76.10	117.74	11.07	r20c0
PBNN	2	cell	492.19	196.10	237.74	11.07	r20c1
PBNN	2	cell	503.74	76.10	117.74	11.07	r21c0
PBNN	2	cell	503.74	196.10	237.39	11.07	r21c1
PBNN	2	cell	515.29	76.10	117.74	11.07	r22c0
PBNN	2	cell	515.29	196.10	237.74	11.07	r22c1
PBNN	2	cell	526.84	76.10	117.74	11.07	r23c0
PBNN	2	cell	526.84	196.10	237.74	11.07	r23c1
PBNN	2	cell	538.39	76.10	117.74	11.07	r24c0
PBNN	2	cell	538.39	196.10	237.74	11.07	r24c1
PBNN	2	cell	549.94	76.10	117.74	11.07	r25c0
PBNN	2	cell	549.94	196.10	237.74	11.07	r25c1
PBNN	2	cell	561.49	76.10	117.74	11.07	r26c0
PBNN	2	cell	561.49	196.10	237.74	11.07	r26c1
PBNN	2	cell	573.04	76.10	117.74	11.07	r27c0
PBNN	2	cell	573.04	196.10	237.74	11.07	r27c1
PBNN	2	cell	584.59	76.10	117.74	11.07	r28c0
PBNN	2	cell	584.59	196.10	237.74	11.07	r28c1
PBNN	2	cell	596.14	76.10	117.74	11.07	r29c0
PBNN	2	cell	596.14	196.10	237.74	11.07	r29c1
PBNN	2	cell	607.69	76.10	117.74	11.07	r30c0
PBNN	2	cell	607.69	196.10	237.74	11.07	r30c1
PBNN	2	cell	619.24	76.10	117.74	11.07	r31c0
PBNN	2	cell	619.24	196.10	237.39	11.07	r31c1
PBNN	2	cell	630.79	76.10	117.74	11.07	r32c0
PBNN	2	cell	630.79	196.10	237.74	11.07	r32c1
PBNN	2	cell	642.34	76.10	117.74	11.07	r33c0
PBNN	2	cell	642.34	196.10	237.74	11.07	r33c1
PBNN	2	cell	653.89	76.10	117.74	11.07	r34c0
PBNN	2	cell	653.89	196.10	237.74	11.07	r34c1
PBNN	2	cell	665.44	76.10	117.74	11.07	r35c0
PBNN	2	cell	665.44	196.10	237.74	11.07	r35c1
PBNN	2	cell	676.99	76.10	117.74	11.07	r36c0
PBNN	2	cell	676.99	196.10	237.74	11.07	r36c1
PBNN	2	cell	688.54	76.10	117.74	11.07	r37c0
PBNN	2	cell	688.54	196.10	237.74	11.07	r37c1
PBNN	2	cell	700.09	76.10	117.74	11.07	r38c0
PBNN	2	cell	700.09	196.10	237.74	11.07	r38c1
PBNN	2	cell	711.64	76.10	117.74	11.07	r39c0
PBNN	2	cell	711.64	196.10	237.74	11.07	r39c1
PBNN	2	cell	723.19	76.10	117.74	11.07	r40c0
PBNN	2	cell	723.19	196.10	237.74	11.07	r40c1
PBNN	2	cell	734.74	76.10	117.74	11.07	r41c0
PBNN	2	cell	734.74	196.10	237.39	11.07	r41c1
PBNN	2	cell	746.29	76.10	117.74	11.07	r42c0
PBNN	2	cell	746.29	196.10	237.74	11.07	r42c1
PBNN	2	cell	757.84	76.10	117.74	11.07	r43c0
PBNN	2	cell	757.84	196.10	237.74	11.07	r43c1
PBNIL	2	line	71.40	70.35	310.85	1.000
PBNIL	2	line	83.90	70.85	310.35	1.000
PBNIL	2	line	96.50	70.85	310.35	1.000
PBNIL	2	line	109.00	70.85	310.35	1.000
PBNIL	2	line	121.60	70.85	310.35	1.000
PBNIL	2	line	134.10	70.85	310.35	1.000
PBNIL	2	line	146.70	70.85	310.35	1.000
PBNIL	2	line	159.20	70.85	310.35	1.000
PBNIL	2	line	171.80	70.85	310.35	1.000
PBNIL	2	line	184.30	70.85	310.35	1.000
PBNIL	2	line	196.90	70.85	310.35	1.000
PBNIL	2	line	209.40	70.85	310.35	1.000
PBNIL	2	line	222.00	70.85	310.35	1.000
PBNIL	2	line	234.50	70.85	310.35	1.000
PBNIL	2	line	247.10	70.35	310.85	1.000
PBNIL	2	line	260.30	70.35	310.85	1.000
PBNN	2	line	769.50	70.35	310.85	1.000
