# ours = Paperless @ 2f4709c08; ref24 = /usr/bin/soffice 24.2.7.2;
# ref26 = /opt/libreoffice26.2 26.2.4.2 with the 8 Latin duplicate faces moved aside
# fonts: Carlito+Caladea+Liberation+DejaVu installed; PAPERLESS_BUNDLED_FONTS unset
# verdict rule = batch-check.sh 2026-09-05 (pages, then max(2%,15) alnum chars)
path	ext	pages_ours	pages_ref24	pages_ref26	glyphs_ours	glyphs_ref24	glyphs_ref26	v_vs24	v_vs26	ref24_vs_ref26
words/metrics-001/doc/手机免提系统TSB.doc	doc	3	2	3	1189	1172	1189	pages	match	pages
words/metrics-001/docx/02_mcar_part-2_and_IS_v2.10.docx	docx	314	312	200	421243	414481	408662	pages	pages,words	pages
words/metrics-001/docx/OM template for non-complex NCC operators_August 2016.docx	docx	166	165	165	270077	270009	270009	pages	pages	match
words/metrics-001/docx/SPA-02_mcar_part-2_and_IS_v2.9.docx	docx	268	266	205	485953	479178	475771	pages	pages,words	pages
words/missing-002/docx/CRIF - SpÃ©cification technique - Socle applicatif.docx	docx	28	29	28	39524	39783	39598	pages	match	pages
words/pagination-001/doc/1447.doc	doc	4	3	3	5153	5153	5153	pages	pages	match
words/pagination-001/doc/A_320.doc	doc	118	150	118	88958	90539	88958	pages	match	pages
words/pagination-001/docx/24-25_FAA_Holdover_Tables.docx	docx	155	141	155	300664	298427	299593	pages	match	pages
words/pagination-001/docx/ESPN-R - MCF - RA - Ed1.docx	docx	58	59	58	65676	66102	65952	pages	match	pages
words/pagination-001/docx/FAA 2025-26 Holdover Tables.docx	docx	167	154	167	336754	334493	335613	pages	match	pages
words/pagination-001/docx/template---tpr-technical-progress-report-with-guidance.docx	docx	7	8	7	9713	9713	9713	pages	match	pages
words/pagination-002/doc/150_5300_13_chg12.doc	doc	31	33	31	61921	61920	61920	pages	match	pages
words/pagination-002/doc/absrc-pac-01-info-note-en.doc	doc	6	7	7	6872	6874	6874	pages	pages	match
words/pagination-003/docx/150-5370-10H.docx	docx	727	721	727	1508484	1508153	1508422	pages	match	pages
words/table-001/doc/150_5300_13_chg10.doc	doc	77	76	78	117451	116063	116093	pages	pages	pages
