path	base	head
/home/user/sample-files/sheets/chartset-008/xlsx/034_Personal_net_worth_calculator_f7b8fb57.xlsx	355a11c5a0e7358a60a8f651905f8730	17ec9b690f2e6a4a6e075774d1856c32
/home/user/sample-files/sheets/chartset-008/xlsx/046_Cost_analysis_with_Pareto_chart_7db5ef69.xlsx	7f73a7fe521b60df6c28aad7cd41085b	7f73a7fe521b60df6c28aad7cd41085b
/home/user/sample-files/sheets/chartset-008/xlsx/051_Manufacturer_defect_analysis_53db27ea.xlsx	aff17e5fbf43e71930fff20668288aae	aff17e5fbf43e71930fff20668288aae
/home/user/sample-files/sheets/chartset-008/xlsx/055_Project_timeline_with_milestones_Use_this_template_546cecc0.xlsx	411730c3380dc64ac6939350661ef201	411730c3380dc64ac6939350661ef201
/home/user/sample-files/sheets/chartset-008/xlsx/092_Volunteer_Sign_Up_Sheet_Template_Complete_Guide_31fe4d22.xlsx	13250723291f7f686559d547a308c6a7	13250723291f7f686559d547a308c6a7
/home/user/sample-files/sheets/chartset-008/xlsx/094_Volunteer_Sign_Up_Sheet_Template_Editable_Format_6711b281.xlsx	bbdde5bd1e1ec661b80b2f93241add3e	bbdde5bd1e1ec661b80b2f93241add3e
/home/user/sample-files/sheets/chartset-008/xlsx/099_Volunteer_Sign_Up_Sheet_Template_Stylish_Format_c0cc35a6.xlsx	446bbd88e259b1306d717f8f6ec11078	446bbd88e259b1306d717f8f6ec11078
/home/user/sample-files/sheets/chartset-009/xlsx/015_Free_Gantt_Chart_Template_for_Excel_414e86bf.xlsx	bc0b0c46fc629a8b5bcca0445171c7db	bc0b0c46fc629a8b5bcca0445171c7db
/home/user/sample-files/sheets/chartset-009/xlsx/018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a.xlsx	d057bd849357f49c3bdcb2d160d7ce83	d057bd849357f49c3bdcb2d160d7ce83
/home/user/sample-files/sheets/chartset-009/xlsx/024_Free_Kids_Chore_Chart_Template_ad74bb34.xlsx	3fa6f9c1be876b8d0d5eb963d46476a9	3fa6f9c1be876b8d0d5eb963d46476a9
/home/user/sample-files/sheets/chartset-009/xlsx/029_Annual_budget_Use_this_template_30324a97.xlsx	1435b0b802da8a358973197109d96021	1435b0b802da8a358973197109d96021
/home/user/sample-files/sheets/chartset-009/xlsx/041_Business_budget_ef942467.xlsx	197e0c22355995789cbe1c82cbf0d1c9	197e0c22355995789cbe1c82cbf0d1c9
/home/user/sample-files/sheets/chartset-009/xlsx/053_Personal_asset_inventory_5446d84b.xlsx	adeffc17df99cce6f8742d058356581b	67f2f6097c6d2470d580c9af8f9a42b4
/home/user/sample-files/sheets/chartset-009/xlsx/056_Quarterly_sale_report_baa6bb0d.xlsx	c694197245bcad28b0e05ce5d8e4535f	c694197245bcad28b0e05ce5d8e4535f
/home/user/sample-files/sheets/chartset-009/xlsx/075_Idea_planner_tasks_f44ebd73.xlsx	45c4c89cefb1d2962883fb2dd3610807	45c4c89cefb1d2962883fb2dd3610807
/home/user/sample-files/sheets/chartset-009/xlsx/081_Project_performance_report_Use_this_template_be2468b3.xlsx	f525f11afdf91ace0c290f35d0ba5ef9	f525f11afdf91ace0c290f35d0ba5ef9
/home/user/sample-files/sheets/chartset-009/xlsx/085_Simple_Gantt_chart_d65b8377.xlsx	30d04d1aba51382766f0413d7be9a864	30d04d1aba51382766f0413d7be9a864
/home/user/sample-files/sheets/chartset-010/xlsx/047_Date_tracker_Gantt_chart_bf34f3a8.xlsx	73460bf1f2a9583aad7826920a6afa90	73460bf1f2a9583aad7826920a6afa90
/home/user/sample-files/sheets/chartset-010/xlsx/062_Run_chart_cb7476ea.xlsx	07f0e8c08c64aac9601f1a346a55f93f	07f0e8c08c64aac9601f1a346a55f93f
/home/user/sample-files/sheets/chartset-010/xlsx/065_Weight_loss_tracker_ff1c89af.xlsx	57bc295f51a6b5f2b5bfdd3a321b8c28	57bc295f51a6b5f2b5bfdd3a321b8c28
/home/user/sample-files/sheets/chartset-010/xlsx/069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3.xlsx	0fa37211d93fab46cd96533d4ad3bbc9	0fa37211d93fab46cd96533d4ad3bbc9
/home/user/sample-files/sheets/chartset-010/xlsx/072_Gantt_project_planner_dde00e33.xlsx	ce32a7889e8050f41127fdd85c4850fc	ce32a7889e8050f41127fdd85c4850fc
/home/user/sample-files/sheets/chartset-010/xlsx/078_Modern_inventory_list_Use_this_template_41abd5bf.xlsx	ed9bcb5762ff19922863bdf2f530ac86	ed9bcb5762ff19922863bdf2f530ac86
/home/user/sample-files/sheets/chartset-010/xlsx/079_Org_charts_visual_248d1dcf.xlsx	fbfd4dddbb7e38ed94f10272fdeefd3e	7558f5c73f2fa76fdf6f21960fcf3cd8
/home/user/sample-files/sheets/chartset-010/xlsx/084_Service_invoice_Use_this_template_c92b43dc.xlsx	d21c1f4ab6ba3b3c05841111f1691e06	d21c1f4ab6ba3b3c05841111f1691e06
/home/user/sample-files/sheets/chartset-010/xlsx/086_Simple_grey_invoice_Use_this_template_063b3773.xlsx	6a27c79716235769f2e24e109c2fb57f	6a27c79716235769f2e24e109c2fb57f
/home/user/sample-files/sheets/chartset-010/xlsx/100_Volunteer_Sign_Up_Sheet_Template_Tabular_Format_0975f34e.xlsx	72c9048fd7a319f78263dbe7e909d6a3	72c9048fd7a319f78263dbe7e909d6a3
/home/user/sample-files/sheets/chartset-011/xlsm/007_Contextures_chart_sample_667d8e47.xlsm	a3e30a135df8ee1a3e6d6619ea5e039a	a3e30a135df8ee1a3e6d6619ea5e039a
/home/user/sample-files/sheets/chartset-011/xlsx/010_Contextures_chart_sample_e6ea06a3.xlsx	252d243f8215baa264e378eda3eae943	252d243f8215baa264e378eda3eae943
/home/user/sample-files/sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	71d62c44b6c8f639d41aa788aed50db3	71d62c44b6c8f639d41aa788aed50db3
/home/user/sample-files/sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	b248bab21ec4626e2c73024030622688	b248bab21ec4626e2c73024030622688
/home/user/sample-files/sheets/chartset-011/xlsx/042_Business_monthly_budget_4e4d092f.xlsx	f886631aed3d4df91b377a1f210f2bd7	f886631aed3d4df91b377a1f210f2bd7
/home/user/sample-files/sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	ea30438457b1fc07530ea08059066ed5	ea30438457b1fc07530ea08059066ed5
/home/user/sample-files/sheets/chartset-011/xlsx/060_Monthly_company_budget_47b2a99a.xlsx	3bdd63867bfa0dc8b7d79aab97c4b564	3bdd63867bfa0dc8b7d79aab97c4b564
/home/user/sample-files/sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	014737b4525f493f84403b454de318a4	46bbf29ee8562c79b31536ccfe01af4e
