doc	ours_items	ref_items	ours_meanw	ref_meanw	width_ratio	hair_ours	hair_ref	ratio_ex_hair
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2__xls.pdf	78	97	0.554	0.586	0.947	16	16	0.995
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx.pdf	233	241	0.750	0.750	1.000	0	0	1.000
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1__xlsx.pdf	171	177	0.533	0.532	1.000	0	0	1.000
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1__xlsx.pdf	171	177	0.533	0.532	1.000	0	0	1.000
2023-qhp-form-and-rate-combined-checklist-final__xlsx.pdf	120	142	0.858	0.856	1.003	0	0	1.003
2025_Active_Civil_Airmen_Statistics_FINAL__xlsx.pdf	128	138	0.753	0.753	1.000	0	0	1.000
4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements__xls.pdf	129	141	0.750	0.750	1.000	0	0	1.000
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web__xlsx.pdf	377	392	0.382	0.383	1.000	0	0	1.000
6f9e605c-fded-11e3-bd0e-00144feab7de__xls.pdf	422	511	0.103	0.103	1.005	0	0	1.005
7-memento-2015-transports-aeriens-b__xls.pdf	431	522	0.750	0.709	1.058	0	0	1.058
AFCforPtF-Digital-Certificate-Publication-Report__xlsx.pdf	239	256	0.750	0.750	1.000	0	0	1.000
AIRBUS_station_evaluation_checklist_v2__xlsx.pdf	35	37	0.458	0.458	1.000	0	0	1.000
AMOC-Digital-Certificate-Publication-Report__xlsx.pdf	125	143	0.750	0.750	1.000	0	0	1.000
Air_Boss_Master_List__xlsx.pdf	113	127	0.898	0.935	0.960	0	2	0.945
Aircraft_Database__xlsx.pdf	252	247	1.071	1.098	0.975	0	0	0.975
Application_Compliance_Checklist_5_Apr_2021__xlsx.pdf	1062	1046	0.215	0.223	0.964	0	12	0.953
Application_for_authorisation_as_crowdfunding_service_provider__xlsx.pdf	111	131	0.750	0.746	1.005	0	0	1.005
Background_Declaration_Template__xls.pdf	24	24	0.442	0.443	1.000	0	0	1.000
Bulletin-37-Appendix-2-immediate-detriment-data-request__xlsx.pdf	11	13	0.659	0.673	0.979	0	0	0.979
CIS_Debian_Linux_8_Benchmark_v1.0.0__xls.pdf	61	65	0.750	0.750	1.000	0	0	1.000
CSA_CCM_v1.2__xls.pdf	515	546	0.300	0.300	1.000	0	0	1.000
CSJU List of Recipients of funds 2013-2020__xlsx.pdf	605	627	0.476	0.476	1.000	0	0	1.000
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0)__xlsx.pdf	29	31	0.750	0.750	1.000	0	0	1.000
Data-Architecture-Tool-Fit-Assessment-Template__xlsx.pdf	214	231	0.750	0.750	1.000	0	0	1.000
DynamicBubbleChart__xlsx.pdf	88	93	0.673	0.928	0.725	28	1	1.052
EASA_PRODUCT_LIST_-_ALL__xlsx.pdf	412	428	0.750	0.750	1.000	0	0	1.000
ECA Sinters__xls.pdf	603	619	0.412	0.413	1.000	0	0	1.000
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls.pdf	666	686	0.591	0.624	0.947	63	51	0.968
ExampleWhiteListData__xlsx.pdf	277	289	0.750	0.750	1.000	0	0	1.000
FY2021-AIP-grants__xlsx.pdf	973	1002	0.270	0.270	1.000	0	0	1.000
FY2023-AIP-grants__xlsx.pdf	953	983	0.322	0.323	1.000	0	0	1.000
Foreign_SA-CAT-I_and_CAT-II-III_Pub_0__xlsx.pdf	12	12	0.750	0.737	1.018	0	0	1.018
Geo_Abschlussarbeiten__xlsx.pdf	111	111	0.113	0.113	1.000	0	0	1.000
Global_Market_Forecast_2016-2035_Airbus_Data_Set__xlsx.pdf	291	299	0.750	0.750	1.000	0	0	1.000
Hazard Analysis Template__xls.pdf	84	89	0.768	0.795	0.966	0	0	0.966
INDEX_Digital_Transformation_Toolkits__xls.pdf	20	21	1.750	1.750	1.000	0	0	1.000
Infotabelle_WLAN im Flugzeug__xlsx.pdf	87	97	0.750	0.745	1.007	0	0	1.007
Keywords_Mapping_Graphs_and_Charts__xlsx.pdf	161	165	0.821	0.828	0.992	3	0	1.011
List of EQS securities_0__xls.pdf	432	452	0.799	0.803	0.994	0	0	0.994
Liste-Zertifizierung-ChemKlimaschutzV-RPT__xls.pdf	171	181	0.427	0.426	1.001	0	0	1.001
MajCh-Digital-Certificate-Publication-Report__xlsx.pdf	185	202	0.750	0.750	1.000	0	0	1.000
MinCh-Digital-Certificate-Publication-Report__xlsx.pdf	157	174	0.750	0.750	1.000	0	0	1.000
NPIAS_2007_App_A__xls.pdf	490	506	0.750	0.750	1.000	0	0	1.000
NPIAS_App_A__xls.pdf	359	377	0.603	0.608	0.991	0	0	0.991
National-Finalists-2024-1__xlsx.pdf	385	399	0.753	0.753	1.000	0	0	1.000
National-Reports__xlsx.pdf	255	267	0.750	0.750	1.000	0	0	1.000
ODs-February-2022-Airbus-Commercial-Aircraft__xlsx.pdf	696	716	0.843	0.848	0.995	0	0	0.995
P1636e__xls.pdf	11	11	1.114	1.114	1.000	0	0	1.000
PA_Delaware__xls.pdf	176	196	0.691	0.702	0.985	0	0	0.985
PC1000__xls.pdf	604	626	0.752	0.752	1.000	0	0	1.000
Patent Index 2024 - Top 100 applicants 2024__xlsx.pdf	106	108	0.255	0.255	1.000	0	0	1.000
Performance__xlsx.pdf	91	112	0.987	0.984	1.003	0	0	1.003
REDAC_SCHEDULE_RPD_135__xls.pdf	87	89	0.909	0.926	0.982	0	0	0.982
REDAC_SCHEDULE_RPD_137__xls.pdf	225	229	0.671	0.682	0.984	0	0	0.984
RMP 2011-2014 and Inventory__xls.pdf	327	386	0.498	0.499	0.998	0	0	0.998
RPA-Budgets-FY-17-19-20__xls.pdf	257	261	0.750	0.750	1.000	0	0	1.000
RPD 155 REDAC SCHEDULE 2014-04-02__xls.pdf	48	49	0.793	0.801	0.990	0	0	0.990
RVSM_Non_approved_list_2025_84c0b3f4ac__xlsx.pdf	113	119	1.423	1.422	1.000	0	0	1.000
SIL_TDB605__xls.pdf	56	62	1.071	1.102	0.972	0	0	0.972
SIL_TDB609__xls.pdf	13	15	1.135	1.138	0.997	0	0	0.997
SIL_TDB648__xlsx.pdf	29	34	1.509	1.466	1.029	0	0	1.029
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA__xlsx.pdf	42	44	0.750	0.749	1.001	0	0	1.001
STC_WebList__xlsx.pdf	118	131	0.750	0.750	1.000	0	0	1.000
SectorAdvisoryGroupandStrategyBoards__xls.pdf	329	343	0.502	0.503	1.000	0	0	1.000
Special-Procedures_2025-07-10__xls.pdf	23	23	0.462	0.461	1.001	0	0	1.001
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing__xlsx.pdf	216	226	0.238	0.237	1.002	0	0	1.002
T0A0D0000090006XLSE__xls.pdf	91	107	0.750	0.750	1.000	0	0	1.000
TICAPCapability_Final__xls.pdf	232	240	0.586	0.583	1.005	0	0	1.005
TK-Syllabus-Comparison-Document-v2__xlsx.pdf	181	202	0.125	0.156	0.800	0	0	0.800
TOGAF9-Tool-ConfReqts-CSQ__xls.pdf	486	520	0.234	0.229	1.020	10	1	1.039
Template Pilot Logbook JAR-FCL V3.0__xls.pdf	344	358	0.776	0.784	0.991	0	0	0.991
Travel-Cost-Estimate-Calculator__xlsx.pdf	62	71	0.750	0.752	0.997	0	0	0.997
UAE Type Accepted Aircraft Models__xlsx.pdf	252	264	0.750	0.750	1.000	0	0	1.000
VOR Candidate Discontinuance List 2026-01-08__xlsx.pdf	351	365	0.750	0.750	1.000	0	0	1.000
afn-afn-20250801-fy25-jan25-mar25__xlsx.pdf	166	182	0.750	0.750	1.000	0	0	1.000
airports_6__xlsx.pdf	675	856	0.166	0.160	1.036	0	0	1.036
alle einzeln__xlsx.pdf	127	131	1.024	1.031	0.993	0	0	0.993
arp-sop-300-Exhibit-A-Table-Templates__xlsx.pdf	102	116	0.648	0.658	0.985	0	0	0.985
atspp_pay_tables__xlsx.pdf	342	395	0.837	0.761	1.100	0	0	1.100
capa-liste-nse-1__xls.pdf	439	457	0.764	0.765	0.998	0	0	0.998
certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013__xlsx.pdf	82	85	1.311	1.303	1.006	0	0	1.006
cy01_state__xls.pdf	533	549	0.690	0.690	1.000	0	0	1.000
cy06_primary_np_comm__xls.pdf	604	634	0.236	0.252	0.936	0	0	0.936
cy10_primary_enplanements__xls.pdf	475	505	0.272	0.291	0.938	0	0	0.938
dragon-175066A__xlsx.pdf	683	726	0.278	0.274	1.014	0	0	1.014
e-pass-contact-details-template__xlsx.pdf	26	32	0.750	0.750	1.000	0	0	1.000
ecopy of 2016 statistical bulletin_public finance statistics_final__xlsx.pdf	63	80	1.092	1.076	1.015	0	0	1.015
edb-emissions-databank v27-NewFormat (web)__xlsx.pdf	15	20	0.393	0.413	0.951	0	0	0.951
einvoice-summary-worksheet__xlsx.pdf	52	54	0.769	0.769	1.001	0	0	1.001
environment-edb-docs-edb-emissions-databank__xls.pdf	598	599	0.105	0.106	0.991	0	0	0.991
flightstandards-doc-Cross-reference-table_version02__xlsx.pdf	142	154	0.750	0.750	1.000	0	0	1.000
flying-log-passenger-23rd-september-2014__xls.pdf	623	653	0.382	0.383	1.000	0	0	1.000
fm-provider-service-measures__xlsx.pdf	222	271	0.429	0.430	0.997	0	0	0.997
fse_identification_form__xlsx.pdf	23	24	1.272	1.292	0.985	0	0	0.985
fy20-may20-sep20__xlsx.pdf	313	340	0.712	0.713	1.000	0	0	1.000
fy2010-aip-grants__xls.pdf	438	468	0.712	0.713	1.000	0	0	1.000
fy2011-aip-grants__xls.pdf	398	428	0.750	0.750	1.000	0	0	1.000
grants-2005__xls.pdf	404	418	0.750	0.750	1.000	0	0	1.000
jobs-bulletin-51-22-december-2025__xlsx.pdf	152	160	0.750	0.750	1.000	0	0	1.000
june_2025_published__xlsx.pdf	14	15	0.368	0.368	1.000	0	0	1.000
links-2026__xlsx.pdf	321	381	0.750	0.731	1.026	0	0	1.026
microsoft_learn_multi_chart_examples__xlsx.pdf	178	168	0.051	0.770	0.066	166	6	0.939
npias_2009_appA__xls.pdf	608	638	0.252	0.267	0.943	0	0	0.943
orbus_togaf_tool_csq__xls.pdf	202	228	0.277	0.280	0.991	0	0	0.991
permit-applications-determined-july-2015__xls.pdf	136	143	0.278	0.285	0.973	0	0	0.973
programs contact list as of 07-01-10__xls.pdf	346	368	0.387	0.383	1.010	0	0	1.010
redac-sas-201503-fy17-research-portfolio__xlsx.pdf	166	184	0.693	0.719	0.963	0	0	0.963
register-changes-in-may-2024---adujsted__xlsx.pdf	85	101	0.750	0.750	1.000	0	0	1.000
sistem-rekod-markah-srm-_-rekod-master__xlsx.pdf	43	43	0.750	0.750	1.000	0	0	1.000
template-ECSPR-notifications__xlsx.pdf	58	75	1.284	1.377	0.933	0	0	0.933
tk-syllabus-comparison-document-v5__xlsx.pdf	12	13	0.750	0.777	0.965	0	0	0.965
