doc	ours_items	ref_items	ours_meanw	ref_meanw	width_ratio	hair_ours	hair_ref	ratio_ex_hair
stacked_area_chart__pptx.pdf	12	11	0.737	0.737	1.000	0	0	1.000
stacked_bar_chart__pptx.pdf	12	11	0.737	0.737	1.000	0	0	1.000
vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment__pptx.pdf	237	263	1.037	0.925	1.122	0	0	1.122
wopanets-innovationdays-06-16__pptx.pdf	16	12	1.120	1.247	0.898	0	0	0.898
ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007__ppt.pdf	65	65	1.819	1.822	0.999	0	0	0.999
ws_prod-g-doc-Events-2007-Privileges__ppt.pdf	57	60	1.249	1.237	1.010	0	0	1.010
ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles__ppt.pdf	15	16	2.250	2.181	1.032	0	0	1.032
ws_prod-g-doc-Events-2007-september-M.017-(French)-France__ppt.pdf	15	15	2.250	2.239	1.005	0	0	1.005
ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ__ppt.pdf	15	17	2.250	2.083	1.080	0	0	1.080
ws_prod-g-doc-Events-2008-February-5-NATO-activities__ppt.pdf	83	83	0.750	0.737	1.018	0	0	1.018
