probe                style chain                            size            weight          italic          colour          font            under           strike          caps            align           left            above           below           keep           
p_quote_plain        Quote                                  -               -               -               -               Liberation Serif@direct -               -               -               -               -               -               -               -              
p_quote_size         Quote                                  -               -               -               -               Liberation Serif@direct -               -               -               -               -               -               -               -              
p_subtitle_chars     Subtitle>Heading>Standard              14pt@Heading    bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_subtitle_marks     Subtitle>Heading>Standard              14pt@Heading    -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_subtitle_paras     Subtitle>Heading>Standard              14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.1665in@Heading 0.0835in@Heading always@Heading 
p_subtitle_plain     Subtitle>Heading>Standard              14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_subtitle_size      Subtitle>Heading>Standard              14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_title_chars        Title>Heading>Standard                 14pt@Heading    bold@Standard   italic@Standard #ff0000@Standard Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_title_marks        Title>Heading>Standard                 14pt@Heading    -               -               -               Liberation Serif@direct solid@Standard  solid@Standard  uppercase@Standard -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_title_paras        Title>Heading>Standard                 14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               center@Standard 0.5in@Standard  0.1665in@Heading 0.0835in@Heading always@Heading 
p_title_plain        Title>Heading>Standard                 14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
p_title_size         Title>Heading>Standard                 14pt@Heading    -               -               -               Liberation Serif@direct -               -               -               -               -               0.1665in@Heading 0.0835in@Heading always@Heading 
