path	dir	spacing	size	bold	linebreak	overlap	rot	count	index	words	whole	widest	rest	text
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	7	2	113.4976	65.0786	45.5581	Leasehold improvements
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	8	4	133.4619	55.5117	69.3676	Equity and other investments
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	9	3	140.0802	58.3813	75.9771	Less accumulated depreciation
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	11	2	79.7080	41.0274	35.8198	Accounts payable
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	12	2	68.2251	36.5493	28.8150	Accrued wages
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	13	2	103.0298	63.6197	36.5493	Accrued compensation
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	14	3	98.9780	35.8198	57.4365	Income taxes payable
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	15	2	83.5487	43.8398	36.8480	Unearned revenue
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	17	2	81.6591	42.9785	35.8198	Mortgage payable
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	18	2	84.0586	50.9765	30.2212	Investment capital
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	H	32.0978	9.0000	0	1	0	0.0000	20	19	3	141.0292	58.8647	76.4428	Accumulated retained earnings
