path	banked	now	pages_ref	glyphs_ref	pages_ours	glyphs_ours	unemb
sheets/done-009/xlsx/Data-Architecture-Tool-Fit-Assessment-Template.xlsx	match	match	22	10492	22	10489	0
sheets/done-009/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	match	match	24	39768	24	39506	0
sheets/done-010/xls/PC1000.xls	match	match	13	3855	13	3783	0
sheets/done-010/xlsx/Keywords_Mapping_Graphs_and_Charts.xlsx	match	match	46	27200	46	27295	0
sheets/done-010/xls/TOGAF9-Tool-ConfReqts-CSQ.xls	match	match	28	155747	28	156426	0
sheets/done-010/xlsx/DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0).xlsx	match	match	91	94845	91	94829	0
sheets/done-010/xls/cy06_primary_np_comm.xls	match	match	11	30224	11	30224	0
sheets/done-010/xlsx/NAARMO_Mexico_RVSM_Approvals.xlsx	match	match	16	33195	16	33195	0
sheets/done-010/xls/RMP 2011-2014 and Inventory.xls	match	match	38	98381	38	98381	0
sheets/done-010/xlsx/AFCforPtF-Digital-Certificate-Publication-Report.xlsx	match	match	111	188348	111	188348	0
sheets/done-010/xlsx/AMOC-Digital-Certificate-Publication-Report.xlsx	match	match	148	228293	148	228293	0
sheets/done-010/xls/Special-Procedures_2025-07-10.xls	match	match	22	153843	22	153843	0
sheets/done-011/xls/T0A0D0000090006XLSE.xls	match	match	162	234443	162	234421	0
sheets/done-011/xls/List of EQS securities_0.xls	match	match	104	154929	104	154929	0
sheets/done-011/xlsx/links-2026.xlsx	match	match	45	16080	45	16080	0
sheets/done-011/xlsx/Application_Compliance_Checklist_5_Apr_2021.xlsx	match	match	14	95929	14	95713	0
sheets/done-011/xlsx/Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted.xlsx	match	match	147	146864	147	146864	0
sheets/done-011/xlsx/aircraft_analysis-2018-06.xlsx	match	match	42	38381	42	38379	0
sheets/done-011/xlsx/2023-qhp-form-and-rate-combined-checklist-final.xlsx	match	match	100	73077	100	72749	0
sheets/done-011/xlsx/FY2023-AIP-grants.xlsx	match	match	33	353363	33	353363	0
sheets/done-011/xlsx/Application_for_authorisation_as_crowdfunding_service_provider.xlsx	match	match	48	33601	48	33597	0
sheets/done-011/xls/SIL_TDB605.xls	words	words	44	19131	44	18688	0
sheets/done-012/xlsx/atspp_pay_tables.xlsx	match	match	101	58995	101	58995	0
sheets/done-012/xlsx/certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013.xlsx	match	match	82	62113	82	61958	0
sheets/done-012/xlsx/2025_Active_Civil_Airmen_Statistics_FINAL.xlsx	match	match	35	57744	35	57434	0
sheets/done-012/xls/SIL_TDB609.xls	match	match	50	23126	50	22685	0
sheets/done-012/xlsx/CSJU List of Recipients of funds 2013-2020.xlsx	pages	pages	96	270627	97	270623	0
sheets/done-012/xls/NPIAS_2007_App_A.xls	match	match	128	170532	128	170540	0
sheets/done-012/xlsx/Copy of EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals(WEB)_ListofValidUSBASAorganisations_2023-01-13-04-33-14.xlsx	match	match	245	185964	245	185963	0
sheets/done-012/xlsx/MinCh-Digital-Certificate-Publication-Report.xlsx	match	match	179	711781	179	711781	0
sheets/done-012/xlsx/EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36.xlsx	match	match	254	196537	254	196537	0
sheets/done-012/xls/npias_2009_appA.xls	match	match	73	201413	73	201534	0
sheets/done-013/xlsx/fy20-may20-sep20.xlsx	match	match	96	290414	96	290332	0
sheets/done-013/xls/ECA Sinters.xls	match	match	163	189339	163	187470	0
sheets/done-013/xls/aircraft_analysis_2016-04-27.xls	match	match	46	61280	46	61420	0
sheets/done-013/xlsx/FY2021-AIP-grants.xlsx	match	match	58	598427	58	598427	0
sheets/done-013/xlsx/afn-afn-20250801-fy25-jan25-mar25.xlsx	match	match	270	409268	270	409031	0
sheets/done-013/xls/fy2011-aip-grants.xls	match	match	93	229395	93	229395	0
sheets/done-013/xlsx/alle einzeln.xlsx	match	match	186	278866	186	278872	0
sheets/done-013/xls/18-02RD301_ILS_components_Master_9-13-18.xls	match	match	166	155230	166	152726	0
sheets/done-013/xls/fy2010-aip-grants.xls	match	match	100	264109	100	264109	0
sheets/done-013/xls/capa-liste-nse-1.xls	match	match	108	128329	108	128327	0
sheets/done-014/xlsx/Aircraft_Database.xlsx	words	words	134	81831	134	77978	0
sheets/done-014/xls/TICAPCapability_Final.xls	match	match	17	27777	17	27834	0
sheets/done-014/xlsx/fm-provider-service-measures.xlsx	match	match	38	134484	38	134559	0
sheets/done-014/xls/NPIAS_App_A.xls	match	match	124	160573	124	160573	0
sheets/done-014/xls/UASEventsNov2014-Aug2015.xls	match	match	523	320886	523	322292	0
sheets/done-014/xlsx/seihon_zassi_kikou_20221215.xlsx	match	match	84	302717	84	302709	0
sheets/done-014/xlsx/MajCh-Digital-Certificate-Publication-Report.xlsx	match	match	328	436115	328	436144	0
sheets/done-014/xlsx/edb-emissions-databank v27-NewFormat (web).xlsx	match	match	368	281274	368	281080	0
sheets/done-014/xlsx/6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web.xlsx	match	match	217	656421	217	656421	0
sheets/done-014/xls/7-memento-2015-transports-aeriens-b.xls	pages,words	pages,words	191	123230	190	118434	0
sheets/done-015/xlsx/flightstandards-doc-Cross-reference-table_version02.xlsx	match	match	464	335554	464	335655	0
sheets/done-015/xls/PA_Delaware.xls	match	match	122	580602	122	580602	0
sheets/done-015/xls/underlying-holdings-emea-en_gb-monthly-holdings-state-street-emu-esg-screened-index-equity-fund.xls	match	match	15	23825	15	23826	0
sheets/done-015/xls/activespecs.xls	match	match	266	280104	266	280094	0
sheets/done-015/xlsx/Global_Market_Forecast_2016-2035_Airbus_Data_Set.xlsx	match	match	567	305549	567	305549	0
sheets/done-015/xls/laufende-nip-vorhaben-hyland.xls	match	match	18	49508	18	49499	0
sheets/done-015/xlsx/tk-syllabus-comparison-document-v5.xlsx	match	match	855	1225827	855	1225772	0
sheets/done-015/xlsx/certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013.xlsx	match	match	343	230379	343	230379	0
sheets/done-015/xls/AIM_OPR_LIST.xls	match	match	229	127224	229	127237	0
sheets/done-015/xlsx/EASA_PRODUCT_LIST_-_ALL.xlsx	match	match	264	484245	264	484245	0
sheets/done-016/xlsx/TK-Syllabus-Comparison-Document-v2.xlsx	match	match	1235	1311644	1235	1311172	0
sheets/done-016/xls/environment-edb-docs-edb-emissions-databank.xls	match	match	195	237212	195	236405	0
sheets/done-016/xlsx/RCO_VOR_Master_List_082824.xlsx	words	words	80	63199	80	60644	0
sheets/done-016/xlsx/Laser Report 2024 FOIA __Oct (1).xlsx	match	match	506	588025	506	588642	0
sheets/done-016/xlsx/STC_WebList.xlsx	match	match	4372	8158248	4372	8158263	0
sheets/done-016/xlsx/EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31.xlsx	match	match	92	182586	92	182618	0
sheets/extra-001/xlsx/FY2018_Q4_UAS_Sightings.xlsx	match	match	302	277982	302	277758	0
sheets/metrics-001/xlsx/ans_mappings_of_eccairs_terms.xlsx	match	match	191	186252	191	184827	0
sheets/missing-001/xls/orbus_togaf_tool_csq.xls	words	words	75	306037	75	299335	0
sheets/pagination-001/xlsx/sectors-defense-and-aerospace.xlsx	pages	pages	227	139190	449	139163	0
sheets/pagination-001/xls/grants-2005.xls	pages,words	pages,words	220	184708	201	179245	0
sheets/pagination-001/xlsx/SIL_TDB648.xlsx	pages,words	pages,words	88	31552	90	30893	0
sheets/pagination-001/xls/CIS_Debian_Linux_8_Benchmark_v1.0.0.xls	pages,words	pages,words	109	90659	88	49864	0
sheets/pagination-001/xlsx/ODs-February-2022-Airbus-Commercial-Aircraft.xlsx	match	match	175	44889	175	44881	0
sheets/table-001/xlsx/FAA-2019-0995-0002_attachment_2.xlsx	match	match	33	47071	33	47021	0
sheets/unstable-001/xlsx/fse_identification_form.xlsx	match	match	3	2282	3	2283	0
slides/ceiling-001/pptx/solog_orientation_august_2019.pptx	match	match	15	4393	15	4393	0
slides/ceiling-001/ppt/architecture6.ppt	match	match	31	10724	31	10724	0
